Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Laos,1875,Helm,4.2,4.2,4,3,5.9,8.377
Laos,1875,Shield,3.2,3.2,4.6,2,2.8,6.311
Laos,1875,Lore,4.8,4.8,3,2.6,7.9,9.354
Laos,1875,Stewards,3.8,3.8,4,2,4.6,7.339
Laos,1875,Craft,3.8,3.6,3,2,5.4,7.662
Laos,1875,Hands,4.4,5,4.6,2,5.8,7.951
Laos,1875,Archive,3.4,3.2,3.6,2,4.0,6.892
Laos,1875,Flow,4,4,4,2,5.0,7.616
Laos,1876,Helm,4.2,4.2,4,3,5.9,8.377
Laos,1876,Shield,3.2,3.2,4.6,2,2.8,6.311
Laos,1876,Lore,4.8,4.8,3,2.6,7.9,9.354
Laos,1876,Stewards,3.8,3.8,4,2,4.6,7.339
Laos,1876,Craft,3.8,3.6,3,2,5.4,7.662
Laos,1876,Hands,4.4,5,4.6,2,5.8,7.951
Laos,1876,Archive,3.4,3.2,3.6,2,4.0,6.892
Laos,1876,Flow,4,4,4,2,5.0,7.616
Laos,1877,Helm,4.2,4.2,4,3,5.9,8.377
Laos,1877,Shield,3.2,3.2,4.6,2,2.8,6.311
Laos,1877,Lore,4.8,4.8,3,2.6,7.9,9.354
Laos,1877,Stewards,3.8,3.8,4,2,4.6,7.339
Laos,1877,Craft,3.8,3.6,3,2,5.4,7.662
Laos,1877,Hands,4.4,5,4.6,2,5.8,7.951
Laos,1877,Archive,3.4,3.2,3.6,2,4.0,6.892
Laos,1877,Flow,4,4,4,2,5.0,7.616
Laos,1878,Helm,4.2,4.2,4,3,5.9,8.377
Laos,1878,Shield,3.2,3.2,4.6,2,2.8,6.311
Laos,1878,Lore,4.8,4.8,3,2.6,7.9,9.354
Laos,1878,Stewards,3.8,3.8,4,2,4.6,7.339
Laos,1878,Craft,3.8,3.6,3,2,5.4,7.662
Laos,1878,Hands,4.4,5,4.6,2,5.8,7.951
Laos,1878,Archive,3.4,3.2,3.6,2,4.0,6.892
Laos,1878,Flow,4,4,4,2,5.0,7.616
Laos,1879,Helm,4.2,4.2,4.2,3,5.7,8.284
Laos,1879,Shield,3.2,3,4.8,2,2.4,6.239
Laos,1879,Lore,4.8,4.8,3,2.6,7.9,9.328
Laos,1879,Stewards,3.8,3.8,4,2,4.6,7.319
Laos,1879,Craft,3.8,3.6,3,2,5.4,7.642
Laos,1879,Hands,4.4,5,4.6,2,5.8,7.929
Laos,1879,Archive,3.4,3.2,3.6,2,4.0,6.873
Laos,1879,Flow,4,4,4,2,5.0,7.595
Laos,1880,Helm,4.2,4.2,4.2,3,5.7,8.274
Laos,1880,Shield,3.2,3,5,2,2.2,6.176
Laos,1880,Lore,4.8,4.8,3,2.6,7.9,9.317
Laos,1880,Stewards,3.8,3.8,4,2,4.6,7.311
Laos,1880,Craft,3.8,3.6,3,2,5.4,7.633
Laos,1880,Hands,4.4,5,4.6,2,5.8,7.92
Laos,1880,Archive,3.4,3.2,3.6,2,4.0,6.866
Laos,1880,Flow,4,4,4,2,5.0,7.587
Laos,1881,Helm,4.2,4.2,4.2,3,5.7,8.274
Laos,1881,Shield,3.2,3,5,2,2.2,6.176
Laos,1881,Lore,4.8,4.8,3,2.6,7.9,9.317
Laos,1881,Stewards,3.8,3.8,4,2,4.6,7.311
Laos,1881,Craft,3.8,3.6,3,2,5.4,7.633
Laos,1881,Hands,4.4,5,4.6,2,5.8,7.92
Laos,1881,Archive,3.4,3.2,3.6,2,4.0,6.866
Laos,1881,Flow,4,4,4,2,5.0,7.587
Laos,1882,Helm,4.2,4.2,4.2,3,5.7,8.274
Laos,1882,Shield,3.2,3,5,2,2.2,6.176
