Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Lebanon,1943,Archive,4.0,4.0,6.0,5.0
Lebanon,1943,Craft,5.0,5.0,5.0,4.0
Lebanon,1943,Flow,6.0,6.0,5.0,5.0
Lebanon,1943,Hands,3.0,3.0,7.0,3.0
Lebanon,1943,Helm,5.0,4.0,6.0,5.0
Lebanon,1943,Lore,7.0,7.0,5.0,6.0
Lebanon,1943,Shield,4.0,3.0,6.0,3.0
Lebanon,1943,Stewards,6.0,7.0,4.0,5.0
Lebanon,1944,Archive,5.0,5.0,5.0,5.0
Lebanon,1944,Craft,5.0,5.0,5.0,4.0
Lebanon,1944,Flow,6.0,6.0,5.0,5.0
Lebanon,1944,Hands,4.0,4.0,6.0,4.0
Lebanon,1944,Helm,5.0,5.0,5.0,5.0
Lebanon,1944,Lore,7.0,7.0,4.0,6.0
Lebanon,1944,Shield,4.0,4.0,6.0,4.0
Lebanon,1944,Stewards,6.0,7.0,4.0,5.0
Lebanon,1945,Archive,6.0,6.0,5.0,6.0
Lebanon,1945,Craft,6.0,6.0,5.0,5.0
Lebanon,1945,Flow,7.0,7.0,4.0,6.0
Lebanon,1945,Hands,5.0,5.0,5.0,4.0
Lebanon,1945,Helm,6.0,6.0,5.0,6.0
Lebanon,1945,Lore,7.0,7.0,3.0,7.0
Lebanon,1945,Shield,5.0,5.0,5.0,4.0
Lebanon,1945,Stewards,7.0,7.0,4.0,6.0
Lebanon,1946,Archive,6.0,6.0,5.0,6.0
Lebanon,1946,Craft,6.0,6.0,5.0,5.0
Lebanon,1946,Flow,7.0,7.0,4.0,6.0
Lebanon,1946,Hands,5.0,5.0,5.0,4.0
Lebanon,1946,Helm,6.0,6.0,5.0,6.0
Lebanon,1946,Lore,7.0,7.0,3.0,7.0
Lebanon,1946,Shield,5.0,5.0,5.0,4.0
Lebanon,1946,Stewards,7.0,7.0,4.0,6.0
Lebanon,1947,Archive,6.0,6.0,5.0,6.0
Lebanon,1947,Craft,6.0,6.0,5.0,5.0
Lebanon,1947,Flow,7.0,7.0,4.0,6.0
Lebanon,1947,Hands,5.0,5.0,5.0,4.0
Lebanon,1947,Helm,6.0,6.0,5.0,6.0
Lebanon,1947,Lore,7.0,7.0,3.0,7.0
Lebanon,1947,Shield,5.0,5.0,5.0,4.0
Lebanon,1947,Stewards,7.0,7.0,4.0,6.0
Lebanon,1948,Archive,6.0,6.0,6.0,6.0
Lebanon,1948,Craft,6.0,6.0,6.0,5.0
Lebanon,1948,Flow,7.0,7.0,5.0,6.0
Lebanon,1948,Hands,5.0,5.0,6.0,4.0
Lebanon,1948,Helm,6.0,6.0,6.0,6.0
Lebanon,1948,Lore,7.0,7.0,4.0,7.0
Lebanon,1948,Shield,5.0,5.0,6.0,4.0
Lebanon,1948,Stewards,7.0,7.0,5.0,6.0
Lebanon,1949,Archive,6.0,6.0,6.0,6.0
Lebanon,1949,Craft,6.0,6.0,6.0,5.0
Lebanon,1949,Flow,7.0,7.0,5.0,6.0
Lebanon,1949,Hands,5.0,5.0,6.0,4.0
Lebanon,1949,Helm,6.0,6.0,6.0,6.0
Lebanon,1949,Lore,7.0,7.0,4.0,7.0
Lebanon,1949,Shield,5.0,5.0,6.0,4.0
Lebanon,1949,Stewards,7.0,7.0,5.0,6.0
Lebanon,1950,Archive,6.0,6.0,6.0,6.0
Lebanon,1950,Craft,6.0,6.0,6.0,5.0
Lebanon,1950,Flow,7.0,7.0,5.0,6.0
Lebanon,1950,Hands,5.0,5.0,6.0,4.0
Lebanon,1950,Helm,6.0,6.0,6.0,6.0
Lebanon,1950,Lore,7.0,7.0,4.0,7.0
Lebanon,1950,Shield,5.0,5.0,6.0,4.0
Lebanon,1950,Stewards,7.0,7.0,5.0,6.0
Lebanon,1951,Archive,6.0,6.0,6.0,6.0
Lebanon,1951,Craft,6.0,6.0,6.0,5.0
Lebanon,1951,Flow,7.0,7.0,5.0,6.0
Lebanon,1951,Hands,5.0,5.0,6.0,4.0
Lebanon,1951,Helm,6.0,6.0,6.0,6.0
Lebanon,1951,Lore,7.0,7.0,4.0,7.0
Lebanon,1951,Shield,5.0,5.0,6.0,4.0
Lebanon,1951,Stewards,7.0,7.0,5.0,6.0
Lebanon,1952,Archive,6.0,6.0,6.0,6.0
Lebanon,1952,Craft,6.0,6.0,6.0,5.0
Lebanon,1952,Flow,7.0,7.0,5.0,6.0
Lebanon,1952,Hands,5.0,5.0,6.0,4.0
Lebanon,1952,Helm,6.0,6.0,6.0,6.0
Lebanon,1952,Lore,7.0,7.0,4.0,7.0
Lebanon,1952,Shield,5.0,5.0,6.0,4.0
Lebanon,1952,Stewards,7.0,7.0,5.0,6.0
Lebanon,1953,Archive,6.0,6.0,6.0,6.0
Lebanon,1953,Craft,6.0,6.0,6.0,5.0
Lebanon,1953,Flow,7.0,7.0,5.0,6.0
Lebanon,1953,Hands,5.0,5.0,6.0,4.0
Lebanon,1953,Helm,6.0,6.0,6.0,6.0
Lebanon,1953,Lore,7.0,7.0,4.0,7.0
Lebanon,1953,Shield,5.0,5.0,6.0,4.0
Lebanon,1953,Stewards,7.0,7.0,5.0,6.0
Lebanon,1954,Archive,6.0,6.0,6.0,6.0
Lebanon,1954,Craft,6.0,6.0,6.0,5.0
Lebanon,1954,Flow,7.0,7.0,5.0,6.0
Lebanon,1954,Hands,5.0,5.0,6.0,4.0
Lebanon,1954,Helm,6.0,6.0,6.0,6.0
Lebanon,1954,Lore,7.0,7.0,4.0,7.0
Lebanon,1954,Shield,5.0,5.0,6.0,4.0
Lebanon,1954,Stewards,7.0,7.0,5.0,6.0
Lebanon,1955,Archive,6.0,6.0,6.0,6.0
Lebanon,1955,Craft,6.0,6.0,6.0,5.0
Lebanon,1955,Flow,7.0,7.0,5.0,6.0
Lebanon,1955,Hands,5.0,5.0,6.0,4.0
Lebanon,1955,Helm,6.0,6.0,6.0,6.0
Lebanon,1955,Lore,7.0,7.0,4.0,7.0
Lebanon,1955,Shield,5.0,5.0,6.0,4.0
Lebanon,1955,Stewards,7.0,7.0,5.0,6.0
Lebanon,1956,Archive,6.0,6.0,6.0,6.0
Lebanon,1956,Craft,6.0,6.0,6.0,5.0
Lebanon,1956,Flow,7.0,7.0,5.0,6.0
Lebanon,1956,Hands,5.0,5.0,6.0,4.0
Lebanon,1956,Helm,6.0,6.0,6.0,6.0
Lebanon,1956,Lore,7.0,7.0,4.0,7.0
Lebanon,1956,Shield,5.0,5.0,6.0,4.0
