Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Netherlands,1750,Archive,5.0,4.0,0.0,3.0
Netherlands,1750,Craft,7.0,6.0,0.0,5.0
Netherlands,1750,Flow,8.0,7.0,0.0,6.0
Netherlands,1750,Hands,6.0,5.0,0.0,4.0
Netherlands,1750,Helm,7.0,6.0,0.0,5.0
Netherlands,1750,Lore,5.0,4.0,0.0,3.0
Netherlands,1750,Shield,6.0,5.0,0.0,4.0
Netherlands,1750,Stewards,8.0,7.0,0.0,6.0
Netherlands,1755,Archive,5.2,4.2,0.0,3.2
Netherlands,1755,Craft,7.2,6.2,0.0,5.2
Netherlands,1755,Flow,8.2,7.2,0.0,6.2
Netherlands,1755,Hands,6.2,5.2,0.0,4.2
Netherlands,1755,Helm,7.2,6.2,0.0,5.2
Netherlands,1755,Lore,5.2,4.2,0.0,3.2
Netherlands,1755,Shield,6.2,5.2,0.0,4.2
Netherlands,1755,Stewards,8.2,7.2,0.0,6.2
Netherlands,1760,Archive,5.4,4.4,0.0,3.4
Netherlands,1760,Craft,7.4,6.4,0.0,5.4
Netherlands,1760,Flow,8.4,7.4,0.0,6.4
Netherlands,1760,Hands,6.4,5.4,0.0,4.4
Netherlands,1760,Helm,7.4,6.4,0.0,5.4
Netherlands,1760,Lore,5.4,4.4,0.0,3.4
Netherlands,1760,Shield,6.4,5.4,0.0,4.4
Netherlands,1760,Stewards,8.4,7.4,0.0,6.4
Netherlands,1765,Archive,5.6,4.6,0.0,3.6
Netherlands,1765,Craft,7.6,6.6,0.0,5.6
Netherlands,1765,Flow,8.6,7.6,0.0,6.6
Netherlands,1765,Hands,6.6,5.6,0.0,4.6
Netherlands,1765,Helm,7.6,6.6,0.0,5.6
Netherlands,1765,Lore,5.6,4.6,0.0,3.6
Netherlands,1765,Shield,6.6,5.6,0.0,4.6
Netherlands,1765,Stewards,8.6,7.6,0.0,6.6
Netherlands,1770,Archive,5.8,4.8,0.0,3.8
Netherlands,1770,Craft,7.8,6.8,0.0,5.8
Netherlands,1770,Flow,8.8,7.8,0.0,6.8
Netherlands,1770,Hands,6.8,5.8,0.0,4.8
Netherlands,1770,Helm,7.8,6.8,0.0,5.8
Netherlands,1770,Lore,5.8,4.8,0.0,3.8
Netherlands,1770,Shield,6.8,5.8,0.0,4.8
Netherlands,1770,Stewards,8.8,7.8,0.0,6.8
Netherlands,1775,Archive,6.0,5.0,0.0,4.0
Netherlands,1775,Craft,8.0,7.0,0.0,6.0
Netherlands,1775,Flow,9.0,8.0,0.0,7.0
Netherlands,1775,Hands,7.0,6.0,0.0,5.0
Netherlands,1775,Helm,8.0,7.0,0.0,6.0
Netherlands,1775,Lore,6.0,5.0,0.0,4.0
Netherlands,1775,Shield,7.0,6.0,0.0,5.0
Netherlands,1775,Stewards,9.0,8.0,0.0,7.0
Netherlands,1780,Archive,6.2,5.2,0.2,4.2
Netherlands,1780,Craft,8.2,7.2,0.0,6.2
Netherlands,1780,Flow,9.2,8.2,0.0,7.2
Netherlands,1780,Hands,7.2,6.2,0.0,5.2
Netherlands,1780,Helm,8.2,7.2,0.0,6.2
Netherlands,1780,Lore,6.2,5.2,0.2,4.2
Netherlands,1780,Shield,7.2,6.2,0.0,5.2
Netherlands,1780,Stewards,9.2,8.2,0.0,7.2
Netherlands,1785,Archive,6.4,5.4,0.4,4.4
Netherlands,1785,Craft,8.4,7.4,0.0,6.4
Netherlands,1785,Flow,9.4,8.4,0.0,7.4
Netherlands,1785,Hands,7.4,6.4,0.0,5.4
Netherlands,1785,Helm,8.4,7.4,0.0,6.4
Netherlands,1785,Lore,6.4,5.4,0.4,4.4
Netherlands,1785,Shield,7.4,6.4,0.0,5.4
Netherlands,1785,Stewards,9.4,8.4,0.0,7.4
Netherlands,1790,Archive,6.6,5.6,0.6,4.6
Netherlands,1790,Craft,8.6,7.6,0.0,6.6
Netherlands,1790,Flow,9.6,8.6,0.0,7.6
Netherlands,1790,Hands,7.6,6.6,0.0,5.6
Netherlands,1790,Helm,8.6,7.6,0.0,6.6
Netherlands,1790,Lore,6.6,5.6,0.6,4.6
Netherlands,1790,Shield,7.6,6.6,0.0,5.6
Netherlands,1790,Stewards,9.6,8.6,0.0,7.6
Netherlands,1800,Archive,6.8,5.8,0.8,4.8
Netherlands,1800,Craft,8.8,7.8,0.0,6.8
Netherlands,1800,Flow,9.8,8.8,0.0,7.8
Netherlands,1800,Hands,7.8,6.8,0.0,5.8
