Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Pakistan,1947,Archive,2.0,2.0,9.0,3.0
Pakistan,1947,Craft,3.0,3.0,9.0,3.0
Pakistan,1947,Flow,3.0,3.0,9.0,3.0
Pakistan,1947,Hands,2.0,2.0,10.0,2.0
Pakistan,1947,Helm,3.0,3.0,9.0,4.0
Pakistan,1947,Lore,5.0,5.0,6.0,5.0
Pakistan,1947,Shield,4.0,4.0,8.0,3.0
Pakistan,1947,Stewards,4.0,6.0,7.0,4.0
Pakistan,1948,Archive,3.0,3.0,8.0,4.0
Pakistan,1948,Craft,4.0,4.0,8.0,4.0
Pakistan,1948,Flow,4.0,4.0,8.0,4.0
Pakistan,1948,Hands,3.0,3.0,9.0,3.0
Pakistan,1948,Helm,4.0,4.0,8.0,5.0
Pakistan,1948,Lore,5.0,5.0,6.0,5.0
Pakistan,1948,Shield,4.0,5.0,7.0,4.0
Pakistan,1948,Stewards,5.0,6.0,6.0,5.0
Pakistan,1949,Archive,4.0,4.0,7.0,5.0
Pakistan,1949,Craft,5.0,5.0,7.0,5.0
Pakistan,1949,Flow,5.0,5.0,7.0,5.0
Pakistan,1949,Hands,4.0,4.0,8.0,4.0
Pakistan,1949,Helm,5.0,5.0,7.0,6.0
Pakistan,1949,Lore,6.0,6.0,5.0,6.0
Pakistan,1949,Shield,5.0,6.0,6.0,5.0
Pakistan,1949,Stewards,6.0,7.0,5.0,6.0
Pakistan,1950,Archive,6.0,6.0,5.0,6.0
Pakistan,1950,Craft,6.0,6.0,6.0,6.0
Pakistan,1950,Flow,6.0,6.0,6.0,6.0
Pakistan,1950,Hands,5.0,5.0,7.0,5.0
Pakistan,1950,Helm,6.0,6.0,6.0,7.0
Pakistan,1950,Lore,7.0,7.0,4.0,7.0
Pakistan,1950,Shield,6.0,7.0,5.0,6.0
Pakistan,1950,Stewards,7.0,7.0,4.0,7.0
Pakistan,1951,Archive,7.0,7.0,5.0,6.0
Pakistan,1951,Craft,7.0,7.0,5.0,6.0
Pakistan,1951,Flow,7.0,7.0,5.0,6.0
Pakistan,1951,Hands,6.0,6.0,6.0,6.0
Pakistan,1951,Helm,7.0,7.0,5.0,7.0
Pakistan,1951,Lore,7.0,7.0,4.0,7.0
Pakistan,1951,Shield,7.0,7.0,5.0,6.0
