 Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Philippines,1880,Archive,7,6,3,5,12.5,2.029
Philippines,1880,Craft,5,5,5,5,7.5,1.721
Philippines,1880,Flow,6,7,4,7,12.5,2.186
Philippines,1880,Hands,3,5,7,3,2.5,1.383
Philippines,1880,Helm,5,5,5,5,7.5,1.758
Philippines,1880,Lore,8,8,4,7,15.5,2.376
Philippines,1880,Shield,5,5,5,4,7,1.701
Philippines,1880,Stewards,5,7,4,6,11,1.983
Philippines,1881,Archive,7,6,4,5,11.5,1.954
Philippines,1881,Craft,5,5,5,5,7.5,1.701
Philippines,1881,Flow,7,8,4,7,14.5,2.215
Philippines,1881,Hands,3,5,6,3,3.5,1.452
Philippines,1881,Helm,5,5,6,5,6.5,1.684
Philippines,1881,Lore,8,8,4,7,15.5,2.341
Philippines,1881,Shield,5,5,5,4,7,1.698
Philippines,1881,Stewards,6,7,4,6,12,2.056
Philippines,1882,Archive,6,5,6,5,7.5,1.642
Philippines,1882,Craft,4,4,7,5,3.5,1.421
Philippines,1882,Flow,5,4,8,7,4.5,1.512
Philippines,1882,Hands,2,2,10,3,-4.5,0.892
Philippines,1882,Helm,4,4,8,5,2.5,1.321
Philippines,1882,Lore,7,7,6,7,11.5,1.785
Philippines,1882,Shield,4,4,8,4,2,1.245
Philippines,1882,Stewards,5,6,6,6,8,1.564
Philippines,1883,Archive,7,6,4,5,11.5,1.982
Philippines,1883,Craft,5,5,5,5,7.5,1.725
Philippines,1883,Flow,7,8,4,7,14.5,2.241
Philippines,1883,Hands,3,4,7,3,1.5,1.412
Philippines,1883,Helm,5,5,5,5,7.5,1.765
Philippines,1883,Lore,8,8,4,7,15.5,2.385
Philippines,1883,Shield,5,5,5,4,7,1.712
Philippines,1883,Stewards,6,8,4,6,13,2.089
Philippines,1884,Archive,6,5,7,6,7,1.654
Philippines,1884,Craft,5,6,5,6,9,1.812
Philippines,1884,Flow,7,8,4,7,14.5,2.289
Philippines,1884,Hands,4,5,6,3,4.5,1.542
Philippines,1884,Helm,5,6,6,6,8,1.821
Philippines,1884,Lore,7,8,5,7,13.5,2.215
Philippines,1884,Shield,5,5,5,4,7,1.725
Philippines,1884,Stewards,6,8,4,6,13,2.125
Philippines,1885,Archive,7,6,4,6,12,2.012
Philippines,1885,Craft,6,6,5,6,10,1.845
Philippines,1885,Flow,7,8,4,7,14.5,2.298
