Society,Year,Node,Coherence,Capacity,Stress,Abstraction
South Africa,1880,Archive,6.0,5.0,6.0,5.0
South Africa,1880,Craft,5.0,7.0,7.0,6.0
South Africa,1880,Flow,7.0,8.0,5.0,7.0
South Africa,1880,Hands,3.0,4.0,9.0,3.0
South Africa,1880,Helm,4.0,6.0,8.0,5.0
South Africa,1880,Lore,5.0,5.0,6.0,6.0
South Africa,1880,Shield,4.0,5.0,9.0,4.0
South Africa,1880,Stewards,6.0,6.0,7.0,4.0
South Africa,1881,Archive,5.0,5.0,8.0,5.0
South Africa,1881,Craft,5.0,7.0,8.0,6.0
South Africa,1881,Flow,7.0,8.0,6.0,7.0
South Africa,1881,Hands,3.0,4.0,9.0,3.0
South Africa,1881,Helm,3.0,5.0,9.0,5.0
South Africa,1881,Lore,5.0,5.0,7.0,6.0
South Africa,1881,Shield,3.0,4.0,10.0,4.0
South Africa,1881,Stewards,6.0,6.0,8.0,4.0
South Africa,1882,Archive,6.0,6.0,5.0,5.0
South Africa,1882,Craft,6.0,7.0,6.0,6.0
South Africa,1882,Flow,8.0,8.0,4.0,7.0
South Africa,1882,Hands,4.0,5.0,8.0,4.0
South Africa,1882,Helm,6.0,7.0,5.0,6.0
South Africa,1882,Lore,6.0,5.0,5.0,7.0
South Africa,1882,Shield,6.0,6.0,5.0,5.0
South Africa,1882,Stewards,7.0,7.0,5.0,5.0
South Africa,1883,Archive,7.0,6.0,4.0,6.0
South Africa,1883,Craft,6.0,8.0,5.0,7.0
South Africa,1883,Flow,8.0,9.0,3.0,8.0
South Africa,1883,Hands,4.0,6.0,7.0,4.0
South Africa,1883,Helm,7.0,7.0,4.0,6.0
South Africa,1883,Lore,6.0,6.0,4.0,7.0
South Africa,1883,Shield,7.0,7.0,4.0,5.0
South Africa,1883,Stewards,7.0,7.0,4.0,5.0
South Africa,1884,Archive,7.0,7.0,3.0,6.0
South Africa,1884,Craft,7.0,8.0,4.0,7.0
South Africa,1884,Flow,9.0,9.0,2.0,8.0
South Africa,1884,Hands,5.0,6.0,7.0,5.0
South Africa,1884,Helm,8.0,8.0,3.0,7.0
South Africa,1884,Lore,7.0,6.0,3.0,8.0
South Africa,1884,Shield,8.0,8.0,3.0,6.0
South Africa,1884,Stewards,8.0,8.0,3.0,6.0
South Africa,1885,Archive,8.0,7.0,3.0,7.0
South Africa,1885,Craft,7.0,9.0,4.0,8.0
South Africa,1885,Flow,9.0,10.0,2.0,9.0
South Africa,1885,Hands,5.0,7.0,6.0,5.0
South Africa,1885,Helm,8.0,9.0,3.0,7.0
South Africa,1885,Lore,7.0,7.0,3.0,8.0
South Africa,1885,Shield,8.0,8.0,3.0,6.0
South Africa,1885,Stewards,8.0,8.0,3.0,6.0
South Africa,1886,Archive,8.0,8.0,2.0,8.0
South Africa,1886,Craft,8.0,10.0,3.0,9.0
South Africa,1886,Flow,10.0,10.0,1.0,10.0
South Africa,1886,Hands,6.0,8.0,6.0,6.0
South Africa,1886,Helm,9.0,9.0,2.0,8.0
South Africa,1886,Lore,8.0,7.0,2.0,9.0
South Africa,1886,Shield,9.0,9.0,2.0,7.0
South Africa,1886,Stewards,9.0,9.0,2.0,7.0
South Africa,1887,Archive,8.0,8.0,3.0,8.0
South Africa,1887,Craft,8.0,10.0,4.0,9.0
South Africa,1887,Flow,10.0,10.0,2.0,10.0
South Africa,1887,Hands,6.0,8.0,7.0,6.0
South Africa,1887,Helm,9.0,9.0,3.0,8.0
South Africa,1887,Lore,8.0,8.0,3.0,9.0
South Africa,1887,Shield,9.0,9.0,3.0,7.0
South Africa,1887,Stewards,9.0,9.0,3.0,7.0
South Africa,1888,Archive,8.0,8.0,3.0,8.0
South Africa,1888,Craft,9.0,10.0,4.0,9.0
South Africa,1888,Flow,10.0,10.0,2.0,10.0
South Africa,1888,Hands,6.0,8.0,7.0,6.0
South Africa,1888,Helm,9.0,9.0,3.0,8.0
South Africa,1888,Lore,8.0,8.0,3.0,9.0
South Africa,1888,Shield,9.0,9.0,3.0,7.0
South Africa,1888,Stewards,9.0,9.0,3.0,7.0
South Africa,1889,Archive,8.0,9.0,4.0,9.0
South Africa,1889,Craft,9.0,10.0,5.0,10.0
South Africa,1889,Flow,10.0,10.0,3.0,10.0
South Africa,1889,Hands,5.0,8.0,8.0,5.0
South Africa,1889,Helm,8.0,9.0,5.0,8.0
South Africa,1889,Lore,8.0,8.0,4.0,9.0
South Africa,1889,Shield,8.0,9.0,5.0,7.0
South Africa,1889,Stewards,8.0,9.0,4.0,7.0
South Africa,1890,Archive,7.0,9.0,5.0,9.0
South Africa,1890,Craft,9.0,10.0,6.0,10.0
South Africa,1890,Flow,9.0,10.0,4.0,10.0
South Africa,1890,Hands,4.0,7.0,9.0,4.0
South Africa,1890,Helm,7.0,8.0,7.0,7.0
South Africa,1890,Lore,7.0,8.0,5.0,9.0
South Africa,1890,Shield,7.0,8.0,7.0,6.0
South Africa,1890,Stewards,7.0,8.0,6.0,6.0
South Africa,1891,Archive,7.0,9.0,6.0,9.0
South Africa,1891,Craft,8.0,10.0,7.0,10.0
South Africa,1891,Flow,9.0,10.0,5.0,10.0
South Africa,1891,Hands,4.0,7.0,9.0,4.0
South Africa,1891,Helm,6.0,8.0,8.0,7.0
South Africa,1891,Lore,7.0,8.0,6.0,9.0
South Africa,1891,Shield,6.0,8.0,8.0,6.0
South Africa,1891,Stewards,7.0,8.0,7.0,6.0
South Africa,1892,Archive,6.0,9.0,7.0,9.0
South Africa,1892,Craft,8.0,10.0,8.0,10.0
South Africa,1892,Flow,8.0,10.0,6.0,10.0
South Africa,1892,Hands,3.0,6.0,10.0,3.0
South Africa,1892,Helm,5.0,7.0,9.0,6.0
South Africa,1892,Lore,6.0,7.0,7.0,9.0
South Africa,1892,Shield,5.0,7.0,9.0,5.0
South Africa,1892,Stewards,6.0,7.0,8.0,5.0
South Africa,1893,Archive,6.0,8.0,8.0,9.0
South Africa,1893,Craft,7.0,10.0,8.0,10.0
South Africa,1893,Flow,8.0,10.0,7.0,10.0
South Africa,1893,Hands,3.0,6.0,10.0,3.0
South Africa,1893,Helm,5.0,7.0,9.0,6.0
South Africa,1893,Lore,6.0,7.0,8.0,8.0
South Africa,1893,Shield,5.0,7.0,10.0,5.0
South Africa,1893,Stewards,6.0,7.0,9.0,5.0
South Africa,1894,Archive,5.0,8.0,9.0,8.0
South Africa,1894,Craft,7.0,10.0,9.0,9.0
South Africa,1894,Flow,7.0,10.0,8.0,9.0
South Africa,1894,Hands,3.0,5.0,10.0,3.0
South Africa,1894,Helm,4.0,6.0,10.0,5.0
South Africa,1894,Lore,5.0,6.0,9.0,8.0
South Africa,1894,Shield,4.0,6.0,10.0,4.0
South Africa,1894,Stewards,5.0,6.0,10.0,4.0
South Africa,1895,Archive,4.0,7.0,10.0,7.0
South Africa,1895,Craft,6.0,9.0,10.0,9.0
South Africa,1895,Flow,6.0,9.0,9.0,9.0
South Africa,1895,Hands,2.0,4.0,10.0,2.0
South Africa,1895,Helm,3.0,5.0,10.0,4.0
South Africa,1895,Lore,4.0,5.0,10.0,7.0
South Africa,1895,Shield,3.0,5.0,10.0,3.0
South Africa,1895,Stewards,4.0,5.0,10.0,3.0
South Africa,1896,Archive,3.0,6.0,10.0,6.0
South Africa,1896,Craft,5.0,8.0,10.0,8.0
South Africa,1896,Flow,5.0,8.0,10.0,8.0
South Africa,1896,Hands,2.0,3.0,10.0,2.0
South Africa,1896,Helm,2.0,4.0,10.0,3.0
South Africa,1896,Lore,3.0,4.0,10.0,6.0
South Africa,1896,Shield,2.0,4.0,10.0,2.0
South Africa,1896,Stewards,3.0,4.0,10.0,2.0
South Africa,1897,Archive,4.0,7.0,9.0,7.0
South Africa,1897,Craft,6.0,9.0,9.0,9.0
South Africa,1897,Flow,6.0,9.0,8.0,9.0
South Africa,1897,Hands,3.0,5.0,10.0,3.0
South Africa,1897,Helm,4.0,6.0,9.0,5.0
South Africa,1897,Lore,4.0,6.0,9.0,8.0
South Africa,1897,Shield,4.0,6.0,9.0,4.0
South Africa,1897,Stewards,4.0,6.0,9.0,4.0
South Africa,1898,Archive,5.0,8.0,8.0,8.0
South Africa,1898,Craft,7.0,10.0,8.0,9.0
South Africa,1898,Flow,7.0,10.0,7.0,10.0
South Africa,1898,Hands,3.0,6.0,10.0,3.0
South Africa,1898,Helm,5.0,7.0,8.0,6.0
South Africa,1898,Lore,5.0,7.0,8.0,9.0
South Africa,1898,Shield,5.0,7.0,8.0,5.0
South Africa,1898,Stewards,5.0,7.0,8.0,5.0
South Africa,1899,Archive,4.0,7.0,10.0,7.0
South Africa,1899,Craft,6.0,9.0,10.0,8.0
South Africa,1899,Flow,6.0,9.0,9.0,9.0
South Africa,1899,Hands,2.0,4.0,10.0,2.0
South Africa,1899,Helm,3.0,5.0,10.0,4.0
South Africa,1899,Lore,4.0,6.0,10.0,8.0
South Africa,1899,Shield,3.0,6.0,10.0,4.0
South Africa,1899,Stewards,4.0,6.0,10.0,4.0
