Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Syria,1893,Archive,7.0,6.0,4.0,7.0
Syria,1893,Craft,5.0,5.0,5.0,4.0
Syria,1893,Flow,5.0,5.0,5.0,4.0
Syria,1893,Hands,4.0,3.0,6.0,3.0
Syria,1893,Helm,2.0,2.0,7.0,3.0
Syria,1893,Lore,7.0,6.0,4.0,7.0
Syria,1893,Shield,3.0,3.0,6.0,3.0
Syria,1893,Stewards,4.0,4.0,6.0,4.0
Syria,1894,Archive,7.0,6.0,4.0,7.0
Syria,1894,Craft,5.0,5.0,5.0,4.0
Syria,1894,Flow,5.0,5.0,5.0,4.0
Syria,1894,Hands,4.0,3.0,6.0,3.0
Syria,1894,Helm,2.0,2.0,7.0,3.0
Syria,1894,Lore,7.0,6.0,4.0,7.0
Syria,1894,Shield,3.0,3.0,6.0,3.0
Syria,1894,Stewards,4.0,4.0,6.0,4.0
Syria,1895,Archive,5.0,5.0,4.0,5.0
Syria,1895,Craft,5.0,5.0,5.0,4.0
Syria,1895,Flow,6.0,6.0,5.0,5.0
Syria,1895,Hands,3.0,4.0,6.0,3.0
Syria,1895,Helm,4.0,4.0,6.0,3.0
Syria,1895,Lore,6.0,5.0,4.0,5.0
Syria,1895,Shield,5.0,4.0,5.0,3.0
Syria,1895,Stewards,4.0,6.0,5.0,4.0
Syria,1900,Archive,5.0,5.0,5.0,5.0
Syria,1900,Craft,5.0,5.0,6.0,4.0
Syria,1900,Flow,6.0,6.0,6.0,5.0
Syria,1900,Hands,3.0,4.0,7.0,3.0
Syria,1900,Helm,4.0,4.0,7.0,3.0
Syria,1900,Lore,6.0,5.0,4.0,5.0
Syria,1900,Shield,5.0,4.0,6.0,3.0
Syria,1900,Stewards,4.0,6.0,6.0,4.0
Syria,1901,Archive,5.0,5.0,5.0,5.0
Syria,1901,Craft,5.0,5.0,6.0,4.0
Syria,1901,Flow,6.0,6.0,6.0,5.0
Syria,1901,Hands,3.0,4.0,7.0,3.0
Syria,1901,Helm,4.0,4.0,7.0,3.0
Syria,1901,Lore,6.0,5.0,4.0,5.0
Syria,1901,Shield,5.0,4.0,6.0,3.0
Syria,1901,Stewards,4.0,6.0,6.0,4.0
Syria,1902,Archive,5.0,5.0,5.0,5.0
Syria,1902,Craft,5.0,5.0,6.0,4.0
Syria,1902,Flow,6.0,6.0,6.0,5.0
Syria,1902,Hands,3.0,4.0,7.0,3.0
Syria,1902,Helm,4.0,4.0,7.0,3.0
Syria,1902,Lore,6.0,5.0,4.0,5.0
