Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Türkiye,1875,Helm,2.8,4.8,7.2,6.0,3.4,8.078
Türkiye,1875,Shield,4.8,4.8,6.0,4.0,5.6,8.744
Türkiye,1875,Lore,4.8,4.8,5.0,7.0,8.1,11.371
Türkiye,1875,Stewards,3.0,3.8,7.0,4.0,1.8,6.846
Türkiye,1875,Craft,2.8,3.0,7.2,3.0,0.1,5.776
Türkiye,1875,Hands,2.0,2.8,8.2,2.0,-2.4,3.927
Türkiye,1875,Archive,4.0,4.8,5.0,5.0,6.3,9.245
Türkiye,1875,Flow,2.8,4.0,7.2,4.0,1.6,6.599
Türkiye,1880,Helm,3.8,5.0,7.2,5.0,4.1,7.71
Türkiye,1880,Shield,3.8,4.0,8.2,4.0,1.6,6.738
Türkiye,1880,Lore,4.8,5.0,5.2,7.2,8.2,10.545
Türkiye,1880,Stewards,2.8,3.8,7.0,3.0,1.1,5.474
Türkiye,1880,Craft,2.8,3.0,7.0,3.0,0.3,5.474
Türkiye,1880,Hands,2.0,2.0,8.2,2.0,-3.2,3.701
Türkiye,1880,Archive,4.0,5.0,5.0,5.0,6.5,8.613
Türkiye,1880,Flow,2.8,4.0,7.0,3.0,1.3,5.474
Türkiye,1885,Helm,3.8,5.0,7.0,5.0,4.3,8.101
Türkiye,1885,Shield,4.0,4.8,6.0,4.0,4.8,7.903
Türkiye,1885,Lore,4.8,5.0,5.0,7.2,8.4,11.101
Türkiye,1885,Stewards,3.0,3.8,7.0,3.2,1.4,6.051
Türkiye,1885,Craft,3.0,3.0,7.0,3.0,0.5,5.894
Türkiye,1885,Hands,2.0,2.0,8.0,2.0,-3.0,3.886
Türkiye,1885,Archive,4.0,5.0,5.0,5.0,6.5,8.988
Türkiye,1885,Flow,3.0,3.8,7.0,3.0,1.3,5.894
Türkiye,1890,Helm,3.8,5.0,7.0,5.0,4.3,8.222
Türkiye,1890,Shield,4.8,5.0,6.0,4.0,5.8,8.778
Türkiye,1890,Lore,4.8,5.0,5.2,7.0,8.1,11.067
Türkiye,1890,Stewards,3.0,4.0,7.0,3.2,1.6,6.153
Türkiye,1890,Craft,3.0,3.0,7.0,3.0,0.5,5.998
Türkiye,1890,Hands,2.0,2.0,8.0,2.0,-3.0,3.952
Türkiye,1890,Archive,4.2,5.0,5.0,5.0,6.7,9.325
Türkiye,1890,Flow,3.0,4.0,7.0,3.0,1.5,5.998
Türkiye,1895,Helm,3.8,4.8,8.0,5.0,3.1,7.127
Türkiye,1895,Shield,4.8,5.0,6.2,4.0,5.6,7.794
Türkiye,1895,Lore,4.0,4.0,7.0,7.0,4.5,8.695
Türkiye,1895,Stewards,2.8,4.0,8.0,3.0,0.3,5.018
Türkiye,1895,Craft,2.8,3.0,8.0,3.0,-0.7,5.018
Türkiye,1895,Hands,1.8,2.0,9.0,2.0,-4.2,3.247
Türkiye,1895,Archive,4.0,4.8,6.0,5.0,5.3,7.9
