Society,Year,Node,Coherence,Capacity,Stress,Abstraction
UAE,1970,Archive,4.0,4.0,5.0,5.0
UAE,1970,Craft,4.0,4.0,5.0,4.0
UAE,1970,Flow,7.0,7.0,4.0,7.0
UAE,1970,Hands,5.0,6.0,6.0,4.0
UAE,1970,Helm,6.0,5.0,6.0,6.0
UAE,1970,Lore,7.0,5.0,4.0,5.0
UAE,1970,Shield,5.0,4.0,5.0,4.0
UAE,1970,Stewards,6.0,8.0,4.0,6.0
UAE,1971,Archive,4.0,4.0,5.0,5.0
UAE,1971,Craft,4.0,4.0,5.0,4.0
UAE,1971,Flow,7.0,7.0,4.0,7.0
UAE,1971,Hands,5.0,6.0,6.0,4.0
UAE,1971,Helm,6.0,5.0,7.0,6.0
UAE,1971,Lore,7.0,5.0,4.0,5.0
UAE,1971,Shield,4.0,4.0,6.0,4.0
UAE,1971,Stewards,7.0,8.0,4.0,6.0
UAE,1972,Archive,4.0,5.0,5.0,5.0
UAE,1972,Craft,4.0,5.0,5.0,4.0
UAE,1972,Flow,8.0,8.0,4.0,7.0
UAE,1972,Hands,5.0,6.0,6.0,4.0
UAE,1972,Helm,7.0,6.0,6.0,6.0
UAE,1972,Lore,7.0,6.0,4.0,5.0
UAE,1972,Shield,5.0,5.0,5.0,5.0
UAE,1972,Stewards,7.0,8.0,4.0,6.0
UAE,1973,Archive,5.0,5.0,5.0,6.0
UAE,1973,Craft,5.0,5.0,5.0,5.0
UAE,1973,Flow,8.0,8.0,5.0,8.0
UAE,1973,Hands,6.0,6.0,5.0,4.0
UAE,1973,Helm,7.0,7.0,5.0,7.0
UAE,1973,Lore,7.0,7.0,4.0,6.0
UAE,1973,Shield,6.0,6.0,4.0,6.0
UAE,1973,Stewards,8.0,9.0,4.0,7.0
UAE,1974,Archive,5.0,6.0,4.0,6.0
UAE,1974,Craft,5.0,6.0,5.0,5.0
UAE,1974,Flow,9.0,8.0,4.0,8.0
UAE,1974,Hands,6.0,7.0,5.0,5.0
UAE,1974,Helm,8.0,8.0,4.0,7.0
UAE,1974,Lore,8.0,7.0,3.0,6.0
UAE,1974,Shield,6.0,7.0,4.0,6.0
UAE,1974,Stewards,8.0,10.0,3.0,8.0
UAE,1975,Archive,6.0,7.0,4.0,7.0
UAE,1975,Craft,6.0,7.0,4.0,6.0
UAE,1975,Flow,9.0,9.0,3.0,8.0
UAE,1975,Hands,7.0,7.0,4.0,6.0
UAE,1975,Helm,8.0,8.0,4.0,8.0
UAE,1975,Lore,8.0,8.0,3.0,7.0
UAE,1975,Shield,7.0,7.0,4.0,7.0
UAE,1975,Stewards,9.0,10.0,3.0,8.0
UAE,1976,Archive,6.0,7.0,4.0,7.0
UAE,1976,Craft,6.0,7.0,4.0,6.0
UAE,1976,Flow,9.0,9.0,3.0,8.0
UAE,1976,Hands,7.0,7.0,4.0,6.0
UAE,1976,Helm,8.0,8.0,3.0,8.0
UAE,1976,Lore,8.0,8.0,3.0,7.0
UAE,1976,Shield,8.0,7.0,4.0,7.0
UAE,1976,Stewards,9.0,10.0,3.0,8.0
UAE,1979,Archive,7.0,8.0,4.0,7.0
UAE,1979,Craft,7.0,8.0,4.0,7.0
UAE,1979,Flow,10.0,10.0,3.0,9.0
UAE,1979,Hands,8.0,8.0,4.0,6.0
UAE,1979,Helm,9.0,9.0,4.0,8.0
UAE,1979,Lore,8.0,8.0,4.0,7.0
UAE,1979,Shield,8.0,8.0,5.0,8.0
UAE,1979,Stewards,9.0,10.0,3.0,8.0
UAE,1982,Archive,8.0,8.0,4.0,8.0
UAE,1982,Craft,7.0,8.0,4.0,7.0
UAE,1982,Flow,10.0,10.0,4.0,9.0
UAE,1982,Hands,8.0,8.0,4.0,6.0
UAE,1982,Helm,9.0,9.0,4.0,8.0
UAE,1982,Lore,8.0,8.0,4.0,7.0
UAE,1982,Shield,8.0,8.0,6.0,8.0
UAE,1982,Stewards,9.0,10.0,4.0,8.0
UAE,1985,Archive,8.0,9.0,4.0,8.0
UAE,1985,Craft,8.0,8.0,4.0,7.0
UAE,1985,Flow,10.0,10.0,4.0,9.0
UAE,1985,Hands,8.0,8.0,4.0,6.0
UAE,1985,Helm,8.0,9.0,5.0,8.0
UAE,1985,Lore,8.0,8.0,4.0,7.0
UAE,1985,Shield,8.0,8.0,5.0,8.0
UAE,1985,Stewards,8.0,9.0,5.0,8.0
UAE,1986,Archive,8.0,9.0,4.0,8.0
UAE,1986,Craft,8.0,8.0,4.0,7.0
UAE,1986,Flow,10.0,10.0,4.0,9.0
UAE,1986,Hands,8.0,8.0,4.0,6.0
UAE,1986,Helm,8.0,9.0,4.0,8.0
UAE,1986,Lore,8.0,8.0,4.0,7.0
UAE,1986,Shield,8.0,8.0,5.0,8.0
UAE,1986,Stewards,8.0,9.0,4.0,8.0
UAE,1987,Archive,8.0,9.0,4.0,8.0
UAE,1987,Craft,8.0,8.0,4.0,7.0
UAE,1987,Flow,10.0,10.0,4.0,9.0
UAE,1987,Hands,8.0,8.0,4.0,6.0
UAE,1987,Helm,8.0,9.0,4.0,8.0
UAE,1987,Lore,8.0,8.0,4.0,7.0
UAE,1987,Shield,8.0,8.0,6.0,8.0
UAE,1987,Stewards,8.0,9.0,4.0,8.0
UAE,1988,Archive,8.0,9.0,4.0,8.0
UAE,1988,Craft,8.0,8.0,4.0,8.0
UAE,1988,Flow,10.0,10.0,5.0,10.0
UAE,1988,Hands,8.0,8.0,4.0,6.0
UAE,1988,Helm,8.0,9.0,5.0,8.0
UAE,1988,Lore,8.0,8.0,4.0,8.0
UAE,1988,Shield,8.0,8.0,6.0,8.0
UAE,1988,Stewards,8.0,10.0,4.0,8.0
UAE,1989,Archive,9.0,9.0,4.0,9.0
UAE,1989,Craft,8.0,9.0,5.0,8.0
UAE,1989,Flow,10.0,10.0,6.0,10.0
UAE,1989,Hands,8.0,9.0,5.0,7.0
UAE,1989,Helm,9.0,9.0,6.0,9.0
UAE,1989,Lore,9.0,9.0,4.0,8.0
UAE,1989,Shield,9.0,9.0,6.0,9.0
UAE,1989,Stewards,9.0,10.0,5.0,9.0
UAE,1990,Archive,9.0,9.0,4.0,9.0
UAE,1990,Craft,8.0,9.0,5.0,8.0
UAE,1990,Flow,10.0,10.0,6.0,10.0
UAE,1990,Hands,8.0,9.0,5.0,7.0
UAE,1990,Helm,9.0,9.0,6.0,9.0
UAE,1990,Lore,9.0,9.0,4.0,8.0
UAE,1990,Shield,9.0,9.0,7.0,9.0
UAE,1990,Stewards,9.0,10.0,5.0,9.0
UAE,1991,Archive,9.0,10.0,4.0,9.0
UAE,1991,Craft,8.0,9.0,5.0,8.0
UAE,1991,Flow,10.0,10.0,7.0,10.0
UAE,1991,Hands,8.0,9.0,6.0,7.0
UAE,1991,Helm,9.0,9.0,7.0,9.0
UAE,1991,Lore,9.0,9.0,4.0,9.0
UAE,1991,Shield,9.0,10.0,8.0,9.0
UAE,1991,Stewards,9.0,10.0,5.0,10.0
UAE,1992,Archive,9.0,10.0,3.0,10.0
UAE,1992,Craft,9.0,9.0,4.0,8.0
UAE,1992,Flow,10.0,10.0,3.0,10.0
UAE,1992,Hands,9.0,9.0,4.0,7.0
UAE,1992,Helm,9.0,10.0,4.0,9.0
UAE,1992,Lore,9.0,9.0,3.0,9.0
UAE,1992,Shield,9.0,10.0,4.0,10.0
UAE,1992,Stewards,10.0,10.0,3.0,10.0
UAE,1993,Archive,9.0,10.0,3.0,10.0
UAE,1993,Craft,9.0,9.0,3.0,8.0
UAE,1993,Flow,10.0,10.0,3.0,10.0
UAE,1993,Hands,9.0,9.0,3.0,7.0
UAE,1993,Helm,9.0,10.0,3.0,9.0
UAE,1993,Lore,9.0,9.0,3.0,9.0
UAE,1993,Shield,9.0,10.0,3.0,10.0
UAE,1993,Stewards,10.0,10.0,3.0,10.0
UAE,1994,Archive,9.0,10.0,3.0,10.0
UAE,1994,Craft,9.0,9.0,3.0,8.0
UAE,1994,Flow,10.0,10.0,3.0,10.0
UAE,1994,Hands,9.0,9.0,3.0,7.0
UAE,1994,Helm,9.0,10.0,3.0,9.0
UAE,1994,Lore,9.0,9.0,3.0,9.0
UAE,1994,Shield,9.0,10.0,3.0,10.0
UAE,1994,Stewards,10.0,10.0,3.0,10.0
UAE,1995,Archive,10.0,10.0,3.0,10.0
UAE,1995,Craft,9.0,10.0,3.0,9.0
UAE,1995,Flow,10.0,10.0,2.0,10.0
UAE,1995,Hands,9.0,10.0,3.0,8.0
UAE,1995,Helm,10.0,10.0,2.0,10.0
UAE,1995,Lore,9.0,10.0,3.0,10.0
UAE,1995,Shield,9.0,10.0,3.0,10.0
UAE,1995,Stewards,10.0,10.0,2.0,10.0
UAE,1996,Archive,10.0,10.0,3.0,10.0
UAE,1996,Craft,9.0,10.0,3.0,9.0
UAE,1996,Flow,10.0,10.0,2.0,10.0
UAE,1996,Hands,9.0,10.0,3.0,8.0
UAE,1996,Helm,10.0,10.0,2.0,10.0
UAE,1996,Lore,9.0,10.0,3.0,10.0
UAE,1996,Shield,9.0,10.0,3.0,10.0
UAE,1996,Stewards,10.0,10.0,2.0,10.0
UAE,1997,Archive,10.0,10.0,3.0,10.0
UAE,1997,Craft,9.0,10.0,4.0,9.0
UAE,1997,Flow,10.0,10.0,3.0,10.0
UAE,1997,Hands,9.0,10.0,4.0,8.0
UAE,1997,Helm,10.0,10.0,2.0,10.0
UAE,1997,Lore,9.0,10.0,3.0,10.0
UAE,1997,Shield,9.0,10.0,3.0,10.0
UAE,1997,Stewards,10.0,10.0,4.0,10.0
UAE,1998,Archive,10.0,10.0,3.0,10.0
UAE,1998,Craft,9.0,10.0,4.0,9.0
UAE,1998,Flow,10.0,10.0,4.0,10.0
UAE,1998,Hands,9.0,10.0,4.0,8.0
UAE,1998,Helm,10.0,10.0,3.0,10.0
UAE,1998,Lore,9.0,10.0,3.0,10.0
UAE,1998,Shield,9.0,10.0,3.0,10.0
UAE,1998,Stewards,10.0,10.0,5.0,10.0
UAE,1999,Archive,10.0,10.0,3.0,10.0
UAE,1999,Craft,9.0,10.0,4.0,9.0
UAE,1999,Flow,10.0,10.0,3.0,10.0
UAE,1999,Hands,9.0,10.0,4.0,8.0
UAE,1999,Helm,10.0,10.0,3.0,10.0
UAE,1999,Lore,9.0,10.0,3.0,10.0
UAE,1999,Shield,9.0,10.0,3.0,10.0
UAE,1999,Stewards,10.0,10.0,3.0,10.0
UAE,2000,Archive,10.0,10.0,3.0,10.0
UAE,2000,Craft,9.0,10.0,4.0,9.0
UAE,2000,Flow,10.0,10.0,4.0,10.0
UAE,2000,Hands,9.0,10.0,4.0,8.0
UAE,2000,Helm,10.0,10.0,4.0,10.0
UAE,2000,Lore,9.0,10.0,4.0,10.0
UAE,2000,Shield,9.0,10.0,4.0,10.0
UAE,2000,Stewards,10.0,10.0,3.0,10.0
UAE,2001,Archive,10.0,10.0,3.0,10.0
UAE,2001,Craft,9.0,10.0,4.0,9.0
UAE,2001,Flow,10.0,10.0,4.0,10.0
UAE,2001,Hands,9.0,10.0,4.0,8.0
UAE,2001,Helm,10.0,10.0,5.0,10.0
UAE,2001,Lore,9.0,10.0,5.0,10.0
UAE,2001,Shield,9.0,10.0,6.0,10.0
UAE,2001,Stewards,10.0,10.0,3.0,10.0
UAE,2002,Archive,10.0,10.0,3.0,10.0
UAE,2002,Craft,9.0,10.0,4.0,9.0
UAE,2002,Flow,10.0,10.0,4.0,10.0
UAE,2002,Hands,9.0,10.0,4.0,8.0
UAE,2002,Helm,10.0,10.0,5.0,10.0
UAE,2002,Lore,9.0,10.0,4.0,10.0
UAE,2002,Shield,9.0,10.0,5.0,10.0
UAE,2002,Stewards,10.0,10.0,3.0,10.0
UAE,2003,Archive,10.0,10.0,3.0,10.0
UAE,2003,Craft,9.0,10.0,4.0,9.0
UAE,2003,Flow,10.0,10.0,3.0,10.0
UAE,2003,Hands,9.0,10.0,4.0,8.0
UAE,2003,Helm,9.0,10.0,4.0,10.0
UAE,2003,Lore,10.0,10.0,4.0,10.0
UAE,2003,Shield,9.0,10.0,5.0,10.0
UAE,2003,Stewards,10.0,10.0,3.0,10.0
UAE,2004,Archive,10.0,10.0,3.0,10.0
UAE,2004,Craft,9.0,10.0,4.0,9.0
UAE,2004,Flow,10.0,10.0,3.0,10.0
