Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Ukraine,1930,Archive,7.0,7.0,4.0,6.0
Ukraine,1930,Craft,6.0,6.0,6.0,6.0
Ukraine,1930,Flow,4.0,3.0,8.0,4.0
Ukraine,1930,Hands,3.0,3.0,9.0,3.0
Ukraine,1930,Helm,8.0,7.0,8.0,6.0
Ukraine,1930,Lore,3.0,4.0,9.0,7.0
Ukraine,1930,Shield,9.0,8.0,5.0,7.0
Ukraine,1931,Archive,7.0,7.0,5.0,6.0
Ukraine,1931,Craft,6.0,6.0,6.0,6.0
Ukraine,1931,Flow,3.0,3.0,9.0,3.0
Ukraine,1931,Hands,3.0,4.0,8.0,3.0
Ukraine,1931,Helm,8.0,7.0,8.0,6.0
Ukraine,1931,Lore,3.0,4.0,8.0,7.0
Ukraine,1931,Shield,9.0,8.0,6.0,7.0
Ukraine,1931,Stewards,1.0,1.0,10.0,2.0
Ukraine,1932,Archive,7.0,6.0,6.0,6.0
Ukraine,1932,Craft,5.0,5.0,7.0,6.0
Ukraine,1932,Flow,2.0,2.0,9.0,3.0
Ukraine,1932,Hands,2.0,2.0,10.0,2.0
Ukraine,1932,Helm,8.0,6.0,9.0,6.0
Ukraine,1932,Lore,2.0,3.0,9.0,7.0
Ukraine,1932,Shield,9.0,9.0,5.0,7.0
Ukraine,1932,Stewards,1.0,1.0,10.0,1.0
Ukraine,1933,Archive,6.0,5.0,5.0,5.0
Ukraine,1933,Craft,5.0,5.0,6.0,6.0
Ukraine,1933,Flow,2.0,1.0,8.0,2.0
Ukraine,1933,Hands,1.0,1.0,10.0,1.0
Ukraine,1933,Helm,9.0,7.0,7.0,6.0
Ukraine,1933,Lore,2.0,2.0,8.0,6.0
Ukraine,1933,Shield,10.0,9.0,4.0,7.0
Ukraine,1933,Stewards,0.0,0.0,10.0,0.0
Ukraine,1934,Archive,8.0,7.0,3.0,6.0
Ukraine,1934,Craft,6.0,7.0,4.0,6.0
Ukraine,1934,Flow,5.0,5.0,5.0,4.0
Ukraine,1934,Hands,4.0,4.0,5.0,3.0
Ukraine,1934,Helm,8.0,8.0,4.0,6.0
Ukraine,1934,Lore,4.0,5.0,6.0,7.0
Ukraine,1934,Shield,9.0,8.0,4.0,7.0
Ukraine,1934,Stewards,1.0,2.0,8.0,2.0
Ukraine,1935,Archive,8.0,8.0,3.0,7.0
Ukraine,1935,Craft,7.0,8.0,5.0,7.0
Ukraine,1935,Flow,6.0,6.0,4.0,5.0
Ukraine,1935,Hands,5.0,6.0,4.0,4.0
Ukraine,1935,Helm,8.0,8.0,3.0,7.0
Ukraine,1935,Lore,5.0,6.0,5.0,7.0
Ukraine,1935,Shield,9.0,9.0,4.0,7.0
Ukraine,1935,Stewards,1.0,2.0,7.0,2.0
Ukraine,1936,Archive,8.0,8.0,4.0,7.0
Ukraine,1936,Craft,7.0,8.0,5.0,7.0
Ukraine,1936,Flow,6.0,6.0,5.0,5.0
Ukraine,1936,Hands,5.0,6.0,4.0,4.0
Ukraine,1936,Helm,7.0,8.0,5.0,7.0
