Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Venezuela,1970,Archive,5.0,5.0,4.0,5.0
Venezuela,1970,Craft,6.0,6.0,4.0,6.0
Venezuela,1970,Flow,7.0,7.0,3.0,6.0
Venezuela,1970,Hands,7.0,5.0,4.0,4.0
Venezuela,1970,Helm,7.0,6.0,3.0,6.0
Venezuela,1970,Lore,5.0,6.0,4.0,6.0
Venezuela,1970,Shield,7.0,6.0,3.0,5.0
Venezuela,1970,Stewards,7.0,6.0,3.0,6.0
Venezuela,1971,Archive,5.0,5.0,4.0,5.0
Venezuela,1971,Craft,6.0,6.0,4.0,6.0
Venezuela,1971,Flow,7.0,7.0,3.0,6.0
Venezuela,1971,Hands,7.0,5.0,4.0,4.0
Venezuela,1971,Helm,7.0,6.0,3.0,6.0
Venezuela,1971,Lore,5.0,6.0,4.0,6.0
Venezuela,1971,Shield,7.0,6.0,3.0,5.0
Venezuela,1971,Stewards,7.0,6.0,3.0,6.0
Venezuela,1972,Archive,5.0,5.0,4.0,5.0
Venezuela,1972,Craft,6.0,6.0,4.0,6.0
Venezuela,1972,Flow,7.0,7.0,3.0,6.0
Venezuela,1972,Hands,7.0,5.0,4.0,4.0
Venezuela,1972,Helm,7.0,6.0,3.0,6.0
Venezuela,1972,Lore,5.0,6.0,4.0,6.0
Venezuela,1972,Shield,7.0,6.0,3.0,5.0
Venezuela,1972,Stewards,7.0,6.0,3.0,6.0
Venezuela,1973,Archive,6.0,6.0,4.0,5.0
Venezuela,1973,Craft,7.0,7.0,3.0,7.0
Venezuela,1973,Flow,8.0,8.0,2.0,7.0
Venezuela,1973,Hands,8.0,6.0,3.0,4.0
Venezuela,1973,Helm,8.0,7.0,3.0,6.0
Venezuela,1973,Lore,6.0,7.0,3.0,6.0
Venezuela,1973,Shield,8.0,7.0,2.0,6.0
Venezuela,1973,Stewards,7.0,7.0,2.0,6.0
Venezuela,1974,Archive,6.0,6.0,5.0,5.0
Venezuela,1974,Craft,7.0,7.0,3.0,7.0
Venezuela,1974,Flow,8.0,9.0,2.0,7.0
Venezuela,1974,Hands,8.0,7.0,2.0,5.0
Venezuela,1974,Helm,9.0,9.0,2.0,7.0
Venezuela,1974,Lore,7.0,8.0,3.0,7.0
Venezuela,1974,Shield,8.0,8.0,2.0,6.0
Venezuela,1974,Stewards,6.0,8.0,2.0,6.0
Venezuela,1975,Archive,5.0,6.0,5.0,5.0
Venezuela,1975,Craft,7.0,8.0,3.0,7.0
Venezuela,1975,Flow,8.0,9.0,2.0,7.0
Venezuela,1975,Hands,8.0,7.0,2.0,5.0
Venezuela,1975,Helm,8.0,9.0,2.0,7.0
Venezuela,1975,Lore,7.0,8.0,3.0,7.0
Venezuela,1975,Shield,8.0,9.0,2.0,6.0
Venezuela,1975,Stewards,6.0,7.0,3.0,6.0
Venezuela,1976,Archive,5.0,6.0,6.0,5.0
Venezuela,1976,Craft,7.0,8.0,3.0,7.0
Venezuela,1976,Flow,9.0,10.0,2.0,7.0
Venezuela,1976,Hands,8.0,7.0,3.0,5.0
Venezuela,1976,Helm,8.0,9.0,3.0,7.0
Venezuela,1976,Lore,7.0,8.0,3.0,7.0
Venezuela,1976,Shield,9.0,9.0,2.0,6.0
Venezuela,1976,Stewards,6.0,7.0,3.0,6.0
Venezuela,1977,Archive,5.0,5.0,6.0,5.0
Venezuela,1977,Craft,7.0,8.0,4.0,7.0
Venezuela,1977,Flow,8.0,9.0,4.0,7.0
Venezuela,1977,Hands,7.0,7.0,4.0,5.0
Venezuela,1977,Helm,7.0,8.0,4.0,7.0
Venezuela,1977,Lore,7.0,8.0,3.0,7.0
Venezuela,1977,Shield,8.0,8.0,3.0,6.0
Venezuela,1977,Stewards,6.0,7.0,4.0,6.0
Venezuela,1978,Archive,4.0,5.0,7.0,5.0
Venezuela,1978,Craft,7.0,8.0,4.0,7.0
Venezuela,1978,Flow,7.0,8.0,5.0,7.0
Venezuela,1978,Hands,7.0,7.0,4.0,5.0
Venezuela,1978,Helm,6.0,7.0,5.0,6.0
Venezuela,1978,Lore,7.0,8.0,3.0,7.0
Venezuela,1978,Shield,8.0,8.0,3.0,6.0
Venezuela,1978,Stewards,6.0,7.0,5.0,6.0
Venezuela,1979,Archive,4.0,4.0,6.0,5.0
Venezuela,1979,Craft,6.0,7.0,5.0,7.0
Venezuela,1979,Flow,6.0,7.0,5.0,6.0
Venezuela,1979,Hands,6.0,6.0,5.0,4.0
Venezuela,1979,Helm,6.0,6.0,5.0,6.0
Venezuela,1979,Lore,7.0,7.0,4.0,7.0
Venezuela,1979,Shield,8.0,8.0,3.0,6.0
Venezuela,1979,Stewards,5.0,6.0,6.0,6.0
Venezuela,1980,Archive,4.0,4.0,7.0,5.0
Venezuela,1980,Craft,6.0,7.0,5.0,7.0
Venezuela,1980,Flow,6.0,7.0,6.0,6.0
Venezuela,1980,Hands,6.0,6.0,5.0,4.0
Venezuela,1980,Helm,5.0,6.0,6.0,6.0
Venezuela,1980,Lore,6.0,7.0,4.0,7.0
Venezuela,1980,Shield,8.0,7.0,4.0,6.0
Venezuela,1980,Stewards,5.0,6.0,6.0,6.0
Venezuela,1981,Archive,4.0,4.0,7.0,5.0
Venezuela,1981,Craft,6.0,7.0,5.0,7.0
Venezuela,1981,Flow,6.0,7.0,6.0,6.0
Venezuela,1981,Hands,6.0,6.0,5.0,4.0
Venezuela,1981,Helm,5.0,6.0,6.0,6.0
Venezuela,1981,Lore,6.0,7.0,4.0,7.0
Venezuela,1981,Shield,8.0,7.0,4.0,6.0
Venezuela,1981,Stewards,5.0,6.0,6.0,6.0
Venezuela,1982,Archive,4.0,4.0,8.0,5.0
Venezuela,1982,Craft,6.0,6.0,6.0,7.0
Venezuela,1982,Flow,5.0,6.0,7.0,6.0
Venezuela,1982,Hands,6.0,5.0,6.0,4.0
Venezuela,1982,Helm,4.0,5.0,7.0,6.0
Venezuela,1982,Lore,6.0,7.0,5.0,7.0
Venezuela,1982,Shield,7.0,7.0,4.0,6.0
Venezuela,1982,Stewards,4.0,5.0,8.0,6.0
Venezuela,1983,Archive,5.0,4.0,9.0,5.0
Venezuela,1983,Craft,5.0,5.0,7.0,6.0
Venezuela,1983,Flow,4.0,4.0,9.0,5.0
Venezuela,1983,Hands,5.0,4.0,8.0,4.0
Venezuela,1983,Helm,5.0,5.0,9.0,5.0
Venezuela,1983,Lore,6.0,6.0,6.0,7.0
Venezuela,1983,Shield,7.0,7.0,5.0,5.0
Venezuela,1983,Stewards,4.0,4.0,9.0,5.0
Venezuela,1984,Archive,4.0,4.0,7.0,4.0
Venezuela,1984,Craft,6.0,6.0,6.0,6.0
Venezuela,1984,Flow,6.0,5.0,6.0,5.0
Venezuela,1984,Hands,7.0,5.0,6.0,4.0
Venezuela,1984,Helm,8.0,7.0,5.0,6.0
Venezuela,1984,Lore,6.0,6.0,5.0,6.0
Venezuela,1984,Shield,8.0,7.0,4.0,5.0
Venezuela,1984,Stewards,6.0,5.0,6.0,5.0
Venezuela,1985,Archive,3.0,4.0,8.0,4.0
Venezuela,1985,Craft,6.0,6.0,5.0,6.0
Venezuela,1985,Flow,6.0,6.0,5.0,5.0
Venezuela,1985,Hands,7.0,5.0,6.0,4.0
Venezuela,1985,Helm,8.0,7.0,4.0,6.0
Venezuela,1985,Lore,6.0,6.0,5.0,6.0
Venezuela,1985,Shield,8.0,7.0,4.0,5.0
Venezuela,1985,Stewards,6.0,6.0,5.0,5.0
Venezuela,1986,Archive,3.0,3.0,9.0,4.0
Venezuela,1986,Craft,5.0,5.0,6.0,6.0
Venezuela,1986,Flow,5.0,5.0,7.0,5.0
Venezuela,1986,Hands,6.0,4.0,7.0,4.0
Venezuela,1986,Helm,7.0,5.0,7.0,6.0
Venezuela,1986,Lore,6.0,6.0,6.0,6.0
Venezuela,1986,Shield,7.0,6.0,5.0,5.0
Venezuela,1986,Stewards,5.0,5.0,7.0,5.0
Venezuela,1987,Archive,3.0,3.0,9.0,4.0
Venezuela,1987,Craft,5.0,5.0,7.0,6.0
Venezuela,1987,Flow,4.0,4.0,8.0,5.0
Venezuela,1987,Hands,6.0,4.0,8.0,4.0
Venezuela,1987,Helm,7.0,5.0,8.0,5.0
Venezuela,1987,Lore,5.0,5.0,7.0,6.0
Venezuela,1987,Shield,7.0,6.0,5.0,5.0
Venezuela,1987,Stewards,5.0,4.0,8.0,5.0
Venezuela,1988,Archive,3.0,3.0,8.0,4.0
Venezuela,1988,Craft,5.0,5.0,6.0,6.0
Venezuela,1988,Flow,5.0,4.0,8.0,5.0
Venezuela,1988,Hands,6.0,4.0,7.0,4.0
Venezuela,1988,Helm,8.0,5.0,7.0,5.0
Venezuela,1988,Lore,6.0,6.0,6.0,6.0
Venezuela,1988,Shield,8.0,6.0,4.0,5.0
Venezuela,1988,Stewards,6.0,5.0,7.0,5.0
Venezuela,1989,Archive,3.0,3.0,9.0,4.0
Venezuela,1989,Craft,4.0,4.0,9.0,6.0
Venezuela,1989,Flow,6.0,5.0,8.0,6.0
Venezuela,1989,Hands,2.0,3.0,10.0,4.0
Venezuela,1989,Helm,6.0,7.0,10.0,7.0
Venezuela,1989,Lore,4.0,5.0,9.0,6.0
Venezuela,1989,Shield,6.0,6.0,9.0,4.0
Venezuela,1989,Stewards,5.0,5.0,8.0,6.0
Venezuela,1990,Archive,3.0,4.0,7.0,5.0
Venezuela,1990,Craft,5.0,6.0,6.0,6.0
Venezuela,1990,Flow,7.0,7.0,5.0,7.0
Venezuela,1990,Hands,3.0,4.0,8.0,4.0
Venezuela,1990,Helm,5.0,7.0,7.0,7.0
Venezuela,1990,Lore,4.0,6.0,6.0,7.0
Venezuela,1990,Shield,5.0,6.0,6.0,4.0
Venezuela,1990,Stewards,7.0,7.0,5.0,7.0
Venezuela,1991,Archive,3.0,4.0,7.0,5.0
Venezuela,1991,Craft,5.0,6.0,6.0,6.0
Venezuela,1991,Flow,7.0,8.0,4.0,7.0
Venezuela,1991,Hands,3.0,4.0,8.0,4.0
Venezuela,1991,Helm,4.0,7.0,7.0,7.0
Venezuela,1991,Lore,3.0,6.0,7.0,7.0
Venezuela,1991,Shield,4.0,6.0,7.0,4.0
Venezuela,1991,Stewards,7.0,8.0,4.0,7.0
Venezuela,1992,Archive,2.0,3.0,9.0,4.0
Venezuela,1992,Craft,4.0,5.0,8.0,6.0
Venezuela,1992,Flow,5.0,6.0,8.0,6.0
Venezuela,1992,Hands,5.0,4.0,9.0,4.0
Venezuela,1992,Helm,3.0,5.0,10.0,6.0
Venezuela,1992,Lore,4.0,6.0,8.0,6.0
Venezuela,1992,Shield,2.0,4.0,10.0,4.0
Venezuela,1992,Stewards,5.0,6.0,8.0,6.0
Venezuela,1993,Archive,3.0,3.0,8.0,4.0
Venezuela,1993,Craft,4.0,5.0,7.0,6.0
Venezuela,1993,Flow,5.0,5.0,7.0,6.0
Venezuela,1993,Hands,4.0,4.0,8.0,4.0
Venezuela,1993,Helm,5.0,4.0,6.0,6.0
Venezuela,1993,Lore,5.0,6.0,5.0,6.0
Venezuela,1993,Shield,3.0,5.0,7.0,4.0
Venezuela,1993,Stewards,4.0,5.0,7.0,6.0
Venezuela,1994,Archive,2.0,2.0,9.0,4.0
