Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Egypt,1900,Archive,8,8,3,8,17.0,2.684
Egypt,1900,Craft,6,5,4,6,10.0,2.185
Egypt,1900,Flow,7,7,4,7,13.5,2.462
Egypt,1900,Hands,5,7,6,4,8.0,1.821
Egypt,1900,Helm,4,6,5,6,8.0,1.945
Egypt,1900,Lore,6,5,5,5,8.5,2.022
Egypt,1900,Shield,7,7,4,6,13.0,2.356
Egypt,1900,Stewards,7,8,4,7,14.5,2.462
Egypt,1901,Helm,4,6,5,6,8.0,1.945
Egypt,1901,Shield,7,7,4,6,13.0,2.356
Egypt,1901,Lore,6,5,5,5,8.5,2.022
Egypt,1901,Stewards,7,8,4,7,14.5,2.462
Egypt,1901,Craft,6,5,4,6,10.0,2.185
Egypt,1901,Hands,5,7,6,4,8.0,1.821
Egypt,1901,Archive,8,8,3,8,17.0,2.684
Egypt,1901,Flow,7,7,4,7,13.5,2.462
Egypt,1902,Helm,4,6,5,6,8.0,1.961
Egypt,1902,Shield,7,7,4,6,13.0,2.378
Egypt,1902,Lore,6,5,5,5,8.5,2.043
Egypt,1902,Stewards,8,9,4,7,16.5,2.512
Egypt,1902,Craft,6,6,4,6,11.0,2.214
Egypt,1902,Hands,5,8,6,4,9.0,1.854
Egypt,1902,Archive,8,8,3,8,17.0,2.695
Egypt,1902,Flow,8,8,4,7,15.5,2.543
Egypt,1903,Helm,4,6,5,6,8.0,1.965
Egypt,1903,Shield,7,7,4,6,13.0,2.382
Egypt,1903,Lore,6,5,5,5,8.5,2.051
Egypt,1903,Stewards,8,9,4,7,16.5,2.522
Egypt,1903,Craft,6,6,4,6,11.0,2.228
Egypt,1903,Hands,5,8,6,4,9.0,1.865
Egypt,1903,Archive,8,8,3,8,17.0,2.712
Egypt,1903,Flow,8,8,4,7,15.5,2.561
Egypt,1904,Helm,6,7,4,7,12.5,2.342
Egypt,1904,Shield,7,7,4,6,13.0,2.412
Egypt,1904,Lore,6,5,5,6,8.5,2.124
Egypt,1904,Stewards,8,9,4,7,16.5,2.565
Egypt,1904,Craft,6,6,4,6,11.0,2.254
Egypt,1904,Hands,5,8,6,4,9.0,1.887
Egypt,1904,Archive,8,9,3,8,18.0,2.784
Egypt,1904,Flow,8,8,4,7,15.5,2.612
Egypt,1905,Helm,6,7,4,7,12.5,2.365
Egypt,1905,Shield,7,7,4,6,13.0,2.432
Egypt,1905,Lore,6,6,5,6,10.0,2.156
Egypt,1905,Stewards,8,9,4,7,16.5,2.587
Egypt,1905,Craft,6,6,4,7,11.5,2.284
Egypt,1905,Hands,5,8,5,4,10.0,2.012
Egypt,1905,Archive,8,9,3,8,18.0,2.812
Egypt,1905,Flow,8,8,4,7,15.5,2.643
Egypt,1906,Helm,5,6,6,7,8.5,1.984
Egypt,1906,Shield,6,7,7,6,10.0,1.852
Egypt,1906,Lore,8,7,6,7,12.5,2.234
Egypt,1906,Stewards,7,8,5,7,13.5,2.214
Egypt,1906,Craft,6,6,5,7,10.5,2.112
Egypt,1906,Hands,7,7,7,4,9.0,1.743
Egypt,1906,Archive,8,9,3,8,18.0,2.743
Egypt,1906,Flow,7,7,5,7,13.5,2.212
Egypt,1907,Helm,3,5,6,6,5.0,1.723
Egypt,1907,Shield,6,6,6,6,9.0,1.843
Egypt,1907,Lore,8,7,6,7,12.5,2.154
Egypt,1907,Stewards,6,6,8,7,7.5,1.654
Egypt,1907,Craft,6,5,6,7,8.5,1.821
Egypt,1907,Hands,6,6,7,4,7.0,1.684
Egypt,1907,Archive,8,8,4,8,16.0,2.456
Egypt,1907,Flow,5,6,8,7,7.5,1.543
Egypt,1908,Helm,4,5,5,6,7.0,1.821
Egypt,1908,Shield,6,6,5,6,10.0,2.054
Egypt,1908,Lore,7,6,6,7,10.5,2.143
Egypt,1908,Stewards,6,6,7,7,8.5,1.756
Egypt,1908,Craft,6,6,5,7,10.5,2.112
Egypt,1908,Hands,5,6,6,4,7.0,1.723
Egypt,1908,Archive,8,8,4,8,16.0,2.543
Egypt,1908,Flow,6,6,6,7,9.5,1.887
Egypt,1909,Helm,4,5,6,6,6.0,1.654
Egypt,1909,Shield,6,6,6,6,9.0,1.843
Egypt,1909,Lore,7,6,7,7,9.5,1.882
Egypt,1909,Stewards,6,7,6,7,10.5,1.954
Egypt,1909,Craft,6,6,5,7,10.5,2.124
Egypt,1909,Hands,5,6,6,4,7.0,1.745
Egypt,1909,Archive,8,8,4,8,16.0,2.565
Egypt,1909,Flow,7,7,5,7,12.5,2.214
Egypt,1910,Helm,3,4,8,6,2.0,1.256
Egypt,1910,Shield,5,6,8,6,6.0,1.432
Egypt,1910,Lore,8,6,8,7,9.5,1.654
Egypt,1910,Stewards,6,7,6,7,10.5,1.987
Egypt,1910,Craft,7,6,7,7,9.5,1.843
Egypt,1910,Hands,5,7,7,4,7.0,1.612
Egypt,1910,Archive,8,8,4,8,16.0,2.587
Egypt,1910,Flow,7,7,5,7,12.5,2.234
Egypt,1911,Helm,6,7,5,7,11.5,2.312
Egypt,1911,Shield,8,8,4,6,15.0,2.654
Egypt,1911,Lore,6,5,7,7,7.5,1.643
Egypt,1911,Stewards,7,8,5,7,13.5,2.234
Egypt,1911,Craft,6,6,6,7,9.5,1.854
Egypt,1911,Hands,6,7,5,4,10.0,2.043
Egypt,1911,Archive,8,9,3,8,18.0,2.843
Egypt,1911,Flow,7,8,4,7,14.5,2.456
Egypt,1912,Helm,7,8,4,7,14.5,2.564
Egypt,1912,Shield,8,8,4,6,15.0,2.678
Egypt,1912,Lore,5,5,6,7,7.5,1.821
Egypt,1912,Stewards,8,8,4,7,15.5,2.587
