Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Germany,1880,Archive,9,9,2,8,20.0,3.345
Germany,1880,Craft,8,8,3,7,16.5,2.980
Germany,1880,Flow,7,8,4,7,14.5,2.712
Germany,1880,Hands,5,7,6,5,8.5,1.954
Germany,1880,Helm,7,8,4,8,15.0,2.856
Germany,1880,Lore,6,9,5,10,15.0,2.684
Germany,1880,Shield,9,9,3,9,19.5,3.290
Germany,1880,Stewards,6,8,4,7,13.5,2.541
Germany,1881,Helm,6,8,5,8,13.0,2.684
Germany,1881,Shield,9,9,3,9,19.5,3.245
Germany,1881,Lore,6,9,5,10,15.0,2.610
Germany,1881,Stewards,6,8,4,7,13.5,2.541
Germany,1881,Craft,8,8,3,7,16.5,2.980
Germany,1881,Hands,4,7,6,5,7.5,1.854
Germany,1881,Archive,9,9,2,8,20.0,3.345
Germany,1881,Flow,7,7,4,7,13.5,2.540
Germany,1882,Helm,7,8,4,8,15.0,2.856
Germany,1882,Shield,9,9,3,9,19.5,3.290
Germany,1882,Lore,6,9,5,10,15.0,2.684
Germany,1882,Stewards,6,8,4,7,13.5,2.541
Germany,1882,Craft,8,8,3,7,16.5,2.980
Germany,1882,Hands,4,7,6,5,7.5,1.854
Germany,1882,Archive,9,9,2,9,20.5,3.420
Germany,1882,Flow,7,8,4,7,14.5,2.712
Germany,1883,Helm,7,8,4,9,15.5,2.910
Germany,1883,Shield,9,9,3,9,19.5,3.290
Germany,1883,Lore,6,9,5,10,15.0,2.684
Germany,1883,Stewards,7,8,4,7,14.5,2.712
Germany,1883,Craft,8,8,3,8,17.0,3.050
Germany,1883,Hands,5,7,5,5,9.5,2.122
Germany,1883,Archive,9,10,2,9,21.5,3.512
Germany,1883,Flow,7,8,4,7,14.5,2.712
Germany,1884,Helm,7,9,5,9,15.5,2.845
Germany,1884,Shield,9,9,4,9,18.5,3.120
Germany,1884,Lore,6,9,5,10,15.0,2.684
Germany,1884,Stewards,7,8,4,8,15.0,2.780
Germany,1884,Craft,8,8,3,8,17.0,3.050
Germany,1884,Hands,5,7,5,6,10.0,2.245
Germany,1884,Archive,9,10,2,10,22.0,3.610
Germany,1884,Flow,8,8,4,8,16.0,2.945
Germany,1885,Helm,7,9,4,9,16.5,2.980
Germany,1885,Shield,9,9,4,9,18.5,3.120
Germany,1885,Lore,6,9,5,10,15.0,2.684
Germany,1885,Stewards,7,9,4,8,16.0,3.010
Germany,1885,Craft,8,8,3,8,17.0,3.050
Germany,1885,Hands,5,7,5,6,10.0,2.245
Germany,1885,Archive,10,10,2,10,23.0,3.812
Germany,1885,Flow,8,9,4,8,17.0,3.140
Germany,1886,Helm,7,9,4,9,16.5,2.980
Germany,1886,Shield,9,9,3,9,19.5,3.290
Germany,1886,Lore,6,9,5,10,15.0,2.684
Germany,1886,Stewards,7,9,4,8,16.0,3.010
Germany,1886,Craft,8,8,3,8,17.0,3.050
Germany,1886,Hands,5,7,5,6,10.0,2.245
Germany,1886,Archive,10,10,2,10,23.0,3.812
Germany,1886,Flow,8,9,4,8,17.0,3.140
Germany,1887,Helm,7,9,4,9,16.5,2.980
Germany,1887,Shield,9,9,4,9,18.5,3.120
Germany,1887,Lore,6,9,5,10,15.0,2.684
Germany,1887,Stewards,7,9,4,8,16.0,3.010
Germany,1887,Craft,8,8,3,8,17.0,3.050
Germany,1887,Hands,5,7,5,6,10.0,2.245
Germany,1887,Archive,10,10,2,10,23.0,3.812
Germany,1887,Flow,8,9,4,8,17.0,3.140
Germany,1888,Helm,4,7,7,7,7.5,1.750
Germany,1888,Shield,9,9,4,9,18.5,3.120
Germany,1888,Lore,6,9,5,10,15.0,2.684
Germany,1888,Stewards,7,9,4,8,16.0,3.010
Germany,1888,Craft,8,8,3,8,17.0,3.050
Germany,1888,Hands,5,7,5,6,10.0,2.245
Germany,1888,Archive,9,10,3,10,21.0,3.320
Germany,1888,Flow,8,9,4,8,17.0,3.140
Germany,1889,Helm,6,8,5,8,13.0,2.540
Germany,1889,Shield,9,9,3,9,19.5,3.290
Germany,1889,Lore,6,9,5,10,15.0,2.684
Germany,1889,Stewards,7,9,4,8,16.0,3.010
Germany,1889,Craft,8,8,3,8,17.0,3.050
Germany,1889,Hands,4,7,7,6,7.0,1.680
Germany,1889,Archive,10,10,2,10,23.0,3.812
Germany,1889,Flow,8,9,4,8,17.0,3.140
Germany,1890,Helm,4,6,8,7,5.5,1.420
Germany,1890,Shield,9,9,3,9,19.5,3.290
Germany,1890,Lore,6,9,5,10,15.0,2.684
Germany,1890,Stewards,7,9,4,8,16.0,3.010
Germany,1890,Craft,8,9,3,8,18.0,3.220
Germany,1890,Hands,6,7,5,6,11.0,2.410
Germany,1890,Archive,10,10,2,10,23.0,3.812
Germany,1890,Flow,8,9,4,8,17.0,3.140
Germany,1891,Helm,5,7,6,7,9.5,2.150
Germany,1891,Shield,9,9,3,9,19.5,3.290
Germany,1891,Lore,6,9,5,10,15.0,2.684
Germany,1891,Stewards,7,9,4,8,16.0,3.010
Germany,1891,Craft,8,9,3,8,18.0,3.220
Germany,1891,Hands,6,7,5,6,11.0,2.410
Germany,1891,Archive,10,10,2,10,23.0,3.812
Germany,1891,Flow,8,9,4,8,17.0,3.140
Germany,1892,Helm,5,7,6,7,9.5,2.150
Germany,1892,Shield,9,9,3,9,19.5,3.290
Germany,1892,Lore,6,9,5,10,15.0,2.684
Germany,1892,Stewards,7,9,4,8,16.0,3.010
Germany,1892,Craft,8,9,3,8,18.0,3.220
Germany,1892,Hands,6,7,5,6,11.0,2.410
Germany,1892,Archive,10,10,2,10,23.0,3.812
Germany,1892,Flow,8,9,4,8,17.0,3.140
Germany,1893,Helm,5,7,6,7,9.5,2.150
Germany,1893,Shield,9,10,3,9,20.5,3.480
Germany,1893,Lore,6,9,5,10,15.0,2.684
Germany,1893,Stewards,7,9,4,8,16.0,3.010
Germany,1893,Craft,8,9,3,8,18.0,3.220
Germany,1893,Hands,6,7,5,6,11.0,2.410
Germany,1893,Archive,10,10,2,10,23.0,3.812
Germany,1893,Flow,8,9,4,8,17.0,3.140
Germany,1894,Helm,4,7,7,7,7.5,1.750
Germany,1894,Shield,9,10,3,9,20.5,3.480
Germany,1894,Lore,6,9,5,10,15.0,2.684
Germany,1894,Stewards,7,9,4,8,16.0,3.010
Germany,1894,Craft,8,9,3,8,18.0,3.220
Germany,1894,Hands,6,7,5,6,11.0,2.410
Germany,1894,Archive,10,10,2,10,23.0,3.812
Germany,1894,Flow,8,9,4,8,17.0,3.140
Germany,1895,Helm,5,7,6,7,9.5,2.150
Germany,1895,Shield,9,10,3,9,20.5,3.480
Germany,1895,Lore,7,10,5,10,17.0,2.940
Germany,1895,Stewards,8,9,3,8,18.0,3.220
Germany,1895,Craft,8,9,3,9,18.5,3.310
Germany,1895,Hands,6,7,5,6,11.0,2.410
Germany,1895,Archive,10,10,2,10,23.0,3.812
Germany,1895,Flow,9,9,3,9,19.5,3.380
Germany,1886,Helm,7,9,4,9,16.5,2.980
Germany,1886,Shield,9,9,3,9,19.5,3.290
Germany,1886,Lore,6,9,5,10,15.0,2.684
Germany,1886,Stewards,7,9,4,8,16.0,3.010
Germany,1886,Craft,8,8,3,8,17.0,3.050
Germany,1886,Hands,5,7,5,6,10.0,2.245
Germany,1886,Archive,10,10,2,10,23.0,3.812
Germany,1886,Flow,8,9,4,8,17.0,3.140
Germany,1887,Helm,7,9,4,9,16.5,2.980
Germany,1887,Shield,9,9,4,9,18.5,3.120
Germany,1887,Lore,6,9,5,10,15.0,2.684
Germany,1887,Stewards,7,9,4,8,16.0,3.010
Germany,1887,Craft,8,8,3,8,17.0,3.050
Germany,1887,Hands,5,7,5,6,10.0,2.245
Germany,1887,Archive,10,10,2,10,23.0,3.812
Germany,1887,Flow,8,9,4,8,17.0,3.140
Germany,1888,Helm,4,7,7,7,7.5,1.750
Germany,1888,Shield,9,9,4,9,18.5,3.120
Germany,1888,Lore,6,9,5,10,15.0,2.684
Germany,1888,Stewards,7,9,4,8,16.0,3.010
Germany,1888,Craft,8,8,3,8,17.0,3.050
Germany,1888,Hands,5,7,5,6,10.0,2.245
Germany,1888,Archive,9,10,3,10,21.0,3.320
Germany,1888,Flow,8,9,4,8,17.0,3.140
Germany,1889,Helm,6,8,5,8,13.0,2.540
Germany,1889,Shield,9,9,3,9,19.5,3.290
Germany,1889,Lore,6,9,5,10,15.0,2.684
Germany,1889,Stewards,7,9,4,8,16.0,3.010
Germany,1889,Craft,8,8,3,8,17.0,3.050
Germany,1889,Hands,4,7,7,6,7.0,1.680
Germany,1889,Archive,10,10,2,10,23.0,3.812
Germany,1889,Flow,8,9,4,8,17.0,3.140
Germany,1890,Helm,4,6,8,7,5.5,1.420
Germany,1890,Shield,9,9,3,9,19.5,3.290
Germany,1890,Lore,6,9,5,10,15.0,2.684
Germany,1890,Stewards,7,9,4,8,16.0,3.010
Germany,1890,Craft,8,9,3,8,18.0,3.220
Germany,1890,Hands,6,7,5,6,11.0,2.410
Germany,1890,Archive,10,10,2,10,23.0,3.812
Germany,1890,Flow,8,9,4,8,17.0,3.140
Germany,1891,Helm,5,7,6,7,9.5,2.150
Germany,1891,Shield,9,9,3,9,19.5,3.290
Germany,1891,Lore,6,9,5,10,15.0,2.684
Germany,1891,Stewards,7,9,4,8,16.0,3.010
Germany,1891,Craft,8,9,3,8,18.0,3.220
Germany,1891,Hands,6,7,5,6,11.0,2.410
Germany,1891,Archive,10,10,2,10,23.0,3.812
Germany,1891,Flow,8,9,4,8,17.0,3.140
Germany,1892,Helm,5,7,6,7,9.5,2.150
Germany,1892,Shield,9,9,3,9,19.5,3.290
Germany,1892,Lore,6,9,5,10,15.0,2.684
Germany,1892,Stewards,7,9,4,8,16.0,3.010
Germany,1892,Craft,8,9,3,8,18.0,3.220
Germany,1892,Hands,6,7,5,6,11.0,2.410
Germany,1892,Archive,10,10,2,10,23.0,3.812
Germany,1892,Flow,8,9,4,8,17.0,3.140
Germany,1893,Helm,5,7,6,7,9.5,2.150
Germany,1893,Shield,9,10,3,9,20.5,3.480
Germany,1893,Lore,6,9,5,10,15.0,2.684
Germany,1893,Stewards,7,9,4,8,16.0,3.010
Germany,1893,Craft,8,9,3,8,18.0,3.220
Germany,1893,Hands,6,7,5,6,11.0,2.410
Germany,1893,Archive,10,10,2,10,23.0,3.812
Germany,1893,Flow,8,9,4,8,17.0,3.140
Germany,1894,Helm,4,7,7,7,7.5,1.750
Germany,1894,Shield,9,10,3,9,20.5,3.480
Germany,1894,Lore,6,9,5,10,15.0,2.684
Germany,1894,Stewards,7,9,4,8,16.0,3.010
Germany,1894,Craft,8,9,3,8,18.0,3.220
Germany,1894,Hands,6,7,5,6,11.0,2.410
Germany,1894,Archive,10,10,2,10,23.0,3.812
Germany,1894,Flow,8,9,4,8,17.0,3.140
Germany,1895,Helm,5,7,6,7,9.5,2.150
Germany,1895,Shield,9,10,3,9,20.5,3.480
Germany,1895,Lore,7,10,5,10,17.0,2.940
Germany,1895,Stewards,8,9,3,8,18.0,3.220
Germany,1895,Craft,8,9,3,9,18.5,3.310
Germany,1895,Hands,6,7,5,6,11.0,2.410
Germany,1895,Archive,10,10,2,10,23.0,3.812
Germany,1895,Flow,9,9,3,9,19.5,3.380
Germany,1896,Helm,5,7,6,7,9.5,2.150
Germany,1896,Shield,9,10,3,9,20.5,3.480
Germany,1896,Lore,7,10,5,10,17.0,2.940
