Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Germany,1880,Helm,8,8,5,8,15.0,2.743
Germany,1880,Shield,9,9,3,7,20.5,2.914
Germany,1880,Lore,6,7,6,9,11.5,2.629
Germany,1880,Stewards,7,8,4,8,15.0,2.800
Germany,1880,Craft,7,8,4,9,15.5,2.829
Germany,1880,Hands,6,7,6,6,9.0,2.486
Germany,1880,Archive,8,8,4,8,16.0,2.800
Germany,1880,Flow,7,8,5,8,14.0,2.686
Germany,1881,Helm,8,8,5,8,15.0,2.743
Germany,1881,Shield,9,9,3,7,20.5,2.914
Germany,1881,Lore,6,7,6,9,11.5,2.629
Germany,1881,Stewards,7,8,4,8,15.0,2.800
Germany,1881,Craft,7,8,4,9,15.5,2.829
Germany,1881,Hands,6,7,6,6,9.0,2.486
Germany,1881,Archive,8,8,4,8,16.0,2.800
Germany,1881,Flow,7,8,5,8,14.0,2.686
Germany,1882,Helm,8,8,5,8,15.0,2.743
Germany,1882,Shield,9,9,3,7,20.5,2.914
Germany,1882,Lore,6,7,5,9,12.5,2.714
Germany,1882,Stewards,7,8,4,8,15.0,2.800
Germany,1882,Craft,8,8,4,9,16.0,2.886
Germany,1882,Hands,6,7,6,6,9.0,2.486
Germany,1882,Archive,8,8,4,8,16.0,2.800
Germany,1882,Flow,7,8,5,8,14.0,2.686
Germany,1883,Helm,8,8,5,8,15.0,2.743
Germany,1883,Shield,9,9,3,7,20.5,2.914
Germany,1883,Lore,7,7,5,9,13.5,2.800
Germany,1883,Stewards,7,8,4,8,15.0,2.800
Germany,1883,Craft,8,8,4,9,16.0,2.886
Germany,1883,Hands,5,7,7,6,7.0,2.371
Germany,1883,Archive,8,8,4,8,16.0,2.800
Germany,1883,Flow,7,8,5,8,14.0,2.686
Germany,1884,Helm,8,8,5,8,15.0,2.743
Germany,1884,Shield,9,9,3,7,20.5,2.914
Germany,1884,Lore,7,7,5,9,13.5,2.800
