Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Israel,1950,Archive,6,4,7,5,5.5,2.314
Israel,1950,Army,8,5,8,4,5.0,2.456
Israel,1950,Craft,5,5,7,5,4.5,2.123
Israel,1950,Executive,7,6,8,6,6.0,2.389
Israel,1950,Flow,4,4,9,3,1.5,1.789
Israel,1950,Hands,4,4,9,4,1.0,1.856
Israel,1950,Lore,5,5,7,6,3.0,2.201
Israel,1950,Stewards,5,5,8,4,2.0,2.067
Israel,1951,Archive,6,5,7,5,5.5,2.345
Israel,1951,Army,8,6,7,5,6.5,2.567
Israel,1951,Craft,5,5,8,5,3.5,2.123
Israel,1951,Executive,7,6,7,6,6.5,2.456
Israel,1951,Flow,4,4,8,3,1.5,1.856
Israel,1951,Hands,4,4,8,4,2.0,1.923
Israel,1951,Lore,5,5,7,6,3.5,2.201
Israel,1951,Stewards,5,5,7,4,3.0,2.067
Israel,1952,Archive,7,5,6,5,6.5,2.456
Israel,1952,Army,8,6,7,5,6.5,2.389
Israel,1952,Craft,5,6,7,5,4.5,2.201
Israel,1952,Executive,6,6,8,6,4.0,2.123
Israel,1952,Flow,4,5,7,3,3.0,1.923
Israel,1952,Hands,4,4,8,4,2.0,1.856
Israel,1952,Lore,5,5,6,6,4.5,2.234
Israel,1952,Stewards,5,5,7,4,3.0,2.012
Israel,1953,Archive,7,6,5,6,7.5,2.678
Israel,1953,Army,7,7,8,6,5.0,2.234
Israel,1953,Craft,6,6,6,5,5.5,2.389
Israel,1953,Executive,6,6,7,6,5.0,2.345
Israel,1953,Flow,5,6,6,4,4.5,2.123
Israel,1953,Hands,5,5,7,4,3.0,2.067
Israel,1953,Lore,6,6,6,7,5.0,2.456
Israel,1953,Stewards,6,6,6,5,4.5,2.201
Israel,1954,Archive,7,6,6,6,6.5,2.512
Israel,1954,Army,7,7,8,6,4.5,2.123
Israel,1954,Craft,6,7,5,6,7.0,2.456
Israel,1954,Executive,5,6,9,6,2.0,1.789
Israel,1954,Flow,5,7,5,4,5.0,2.201
Israel,1954,Hands,5,6,6,5,4.5,2.123
Israel,1954,Lore,6,7,6,7,6.0,2.389
Israel,1954,Stewards,6,6,6,5,4.5,2.234
Israel,1955,Archive,8,7,5,7,8.5,2.789
Israel,1955,Army,8,8,7,7,7.5,2.678
Israel,1955,Craft,7,7,5,6,7.0,2.567
Israel,1955,Executive,8,7,6,7,8.0,2.789
Israel,1955,Flow,6,8,4,5,7.5,2.345
Israel,1955,Hands,6,6,5,5,5.5,2.234
Israel,1955,Lore,7,7,5,8,7.5,2.678
Israel,1955,Stewards,7,7,5,6,6.5,2.456
Israel,1956,Archive,8,7,6,7,7.5,2.623
Israel,1956,Army,9,9,8,8,9.0,2.945
Israel,1956,Craft,7,7,7,6,5.5,2.345
Israel,1956,Executive,8,8,8,8,7.0,2.567
Israel,1956,Flow,5,6,9,5,2.5,1.856
Israel,1956,Hands,6,6,8,5,3.5,2.012
Israel,1956,Lore,7,7,7,8,6.0,2.456
Israel,1956,Stewards,7,7,7,6,5.5,2.234
Israel,1957,Archive,8,8,5,8,9.0,3.012
Israel,1957,Army,9,9,6,8,10.0,3.245
Israel,1957,Craft,8,8,5,7,8.5,2.987
Israel,1957,Executive,8,8,5,8,9.0,3.112
Israel,1957,Flow,6,7,7,5,6.5,2.456
Israel,1957,Hands,7,7,6,5,7.0,2.678
Israel,1957,Lore,8,8,5,8,9.0,3.089
Israel,1957,Stewards,8,8,5,6,8.0,2.912
Israel,1958,Archive,9,9,4,8,10.0,3.456
Israel,1958,Army,9,9,4,8,10.0,3.567
Israel,1958,Craft,8,9,4,7,9.5,3.321
Israel,1958,Executive,9,9,4,8,10.0,3.678
Israel,1958,Flow,7,8,5,6,8.0,2.789
Israel,1958,Hands,7,8,5,6,8.0,2.912
Israel,1958,Lore,8,9,4,9,9.5,3.412
Israel,1958,Stewards,8,9,4,7,9.0,3.234
Israel,1959,Archive,9,9,4,9,10.0,3.512
Israel,1959,Army,9,9,4,8,10.0,3.489
Israel,1959,Craft,9,9,4,7,9.5,3.412
Israel,1959,Executive,9,9,4,8,10.0,3.567
Israel,1959,Flow,7,8,5,6,8.0,2.834
Israel,1959,Hands,8,8,5,6,8.5,3.012
Israel,1959,Lore,9,9,4,9,10.0,3.678
Israel,1959,Stewards,9,9,4,7,9.5,3.389
Israel,1960,Archive,10,10,3,10,11.0,3.912
Israel,1960,Army,9,9,5,8,9.5,3.456
Israel,1960,Craft,9,9,4,8,9.5,3.512
Israel,1960,Executive,9,9,4,9,10.0,3.789
Israel,1960,Flow,7,8,6,6,7.5,2.678
Israel,1960,Hands,8,8,5,6,8.5,3.089
Israel,1960,Lore,9,10,4,10,10.5,3.834
Israel,1960,Stewards,9,9,4,8,9.5,3.567
Israel,1961,Archive,8,9,6,9,8.5,2.912
Israel,1961,Army,9,9,5,8,9.5,3.234
Israel,1961,Craft,8,8,6,7,7.5,2.789
Israel,1961,Executive,5,7,9,7,4.5,1.956
Israel,1961,Flow,6,7,7,5,6.0,2.234
Israel,1961,Hands,7,7,7,5,6.5,2.456
Israel,1961,Lore,8,9,6,9,8.5,3.012
Israel,1961,Stewards,7,8,7,6,6.5,2.567
Israel,1962,Archive,9,9,5,9,9.5,3.321
