Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Japan,1850,Army,7,6,4,3,10.5,3.772654012654012
Japan,1850,Executive,7,6,5,4,10.0,3.618429189857761
Japan,1850,Merchants / Shopkeepers,5,5,5,4,7.0,3.2725465011179296
Japan,1850,Priesthood / Knowledge Workers,6,5,5,5,8.5,3.560782075067789
Japan,1850,Proletariat,4,4,7,2,2.0,2.484897959183673
Japan,1850,Property Owners,6,7,4,3,10.5,3.5899167499167497
Japan,1850,State Memory,7,6,4,5,11.5,4.016303696303696
Japan,1850,Trades / Professions,5,5,6,4,6.0,3.0451282051282047
Japan,1851,Army,6,6,5,3,9.5,3.588079633079633
Japan,1851,Executive,6,5,6,4,7.0,3.278912778912779
Japan,1851,Merchants / Shopkeepers,5,5,5,4,7.0,3.2796914596914596
Japan,1851,Priesthood / Knowledge Workers,6,5,5,5,8.5,3.5684768384768383
Japan,1851,Proletariat,4,4,7,2,2.0,2.484897959183673
Japan,1851,Property Owners,5,7,5,3,9.5,3.3276633276633277
Japan,1851,State Memory,6,6,5,5,9.5,3.8219412119412118
Japan,1851,Trades / Professions,5,5,6,4,6.0,3.0451282051282047
Japan,1852,Army,6,6,5,3,9.5,3.588079633079633
Japan,1852,Executive,5,5,7,4,5.0,2.915720765720766
Japan,1852,Merchants / Shopkeepers,5,5,6,4,6.0,3.0451282051282047
Japan,1852,Priesthood / Knowledge Workers,6,5,5,5,8.5,3.5684768384768383
Japan,1852,Proletariat,4,4,7,2,2.0,2.484897959183673
Japan,1852,Property Owners,5,7,5,3,9.5,3.3276633276633277
Japan,1852,State Memory,6,6,5,5,9.5,3.8219412119412118
Japan,1852,Trades / Professions,5,5,6,4,6.0,3.0451282051282047
Japan,1853,Army,5,5,7,4,5.0,2.915720765720766
Japan,1853,Executive,4,4,8,5,2.5,2.4764042857142854
Japan,1853,Merchants / Shopkeepers,4,5,7,5,4.5,2.802102802102802
Japan,1853,Priesthood / Knowledge Workers,5,5,6,6,7.0,3.161428571428571
Japan,1853,Proletariat,3,3,8,2,-2.0,1.9333333333333333
Japan,1853,Property Owners,4,6,7,4,5.0,2.8333333333333335
Japan,1853,State Memory,5,5,7,6,6.0,3.2081632653061225
Japan,1853,Trades / Professions,4,5,7,5,4.5,2.802102802102802
Japan,1854,Army,5,5,7,4,5.0,2.915720765720766
Japan,1854,Executive,4,4,8,5,2.5,2.4764042857142854
Japan,1854,Merchants / Shopkeepers,4,5,7,5,4.5,2.802102802102802
Japan,1854,Priesthood / Knowledge Workers,5,5,6,6,7.0,3.161428571428571
Japan,1854,Proletariat,3,3,8,2,-2.0,1.9333333333333333
Japan,1854,Property Owners,4,6,7,4,5.0,2.8333333333333335
Japan,1854,State Memory,5,5,7,6,6.0,3.2081632653061225
Japan,1854,Trades / Professions,4,5,7,5,4.5,2.802102802102802
Japan,1855,Army,4,4,8,5,2.5,2.4764042857142854
Japan,1855,Executive,3,3,9,6,-0.0,1.9333333333333333
Japan,1855,Merchants / Shopkeepers,3,4,8,6,2.0,2.3095238095238093
Japan,1855,Priesthood / Knowledge Workers,4,4,7,7,4.5,2.802102802102802
Japan,1855,Proletariat,2,2,9,3,-0.5,1.488095238095238
Japan,1855,Property Owners,3,5,8,5,2.5,2.3833333333333333
Japan,1855,State Memory,4,4,8,7,3.5,2.8959183673469386
Japan,1855,Trades / Professions,3,4,8,6,2.0,2.3095238095238093
Japan,1856,Army,4,4,8,5,2.5,2.4764042857142854
Japan,1856,Executive,3,3,9,6,-0.0,1.9333333333333333
Japan,1856,Merchants / Shopkeepers,3,4,8,6,2.0,2.3095238095238093
Japan,1856,Priesthood / Knowledge Workers,4,4,7,7,4.5,2.802102802102802
Japan,1856,Proletariat,2,2,9,3,-0.5,1.488095238095238
Japan,1856,Property Owners,3,5,8,5,2.5,2.3833333333333333
Japan,1856,State Memory,4,4,8,7,3.5,2.8959183673469386
Japan,1856,Trades / Professions,3,4,8,6,2.0,2.3095238095238093
Japan,1857,Army,3,4,9,6,1.0,2.1587301587301584
Japan,1857,Executive,2,3,9,7,0.5,1.875
Japan,1857,Merchants / Shopkeepers,3,4,8,7,2.5,2.4047619047619047
Japan,1857,Priesthood / Knowledge Workers,4,4,7,8,5.0,2.909090909090909
Japan,1857,Proletariat,2,2,9,4,0.0,1.5873015873015872
Japan,1857,Property Owners,3,5,8,6,3.0,2.4764042857142854
Japan,1857,State Memory,4,4,8,8,4.0,3.0
Japan,1857,Trades / Professions,3,4,8,7,2.5,2.4047619047619047
Japan,1858,Army,3,3,9,7,0.5,1.875
Japan,1858,Executive,2,2,9,8,-0.0,1.8015873015873016
Japan,1858,Merchants / Shopkeepers,3,4,8,8,3.0,2.5
Japan,1858,Priesthood / Knowledge Workers,4,4,8,8,4.0,2.8015873015873016
Japan,1858,Proletariat,2,2,9,5,0.5,1.6865079365079365
Japan,1858,Property Owners,2,4,9,7,0.5,2.0476190476190474
Japan,1858,State Memory,4,4,8,9,4.5,3.099206349206349
Japan,1858,Trades / Professions,3,4,8,8,3.0,2.5
Japan,1859,Army,2,3,9,8,0.0,1.8015873015873016
Japan,1859,Executive,1,2,10,8,-2.0,1.55
Japan,1859,Merchants / Shopkeepers,2,3,9,9,0.5,2.1
Japan,1859,Priesthood / Knowledge Workers,3,3,9,9,1.5,2.3
Japan,1859,Proletariat,1,2,10,6,-2.0,1.3857142857142857
Japan,1859,Property Owners,1,3,10,8,-1.0,1.6666666666666667
Japan,1859,State Memory,3,3,9,10,2.0,2.6
Japan,1859,Trades / Professions,2,3,9,9,0.5,2.1
Japan,1860,Army,2,2,10,8,-2.0,1.55
Japan,1860,Executive,1,1,10,9,-3.5,1.4
Japan,1860,Merchants / Shopkeepers,2,3,9,10,1.0,2.2
Japan,1860,Priesthood / Knowledge Workers,3,3,9,10,2.0,2.4
Japan,1860,Proletariat,1,1,10,7,-2.5,1.25
Japan,1860,Property Owners,1,2,10,9,-2.5,1.5
Japan,1860,State Memory,2,3,10,10,0.0,2.2
Japan,1860,Trades / Professions,2,3,9,10,1.0,2.2
Japan,1861,Army,1,2,10,9,-2.5,1.5
Japan,1861,Executive,1,1,10,10,-3.0,1.4
Japan,1861,Merchants / Shopkeepers,2,2,10,10, -1.0,1.8
Japan,1861,Priesthood / Knowledge Workers,2,3,10,10,0.0,2.0
Japan,1861,Proletariat,1,1,10,8,-2.0,1.3857142857142857
Japan,1861,Property Owners,1,1,10,10,-3.0,1.5
Japan,1861,State Memory,2,2,10,10,-1.0,2.0
Japan,1861,Trades / Professions,2,2,10,10,-1.0,1.8
Japan,1862,Army,1,1,10,10,-3.0,1.4
Japan,1862,Executive,1,1,10,10,-3.0,1.4
Japan,1862,Merchants / Shopkeepers,1,2,10,10,-2.0,1.5
Japan,1862,Priesthood / Knowledge Workers,2,2,10,10,-1.0,1.8
Japan,1862,Proletariat,1,1,10,9,-2.5,1.25
Japan,1862,Property Owners,1,1,10,10,-3.0,1.5
Japan,1862,State Memory,1,2,10,10,-2.0,1.8
Japan,1862,Trades / Professions,1,2,10,10,-2.0,1.5
Japan,1863,Army,1,1,10,10,-3.0,1.4
Japan,1863,Executive,1,1,10,10,-3.0,1.4
Japan,1863,Merchants / Shopkeepers,1,1,10,10,-3.0,1.4
Japan,1863,Priesthood / Knowledge Workers,1,2,10,10,-2.0,1.5
Japan,1863,Proletariat,1,1,10,10,-3.0,1.1428571428571428
Japan,1863,Property Owners,1,1,10,10,-3.0,1.4
Japan,1863,State Memory,1,1,10,10,-3.0,1.4
Japan,1863,Trades / Professions,1,1,10,10,-3.0,1.4
Japan,1864,Army,1,1,10,10,-3.0,1.4
Japan,1864,Executive,1,1,10,10,-3.0,1.4
Japan,1864,Merchants / Shopkeepers,1,1,10,10,-3.0,1.4
Japan,1864,Priesthood / Knowledge Workers,1,1,10,10,-3.0,1.4
Japan,1864,Proletariat,1,1,10,10,-3.0,1.1428571428571428
Japan,1864,Property Owners,1,1,10,10,-3.0,1.4
Japan,1864,State Memory,1,1,10,10,-3.0,1.4
Japan,1864,Trades / Professions,1,1,10,10,-3.0,1.4
Japan,1865,Army,1,1,10,10,-3.0,1.4
Japan,1865,Executive,1,1,10,10,-3.0,1.4
Japan,1865,Merchants / Shopkeepers,1,1,10,10,-3.0,1.4
Japan,1865,Priesthood / Knowledge Workers,1,1,10,10,-3.0,1.4
Japan,1865,Proletariat,1,1,10,10,-3.0,1.1428571428571428
Japan,1865,Property Owners,1,1,10,10,-3.0,1.4
Japan,1865,State Memory,1,1,10,10,-3.0,1.4
Japan,1865,Trades / Professions,1,1,10,10,-3.0,1.4
Japan,1876,Army,9,9,2,8,20.0,6.438095238095238
Japan,1876,Executive,9,9,2,9,20.5,6.549206349206349
Japan,1876,Merchants / Shopkeepers,9,9,2,9,20.5,6.549206349206349
