Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Markerxcxa,1900,Archive,6.0,7.0,4.0,6.0,9.0,1.408
Markerxcxa,1900,Craft,5.0,5.0,7.0,5.0,5.5,0.923
Markerxcxa,1900,Flow,5.0,4.0,8.0,5.0,3.5,0.778
Markerxcxa,1900,Hands,5.0,3.0,7.0,2.0,1.0,0.902
Markerxcxa,1900,Helm,2.0,2.0,10.0,3.0,-4.5,0.49
Markerxcxa,1900,Lore,3.0,4.0,9.0,3.0,0.5,0.638
Markerxcxa,1900,Shield,3.0,4.0,9.0,4.0,0.0,0.612
Markerxcxa,1900,Stewards,4.0,5.0,8.0,4.0,3.0,0.739
Markerxcxa,1901,Archive,6.0,7.0,5.0,7.0,11.5,1.761
Markerxcxa,1901,Craft,7.0,6.0,5.0,7.0,11.5,1.765
Markerxcxa,1901,Flow,7.0,6.0,6.0,7.0,10.5,1.488
Markerxcxa,1901,Hands,5.0,4.0,7.0,3.0,3.5,1.056
Markerxcxa,1901,Helm,2.0,3.0,9.0,3.0,-2.5,0.569
Markerxcxa,1901,Lore,5.0,7.0,6.0,8.0,10.0,1.464
Markerxcxa,1901,Shield,3.0,4.0,9.0,4.0,0.0,0.617
Markerxcxa,1901,Stewards,5.0,6.0,6.0,5.0,7.5,1.357
Markerxcxa,1902,Archive,6.0,7.0,5.0,7.0,11.5,1.905
Markerxcxa,1902,Craft,7.0,6.0,5.0,7.0,11.5,1.907
Markerxcxa,1902,Flow,7.0,6.0,6.0,7.0,10.5,1.604
Markerxcxa,1902,Hands,5.0,4.0,7.0,3.0,3.5,1.144
Markerxcxa,1902,Helm,3.0,3.0,8.0,4.0,1.0,0.767
Markerxcxa,1902,Lore,5.0,7.0,6.0,8.0,10.0,1.579
Markerxcxa,1902,Shield,3.0,4.0,9.0,4.0,0.0,0.64
Markerxcxa,1902,Stewards,5.0,6.0,6.0,5.0,7.5,1.472
Markerxcxa,1903,Archive,6.0,7.0,5.0,7.0,11.5,1.956
Markerxcxa,1903,Craft,7.0,6.0,5.0,7.0,11.5,1.956
Markerxcxa,1903,Flow,7.0,6.0,6.0,7.0,10.5,1.65
Markerxcxa,1903,Hands,5.0,4.0,7.0,3.0,3.5,1.139
Markerxcxa,1903,Helm,3.0,3.0,8.0,4.0,1.0,0.887
Markerxcxa,1903,Lore,4.0,5.0,7.0,7.0,5.5,1.258
Markerxcxa,1903,Shield,5.0,5.0,7.0,5.0,5.5,1.139
Markerxcxa,1903,Stewards,5.0,6.0,6.0,5.0,7.5,1.547
Markerxcxa,1904,Archive,6.0,7.0,5.0,7.0,11.5,2.016
Markerxcxa,1904,Craft,7.0,6.0,5.0,7.0,11.5,2.012
Markerxcxa,1904,Flow,7.0,6.0,6.0,7.0,10.5,1.7
Markerxcxa,1904,Hands,5.0,4.0,7.0,3.0,3.5,1.196
Markerxcxa,1904,Helm,3.0,3.0,8.0,4.0,1.0,0.941
Markerxcxa,1904,Lore,5.0,6.0,7.0,8.0,8.0,1.503
Markerxcxa,1904,Shield,5.0,6.0,7.0,6.0,7.0,1.24
Markerxcxa,1904,Stewards,5.0,6.0,6.0,5.0,7.5,1.597
Markerxcxa,1905,Archive,6.0,7.0,5.0,7.0,11.5,1.953
Markerxcxa,1905,Craft,7.0,6.0,5.0,7.0,11.5,1.953
Markerxcxa,1905,Flow,7.0,6.0,6.0,7.0,10.5,1.637
Markerxcxa,1905,Hands,5.0,4.0,7.0,3.0,3.5,1.127
