Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Markerxcxax,1880,Archive,7,7,3,7,14.5,2.714
Markerxcxax,1880,Craft,5,5,4,5,8.5,2.152
Markerxcxax,1880,Flow,6,6,5,6,10.0,2.189
Markerxcxax,1880,Hands,4,6,6,3,5.5,1.642
Markerxcxax,1880,Helm,5,5,5,5,7.5,1.954
Markerxcxax,1880,Lore,7,6,4,6,12.0,2.548
Markerxcxax,1880,Shield,4,5,4,5,7.5,1.986
Markerxcxax,1880,Stewards,6,6,4,5,10.5,2.321
Markerxcxax,1881,Helm,5,5,4,5,8.5,2.021
Markerxcxax,1881,Shield,4,5,3,5,8.5,2.134
Markerxcxax,1881,Lore,7,6,4,6,12.0,2.548
Markerxcxax,1881,Stewards,6,6,4,5,10.5,2.321
Markerxcxax,1881,Craft,5,5,4,5,8.5,2.152
Markerxcxax,1881,Hands,4,6,5,3,6.5,1.723
Markerxcxax,1881,Archive,7,7,3,7,14.5,2.714
Markerxcxax,1881,Flow,6,6,4,6,11.0,2.345
Markerxcxax,1882,Helm,5,5,4,5,8.5,2.021
Markerxcxax,1882,Shield,4,5,3,5,8.5,2.134
Markerxcxax,1882,Lore,7,6,4,6,12.0,2.548
Markerxcxax,1882,Stewards,6,6,4,5,10.5,2.321
Markerxcxax,1882,Craft,5,5,4,5,8.5,2.152
Markerxcxax,1882,Hands,4,6,5,3,6.5,1.723
Markerxcxax,1882,Archive,7,7,3,7,14.5,2.714
Markerxcxax,1882,Flow,6,6,4,6,11.0,2.345
Markerxcxax,1883,Helm,5,5,5,5,7.5,1.854
Markerxcxax,1883,Shield,4,5,5,5,6.5,1.723
Markerxcxax,1883,Lore,7,6,4,6,12.0,2.548
Markerxcxax,1883,Stewards,6,6,4,6,11.0,2.452
Markerxcxax,1883,Craft,5,5,4,6,9.0,2.214
Markerxcxax,1883,Hands,4,6,5,3,6.5,1.723
Markerxcxax,1883,Archive,7,7,3,7,14.5,2.714
Markerxcxax,1883,Flow,6,6,4,6,11.0,2.345
Markerxcxax,1884,Helm,4,5,8,5,3.5,1.354
Markerxcxax,1884,Shield,3,5,9,6,2.0,1.212
Markerxcxax,1884,Lore,7,6,5,6,11.0,2.212
Markerxcxax,1884,Stewards,5,6,6,6,8.0,1.876
Markerxcxax,1884,Craft,5,5,5,5,7.5,1.934
Markerxcxax,1884,Hands,4,6,6,3,5.5,1.642
Markerxcxax,1884,Archive,7,7,4,7,13.5,2.456
Markerxcxax,1884,Flow,6,6,6,7,10.0,1.987
Markerxcxax,1885,Helm,4,5,7,5,4.5,1.543
Markerxcxax,1885,Shield,3,5,8,6,3.0,1.421
Markerxcxax,1885,Lore,7,6,5,6,11.0,2.212
Markerxcxax,1885,Stewards,5,6,6,6,8.0,1.876
Markerxcxax,1885,Craft,5,5,5,5,7.5,1.934
Markerxcxax,1885,Hands,4,6,6,3,5.5,1.642
Markerxcxax,1885,Archive,7,7,4,7,13.5,2.456
Markerxcxax,1885,Flow,6,6,5,7,10.5,2.109
Markerxcxax,1886,Helm,5,5,5,5,7.5,1.854
Markerxcxax,1886,Shield,4,6,5,6,9.0,2.012
Markerxcxax,1886,Lore,7,6,4,6,12.0,2.548
Markerxcxax,1886,Stewards,6,6,4,6,11.0,2.452
Markerxcxax,1886,Craft,5,5,4,6,9.0,2.214
Markerxcxax,1886,Hands,4,6,5,3,6.5,1.723
Markerxcxax,1886,Archive,7,7,3,7,14.5,2.714
Markerxcxax,1886,Flow,6,6,4,6,11.0,2.345
Markerxcxax,1887,Helm,5,5,4,5,8.5,2.021
Markerxcxax,1887,Shield,4,6,4,6,10.0,2.143
Markerxcxax,1887,Lore,7,6,4,6,12.0,2.548
Markerxcxax,1887,Stewards,6,7,4,6,12.0,2.452
Markerxcxax,1887,Craft,6,5,4,6,10.0,2.187
Markerxcxax,1887,Hands,4,6,5,3,6.5,1.723
Markerxcxax,1887,Archive,7,7,3,7,14.5,2.714
Markerxcxax,1887,Flow,6,7,4,6,12.0,2.451
Markerxcxax,1888,Helm,5,6,4,6,10.0,2.145
Markerxcxax,1888,Shield,5,8,3,7,13.5,2.456
Markerxcxax,1888,Lore,7,6,4,6,12.0,2.548
Markerxcxax,1888,Stewards,6,7,4,6,12.0,2.452
Markerxcxax,1888,Craft,6,6,4,6,11.0,2.287
Markerxcxax,1888,Hands,4,6,5,3,6.5,1.723
Markerxcxax,1888,Archive,7,7,3,7,14.5,2.714
Markerxcxax,1888,Flow,6,7,4,7,12.5,2.512
Markerxcxax,1889,Helm,5,6,5,6,9.0,1.945
Markerxcxax,1889,Shield,5,8,4,7,12.5,2.212
Markerxcxax,1889,Lore,7,6,4,6,12.0,2.548
Markerxcxax,1889,Stewards,6,7,4,6,12.0,2.452
Markerxcxax,1889,Craft,6,6,4,6,11.0,2.287
Markerxcxax,1889,Hands,4,6,5,3,6.5,1.723
Markerxcxax,1889,Archive,7,7,3,7,14.5,2.714
Markerxcxax,1889,Flow,6,7,5,7,11.5,2.256
Markerxcxax,1890,Helm,5,6,5,6,9.0,1.945
Markerxcxax,1890,Shield,5,7,5,6,10.0,1.987
Markerxcxax,1890,Lore,7,6,4,6,12.0,2.548
Markerxcxax,1890,Stewards,6,7,5,6,11.0,2.142
Markerxcxax,1890,Craft,6,6,4,6,11.0,2.287
Markerxcxax,1890,Hands,4,6,5,3,6.5,1.723
Markerxcxax,1890,Archive,7,7,3,7,14.5,2.714
Markerxcxax,1890,Flow,6,7,5,7,11.5,2.256
Markerxcxax,1891,Helm,5,6,4,6,10.0,2.145
Markerxcxax,1891,Shield,5,7,4,6,11.0,2.231
Markerxcxax,1891,Lore,7,6,4,6,12.0,2.548
Markerxcxax,1891,Stewards,6,7,4,6,12.0,2.412
Markerxcxax,1891,Craft,6,6,4,6,11.0,2.287
Markerxcxax,1891,Hands,4,6,5,3,6.5,1.723
Markerxcxax,1891,Archive,7,7,3,7,14.5,2.714
Markerxcxax,1891,Flow,6,7,5,7,11.5,2.256
Markerxcxax,1892,Helm,5,5,5,6,8.0,1.945
Markerxcxax,1892,Shield,5,7,5,6,10.0,1.987
Markerxcxax,1892,Lore,7,6,4,6,12.0,2.548
Markerxcxax,1892,Stewards,6,7,5,6,11.0,2.142
Markerxcxax,1892,Craft,6,6,4,6,11.0,2.287
Markerxcxax,1892,Hands,4,6,5,3,6.5,1.723
Markerxcxax,1892,Archive,7,7,3,7,14.5,2.714
Markerxcxax,1892,Flow,6,7,5,7,11.5,2.256
Markerxcxax,1893,Helm,5,5,5,6,8.0,1.945
Markerxcxax,1893,Shield,5,7,5,6,10.0,1.987
Markerxcxax,1893,Lore,7,6,4,6,12.0,2.548
Markerxcxax,1893,Stewards,6,7,5,6,11.0,2.142
Markerxcxax,1893,Craft,6,6,4,6,11.0,2.287
Markerxcxax,1893,Hands,4,6,6,3,5.5,1.642
Markerxcxax,1893,Archive,7,7,3,7,14.5,2.714
Markerxcxax,1893,Flow,6,7,5,7,11.5,2.256
Markerxcxax,1894,Helm,4,4,8,6,3.0,1.354
Markerxcxax,1894,Shield,3,4,9,5,0.5,1.121
Markerxcxax,1894,Lore,7,6,5,6,11.0,2.212
Markerxcxax,1894,Stewards,5,6,6,6,8.0,1.876
Markerxcxax,1894,Craft,5,5,5,5,7.5,1.934
Markerxcxax,1894,Hands,4,6,7,3,4.5,1.423
Markerxcxax,1894,Archive,7,7,4,7,13.5,2.456
Markerxcxax,1894,Flow,5,6,7,7,7.5,1.789
Markerxcxax,1895,Helm,3,3,9,5,-0.5,1.054
Markerxcxax,1895,Shield,2,2,10,4,-4.0,0.843
Markerxcxax,1895,Lore,6,5,7,6,7.0,1.743
Markerxcxax,1895,Stewards,4,5,8,6,4.0,1.321
Markerxcxax,1895,Craft,4,4,7,5,3.5,1.456
Markerxcxax,1895,Hands,3,5,9,3,0.5,1.012
Markerxcxax,1895,Archive,7,6,5,7,11.5,2.234
Markerxcxax,1895,Flow,4,5,8,6,4.0,1.345
Markerxcxax,1896,Helm,4,4,7,5,4.5,1.543
Markerxcxax,1896,Shield,3,3,8,4,0.0,1.212
Markerxcxax,1896,Lore,6,5,6,6,8.0,1.954
Markerxcxax,1896,Stewards,5,5,7,6,6.0,1.654
Markerxcxax,1896,Craft,5,5,6,5,6.5,1.723
Markerxcxax,1896,Hands,4,5,7,3,3.5,1.456
Markerxcxax,1896,Archive,7,6,4,7,12.5,2.543
Markerxcxax,1896,Flow,5,6,7,7,7.5,1.789
Markerxcxax,1897,Helm,4,4,7,5,4.5,1.543
Markerxcxax,1897,Shield,3,4,7,4,2.0,1.345
Markerxcxax,1897,Lore,6,5,6,6,8.0,1.954
Markerxcxax,1897,Stewards,5,6,7,6,7.0,1.712
Markerxcxax,1897,Craft,5,5,6,5,6.5,1.723
Markerxcxax,1897,Hands,4,5,8,3,2.5,1.234
Markerxcxax,1897,Archive,7,6,4,7,12.5,2.543
Markerxcxax,1897,Flow,5,6,7,7,7.5,1.789
Markerxcxax,1898,Helm,3,4,8,8,3.0,1.421
Markerxcxax,1898,Shield,4,4,7,5,3.5,1.543
Markerxcxax,1898,Lore,5,5,7,7,6.5,1.612
Markerxcxax,1898,Stewards,5,6,7,6,7.0,1.712
Markerxcxax,1898,Craft,5,5,6,6,7.0,1.876
Markerxcxax,1898,Hands,4,5,8,3,2.5,1.234
Markerxcxax,1898,Archive,7,6,5,8,12.0,2.345
Markerxcxax,1898,Flow,5,6,7,7,7.5,1.789
Markerxcxax,1899,Helm,4,4,7,5,4.5,1.543
Markerxcxax,1899,Shield,4,4,7,5,3.5,1.543
Markerxcxax,1899,Lore,6,5,7,6,7.0,1.743
Markerxcxax,1899,Stewards,5,6,7,6,7.0,1.712
Markerxcxax,1899,Craft,5,5,7,5,5.5,1.567
Markerxcxax,1899,Hands,3,5,9,3,0.5,1.012
Markerxcxax,1899,Archive,7,6,5,7,11.5,2.234
Markerxcxax,1899,Flow,5,6,8,7,6.5,1.543
Markerxcxax,1900,Helm,2,2,10,5,-3.5,0.743
Markerxcxax,1900,Shield,2,2,10,4,-4.0,0.712
Markerxcxax,1900,Lore,4,4,9,5,2.5,1.054
Markerxcxax,1900,Stewards,3,4,9,5,0.5,0.987
Markerxcxax,1900,Craft,3,4,9,4,-1.0,0.856
Markerxcxax,1900,Hands,2,4,10,3,-2.5,0.643
Markerxcxax,1900,Archive,6,5,7,7,10.5,1.845
Markerxcxax,1900,Flow,3,4,9,6,1.0,1.021
Markerxcxax,1902,Helm,4,4,7,5,4.5,1.543
Markerxcxax,1902,Shield,3,3,7,5,1.5,1.342
Markerxcxax,1902,Lore,6,5,6,6,8.0,1.954
Markerxcxax,1902,Stewards,5,5,6,6,7.0,1.876
Markerxcxax,1902,Craft,5,5,6,5,6.5,1.723
Markerxcxax,1902,Hands,3,5,8,3,2.5,1.154
Markerxcxax,1902,Archive,7,6,5,7,11.5,2.234
Markerxcxax,1902,Flow,4,5,7,6,5.0,1.512
Markerxcxax,1903,Helm,4,4,6,5,5.5,1.721
Markerxcxax,1903,Shield,4,4,6,5,5.5,1.721
Markerxcxax,1903,Lore,6,5,6,6,8.0,1.954
Markerxcxax,1903,Stewards,5,5,6,6,7.0,1.876
Markerxcxax,1903,Craft,5,5,5,5,7.5,1.934
Markerxcxax,1903,Hands,3,5,7,3,3.5,1.345
Markerxcxax,1903,Archive,7,6,5,7,11.5,2.234
Markerxcxax,1903,Flow,4,6,6,6,7.0,1.876
Markerxcxax,1904,Helm,5,5,5,6,8.0,1.945
Markerxcxax,1904,Shield,5,5,5,6,8.0,1.945
Markerxcxax,1904,Lore,6,5,5,7,9.5,2.154
Markerxcxax,1904,Stewards,6,6,5,6,10.0,2.189
Markerxcxax,1904,Craft,5,5,5,6,8.0,1.945
Markerxcxax,1904,Hands,3,5,7,3,3.5,1.345
Markerxcxax,1904,Archive,7,6,4,8,13.0,2.543
Markerxcxax,1904,Flow,5,6,6,7,9.5,2.012
Markerxcxax,1905,Helm,5,5,6,7,7.5,1.912
Markerxcxax,1905,Shield,6,6,4,7,11.5,2.456
Markerxcxax,1905,Lore,4,4,8,8,4.0,1.543
Markerxcxax,1905,Stewards,6,6,5,7,10.5,2.214
Markerxcxax,1905,Craft,6,6,5,7,10.5,2.214
