Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Saudi Arabia,1900,Archive,7,5,4,6,11.0,1.842
Saudi Arabia,1900,Craft,5,4,5,4,6.0,1.425
Saudi Arabia,1900,Flow,4,3,7,4,2.0,1.104
Saudi Arabia,1900,Hands,5,4,7,3,3.5,1.089
Saudi Arabia,1900,Helm,6,3,7,5,4.5,1.215
Saudi Arabia,1900,Lore,8,6,4,6,13.0,1.956
Saudi Arabia,1900,Shield,5,3,8,4,2.0,0.985
Saudi Arabia,1900,Stewards,4,3,6,4,3.0,1.154
Saudi Arabia,1901,Helm,6,3,7,5,4.5,1.215
Saudi Arabia,1901,Shield,5,3,8,4,2.0,0.985
Saudi Arabia,1901,Lore,8,6,4,6,13.0,1.956
Saudi Arabia,1901,Stewards,4,3,6,4,3.0,1.154
Saudi Arabia,1901,Craft,5,4,5,4,6.0,1.425
Saudi Arabia,1901,Hands,5,4,7,3,3.5,1.089
Saudi Arabia,1901,Archive,7,5,4,6,11.0,1.842
Saudi Arabia,1901,Flow,4,3,7,4,2.0,1.104
Saudi Arabia,1902,Helm,8,5,6,6,10.0,1.684
Saudi Arabia,1902,Shield,7,5,7,5,7.5,1.452
Saudi Arabia,1902,Lore,8,7,4,6,14.0,2.123
Saudi Arabia,1902,Stewards,5,4,6,4,5.0,1.356
Saudi Arabia,1902,Craft,5,4,5,4,6.0,1.425
Saudi Arabia,1902,Hands,6,5,6,3,6.5,1.487
Saudi Arabia,1902,Archive,7,5,4,6,11.0,1.842
Saudi Arabia,1902,Flow,5,4,6,4,5.0,1.389
Saudi Arabia,1903,Helm,7,5,6,6,9.0,1.554
Saudi Arabia,1903,Shield,7,5,7,5,7.5,1.452
Saudi Arabia,1903,Lore,8,7,4,6,14.0,2.123
Saudi Arabia,1903,Stewards,6,5,5,5,8.5,1.765
Saudi Arabia,1903,Craft,5,4,5,4,6.0,1.425
Saudi Arabia,1903,Hands,6,5,6,3,6.5,1.487
Saudi Arabia,1903,Archive,7,5,4,6,11.0,1.842
Saudi Arabia,1903,Flow,6,5,6,4,7.0,1.558
Saudi Arabia,1904,Helm,7,6,7,6,9.0,1.521
Saudi Arabia,1904,Shield,7,6,8,5,7.5,1.412
Saudi Arabia,1904,Lore,8,7,4,6,14.0,2.123
Saudi Arabia,1904,Stewards,6,5,6,5,7.5,1.623
Saudi Arabia,1904,Craft,5,4,5,4,6.0,1.425
Saudi Arabia,1904,Hands,6,5,7,3,5.5,1.345
Saudi Arabia,1904,Archive,7,6,4,6,12.0,1.954
Saudi Arabia,1904,Flow,5,4,7,4,4.0,1.245
Saudi Arabia,1905,Helm,7,6,6,6,10.0,1.654
Saudi Arabia,1905,Shield,7,6,7,5,8.5,1.543
Saudi Arabia,1905,Lore,8,7,4,6,14.0,2.123
Saudi Arabia,1905,Stewards,7,6,5,5,10.5,1.987
Saudi Arabia,1905,Craft,5,4,5,4,6.0,1.425
Saudi Arabia,1905,Hands,6,5,6,3,6.5,1.487
Saudi Arabia,1905,Archive,7,6,4,6,12.0,1.954
Saudi Arabia,1905,Flow,6,5,6,4,7.0,1.558
Saudi Arabia,1906,Helm,8,7,5,6,13.0,1.984
Saudi Arabia,1906,Shield,8,7,6,5,11.5,1.845
Saudi Arabia,1906,Lore,8,7,4,6,14.0,2.123
Saudi Arabia,1906,Stewards,7,6,5,5,10.5,1.987
Saudi Arabia,1906,Craft,5,4,5,4,6.0,1.425
Saudi Arabia,1906,Hands,7,6,5,3,10.5,1.765
Saudi Arabia,1906,Archive,7,6,4,6,12.0,1.954
Saudi Arabia,1906,Flow,7,6,6,4,9.0,1.765
Saudi Arabia,1907,Helm,7,7,6,6,11.0,1.745
Saudi Arabia,1907,Shield,7,7,7,5,9.5,1.621
Saudi Arabia,1907,Lore,8,7,4,6,14.0,2.123
Saudi Arabia,1907,Stewards,7,6,6,5,9.5,1.842
Saudi Arabia,1907,Craft,6,5,5,4,8.0,1.654
Saudi Arabia,1907,Hands,7,6,6,3,8.5,1.589
Saudi Arabia,1907,Archive,8,7,4,6,14.0,2.214
Saudi Arabia,1907,Flow,6,5,7,4,6.0,1.412
Saudi Arabia,1908,Helm,8,7,5,6,13.0,1.984
Saudi Arabia,1908,Shield,8,7,6,5,11.5,1.845
Saudi Arabia,1908,Lore,8,7,4,7,14.5,2.256
