Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Ukraine,1980,Archive,9,9,4,5,10.5,3.567
Ukraine,1980,Army,10,10,3,4,12.0,3.789
Ukraine,1980,Craft,8,9,6,6,8.0,3.123
Ukraine,1980,Executive,9,9,5,5,9.5,3.456
Ukraine,1980,Flow,4,3,9,3,0.5,1.789
Ukraine,1980,Hands,7,8,7,4,5.0,2.456
Ukraine,1980,Lore,6,7,6,7,5.5,2.789
Ukraine,1980,Stewards,2,3,8,2,-1.0,1.456
Ukraine,1981,Archive,9,9,4,5,10.5,3.567
Ukraine,1981,Army,10,10,3,4,12.0,3.789
Ukraine,1981,Craft,8,9,6,6,8.0,3.123
Ukraine,1981,Executive,9,9,5,5,9.5,3.456
Ukraine,1981,Flow,4,3,9,3,0.5,1.789
Ukraine,1981,Hands,7,8,7,4,5.0,2.456
Ukraine,1981,Lore,6,7,6,7,5.5,2.789
Ukraine,1981,Stewards,2,3,8,2,-1.0,1.456
Ukraine,1982,Archive,9,9,5,5,10.0,3.456
Ukraine,1982,Army,10,10,3,4,12.0,3.789
Ukraine,1982,Craft,7,8,7,5,6.5,2.789
Ukraine,1982,Executive,8,8,7,5,8.0,3.012
Ukraine,1982,Flow,3,3,10,2,0.0,1.567
Ukraine,1982,Hands,6,7,8,4,4.0,2.123
Ukraine,1982,Lore,6,7,7,6,4.5,2.567
Ukraine,1982,Stewards,2,3,9,2,-2.0,1.345
Ukraine,1983,Archive,9,9,5,6,10.0,3.456
Ukraine,1983,Army,10,10,3,4,11.5,3.789
Ukraine,1983,Craft,8,8,6,6,8.0,3.123
Ukraine,1983,Executive,9,9,6,6,9.0,3.234
Ukraine,1983,Flow,3,2,10,2,-0.5,1.456
Ukraine,1983,Hands,6,7,8,4,4.0,2.123
Ukraine,1983,Lore,7,8,6,7,6.5,2.912
Ukraine,1983,Stewards,2,3,9,2,-2.0,1.345
Ukraine,1984,Archive,8,8,7,5,8.5,3.012
Ukraine,1984,Army,10,10,3,4,11.5,3.789
Ukraine,1984,Craft,7,8,8,5,5.5,2.567
Ukraine,1984,Executive,7,7,9,4,6.0,2.456
Ukraine,1984,Flow,2,2,10,2,-1.0,1.345
Ukraine,1984,Hands,5,6,9,3,2.5,1.789
Ukraine,1984,Lore,6,7,8,6,3.5,2.234
Ukraine,1984,Stewards,2,2,10,1,-2.5,1.234
Ukraine,1985,Archive,8,8,7,6,8.5,3.012
Ukraine,1985,Army,10,10,4,4,11.0,3.678
Ukraine,1985,Craft,7,8,7,6,7.0,2.789
Ukraine,1985,Executive,8,8,7,7,8.0,3.012
Ukraine,1985,Flow,3,3,9,3,0.5,1.789
Ukraine,1985,Hands,6,7,8,5,5.0,2.234
Ukraine,1985,Lore,7,8,6,8,7.5,3.123
Ukraine,1985,Stewards,3,3,9,2,-1.0,1.567
Ukraine,1986,Archive,6,7,10,6,4.0,1.789
Ukraine,1986,Army,10,10,5,4,10.5,3.678
Ukraine,1986,Craft,6,7,9,5,3.5,1.678
Ukraine,1986,Executive,5,6,10,4,2.0,1.456
Ukraine,1986,Flow,2,2,10,2,-2.0,1.123
