Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Venezuela,1970,Archive,5,5,4,5,8.5,2.441
Venezuela,1970,Craft,6,6,4,6,11.0,2.695
Venezuela,1970,Flow,7,7,3,6,14.0,3.008
Venezuela,1970,Hands,7,5,4,4,10.0,2.583
Venezuela,1970,Helm,7,6,3,6,13.0,2.943
Venezuela,1970,Lore,5,6,4,6,10.0,2.464
Venezuela,1970,Shield,7,6,3,5,12.5,2.923
Venezuela,1970,Stewards,7,6,3,6,13.0,2.971
Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Venezuela,1971,Archive,5,5,4,5,8.5,2.380
Venezuela,1971,Craft,6,6,4,6,11.0,2.564
Venezuela,1971,Flow,7,7,3,6,14.0,2.943
Venezuela,1971,Hands,7,5,4,4,10.0,2.528
Venezuela,1971,Helm,7,6,3,6,13.0,2.943
Venezuela,1971,Lore,5,6,4,6,10.0,2.454
Venezuela,1971,Shield,7,6,3,5,12.5,2.863
Venezuela,1971,Stewards,7,6,3,6,13.0,2.943
Venezuela,1972,Archive,5,5,4,5,8.5,2.380
Venezuela,1972,Craft,6,6,4,6,11.0,2.564
Venezuela,1972,Flow,7,7,3,6,14.0,2.943
Venezuela,1972,Hands,7,5,4,4,10.0,2.528
Venezuela,1972,Helm,7,6,3,6,13.0,2.943
Venezuela,1972,Lore,5,6,4,6,10.0,2.454
Venezuela,1972,Shield,7,6,3,5,12.5,2.863
Venezuela,1972,Stewards,7,6,3,6,13.0,2.943
Venezuela,1973,Archive,6,6,4,5,10.5,2.920
Venezuela,1973,Craft,7,7,3,7,14.5,3.581
Venezuela,1973,Flow,8,8,2,7,17.5,4.179
Venezuela,1973,Hands,8,6,3,4,13.0,3.445
Venezuela,1973,Helm,8,7,3,6,15.0,3.626
Venezuela,1973,Lore,6,7,3,6,13.0,3.355
Venezuela,1973,Shield,8,7,2,6,16.0,4.080
Venezuela,1973,Stewards,7,7,2,6,15.0,3.932
Venezuela,1974,Archive,6,6,5,5,9.5,2.745
Venezuela,1974,Craft,7,7,3,7,14.5,3.750
Venezuela,1974,Flow,8,9,2,7,18.5,4.401
Venezuela,1974,Hands,8,7,2,5,15.5,4.196
Venezuela,1974,Helm,9,9,2,7,19.5,4.555
Venezuela,1974,Lore,7,8,3,7,15.5,3.750
Venezuela,1974,Shield,8,8,2,6,17.0,4.299
Venezuela,1974,Stewards,6,8,2,6,15.0,3.991
Venezuela,1975,Archive,5,6,5,5,8.5,2.562
Venezuela,1975,Craft,7,8,3,7,15.5,3.642
Venezuela,1975,Flow,8,9,2,7,18.5,4.261
Venezuela,1975,Hands,8,7,2,5,15.5,4.062
Venezuela,1975,Helm,8,9,2,7,18.5,4.261
Venezuela,1975,Lore,7,8,3,7,15.5,3.642
Venezuela,1975,Shield,8,9,2,6,18.0,4.161
Venezuela,1975,Stewards,6,7,3,6,13.0,3.414
Venezuela,1976,Archive,5,6,6,5,7.5,2.286
Venezuela,1976,Craft,7,8,3,7,15.5,3.515
Venezuela,1976,Flow,9,10,2,7,20.5,4.217
Venezuela,1976,Hands,8,7,3,5,14.5,3.472
Venezuela,1976,Helm,8,9,3,7,17.5,3.644
Venezuela,1976,Lore,7,8,3,7,15.5,3.515
Venezuela,1976,Shield,9,9,2,6,19.0,4.124
Venezuela,1976,Stewards,6,7,3,6,13.0,3.300
Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Venezuela,1977,Archive,5,5,6,5,6.5,2.029
Venezuela,1977,Craft,7,8,4,7,14.5,2.747
Venezuela,1977,Flow,8,9,4,7,16.5,2.850
Venezuela,1977,Hands,7,7,4,5,12.5,2.608
Venezuela,1977,Helm,7,8,4,7,14.5,2.747
Venezuela,1977,Lore,7,8,3,7,15.5,3.003
Venezuela,1977,Shield,8,8,3,6,16.0,3.040
Venezuela,1977,Stewards,6,7,4,6,12.0,2.574
Venezuela,1978,Archive,4,5,7,5,4.5,1.688
Venezuela,1978,Craft,7,8,4,7,14.5,2.562
Venezuela,1978,Flow,7,8,5,7,13.5,2.364
Venezuela,1978,Hands,7,7,4,5,12.5,2.431
Venezuela,1978,Helm,6,7,5,6,11.0,2.211
Venezuela,1978,Lore,7,8,3,7,15.5,2.785
Venezuela,1978,Shield,8,8,3,6,16.0,2.820
Venezuela,1978,Stewards,6,7,5,6,11.0,2.211
Venezuela,1979,Archive,4,4,6,5,4.5,1.678
Venezuela,1979,Craft,6,7,5,7,11.5,2.100
Venezuela,1979,Flow,6,7,5,6,11.0,2.042
Venezuela,1979,Hands,6,6,5,4,9.0,1.925
Venezuela,1979,Helm,6,6,5,6,10.0,2.042
Venezuela,1979,Lore,7,7,4,7,13.5,2.358
Venezuela,1979,Shield,8,8,3,6,16.0,2.577
Venezuela,1979,Stewards,5,6,6,6,8.0,1.816
Venezuela,1980,Archive,4,4,7,5,3.5,1.480
Venezuela,1980,Craft,6,7,5,7,11.5,1.974
Venezuela,1980,Flow,6,7,6,6,10.0,1.792
Venezuela,1980,Hands,6,6,5,4,9.0,1.808
Venezuela,1980,Helm,5,6,6,6,8.0,1.713
Venezuela,1980,Lore,6,7,4,7,12.5,2.117
Venezuela,1980,Shield,8,7,4,6,14.0,2.233
Venezuela,1980,Stewards,5,6,6,6,8.0,1.713
Venezuela,1981,Archive,4,4,7,5,3.5,1.480
Venezuela,1981,Craft,6,7,5,7,11.5,1.974
Venezuela,1981,Flow,6,7,6,6,10.0,1.792
Venezuela,1981,Hands,6,6,5,4,9.0,1.808
Venezuela,1981,Helm,5,6,6,6,8.0,1.713
Venezuela,1981,Lore,6,7,4,7,12.5,2.117
Venezuela,1981,Shield,8,7,4,6,14.0,2.233
Venezuela,1981,Stewards,5,6,6,6,8.0,1.713
Venezuela,1982,Archive,4,4,8,5,2.5,1.260
Venezuela,1982,Craft,6,6,6,7,9.5,1.659
Venezuela,1982,Flow,5,6,7,6,7.0,1.449
Venezuela,1982,Hands,6,5,6,4,7.0,1.515
Venezuela,1982,Helm,4,5,7,6,5.0,1.381
Venezuela,1982,Lore,6,7,5,7,11.5,1.762
Venezuela,1982,Shield,7,7,4,6,13.0,1.900
Venezuela,1982,Stewards,4,5,8,6,4.0,1.303
Venezuela,1983,Archive,5,4,9,5,2.5,1.112
Venezuela,1983,Craft,5,5,7,6,6.0,1.271
Venezuela,1983,Flow,4,4,9,5,1.5,1.056
Venezuela,1983,Hands,5,4,8,4,3.0,1.130
Venezuela,1983,Helm,5,5,9,5,3.5,1.112
Venezuela,1983,Lore,6,6,6,7,9.5,1.444
Venezuela,1983,Shield,7,7,5,5,11.5,1.498
Venezuela,1983,Stewards,4,4,9,5,1.5,1.056
Venezuela,1984,Archive,4,4,7,4,3.0,1.413
Venezuela,1984,Craft,6,6,6,6,9.0,1.763
Venezuela,1984,Flow,6,5,6,5,7.5,1.712
Venezuela,1984,Hands,7,5,6,4,8.0,1.738
Venezuela,1984,Helm,8,7,5,6,13.0,2.045
Venezuela,1984,Lore,6,6,5,6,10.0,1.884
Venezuela,1984,Shield,8,7,4,5,13.5,2.129
Venezuela,1984,Stewards,6,5,6,5,7.5,1.712
Venezuela,1985,Archive,3,4,8,4,1.0,1.290
Venezuela,1985,Craft,6,6,5,6,10.0,1.952
Venezuela,1985,Flow,6,6,5,5,9.5,1.896
Venezuela,1985,Hands,7,5,6,4,8.0,1.794
Venezuela,1985,Helm,8,7,4,6,14.0,2.276
Venezuela,1985,Lore,6,6,5,6,10.0,1.952
Venezuela,1985,Shield,8,7,4,5,13.5,2.217
Venezuela,1985,Stewards,6,6,5,5,9.5,1.896
Venezuela,1986,Archive,3,3,9,4,-1.0,1.039
Venezuela,1986,Craft,5,5,6,6,7.0,1.462
Venezuela,1986,Flow,5,5,7,5,5.5,1.337
Venezuela,1986,Hands,6,4,7,4,5.0,1.359
Venezuela,1986,Helm,7,5,7,6,8.0,1.514
Venezuela,1986,Lore,6,6,6,6,9.0,1.531
Venezuela,1986,Shield,7,6,5,5,10.5,1.646
Venezuela,1986,Stewards,5,5,7,5,5.5,1.337
Venezuela,1987,Archive,3,3,9,4,-1.0,0.968
Venezuela,1987,Craft,5,5,7,6,6.0,1.282
Venezuela,1987,Flow,4,4,8,5,2.5,1.118
Venezuela,1987,Hands,6,4,8,4,4.0,1.198
Venezuela,1987,Helm,7,5,8,5,6.5,1.297
Venezuela,1987,Lore,5,5,7,6,6.0,1.282
Venezuela,1987,Shield,7,6,5,5,10.5,1.513
Venezuela,1987,Stewards,5,4,8,5,3.5,1.178
Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Venezuela,1988,Archive,3,3,8,4,0.0,1.134
Venezuela,1988,Craft,5,5,6,6,7.0,1.510
Venezuela,1988,Flow,5,4,8,5,3.5,1.304
Venezuela,1988,Hands,6,4,7,4,5.0,1.402
Venezuela,1988,Helm,8,5,7,5,8.5,1.581
Venezuela,1988,Lore,6,6,6,6,9.0,1.580
Venezuela,1988,Shield,8,6,4,5,12.5,1.879
Venezuela,1988,Stewards,6,5,7,5,6.5,1.447
Venezuela,1989,Archive,3,3,9,4,-1.0,0.849
Venezuela,1989,Craft,4,4,9,6,2.0,0.969
Venezuela,1989,Flow,6,5,8,6,6.0,1.118
Venezuela,1989,Hands,2,3,10,4,-3.0,0.762
Venezuela,1989,Helm,6,7,10,7,6.5,1.061
Venezuela,1989,Lore,4,5,9,6,3.0,0.969
Venezuela,1989,Shield,6,6,9,4,5.0,1.003
Venezuela,1989,Stewards,5,5,8,6,5.0,1.065
Venezuela,1990,Archive,3,4,7,5,2.5,1.240
Venezuela,1990,Craft,5,6,6,6,8.0,1.511
Venezuela,1990,Flow,7,7,5,7,12.5,1.809
Venezuela,1990,Hands,3,4,8,4,1.0,1.125
Venezuela,1990,Helm,5,7,7,7,8.5,1.469
Venezuela,1990,Lore,4,6,6,7,7.5,1.487
Venezuela,1990,Shield,5,6,6,4,7.0,1.415
Venezuela,1990,Stewards,7,7,5,7,12.5,1.809
Venezuela,1991,Archive,3,4,7,5,2.5,1.221
Venezuela,1991,Craft,5,6,6,6,8.0,1.494
Venezuela,1991,Flow,7,8,4,7,14.5,1.910
Venezuela,1991,Hands,3,4,8,4,1.0,1.106
Venezuela,1991,Helm,4,7,7,7,7.5,1.383
Venezuela,1991,Lore,3,6,7,7,5.5,1.313
Venezuela,1991,Shield,4,6,7,4,5.0,1.244
Venezuela,1991,Stewards,7,8,4,7,14.5,1.910
Venezuela,1992,Archive,2,3,9,4,-2.0,0.752
Venezuela,1992,Craft,4,5,8,6,4.0,0.969
Venezuela,1992,Flow,5,6,8,6,6.0,1.023
Venezuela,1992,Hands,5,4,9,4,2.0,0.910
Venezuela,1992,Helm,3,5,10,6,1.0,0.837
Venezuela,1992,Lore,4,6,8,6,5.0,0.969
Venezuela,1992,Shield,2,4,10,4,-2.0,0.719
Venezuela,1992,Stewards,5,6,8,6,6.0,1.023
Venezuela,1993,Archive,3,3,8,4,0.0,0.980
Venezuela,1993,Craft,4,5,7,6,5.0,1.188
Venezuela,1993,Flow,5,5,7,6,6.0,1.253
Venezuela,1993,Hands,4,4,8,4,2.0,1.043
Venezuela,1993,Helm,5,4,6,6,6.0,1.324
Venezuela,1993,Lore,5,6,5,6,9.0,1.400
Venezuela,1993,Shield,3,5,7,4,3.0,1.036
Venezuela,1993,Stewards,4,5,7,6,5.0,1.188
Venezuela,1994,Archive,2,2,9,4,-3.0,0.770
Venezuela,1994,Craft,4,4,9,6,2.0,0.951
Venezuela,1994,Flow,3,3,10,5,-1.5,0.821
Venezuela,1994,Hands,4,3,9,4,0.0,0.878
Venezuela,1994,Helm,5,4,9,5,2.5,0.969
Venezuela,1994,Lore,5,5,6,5,6.5,1.118
Venezuela,1994,Shield,6,6,5,5,9.5,1.235
Venezuela,1994,Stewards,2,2,10,5,-3.5,0.769
Venezuela,1995,Archive,2,2,8,3,-2.5,0.825
Venezuela,1995,Craft,4,4,7,5,3.5,1.089
Venezuela,1995,Flow,4,3,8,5,1.5,1.032
Venezuela,1995,Hands,4,3,8,4,1.0,0.990
Venezuela,1995,Helm,5,3,7,4,3.0,1.111
Venezuela,1995,Lore,4,5,6,5,5.5,1.152
Venezuela,1995,Shield,6,6,4,5,10.5,1.437
Venezuela,1995,Stewards,3,3,8,5,0.5,0.970
Venezuela,1996,Archive,3,3,7,4,1.0,1.130
Venezuela,1996,Craft,5,5,7,6,6.0,1.356
Venezuela,1996,Flow,6,6,6,6,9.0,1.508
Venezuela,1996,Hands,3,3,9,4,-1.0,1.009
Venezuela,1996,Helm,6,5,7,5,6.5,1.379
Venezuela,1996,Lore,5,5,6,5,6.5,1.390
Venezuela,1996,Shield,6,6,4,5,10.5,1.648
Venezuela,1996,Stewards,5,6,6,6,8.0,1.438
Venezuela,1997,Archive,3,3,7,4,1.0,1.213
Venezuela,1997,Craft,5,6,6,6,8.0,1.550
Venezuela,1997,Flow,6,7,5,6,11.0,1.737
Venezuela,1997,Hands,4,4,7,4,3.0,1.285
Venezuela,1997,Helm,5,5,6,5,6.5,1.499
Venezuela,1997,Lore,5,5,5,5,7.5,1.603
Venezuela,1997,Shield,6,6,4,5,10.5,1.801
Venezuela,1997,Stewards,6,7,5,6,11.0,1.737
Venezuela,1998,Archive,2,2,8,3,-2.5,0.799
Venezuela,1998,Craft,4,4,8,5,2.5,0.997
Venezuela,1998,Flow,4,4,8,5,2.5,0.997
Venezuela,1998,Hands,8,7,5,5,12.5,1.431
Venezuela,1998,Helm,2,2,9,4,-3.0,0.797
Venezuela,1998,Lore,3,5,8,6,3.0,0.977
Venezuela,1998,Shield,5,6,6,5,7.5,1.170
Venezuela,1998,Stewards,3,4,9,5,0.5,0.892
Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Venezuela,1999,Archive,3,3,8,4,0.0,1.078
Venezuela,1999,Craft,4,4,7,5,3.5,1.258
Venezuela,1999,Flow,4,5,7,5,4.5,1.258
Venezuela,1999,Hands,8,6,4,4,12.0,1.781
Venezuela,1999,Helm,8,7,5,6,13.0,1.776
Venezuela,1999,Lore,3,6,7,6,5.0,1.235
Venezuela,1999,Shield,6,6,5,5,9.5,1.575
Venezuela,1999,Stewards,3,4,8,5,1.5,1.121
Venezuela,2000,Archive,4,4,6,4,4.0,1.411
Venezuela,2000,Craft,4,4,6,5,4.5,1.464
Venezuela,2000,Flow,5,6,5,6,9.0,1.710
Venezuela,2000,Hands,7,6,4,4,11.0,1.895
Venezuela,2000,Helm,8,7,4,6,14.0,2.100
Venezuela,2000,Lore,3,6,7,6,5.0,1.344
Venezuela,2000,Shield,6,6,4,5,10.5,1.866
Venezuela,2000,Stewards,3,4,7,5,2.5,1.295
Venezuela,2001,Archive,3,4,7,4,2.0,1.103
Venezuela,2001,Craft,4,4,7,5,3.5,1.212
Venezuela,2001,Flow,4,5,7,5,4.5,1.212
Venezuela,2001,Hands,7,6,5,4,10.0,1.529
Venezuela,2001,Helm,7,7,6,6,11.0,1.537
Venezuela,2001,Lore,3,6,8,6,4.0,1.126
Venezuela,2001,Shield,5,6,6,5,7.5,1.353
Venezuela,2001,Stewards,6,5,8,6,6.0,1.316
Venezuela,2002,Archive,2,2,9,3,-3.5,0.691
Venezuela,2002,Craft,3,3,8,5,0.5,0.849
Venezuela,2002,Flow,3,3,9,5,-0.5,0.812
Venezuela,2002,Hands,8,6,8,4,8.0,1.081
Venezuela,2002,Helm,4,4,9,5,1.5,0.864
Venezuela,2002,Lore,2,5,9,5,0.5,0.760
Venezuela,2002,Shield,2,4,10,4,-2.0,0.694
Venezuela,2002,Stewards,7,5,9,6,6.0,1.054
Venezuela,2003,Archive,4,3,8,3,0.5,0.977
Venezuela,2003,Craft,4,3,8,5,1.5,1.055
Venezuela,2003,Flow,3,2,9,4,-2.0,0.911
Venezuela,2003,Hands,7,5,7,4,7.0,1.252
Venezuela,2003,Helm,8,6,7,6,10.0,1.393
Venezuela,2003,Lore,3,5,8,5,2.5,0.997
Venezuela,2003,Shield,7,5,6,4,8.0,1.316
Venezuela,2003,Stewards,4,3,9,5,0.5,1.005
Venezuela,2004,Archive,5,5,5,4,7.0,1.857
Venezuela,2004,Craft,5,5,5,5,7.5,1.919
Venezuela,2004,Flow,6,7,4,5,11.5,2.185
Venezuela,2004,Hands,8,7,3,4,14.0,2.523
Venezuela,2004,Helm,9,8,3,6,17.0,2.767
Venezuela,2004,Lore,4,5,6,5,5.5,1.687
Venezuela,2004,Shield,8,7,3,5,14.5,2.593
Venezuela,2004,Stewards,3,4,7,5,2.5,1.485
Venezuela,2005,Archive,4,5,6,3,4.5,1.742
Venezuela,2005,Craft,5,6,4,5,9.5,2.358
Venezuela,2005,Flow,7,9,3,5,15.5,2.855
Venezuela,2005,Hands,9,8,2,4,17.0,3.350
Venezuela,2005,Helm,9,9,2,6,19.0,3.521
Venezuela,2005,Lore,5,6,5,5,8.5,2.143
Venezuela,2005,Shield,9,8,2,5,17.5,3.435
Venezuela,2005,Stewards,3,5,6,5,4.5,1.774
Venezuela,2006,Archive,4,5,6,3,4.5,1.742
Venezuela,2006,Craft,5,6,4,5,9.5,2.358
Venezuela,2006,Flow,7,9,3,5,15.5,2.855
Venezuela,2006,Hands,9,8,2,4,17.0,3.350
Venezuela,2006,Helm,9,9,2,6,19.0,3.521
Venezuela,2006,Lore,5,6,5,5,8.5,2.143
Venezuela,2006,Shield,9,8,2,5,17.5,3.435
Venezuela,2006,Stewards,3,5,6,5,4.5,1.774
Venezuela,2007,Archive,4,4,6,3,3.5,1.389
Venezuela,2007,Craft,5,5,5,5,7.5,1.692
Venezuela,2007,Flow,5,8,5,5,10.5,1.692
Venezuela,2007,Hands,7,7,4,4,12.0,1.942
Venezuela,2007,Helm,7,8,5,6,13.0,1.918
Venezuela,2007,Lore,4,5,7,5,4.5,1.398
Venezuela,2007,Shield,8,8,3,5,15.5,2.246
Venezuela,2007,Stewards,3,4,7,5,2.5,1.322
Venezuela,2008,Archive,4,4,6,3,3.5,1.448
Venezuela,2008,Craft,5,5,5,5,7.5,1.765
Venezuela,2008,Flow,5,7,6,5,8.5,1.639
Venezuela,2008,Hands,8,7,3,4,14.0,2.292
Venezuela,2008,Helm,8,8,4,6,15.0,2.243
Venezuela,2008,Lore,5,5,6,5,6.5,1.639
Venezuela,2008,Shield,8,8,3,5,15.5,2.356
Venezuela,2008,Stewards,2,3,8,5,-0.5,1.213
Venezuela,2009,Archive,3,3,8,3,-0.5,1.017
Venezuela,2009,Craft,4,4,6,5,4.5,1.326
Venezuela,2009,Flow,4,5,7,5,4.5,1.245
Venezuela,2009,Hands,6,5,5,4,8.0,1.520
Venezuela,2009,Helm,7,6,6,5,9.5,1.548
Venezuela,2009,Lore,4,5,6,5,5.5,1.326
Venezuela,2009,Shield,8,7,3,5,14.5,1.955
Venezuela,2009,Stewards,2,3,8,4,-1.0,0.994
Venezuela,2010,Archive,3,3,8,3,-0.5,1.017
Venezuela,2010,Craft,4,4,6,5,4.5,1.326
Venezuela,2010,Flow,4,5,7,5,4.5,1.245
Venezuela,2010,Hands,6,5,5,4,8.0,1.520
Venezuela,2010,Helm,7,6,6,5,9.5,1.548
Venezuela,2010,Lore,4,5,6,5,5.5,1.326
Venezuela,2010,Shield,8,7,3,5,14.5,1.955
Venezuela,2010,Stewards,2,3,8,4,-1.0,0.994
Venezuela,2011,Archive,3,3,7,3,0.5,1.158
Venezuela,2011,Craft,4,5,6,5,5.5,1.420
Venezuela,2011,Flow,5,6,6,5,7.5,1.497
Venezuela,2011,Hands,7,6,4,4,11.0,1.838
Venezuela,2011,Helm,7,6,5,5,10.5,1.768
Venezuela,2011,Lore,5,5,6,5,6.5,1.497
Venezuela,2011,Shield,8,7,3,5,14.5,2.120
Venezuela,2011,Stewards,2,3,8,4,-1.0,1.063
Venezuela,2012,Archive,3,3,8,3,-0.5,1.226
Venezuela,2012,Craft,5,6,5,5,8.5,1.832
Venezuela,2012,Flow,6,7,5,5,10.5,1.920
Venezuela,2012,Hands,8,7,3,4,14.0,2.403
Venezuela,2012,Helm,8,8,4,5,14.5,2.273
Venezuela,2012,Lore,6,6,5,5,9.5,1.920
Venezuela,2012,Shield,9,8,2,5,17.5,2.780
Venezuela,2012,Stewards,2,3,8,4,-1.0,1.202
Venezuela,2013,Archive,2,2,9,3,-3.5,0.816
Venezuela,2013,Craft,4,4,7,5,3.5,1.128
Venezuela,2013,Flow,4,5,8,5,3.5,1.068
Venezuela,2013,Hands,6,5,6,4,7.0,1.283
Venezuela,2013,Helm,6,5,7,4,6.0,1.214
