Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
AXX,1900,Army,7,7,3,6,13.0,2.971
AXX,1900,Executive,8,8,3,7,15.5,3.145
AXX,1900,Merchants / Shopkeepers,8,9,3,7,16.5,3.312
AXX,1900,Priesthood / Knowledge Workers,7,8,3,8,14.0,3.045
AXX,1900,Proletariat,7,8,4,6,13.0,2.971
AXX,1900,Property Owners,9,10,2,7,19.5,3.500
AXX,1900,State Memory,8,8,3,8,15.0,3.145
AXX,1900,Trades / Professions,8,9,3,7,16.5,3.312
AXX,1901,Army,7,7,3,6,13.0,2.971
AXX,1901,Executive,8,8,3,7,15.5,3.145
AXX,1901,Merchants / Shopkeepers,8,9,3,7,16.5,3.312
AXX,1901,Priesthood / Knowledge Workers,7,8,3,8,14.0,3.045
AXX,1901,Proletariat,7,8,4,6,13.0,2.971
AXX,1901,Property Owners,9,10,2,7,19.5,3.500
AXX,1901,State Memory,8,8,3,8,15.0,3.145
AXX,1901,Trades / Professions,8,9,3,7,16.5,3.312
AXX,1902,Army,7,7,3,6,13.0,2.971
AXX,1902,Executive,8,8,3,7,15.5,3.145
AXX,1902,Merchants / Shopkeepers,8,9,3,7,16.5,3.312
AXX,1902,Priesthood / Knowledge Workers,7,8,3,8,14.0,3.045
AXX,1902,Proletariat,7,8,4,6,13.0,2.971
AXX,1902,Property Owners,9,10,2,7,19.5,3.500
AXX,1902,State Memory,8,8,3,8,15.0,3.145
AXX,1902,Trades / Professions,8,9,3,7,16.5,3.312
AXX,1903,Army,7,7,3,6,13.0,2.971
AXX,1903,Executive,8,8,3,7,15.5,3.145
AXX,1903,Merchants / Shopkeepers,8,9,3,7,16.5,3.312
AXX,1903,Priesthood / Knowledge Workers,7,8,3,8,14.0,3.045
AXX,1903,Proletariat,7,8,4,6,13.0,2.971
AXX,1903,Property Owners,9,10,2,7,19.5,3.500
AXX,1903,State Memory,8,8,3,8,15.0,3.145
AXX,1903,Trades / Professions,8,9,3,7,16.5,3.312
AXX,1904,Army,7,7,3,6,13.0,2.971
AXX,1904,Executive,8,8,3,7,15.5,3.145
AXX,1904,Merchants / Shopkeepers,8,9,3,7,16.5,3.312
AXX,1904,Priesthood / Knowledge Workers,7,8,3,8,14.0,3.045
AXX,1904,Proletariat,7,8,4,6,13.0,2.971
AXX,1904,Property Owners,9,10,2,7,19.5,3.500
AXX,1904,State Memory,8,8,3,8,15.0,3.145
AXX,1904,Trades / Professions,8,9,3,7,16.5,3.312
AXX,1905,Army,7,7,3,6,13.0,2.971
AXX,1905,Executive,8,8,3,7,15.5,3.145
AXX,1905,Merchants / Shopkeepers,8,9,3,7,16.5,3.312
AXX,1905,Priesthood / Knowledge Workers,7,8,3,8,14.0,3.045
AXX,1905,Proletariat,7,8,4,6,13.0,2.971
AXX,1905,Property Owners,9,10,2,7,19.5,3.500
AXX,1905,State Memory,8,8,3,8,15.0,3.145
AXX,1905,Trades / Professions,8,9,3,7,16.5,3.312
AXX,1906,Army,7,7,3,6,13.0,2.971
AXX,1906,Executive,8,8,3,7,15.5,3.145
AXX,1906,Merchants / Shopkeepers,8,9,3,7,16.5,3.312
AXX,1906,Priesthood / Knowledge Workers,7,8,3,8,14.0,3.045
AXX,1906,Proletariat,7,8,4,6,13.0,2.971
AXX,1906,Property Owners,9,10,2,7,19.5,3.500
AXX,1906,State Memory,8,8,3,8,15.0,3.145
AXX,1906,Trades / Professions,8,9,3,7,16.5,3.312
AXX,1907,Army,7,7,3,6,13.0,2.971
AXX,1907,Executive,8,8,3,7,15.5,3.145
AXX,1907,Merchants / Shopkeepers,8,9,3,7,16.5,3.312
AXX,1907,Priesthood / Knowledge Workers,7,8,3,8,14.0,3.045
AXX,1907,Proletariat,7,8,4,6,13.0,2.971
AXX,1907,Property Owners,9,10,2,7,19.5,3.500
AXX,1907,State Memory,8,8,3,8,15.0,3.145
AXX,1907,Trades / Professions,8,9,3,7,16.5,3.312
AXX,1908,Army,7,7,3,6,13.0,2.971
AXX,1908,Executive,8,8,3,7,15.5,3.145
AXX,1908,Merchants / Shopkeepers,8,9,3,7,16.5,3.312
AXX,1908,Priesthood / Knowledge Workers,7,8,3,8,14.0,3.045
AXX,1908,Proletariat,7,8,4,6,13.0,2.971
AXX,1908,Property Owners,9,10,2,7,19.5,3.500
AXX,1908,State Memory,8,8,3,8,15.0,3.145
AXX,1908,Trades / Professions,8,9,3,7,16.5,3.312
AXX,1909,Army,7,7,3,6,13.0,2.971
AXX,1909,Executive,8,8,3,7,15.5,3.145
AXX,1909,Merchants / Shopkeepers,8,9,3,7,16.5,3.312
AXX,1909,Priesthood / Knowledge Workers,7,8,3,8,14.0,3.045
AXX,1909,Proletariat,7,8,4,6,13.0,2.971
AXX,1909,Property Owners,9,10,2,7,19.5,3.500
AXX,1909,State Memory,8,8,3,8,15.0,3.145
AXX,1909,Trades / Professions,8,9,3,7,16.5,3.312
AXX,1910,Army,7,7,3,6,13.0,2.971
AXX,1910,Executive,8,8,3,7,15.5,3.145
AXX,1910,Merchants / Shopkeepers,8,9,3,7,16.5,3.312
AXX,1910,Priesthood / Knowledge Workers,7,8,3,8,14.0,3.045
AXX,1910,Proletariat,7,8,4,6,13.0,2.971
AXX,1910,Property Owners,9,10,2,7,19.5,3.500
AXX,1910,State Memory,8,8,3,8,15.0,3.145
AXX,1910,Trades / Professions,8,9,3,7,16.5,3.312
AXX,1911,Army,7,7,3,6,13.0,2.971
AXX,1911,Executive,8,8,3,7,15.5,3.145
AXX,1911,Merchants / Shopkeepers,8,9,3,7,16.5,3.312
AXX,1911,Priesthood / Knowledge Workers,7,8,3,8,14.0,3.045
AXX,1911,Proletariat,7,8,4,6,13.0,2.971
AXX,1911,Property Owners,9,10,2,7,19.5,3.500
AXX,1911,State Memory,8,8,3,8,15.0,3.145
AXX,1911,Trades / Professions,8,9,3,7,16.5,3.312
AXX,1912,Army,7,7,4,6,12.0,2.812
AXX,1912,Executive,7,7,5,7,10.5,2.735
AXX,1912,Merchants / Shopkeepers,8,9,4,7,15.5,3.045
AXX,1912,Priesthood / Knowledge Workers,7,8,4,8,13.0,2.898
AXX,1912,Proletariat,7,8,5,6,12.0,2.812
AXX,1912,Property Owners,9,10,3,7,18.5,3.312
AXX,1912,State Memory,7,8,4,8,13.0,2.898
AXX,1912,Trades / Professions,8,9,4,7,15.5,3.045
AXX,1913,Army,7,7,3,6,13.0,2.971
AXX,1913,Executive,8,8,3,7,15.5,3.145
AXX,1913,Merchants / Shopkeepers,8,9,3,7,16.5,3.312
AXX,1913,Priesthood / Knowledge Workers,7,8,3,8,14.0,3.045
AXX,1913,Proletariat,7,8,4,6,13.0,2.971
AXX,1913,Property Owners,9,10,2,7,19.5,3.500
AXX,1913,State Memory,8,8,3,8,15.0,3.145
AXX,1913,Trades / Professions,8,9,3,7,16.5,3.312
AXX,1914,Army,7,7,3,6,13.0,2.971
AXX,1914,Executive,8,8,3,7,15.5,3.145
AXX,1914,Merchants / Shopkeepers,8,9,3,7,16.5,3.312
AXX,1914,Priesthood / Knowledge Workers,7,8,3,8,14.0,3.045
AXX,1914,Proletariat,7,8,4,6,13.0,2.971
AXX,1914,Property Owners,9,10,2,7,19.5,3.500
AXX,1914,State Memory,8,8,3,8,15.0,3.145
AXX,1914,Trades / Professions,8,9,3,7,16.5,3.312
AXX,1915,Army,8,8,2,7,16.0,3.312
AXX,1915,Executive,9,9,2,8,18.0,3.500
AXX,1915,Merchants / Shopkeepers,8,9,2,8,17.0,3.412
AXX,1915,Priesthood / Knowledge Workers,8,9,2,9,17.5,3.500
AXX,1915,Proletariat,8,9,3,7,16.5,3.312
AXX,1915,Property Owners,9,10,2,8,19.0,3.500
AXX,1915,State Memory,9,9,2,9,18.5,3.500
AXX,1915,Trades / Professions,8,9,2,8,17.0,3.412
AXX,1916,Army,9,9,1,8,19.0,3.700
AXX,1916,Executive,9,9,1,9,19.5,3.700
AXX,1916,Merchants / Shopkeepers,9,10,1,8,19.0,3.700
AXX,1916,Priesthood / Knowledge Workers,9,9,1,9,19.5,3.700
AXX,1916,Proletariat,8,9,2,7,17.5,3.412
AXX,1916,Property Owners,9,10,1,8,19.5,3.700
AXX,1916,State Memory,9,9,1,9,19.5,3.700
AXX,1916,Trades / Professions,9,10,1,8,19.0,3.700
AXX,1917,Army,9,10,1,9,20.5,3.800
AXX,1917,Executive,9,10,1,9,20.5,3.800
AXX,1917,Merchants /radi / Shopkeepers,9,10,1,9,20.0,3.800
AXX,1917,Priesthood / Knowledge Workers,9,9,1,9,19.5,3.700
AXX,1917,Proletariat,9,9,1,8,19.0,3.700
AXX,1917,Property Owners,9,10,1,9,20.5,3.800
AXX,1917,State Memory,9,9,1,9,19.5,3.700
AXX,1917,Trades / Professions,9,10,1,9,20.0,3.800
AXX,1918,Army,9,10,1,9,20.5,3.800
AXX,1918,Executive,9,10,1,9,20.5,3.800
AXX,1918,Merchants / Shopkeepers,9,10,1,9,20.0,3.800
AXX,1918,Priesthood / Knowledge Workers,9,9,1,9,19.5,3.700
AXX,1918,Proletariat,9,9,1,8,19.0,3.700
AXX,1918,Property Owners,9,10,1,9,20.5,3.800
AXX,1918,State Memory,9,9,1,9,19.5,3.700
AXX,1918,Trades / Professions,9,10,1,9,20.0,3.800
AXX,1919,Army,8,9,2,8,17.0,3.312
AXX,1919,Executive,8,9,2,8,17.0,3.312
AXX,1919,Merchants / Shopkeepers,8,9,2,8,17.0,3.312
AXX,1919,Priesthood / Knowledge Workers,8,8,2,9,16.5,3.245
AXX,1919,Proletariat,7,8,3,7,14.5,3.045
AXX,1919,Property Owners,9,10,2,8,19.0,3.500
AXX,1919,State Memory,8,8,2,9,16.5,3.245
AXX,1919,Trades / Professions,8,9,2,8,17.0,3.312
AXX,1920,Army,8,8,3,8,15.0,3.045
AXX,1920,Executive,8,8,3,8,15.0,3.045
AXX,1920,Merchants / Shopkeepers,9,10,2,9,19.5,3.700
AXX,1920,Priesthood / Knowledge Workers,8,8,3,9,15.5,3.145
AXX,1920,Proletariat,8,9,3,7,16.5,3.312
AXX,1920,Property Owners,9,10,2,9,20.0,3.700
AXX,1920,State Memory,8,8,3,9,15.5,3.145
AXX,1920,Trades / Professions,9,10,2,9,19.5,3.700
AXX,1921,Army,7,7,4,7,11.5,2.812
AXX,1921,Executive,8,8,4,8,14.0,3.045
AXX,1921,Merchants / Shopkeepers,7,8,5,8,12.0,2.812
AXX,1921,Priesthood / Knowledge Workers,7,7,4,8,12.0,2.812
AXX,1921,Proletariat,6,7,6,6,9.0,2.612
AXX,1921,Property Owners,8,9,4,8,15.0,3.045
AXX,1921,State Memory,7,7,4,8,11.5,2.812
AXX,1921,Trades / Professions,7,8,5,8,12.0,2.812
AXX,1922,Army,7,7,3,7,13.5,3.004
AXX,1922,Executive,8,8,3,8,15.0,3.145
AXX,1922,Merchants / Shopkeepers,8,9,3,8,16.0,3.312
AXX,1922,Priesthood / Knowledge Workers,8,8,3,9,15.5,3.145
AXX,1922,Proletariat,7,8,4,7,13.5,3.004
AXX,1922,Property Owners,9,10,3,8,18.0,3.412
AXX,1922,State Memory,8,8,3,9,15.5,3.145
AXX,1922,Trades / Professions,8,9,3,8,16.0,3.312
AXX,1923,Army,7,7,3,7,13.5,3.004
AXX,1923,Executive,8,8,3,8,15.0,3.145
AXX,1923,Merchants / Shopkeepers,9,10,2,9,19.5,3.700
AXX,1923,Priesthood / Knowledge Workers,8,8,3,9,15.5,3.145
AXX,1923,Proletariat,8,9,3,7,16.5,3.312
AXX,1923,Property Owners,9,10,2,9,20.0,3.700
AXX,1923,State Memory,8,8,3,9,15.5,3.145
AXX,1923,Trades / Professions,9,10,2,9,19.5,3.700
AXX,1924,Army,7,7,3,7,13.5,3.004
AXX,1924,Executive,8,8,3,8,15.0,3.145
AXX,1924,Merchants / Shopkeepers,9,10,2,9,19.5,3.700
AXX,1924,Priesthood / Knowledge Workers,8,8,3,9,15.5,3.145
AXX,1924,Proletariat,8,9,3,7,16.5,3.312
AXX,1924,Property Owners,9,10,2,9,20.0,3.700
AXX,1924,State Memory,8,8,3,9,15.5,3.145
AXX,1924,Trades / Professions,9,10,2,9,19.5,3.700
AXX,1925,Army,7,7,3,7,13.5,3.004
AXX,1925,Executive,8,8,3,8,15.0,3.145
AXX,1925,Merchants / Shopkeepers,9,10,2,9,19.5,3.700
AXX,1925,Priesthood / Knowledge Workers,8,8,3,9,15.5,3.145
AXX,1925,Proletariat,8,9,3,7,16.5,3.312
AXX,1925,Property Owners,9,10,2,9,20.0,3.700
AXX,1925,State Memory,8,8,3,9,15.5,3.145
AXX,1925,Trades / Professions,9,10,2,9,19.5,3.700
AXX,1926,Army,7,7,3,7,13.5,3.004
AXX,1926,Executive,8,8,3,8,15.0,3.145
AXX,1926,Merchants / Shopkeepers,9,10,2,9,19.5,3.700
AXX,1926,Priesthood / Knowledge Workers,8,8,3,9,15.5,3.145
AXX,1926,Proletariat,8,9,3,7,16.5,3.312
AXX,1926,Property Owners,9,10,2,9,20.0,3.700
AXX,1926,State Memory,8,8,3,9,15.5,3.145
AXX,1926,Trades / Professions,9,10,2,9,19.5,3.700
AXX,1927,Army,7,7,3,7,13.5,3.004
AXX,1927,Executive,8,8,3,8,15.0,3.145
AXX,1927,Merchants / Shopkeepers,9,10,2,9,19.5,3.700
AXX,1927,Priesthood / Knowledge Workers,8,8,3,9,15.5,3.145
AXX,1927,Proletariat,8,9,3,7,16.5,3.312
AXX,1927,Property Owners,9,10,2,9,20.0,3.700
AXX,1927,State Memory,8,8,3,9,15.5,3.145
AXX,1927,Trades / Professions,9,10,2,9,19.5,3.700
AXX,1928,Army,7,7,3,7,13.5,3.004
AXX,1928,Executive,8,8,3,8,15.0,3.145
AXX,1928,Merchants / Shopkeepers,9,10,2,9,19.5,3.700
AXX,1928,Priesthood / Knowledge Workers,8,8,3,9,15.5,3.145
AXX,1928,Proletariat,8,9,3,7,16.5,3.312
AXX,1928,Property Owners,9,10,2,9,20.0,3.700
AXX,1928,State Memory,8,8,3,9,15.5,3.145
AXX,1928,Trades / Professions,9,10,2,9,19.5,3.700
AXX,1929,Army,7,7,3,7,13.5,3.004
AXX,1929,Executive,8,8,3,8,15.0,3.145
AXX,1929,Merchants / Shopkeepers,9,10,2,9,19.5,3.700
