Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Australia,1900,Archive,7,7,3,7,14.5,2.424
Australia,1900,Craft,6,6,5,6,10.0,2.021
Australia,1900,Flow,6,6,5,6,10.0,2.021
Australia,1900,Hands,5,5,7,4,5.0,1.611
Australia,1900,Helm,6,6,6,6,9.0,1.882
Australia,1900,Lore,7,7,4,7,13.5,2.338
Australia,1900,Shield,5,5,6,5,6.5,1.754
Australia,1900,Stewards,5,6,6,5,7.5,1.754
Australia,1901,Archive,7,7,4,7,13.5,2.345
Australia,1901,Craft,6,6,5,6,10.0,2.037
Australia,1901,Flow,6,6,5,6,10.0,2.037
Australia,1901,Hands,5,5,6,5,6.5,1.762
Australia,1901,Helm,6,6,6,7,9.5,1.952
Australia,1901,Lore,7,7,4,7,13.5,2.345
Australia,1901,Shield,6,6,5,5,9.5,1.98
Australia,1901,Stewards,6,6,5,6,10.0,2.037
Australia,1902,Archive,7,7,3,7,14.5,2.881
Australia,1902,Craft,6,6,4,6,11.0,2.466
Australia,1902,Flow,6,6,4,6,11.0,2.466
Australia,1902,Hands,5,5,5,5,7.5,2.104
Australia,1902,Helm,7,6,5,7,11.5,2.426
Australia,1902,Lore,7,7,3,7,14.5,2.881
Australia,1902,Shield,6,6,4,5,10.5,2.397
Australia,1902,Stewards,6,6,4,6,11.0,2.466
Australia,1903,Archive,7,7,3,7,14.5,2.896
Australia,1903,Craft,6,7,4,6,12.0,2.479
Australia,1903,Flow,7,7,4,6,13.0,2.582
Australia,1903,Hands,5,6,5,5,8.5,2.116
Australia,1903,Helm,6,7,5,7,11.5,2.341
Australia,1903,Lore,7,7,3,7,14.5,2.896
Australia,1903,Shield,6,6,4,6,11.0,2.479
Australia,1903,Stewards,6,7,4,6,12.0,2.479
Australia,1904,Archive,7,7,4,7,13.5,2.245
Australia,1904,Craft,6,6,5,6,10.0,1.953
Australia,1904,Flow,6,6,5,6,10.0,1.953
Australia,1904,Hands,5,5,7,5,5.5,1.582
Australia,1904,Helm,4,5,8,6,4.0,1.462
Australia,1904,Lore,7,7,4,7,13.5,2.245
Australia,1904,Shield,6,6,5,5,9.5,1.898
Australia,1904,Stewards,6,6,5,6,10.0,1.953
Australia,1905,Archive,7,7,4,7,13.5,2.364
Australia,1905,Craft,6,6,5,6,10.0,2.050
Australia,1905,Flow,6,6,5,6,10.0,2.050
Australia,1905,Hands,5,6,6,5,7.5,1.771
Australia,1905,Helm,6,6,5,6,10.0,2.050
Australia,1905,Lore,7,7,4,7,13.5,2.364
Australia,1905,Shield,6,6,5,5,9.5,1.992
Australia,1905,Stewards,6,6,5,6,10.0,2.050
Australia,1906,Archive,7,7,3,7,14.5,2.919
Australia,1906,Craft,6,6,4,6,11.0,2.494
Australia,1906,Flow,6,6,4,6,11.0,2.494
Australia,1906,Hands,5,6,5,5,8.5,2.125
Australia,1906,Helm,6,6,4,7,11.5,2.564
Australia,1906,Lore,7,7,3,7,14.5,2.919
Australia,1906,Shield,6,6,4,6,11.0,2.494
Australia,1906,Stewards,6,6,4,6,11.0,2.494
Australia,1907,Archive,7,7,3,7,14.5,3.040
Australia,1907,Craft,6,7,4,7,12.5,2.668
Australia,1907,Flow,7,7,4,7,13.5,2.775
Australia,1907,Hands,6,6,4,5,10.5,2.526
Australia,1907,Helm,7,7,4,7,13.5,2.775
Australia,1907,Lore,7,7,3,7,14.5,3.040
Australia,1907,Shield,6,6,4,6,11.0,2.597
Australia,1907,Stewards,6,7,4,6,12.0,2.597
Australia,1908,Archive,7,8,3,8,16.0,3.434
Australia,1908,Craft,6,7,3,7,13.5,3.224
Australia,1908,Flow,7,7,3,7,14.5,3.350
Australia,1908,Hands,6,6,4,5,10.5,2.756
Australia,1908,Helm,7,7,3,7,14.5,3.350
Australia,1908,Lore,7,7,3,8,15.0,3.434
Australia,1908,Shield,6,7,3,6,13.0,3.140
Australia,1908,Stewards,6,7,3,7,13.5,3.224
Australia,1909,Archive,7,8,3,8,16.0,3.536
Australia,1909,Craft,6,7,3,7,13.5,3.321
Australia,1909,Flow,7,7,3,7,14.5,3.450
Australia,1909,Hands,6,6,3,5,11.5,3.150
Australia,1909,Helm,7,7,3,8,15.0,3.536
Australia,1909,Lore,7,8,3,8,16.0,3.536
Australia,1909,Shield,7,7,3,7,14.5,3.450
Australia,1909,Stewards,6,7,3,7,13.5,3.321
Australia,1910,Archive,7,8,3,8,16.0,3.183
Australia,1910,Craft,6,7,4,7,12.5,2.725
Australia,1910,Flow,7,7,4,7,13.5,2.832
Australia,1910,Hands,6,6,4,5,10.5,2.583
Australia,1910,Helm,6,7,5,7,11.5,2.496
Australia,1910,Lore,7,8,3,8,16.0,3.183
Australia,1910,Shield,7,7,3,7,14.5,3.107
Australia,1910,Stewards,6,7,4,7,12.5,2.725
Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
