Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Australia,1900,Army,7,5,6,3,7.5,2.48
Australia,1900,Executive,9,6,4,8,15.0,2.94
Australia,1900,Merchants / Shopkeepers,6,6,5,4,9.0,2.66
Australia,1900,Priesthood / Knowledge Workers,8,5,3,6,13.0,3.11
Australia,1900,Proletariat,4,4,8,2,1.0,1.98
Australia,1900,Property Owners,6,8,5,4,11.0,2.66
Australia,1900,State Memory,8,7,4,5,13.5,2.97
Australia,1900,Trades / Professions,8,5,5,6,11.0,2.83
Australia,1901,Army,7,6,5,3,9.5,2.55
Australia,1901,Executive,9,7,4,8,16.0,3.02
Australia,1901,Merchants / Shopkeepers,7,6,4,5,11.5,2.84
Australia,1901,Priesthood / Knowledge Workers,9,6,3,7,15.5,3.18
Australia,1901,Proletariat,5,4,7,3,3.5,2.15
Australia,1901,Property Owners,6,8,6,4,10.0,2.58
Australia,1901,State Memory,8,7,4,6,14.0,2.99
Australia,1901,Trades / Professions,8,6,4,6,13.0,2.95
Australia,1902,Army,6,5,4,3,8.5,2.41
Australia,1902,Executive,8,6,5,7,12.5,2.80
Australia,1902,Merchants / Shopkeepers,6,5,6,4,7.0,2.45
Australia,1902,Priesthood / Knowledge Workers,8,6,4,6,13.0,2.89
Australia,1902,Proletariat,4,3,8,2,0.0,1.88
Australia,1902,Property Owners,5,4,9,4,2.0,2.05
Australia,1902,State Memory,8,7,4,6,14.0,2.85
Australia,1902,Trades / Professions,8,5,6,6,10.0,2.61
Australia,1903,Army,6,5,3,3,9.5,2.52
Australia,1903,Executive,7,6,5,7,11.5,2.81
Australia,1903,Merchants / Shopkeepers,6,6,5,4,9.0,2.64
Australia,1903,Priesthood / Knowledge Workers,8,6,3,6,14.0,3.06
Australia,1903,Proletariat,5,4,6,3,4.5,2.28
Australia,1903,Property Owners,6,5,7,4,6.0,2.44
Australia,1903,State Memory,9,8,3,7,17.5,3.12
Australia,1903,Trades / Professions,8,6,5,6,12.0,2.82
Australia,1904,Army,6,5,3,3,9.5,2.38
Australia,1904,Executive,3,6,7,6,-1.0,2.25
Australia,1904,Merchants / Shopkeepers,6,6,5,4,9.0,2.45
Australia,1904,Priesthood / Knowledge Workers,7,6,4,6,12.0,2.76
Australia,1904,Proletariat,5,4,6,3,4.5,2.18
Australia,1904,Property Owners,6,6,6,4,8.0,2.39
Australia,1904,State Memory,8,7,4,6,14.0,2.70
Australia,1904,Trades / Professions,9,6,4,7,14.5,2.68
Australia,1905,Army,6,6,3,3,10.5,2.55
Australia,1905,Executive,6,7,5,7,11.5,2.84
Australia,1905,Merchants / Shopkeepers,7,7,4,5,12.5,2.80
Australia,1905,Priesthood / Knowledge Workers,8,6,3,6,14.0,3.08
Australia,1905,Proletariat,5,5,5,3,6.5,2.45
Australia,1905,Property Owners,7,7,5,4,11.0,2.72
Australia,1905,State Memory,8,8,3,6,16.0,3.05
Australia,1905,Trades / Professions,8,6,4,6,13.0,2.92
Australia,1906,Army,6,6,3,3,10.5,2.58
Australia,1906,Executive,7,7,4,7,13.5,2.95
