Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
South Africa,1880,Army,7,8,8,5,9.5,1.838
South Africa,1880,Executive,4,5,9,4,2.0,1.579
South Africa,1880,Merchants / Shopkeepers,7,8,4,6,14.0,2.502
South Africa,1880,Priesthood / Knowledge Workers,6,5,7,7,7.5,1.889
South Africa,1880,Proletariat,3,4,9,3,0.5,1.401
South Africa,1880,Property Owners,5,7,8,6,7.0,1.802
South Africa,1880,State Memory,4,5,7,6,5.0,1.761
South Africa,1880,Trades / Professions,6,6,5,7,10.5,2.228
South Africa,1881,Army,6,6,7,5,7.5,1.849
South Africa,1881,Executive,3,3,9,4,-1.0,1.341
South Africa,1881,Merchants / Shopkeepers,7,8,4,6,14.0,2.518
South Africa,1881,Priesthood / Knowledge Workers,6,6,6,7,9.5,2.147
South Africa,1881,Proletariat,3,4,9,3,0.5,1.303
South Africa,1881,Property Owners,6,7,6,5,9.5,2.158
South Africa,1881,State Memory,5,5,8,6,5.0,1.696
South Africa,1881,Trades / Professions,6,6,5,6,10.0,2.302
South Africa,1882,Army,7,7,6,5,10.5,2.052
South Africa,1882,Executive,4,5,8,5,3.5,1.838
South Africa,1882,Merchants / Shopkeepers,8,8,3,7,16.5,3.332
South Africa,1882,Priesthood / Knowledge Workers,7,6,5,8,12.0,2.593
South Africa,1882,Proletariat,3,4,9,3,0.5,1.492
South Africa,1882,Property Owners,6,7,5,6,11.0,2.457
South Africa,1882,State Memory,5,6,6,7,8.5,2.235
South Africa,1882,Trades / Professions,7,7,4,7,13.5,2.898
South Africa,1883,Army,7,7,5,5,11.5,2.417
South Africa,1883,Executive,5,6,7,5,6.5,2.152
South Africa,1883,Merchants / Shopkeepers,8,9,3,7,17.5,3.398
South Africa,1883,Priesthood / Knowledge Workers,7,7,5,8,13.0,2.802
South Africa,1883,Proletariat,3,4,9,3,0.5,1.492
South Africa,1883,Property Owners,6,7,5,6,11.0,2.593
South Africa,1883,State Memory,6,6,5,7,10.5,2.721
South Africa,1883,Trades / Professions,7,7,3,7,14.5,3.238
South Africa,1884,Army,7,7,4,5,12.5,2.822
South Africa,1884,Executive,6,6,6,5,7.5,2.222
South Africa,1884,Merchants / Shopkeepers,8,9,3,7,17.5,3.513
South Africa,1884,Priesthood / Knowledge Workers,7,7,4,8,14.0,3.125
South Africa,1884,Proletariat,3,4,9,3,0.5,1.492
South Africa,1884,Property Owners,7,7,4,6,13.0,3.097
South Africa,1884,State Memory,6,6,5,7,10.5,2.766
South Africa,1884,Trades / Professions,7,7,3,7,14.5,3.398
South Africa,1885,Army,7,7,4,5,12.5,2.915
South Africa,1885,Executive,6,7,5,6,11.0,2.598
South Africa,1885,Merchants / Shopkeepers,9,9,2,8,20.0,4.312
South Africa,1885,Priesthood / Knowledge Workers,7,8,4,8,15.0,3.351
South Africa,1885,Proletariat,3,4,9,3,0.5,1.492
South Africa,1885,Property Owners,7,7,4,6,13.0,3.25
South Africa,1885,State Memory,6,6,5,7,10.5,2.894
South Africa,1885,Trades / Professions,8,8,3,8,17.0,3.791
South Africa,1886,Army,7,7,6,5,10.5,2.158
South Africa,1886,Executive,4,7,8,7,6.5,1.748
South Africa,1886,Merchants / Shopkeepers,8,9,4,9,17.5,3.237
South Africa,1886,Priesthood / Knowledge Workers,6,8,6,9,12.5,2.388
South Africa,1886,Proletariat,4,5,8,4,3.0,1.637
South Africa,1886,Property Owners,5,8,7,6,9.0,1.954
South Africa,1886,State Memory,5,6,7,8,8.0,2.052
South Africa,1886,Trades / Professions,7,8,4,8,15.0,3.109

South Africa,1887,Army,7,7,6,5,10.5,2.158
South Africa,1887,Executive,4,7,8,7,6.5,1.748
South Africa,1887,Merchants / Shopkeepers,9,9,4,9,17.5,3.513
South Africa,1887,Priesthood / Knowledge Workers,6,8,6,9,12.5,2.388
South Africa,1887,Proletariat,4,5,8,4,3.0,1.637
South Africa,1887,Property Owners,5,8,7,6,9.0,1.954
South Africa,1887,State Memory,6,7,6,8,11.0,2.502
South Africa,1887,Trades / Professions,7,8,4,8,15.0,3.109
South Africa,1888,Army,7,7,6,5,10.5,2.158
South Africa,1888,Executive,4,7,8,7,6.5,1.748
South Africa,1888,Merchants / Shopkeepers,9,9,4,9,17.5,3.513
South Africa,1888,Priesthood / Knowledge Workers,6,8,6,9,12.5,2.388
South Africa,1888,Proletariat,4,5,8,4,3.0,1.637
South Africa,1888,Property Owners,5,8,7,6,9.0,1.954
South Africa,1888,State Memory,6,7,6,8,11.0,2.502
South Africa,1888,Trades / Professions,7,8,4,8,15.0,3.109
South Africa,1889,Army,7,8,6,6,12.0,2.361
South Africa,1889,Executive,5,7,7,7,8.5,2.215
South Africa,1889,Merchants / Shopkeepers,9,9,3,9,19.5,3.931
South Africa,1889,Priesthood / Knowledge Workers,6,8,5,9,13.5,2.768
South Africa,1889,Proletariat,4,6,7,4,5.0,2.052
South Africa,1889,Property Owners,5,8,6,6,10.0,2.327
South Africa,1889,State Memory,6,8,5,8,13.0,2.924
South Africa,1889,Trades / Professions,8,9,3,9,18.5,3.737
South Africa,1890,Army,7,8,6,6,12.0,2.361
South Africa,1890,Executive,5,7,7,7,8.5,2.215
South Africa,1890,Merchants / Shopkeepers,9,9,3,9,19.5,3.931
South Africa,1890,Priesthood / Knowledge Workers,6,8,5,9,13.5,2.768
South Africa,1890,Proletariat,4,6,7,4,5.0,2.052
South Africa,1890,Property Owners,5,8,6,6,10.0,2.327
South Africa,1890,State Memory,6,8,5,8,13.0,2.924
South Africa,1890,Trades / Professions,8,9,3,9,18.5,3.737
South Africa,1891,Army,7,8,6,6,12.0,2.361
South Africa,1891,Executive,5,7,7,7,8.5,2.215
South Africa,1891,Merchants / Shopkeepers,9,9,3,9,19.5,3.931
South Africa,1891,Priesthood / Knowledge Workers,6,8,5,9,13.5,2.768
South Africa,1891,Proletariat,4,6,7,4,5.0,2.052
South Africa,1891,Property Owners,5,8,6,6,10.0,2.327
South Africa,1891,State Memory,6,8,5,8,13.0,2.924
South Africa,1891,Trades / Professions,8,9,3,9,18.5,3.737
South Africa,1892,Army,7,8,6,6,12.0,2.361
South Africa,1892,Executive,5,7,7,7,8.5,2.215
South Africa,1892,Merchants / Shopkeepers,9,9,3,9,19.5,3.931
South Africa,1892,Priesthood / Knowledge Workers,6,8,5,9,13.5,2.768
South Africa,1892,Proletariat,4,6,7,4,5.0,2.052
South Africa,1892,Property Owners,5,8,6,6,10.0,2.327
South Africa,1892,State Memory,6,8,5,8,13.0,2.924
South Africa,1892,Trades / Professions,8,9,3,9,18.5,3.737
South Africa,1893,Army,7,8,6,6,12.0,2.361
South Africa,1893,Executive,5,7,7,7,8.5,2.215
South Africa,1893,Merchants / Shopkeepers,9,9,3,9,19.5,3.931
South Africa,1893,Priesthood / Knowledge Workers,6,8,5,9,13.5,2.768
South Africa,1893,Proletariat,4,6,7,4,5.0,2.052
South Africa,1893,Property Owners,5,8,6,6,10.0,2.327
South Africa,1893,State Memory,6,8,5,8,13.0,2.924
South Africa,1893,Trades / Professions,8,9,3,9,18.5,3.737
South Africa,1894,Army,7,8,6,6,12.0,2.361
South Africa,1894,Executive,5,7,7,7,8.5,2.215
South Africa,1894,Merchants / Shopkeepers,9,9,3,9,19.5,3.931
South Africa,1894,Priesthood / Knowledge Workers,6,8,5,9,13.5,2.768
South Africa,1894,Proletariat,4,6,7,4,5.0,2.052
South Africa,1894,Property Owners,5,8,6,6,10.0,2.327
South Africa,1894,State Memory,6,8,5,8,13.0,2.924
South Africa,1894,Trades / Professions,8,9,3,9,18.5,3.737
South Africa,1895,Army,7,8,7,6,11.0,2.112
South Africa,1895,Executive,4,7,9,6,5.0,1.488
South Africa,1895,Merchants / Shopkeepers,8,8,5,8,15.0,3.030
South Africa,1895,Priesthood / Knowledge Workers,6,8,6,8,12.0,2.593
South Africa,1895,Proletariat,4,6,7,4,5.0,2.052
South Africa,1895,Property Owners,5,8,7,6,9.0,2.152
South Africa,1895,State Memory,5,8,7,8,10.0,2.457
South Africa,1895,Trades / Professions,7,8,4,8,15.0,3.109
South Africa,1896,Army,8,9,7,7,13.5,2.327
South Africa,1896,Executive,3,5,9,5,1.5,1.378
South Africa,1896,Merchants / Shopkeepers,7,7,6,7,11.5,2.457
South Africa,1896,Priesthood / Knowledge Workers,6,8,6,8,12.0,2.593
South Africa,1896,Proletariat,5,6,7,5,6.5,2.235
South Africa,1896,Property Owners,5,8,7,6,9.0,2.152
South Africa,1896,State Memory,6,7,6,8,11.0,2.721
South Africa,1896,Trades / Professions,7,7,6,7,11.5,2.457
South Africa,1897,Army,8,9,7,7,13.5,2.327
South Africa,1897,Executive,3,5,9,5,1.5,1.378
South Africa,1897,Merchants / Shopkeepers,7,7,6,7,11.5,2.457
South Africa,1897,Priesthood / Knowledge Workers,6,8,6,8,12.0,2.593
South Africa,1897,Proletariat,5,6,7,5,6.5,2.235
South Africa,1897,Property Owners,5,8,7,6,9.0,2.152
South Africa,1897,State Memory,6,7,6,8,11.0,2.721
South Africa,1897,Trades / Professions,7,7,6,7,11.5,2.457
South Africa,1898,Army,8,9,8,7,12.5,2.112
South Africa,1898,Executive,2,4,10,4,-2.0,1.050
South Africa,1898,Merchants / Shopkeepers,7,7,7,6,10.0,2.052
South Africa,1898,Priesthood / Knowledge Workers,6,7,7,8,10.0,2.302
South Africa,1898,Proletariat,5,7,8,5,6.5,1.954
South Africa,1898,Property Owners,5,8,8,6,8.0,1.954
South Africa,1898,State Memory,6,8,7,9,11.5,2.457
South Africa,1898,Trades / Professions,7,8,6,7,12.5,2.593
South Africa,1899,Army,9,9,9,7,12.5,1.766
South Africa,1899,Executive,2,3,10,3,-3.5,0.908
South Africa,1899,Merchants / Shopkeepers,5,4,9,4,2.0,1.303
South Africa,1899,Priesthood / Knowledge Workers,5,5,9,5,3.5,1.492
South Africa,1899,Proletariat,5,6,9,4,4.0,1.579
South Africa,1899,Property Owners,4,5,9,4,2.0,1.378
South Africa,1899,State Memory,5,7,8,8,8.0,1.954
South Africa,1899,Trades / Professions,4,5,9,5,2.5,1.488
South Africa,1900,Army,9,9,9,7,12.5,1.766
South Africa,1900,Executive,2,3,10,3,-3.5,0.908
South Africa,1900,Merchants / Shopkeepers,5,4,9,4,2.0,1.303
South Africa,1900,Priesthood / Knowledge Workers,5,5,9,5,3.5,1.492
South Africa,1900,Proletariat,5,6,9,4,4.0,1.579
South Africa,1900,Property Owners,4,5,9,4,2.0,1.378
South Africa,1900,State Memory,5,7,8,8,8.0,1.954
South Africa,1900,Trades / Professions,4,5,9,5,2.5,1.488
South Africa,1901,Army,8,8,8,6,11.0,2.052
South Africa,1901,Executive,3,4,9,4,0.0,1.378
South Africa,1901,Merchants / Shopkeepers,6,6,8,5,6.5,2.052
South Africa,1901,Priesthood / Knowledge Workers,5,6,8,6,6.0,1.838
South Africa,1901,Proletariat,5,6,8,4,5.0,1.838
South Africa,1901,Property Owners,4,5,8,4,3.0,1.579
South Africa,1901,State Memory,6,7,7,8,10.0,2.593
South Africa,1901,Trades / Professions,5,6,8,5,5.5,1.838
South Africa,1902,Army,8,8,7,6,12.0,2.361
South Africa,1902,Executive,5,6,7,5,6.5,2.152
South Africa,1902,Merchants / Shopkeepers,7,7,5,6,12.0,2.898
South Africa,1902,Priesthood / Knowledge Workers,6,7,6,7,10.5,2.593
South Africa,1902,Proletariat,6,7,6,5,9.5,2.457
South Africa,1902,Property Owners,6,7,6,5,9.5,2.457
South Africa,1902,State Memory,7,8,6,9,13.5,3.109
South Africa,1902,Trades / Professions,7,8,5,7,13.5,3.109

South Africa,1903,Army,8,8,5,5,13.5,2.17
South Africa,1903,Executive,7,9,6,7,13.5,2.055
South Africa,1903,Merchants / Shopkeepers,8,9,4,8,17.0,2.496
South Africa,1903,Priesthood / Knowledge Workers,6,7,6,8,11.0,2.029
South Africa,1903,Proletariat,4,5,8,4,3.0,1.467
South Africa,1903,Property Owners,6,7,6,6,10.0,1.927
South Africa,1903,State Memory,7,8,6,8,13.0,2.106
South Africa,1903,Trades / Professions,8,9,4,8,17.0,2.496
South Africa,1904,Army,8,8,5,5,13.5,2.209
South Africa,1904,Executive,7,9,6,7,13.5,2.09
South Africa,1904,Merchants / Shopkeepers,8,9,4,8,17.0,2.544
South Africa,1904,Priesthood / Knowledge Workers,7,7,5,8,13.0,2.292
South Africa,1904,Proletariat,4,5,8,4,3.0,1.491
South Africa,1904,Property Owners,6,7,6,6,10.0,1.96
South Africa,1904,State Memory,7,8,6,8,13.0,2.142
South Africa,1904,Trades / Professions,8,9,4,8,17.0,2.544
South Africa,1905,Army,7,7,5,5,11.5,2.112
South Africa,1905,Executive,6,8,7,6,10.0,1.824
South Africa,1905,Merchants / Shopkeepers,9,9,4,8,18.0,2.608
South Africa,1905,Priesthood / Knowledge Workers,7,7,5,9,13.5,2.329
South Africa,1905,Proletariat,4,5,8,4,3.0,1.484
South Africa,1905,Property Owners,6,7,6,6,10.0,1.947
South Africa,1905,State Memory,7,8,6,8,13.0,2.127
South Africa,1905,Trades / Professions,9,9,4,8,18.0,2.608
South Africa,1906,Army,7,7,5,5,11.5,2.227
South Africa,1906,Executive,6,8,7,6,10.0,1.91
South Africa,1906,Merchants / Shopkeepers,9,9,4,8,18.0,2.76
South Africa,1906,Priesthood / Knowledge Workers,8,8,5,9,15.5,2.538
South Africa,1906,Proletariat,4,5,8,4,3.0,1.552
South Africa,1906,Property Owners,7,7,5,6,12.0,2.283
South Africa,1906,State Memory,7,8,5,8,14.0,2.397
South Africa,1906,Trades / Professions,9,9,3,8,19.0,2.971
South Africa,1907,Army,7,7,4,5,12.5,2.866
South Africa,1907,Executive,8,8,4,7,15.5,3.111
South Africa,1907,Merchants / Shopkeepers,9,9,3,9,19.5,3.678
South Africa,1907,Priesthood / Knowledge Workers,8,8,4,9,16.5,3.251
South Africa,1907,Proletariat,5,6,7,5,6.5,2.064
South Africa,1907,Property Owners,7,8,4,6,14.0,2.936
South Africa,1907,State Memory,8,8,4,9,16.5,3.251
South Africa,1907,Trades / Professions,9,9,2,9,20.5,4.034
South Africa,1908,Army,7,7,4,5,12.5,3.03
South Africa,1908,Executive,8,9,3,7,17.5,3.637
South Africa,1908,Merchants / Shopkeepers,9,9,3,9,19.5,3.919
South Africa,1908,Priesthood / Knowledge Workers,8,8,4,9,16.5,3.44
South Africa,1908,Proletariat,5,6,6,5,7.5,2.336
