Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
South Africa,1880,Archive,6,5,6,5,7.5,2.310
South Africa,1880,Craft,5,7,7,6,7.0,2.458
South Africa,1880,Flow,7,8,5,7,13.5,3.125
South Africa,1880,Hands,3,4,9,3,1.5,1.892
South Africa,1880,Helm,4,6,8,5,6.5,2.567
South Africa,1880,Lore,5,5,6,6,7.0,2.410
South Africa,1880,Shield,4,5,9,4,3.0,1.975
South Africa,1880,Stewards,6,6,7,4,7.0,2.340
South Africa,1881,Archive,5,5,8,5,5.5,1.942
South Africa,1881,Craft,5,7,8,6,6.0,2.125
South Africa,1881,Flow,7,8,6,7,13.0,2.889
South Africa,1881,Hands,3,4,9,3,1.5,1.778
South Africa,1881,Helm,3,5,9,5,2.5,1.856
South Africa,1881,Lore,5,5,7,6,6.0,2.143
South Africa,1881,Shield,3,4,10,4,0.0,1.512
South Africa,1881,Stewards,6,6,8,4,6.0,2.075
South Africa,1882,Archive,6,6,5,5,9.5,2.678
South Africa,1882,Craft,6,7,6,6,9.0,2.750
South Africa,1882,Flow,8,8,4,7,15.5,3.444
South Africa,1882,Hands,4,5,8,4,3.0,2.125
South Africa,1882,Helm,6,7,5,6,11.0,3.000
South Africa,1882,Lore,6,5,5,7,9.5,2.889
South Africa,1882,Shield,6,6,5,5,10.0,2.875
South Africa,1882,Stewards,7,7,5,5,11.5,3.111
South Africa,1883,Archive,7,6,4,6,11.0,3.125
South Africa,1883,Craft,6,8,5,7,11.5,3.222
South Africa,1883,Flow,8,9,3,8,17.0,3.778
South Africa,1883,Hands,4,6,7,4,5.0,2.444
South Africa,1883,Helm,7,7,4,6,13.0,3.444
South Africa,1883,Lore,6,6,4,7,11.0,3.333
South Africa,1883,Shield,7,7,4,5,12.5,3.444
South Africa,1883,Stewards,7,7,4,5,12.5,3.444
South Africa,1884,Archive,7,7,3,6,12.5,3.556
South Africa,1884,Craft,7,8,4,7,13.5,3.667
South Africa,1884,Flow,9,9,2,8,18.0,4.111
South Africa,1884,Hands,5,6,7,5,6.5,2.667
South Africa,1884,Helm,8,8,3,7,15.5,3.889
South Africa,1884,Lore,7,6,3,8,13.0,3.778
South Africa,1884,Shield,8,8,3,6,15.0,3.889
South Africa,1884,Stewards,8,8,3,6,15.0,3.889
South Africa,1885,Archive,8,7,3,7,14.5,3.778
South Africa,1885,Craft,7,9,4,8,14.5,3.889
South Africa,1885,Flow,9,10,2,9,19.5,4.333
South Africa,1885,Hands,5,7,6,5,8.5,3.000
South Africa,1885,Helm,8,9,3,7,16.5,4.111
South Africa,1885,Lore,7,7,3,8,14.0,3.889
South Africa,1885,Shield,8,8,3,6,15.0,4.000
South Africa,1885,Stewards,8,8,3,6,15.0,4.000
South Africa,1886,Archive,8,8,2,8,16.0,4.222
South Africa,1886,Craft,8,10,3,9,17.5,4.444
South Africa,1886,Flow,10,10,1,10,21.0,4.778
South Africa,1886,Hands,6,8,6,6,10.0,3.333
South Africa,1886,Helm,9,9,2,8,18.0,4.556
South Africa,1886,Lore,8,7,2,9,15.5,4.333
South Africa,1886,Shield,9,9,2,7,17.5,4.556
South Africa,1886,Stewards,9,9,2,7,17.5,4.556
South Africa,1887,Archive,8,8,3,8,15.5,4.000
South Africa,1887,Craft,8,10,4,9,17.0,4.111
South Africa,1887,Flow,10,10,2,10,20.0,4.556
South Africa,1887,Hands,6,8,7,6,9.0,3.111
South Africa,1887,Helm,9,9,3,8,17.5,4.333
South Africa,1887,Lore,8,8,3,9,15.5,4.111
South Africa,1887,Shield,9,9,3,7,17.0,4.333
South Africa,1887,Stewards,9,9,3,7,17.0,4.333
