Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
USA,1900,Army,7,6,7,5,13.5,3.112
USA,1900,Executive,7,7,5,6,15.0,3.248
USA,1900,Merchants / Shopkeepers,8,9,4,7,20.5,3.512
USA,1900,Priesthood / Knowledge Workers,7,7,5,8,17.0,3.376
USA,1900,Proletariat,5,7,3,5,14.5,3.089
USA,1900,Property Owners,8,9,3,7,21.0,3.498
USA,1900,State Memory,7,7,6,7,15.5,3.221
USA,1900,Trades / Professions,7,8,4,7,18.5,3.445
USA,1901,Army,7,6,7,5,13.5,3.119
USA,1901,Executive,7,7,5,6,15.0,3.254
USA,1901,Merchants / Shopkeepers,8,9,4,7,20.5,3.518
USA,1901,Priesthood / Knowledge Workers,7,7,5,8,17.0,3.381
USA,1901,Proletariat,5,7,4,5,14.0,3.076
USA,1901,Property Owners,8,9,3,7,21.0,3.502
USA,1901,State Memory,7,7,6,7,15.5,3.226
USA,1901,Trades / Professions,7,8,4,7,18.5,3.450
USA,1902,Army,7,6,6,5,14.5,3.189
USA,1902,Executive,8,7,5,6,16.0,3.312
USA,1902,Merchants / Shopkeepers,8,9,4,7,20.5,3.534
USA,1902,Priesthood / Knowledge Workers,7,7,5,8,17.0,3.398
USA,1902,Proletariat,5,7,4,5,14.0,3.098
USA,1902,Property Owners,8,9,3,7,21.0,3.519
USA,1902,State Memory,7,8,6,7,16.5,3.278
USA,1902,Trades / Professions,7,8,4,7,18.5,3.466
USA,1903,Army,7,6,6,5,14.5,3.201
USA,1903,Executive,8,7,5,6,16.0,3.323
USA,1903,Merchants / Shopkeepers,8,9,4,7,20.5,3.541
USA,1903,Priesthood / Knowledge Workers,7,8,5,8,18.0,3.412
USA,1903,Proletariat,5,7,5,5,13.5,3.087
USA,1903,Property Owners,8,9,3,7,21.0,3.526
USA,1903,State Memory,7,8,6,7,16.5,3.289
USA,1903,Trades / Professions,7,8,4,7,18.5,3.478
USA,1904,Army,7,6,6,5,14.5,3.210
USA,1904,Executive,8,8,4,7,19.5,3.412
USA,1904,Merchants / Shopkeepers,8,9,4,7,20.5,3.556
USA,1904,Priesthood / Knowledge Workers,7,8,5,8,18.0,3.428
USA,1904,Proletariat,5,7,5,5,13.5,3.101
USA,1904,Property Owners,8,9,3,7,21.0,3.534
USA,1904,State Memory,7,8,5,7,17.5,3.345
USA,1904,Trades / Professions,8,8,4,7,19.5,3.512
USA,1905,Army,7,7,6,6,14.0,3.278
USA,1905,Executive,8,8,4,7,19.5,3.423
USA,1905,Merchants / Shopkeepers,8,9,3,8,22.0,3.612
USA,1905,Priesthood / Knowledge Workers,8,8,5,8,19.0,3.467
