Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
xrx,1880,Archive,8,7,4,6,14.0,2.684
xrx,1880,Craft,6,5,5,6,9.0,2.153
xrx,1880,Flow,6,6,5,5,9.5,2.181
xrx,1880,Hands,4,4,6,3,3.5,1.527
xrx,1880,Helm,4,5,8,6,4.0,1.598
xrx,1880,Lore,3,7,6,9,8.5,1.862
xrx,1880,Shield,5,6,7,5,6.5,1.821
xrx,1880,Stewards,5,5,6,5,6.5,1.964

xrx,1881,Archive,7,6,5,6,11.0,1.854
xrx,1881,Craft,5,5,6,6,7.0,1.723
xrx,1881,Flow,5,6,6,5,7.5,1.698
xrx,1881,Hands,4,4,7,3,2.5,1.512
xrx,1881,Helm,3,4,9,5,0.5,1.621
xrx,1881,Lore,2,6,7,8,5.0,1.745
xrx,1881,Shield,3,5,8,4,2.0,1.584
xrx,1881,Stewards,4,5,7,5,4.5,1.645
xrx,1882,Archive,8,7,4,6,14.0,2.156
xrx,1882,Craft,6,5,5,6,9.0,2.012
xrx,1882,Flow,6,6,5,5,9.5,2.045
xrx,1882,Hands,4,4,6,3,3.5,1.687
xrx,1882,Helm,7,6,5,4,10.0,2.103
xrx,1882,Lore,3,6,6,7,6.5,1.898
xrx,1882,Shield,5,6,6,5,7.5,1.945
xrx,1882,Stewards,5,6,5,5,8.5,1.987
xrx,1883,Archive,8,7,3,6,15.0,2.245
xrx,1883,Craft,6,6,5,6,10.0,2.089
xrx,1883,Flow,6,7,5,5,10.5,2.112
xrx,1883,Hands,5,5,6,3,5.5,1.682
xrx,1883,Helm,7,7,4,5,12.5,2.234
xrx,1883,Lore,4,6,5,7,8.5,2.012
xrx,1883,Shield,6,6,5,5,9.5,2.056
xrx,1883,Stewards,6,6,5,5,9.5,2.054
xrx,1884,Archive,8,8,3,6,16.0,2.312
xrx,1884,Craft,6,6,5,6,10.0,2.156
xrx,1884,Flow,7,7,4,6,13.0,2.289
xrx,1884,Hands,4,4,6,4,4.0,1.745
xrx,1884,Helm,8,7,4,4,13.0,2.345
xrx,1884,Lore,5,6,6,6,8.0,2.011
xrx,1884,Shield,6,7,4,5,11.5,2.212
xrx,1884,Stewards,6,6,4,5,10.5,2.198
xrx,1885,Archive,8,8,3,6,16.0,2.323
xrx,1885,Craft,6,6,5,6,10.0,2.167
xrx,1885,Flow,7,7,4,6,13.0,2.301
xrx,1885,Hands,4,4,7,4,3.0,1.654
xrx,1885,Helm,8,7,4,5,13.5,2.356
xrx,1885,Lore,5,6,5,6,9.0,2.089
xrx,1885,Shield,7,7,4,5,12.5,2.245
xrx,1885,Stewards,6,6,4,5,10.5,2.245
xrx,1886,Archive,9,8,3,6,17.0,2.412
xrx,1886,Craft,6,6,4,6,11.0,2.234
xrx,1886,Flow,7,7,4,6,13.0,2.387
xrx,1886,Hands,5,5,5,4,7.0,1.892
xrx,1886,Helm,8,7,4,5,13.5,2.401
xrx,1886,Lore,5,6,5,6,9.0,2.123
xrx,1886,Shield,7,7,4,5,12.5,2.289
xrx,1886,Stewards,6,7,4,5,11.5,2.267
xrx,1887,Archive,9,8,3,6,17.0,2.456
xrx,1887,Craft,7,6,4,6,12.0,2.312
xrx,1887,Flow,8,8,5,6,14.0,2.456
xrx,1887,Hands,4,4,6,3,3.5,1.789
xrx,1887,Helm,8,7,4,5,13.5,2.412
xrx,1887,Lore,5,6,5,6,9.0,2.156
xrx,1887,Shield,7,7,4,6,13.0,2.389
xrx,1887,Stewards,7,7,4,5,12.5,2.345
xrx,1888,Archive,9,8,3,6,17.0,2.654
xrx,1888,Craft,7,7,4,7,13.5,2.456
xrx,1888,Flow,8,8,4,6,15.0,2.567
xrx,1888,Hands,4,4,7,3,2.5,1.812
xrx,1888,Helm,8,7,4,5,13.5,2.512
xrx,1888,Lore,6,6,5,6,10.0,2.234
xrx,1888,Shield,8,8,3,6,16.0,2.543
xrx,1888,Stewards,7,7,4,6,13.0,2.412

xrx,1889,Archive,9,8,3,6,17.0,2.678
xrx,1889,Craft,7,7,4,7,13.5,2.467
xrx,1889,Flow,8,8,4,6,15.0,2.589
xrx,1889,Hands,4,4,7,3,2.5,1.832
xrx,1889,Helm,8,7,4,5,13.5,2.541
xrx,1889,Lore,6,6,5,6,10.0,2.256
