Society,Source,File,Yr,Cog%,Heart,Pulse,V,C,B,Ph,Cr,Helm,Lore,Hand,Arch,System
Argentina,nations_ENS,Argentina_ENS.csv,2026,12.8,-2.62,-33.5,0,0,4,0,4,B,B,Cr,Cr,Sys-Crisis
Argentina,v23_canonical,Argentina_ENS_1950_2026_cleaned.csv,2026,12.8,-2.62,-33.5,0,0,4,0,4,B,B,Cr,Cr,Sys-Crisis
Argentina,v23_usp,Argentina_CAMS5_ensemble_1950_2026_cleaned.csv,2026,12.8,-2.62,-33.5,0,0,4,0,4,B,B,Cr,Cr,Sys-Crisis
Argentina,v23_usp,Argentina_cam5_1950_2026_cleaned.csv,2026,12.8,-2.62,-33.5,0,0,4,0,4,B,B,Cr,Cr,Sys-Crisis
Australia,cleaned,Australian_Gem_Jan30.csv,2025,68.4,2.88,197.0,6,2,0,0,0,V,V,C,V,Strained-Viable
Australia,v23_usp,Australia_cam5_1996_2026_cleaned.csv,2026,40.9,2.12,86.7,6,2,0,0,0,V,V,C,V,Strained-Viable
Australia,nations_ENS,Australia_ENS.csv,2026,30.4,0.63,19.2,1,4,2,1,0,C,C,C,V,Fragmented
Australia,v23_canonical,Australia_ENS_1875_2026_cleaned.csv,2026,30.4,0.63,19.2,1,4,2,1,0,C,C,C,V,Fragmented
Brazil,nations_ENS,Brazil_ENS.csv,2025,56.4,0.75,42.3,0,7,1,0,0,C,C,B,C,Fragmented
Canada,nations_ENS,Canada_ENS.csv,2026,27.8,-1.48,-41.1,0,0,6,2,0,B,Ph,B,Ph,Burning
Canada,v23_canonical,Canada_ENS_1850_2026_cleaned.csv,2026,27.8,-1.48,-41.1,0,0,6,2,0,B,Ph,B,Ph,Burning
Chile,nations_ENS,Chile_ENS.csv,2026,36.1,2.3,83.0,5,3,0,0,0,C,V,C,V,Strained-Viable
Chile,v23_canonical,Chile_ENS_1875_2026_cleaned.csv,2026,36.1,2.3,83.0,5,3,0,0,0,C,V,C,V,Strained-Viable
China,nations_ENS,China_ENS.csv,2025,52.6,2.75,144.6,6,2,0,0,0,V,C,C,V,Strained-Viable
China,v23_canonical,China_ENS_1800_2025_cleaned.csv,2025,52.6,2.75,144.6,6,2,0,0,0,V,C,C,V,Strained-Viable
China,v23_usp,China_CAMS_1900_2026_cleaned.csv,2026,47.8,1.38,66.0,4,1,0,3,0,C,V,Ph,V,Fragmented
China,v23_usp,China_CAMS5_ensemble_1850_2026_cleaned.csv,2026,41.8,0.05,2.1,0,4,3,1,0,Ph,C,B,C,Fragmented
Colombia,nations_ENS,Colombia_ENS.csv,2026,22.9,-0.38,-8.7,0,2,4,2,0,Ph,C,B,C,Burning
Denmark,nations_ENS,Denmark_ENS.csv,2025,46.9,6.5,304.8,8,0,0,0,0,V,V,V,V,Adaptive
France,v23_usp,France_1900_2026_cleaned.csv,2026,31.0,0.38,11.8,2,2,3,1,0,C,V,B,V,Fragmented
France,nations_ENS,France_ENS.csv,2026,40.1,-0.1,-4.0,0,4,4,0,0,B,C,B,C,Burning
France,v23_canonical,France_ENS_1850_2026_cleaned.csv,2026,40.1,-0.1,-4.0,0,4,4,0,0,B,C,B,C,Burning
Germany,nations_ENS,Germany_ENS.csv,2026,33.7,0.1,3.4,1,4,3,0,0,C,B,B,C,Fragmented
Germany,v23_canonical,Germany_ENS_1880_2026_cleaned.csv,2026,33.7,0.1,3.4,1,4,3,0,0,C,B,B,C,Fragmented
Germany,cleaned,Germany_cleaned.csv,2025,37.1,0.06,2.2,2,2,3,1,0,?,?,?,?,Fragmented
Germany,v23_usp,Germany_CAMS_1900_2026_cleaned.csv,2026,31.1,-1.38,-42.9,0,0,6,2,0,B,Ph,B,Ph,Burning
Hong Kong,nations_ENS,Hong_Kong_ENS.csv,2015,44.9,1.75,78.6,6,1,0,1,0,V,V,Ph,V,Strained-Viable
Hong Kong,cleaned,Hong_Kong_cleaned.csv,2015,44.9,1.75,78.6,6,1,0,1,0,?,?,?,?,Strained-Viable
Hong Kong,cleaned,Hongkong_Manual_cleaned.csv,2015,44.9,1.75,78.6,6,1,0,1,0,?,?,?,?,Strained-Viable
India,nations_ENS,India_ENS.csv,2026,37.3,1.0,37.3,4,2,1,0,1,C,B,Cr,C,Fragmented
Indonesia,nations_ENS,Indonesia_ENS.csv,2025,26.8,-1.75,-46.9,0,0,6,1,1,B,Ph,Cr,B,Sys-Crisis
