Nation,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
India,1950,Executive,7,6,-2,5,18.5,11.3
India,1950,Army,6,4,-1,3,13.5,8.4
India,1950,Priests,8,3,-1,4,15,9
India,1950,Property Owners,5,5,-1,4,13,7.8
India,1950,Trades/Professions,6,5,-1,4,14,8.4
India,1950,Proletariat,7,2,-1,2,11,6.6
India,1950,State Memory,5,3,-1,3,11,6.6
India,1950,Shopkeepers/Merchants,6,4,-1,3,12,7.2
India,1951,Executive,7,6,-2,5,18.5,11.3
India,1951,Army,6,4,-1,3,13.5,8.4
India,1951,Priests,8,3,-1,4,15,9
India,1951,Property Owners,5,5,-1,4,13,7.8
India,1951,Trades/Professions,6,5,-1,4,14,8.4
India,1951,Proletariat,7,2,-1,2,11,6.6
India,1951,State Memory,5,3,-1,3,11,6.6
India,1951,Shopkeepers/Merchants,6,4,-1,3,12,7.2
India,1953,Executive,7,6,-2,5,18.5,11.3
India,1953,Army,6,4,0,3,13,7.8
India,1953,Priests,8,3,-1,4,15,9
India,1953,Property Owners,5,5,-1,4,13,7.8
India,1953,Trades/Professions,6,5,-1,4,14,8.4
India,1953,Proletariat,7,2,-1,2,11,6.6
India,1953,State Memory,5,3,-1,3,11,6.6
India,1953,Shopkeepers/Merchants,6,4,-1,3,12,7.2
India,1954,Executive,7,6,-2,5,18.5,11.3
India,1954,Army,6,4,0,3,13,7.8
India,1954,Priests,8,3,-1,4,15,9
India,1954,Property Owners,5,5,-1,4,13,7.8
India,1954,Trades/Professions,6,5,-1,4,14,8.4
India,1954,Proletariat,7,2,-1,2,11,6.6
India,1954,State Memory,5,3,-1,3,11,6.6
India,1954,Shopkeepers/Merchants,6,4,-1,3,12,7.2
India,1955,Executive,7,6,-2,5,18.5,11.3
India,1955,Army,6,4,0,3,13,7.8
India,1955,Priests,8,3,-1,4,15,9
India,1955,Property Owners,5,5,-1,4,13,7.8
India,1955,Trades/Professions,6,5,-1,4,14,8.4
India,1955,Proletariat,7,2,-1,2,11,6.6
India,1955,State Memory,5,3,-1,3,11,6.6
India,1955,Shopkeepers/Merchants,6,4,-1,3,12,7.2
India,1956,Executive,7,6,-2,5,18.5,11.3
India,1956,Army,6,4,0,3,13,7.8
India,1956,Priests,8,3,-1,4,15,9
India,1956,Property Owners,5,5,-1,4,13,7.8
India,1956,Trades/Professions,6,5,-1,4,14,8.4
India,1956,Proletariat,7,2,-1,2,11,6.6
India,1956,State Memory,5,3,-1,3,11,6.6
India,1956,Shopkeepers/Merchants,6,4,-1,3,12,7.2
India,1957,Executive,7,6,-2,5,18.5,11.3
India,1957,Army,6,4,0,3,13,7.8
India,1957,Priests,8,3,-1,4,15,9
India,1957,Property Owners,5,5,-1,4,13,7.8
India,1957,Trades/Professions,6,5,-1,4,14,8.4
India,1957,Proletariat,7,2,-1,2,11,6.6
India,1957,State Memory,5,3,-1,3,11,6.6
India,1957,Shopkeepers/Merchants,6,4,-1,3,12,7.2
India,1958,Executive,7,6,-2,5,18.5,11.3
India,1958,Army,6,4,0,3,13,7.8
India,1958,Priests,8,3,-1,4,15,9
India,1958,Property Owners,5,5,-1,4,13,7.8
India,1958,Trades/Professions,6,5,-1,4,14,8.4
India,1958,Proletariat,7,2,-1,2,11,6.6
India,1958,State Memory,5,3,-1,3,11,6.6
India,1958,Shopkeepers/Merchants,6,4,-1,3,12,7.2
India,1959,Executive,7,6,-2,5,18.5,11.3
India,1959,Army,6,4,0,3,13,7.8
India,1959,Priests,8,3,-1,4,15,9
India,1959,Property Owners,5,5,-1,4,13,7.8
India,1959,Trades/Professions,6,5,-1,4,14,8.4
India,1959,Proletariat,7,2,-1,2,11,6.6
India,1959,State Memory,5,3,-1,3,11,6.6
India,1959,Shopkeepers/Merchants,6,4,-1,3,12,7.2
India,1960,Executive,7,6,-2,5,18.5,11.3
India,1960,Army,6,4,-1,3,13.5,8.4
India,1960,Priests,8,3,-1,4,15,9
India,1960,Property Owners,5,5,-1,4,13,7.8
India,1960,Trades/Professions,6,5,-1,4,14,8.4
India,1960,Proletariat,7,2,-1,2,11,6.6
India,1960,State Memory,5,3,-1,3,11,6.6
India,1960,Shopkeepers/Merchants,6,4,-1,3,12,7.2
India,1961,Executive,7,6,-2,5,18.5,11.3
India,1961,Army,6,4,-1,3,13.5,8.4
India,1961,Priests,8,3,-1,4,15,9
India,1961,Property Owners,5,5,-1,4,13,7.8
India,1961,Trades/Professions,6,5,-1,4,14,8.4
India,1961,Proletariat,7,2,-1,2,11,6.6
India,1961,State Memory,5,3,-1,3,11,6.6
India,1961,Shopkeepers/Merchants,6,4,-1,3,12,7.2
India,1962,Executive,7,6,-2,5,18.5,11.3
India,1962,Army,6,4,-1,3,13.5,8.4
India,1962,Priests,8,3,-1,4,15,9
India,1962,Property Owners,5,5,-1,4,13,7.8
India,1962,Trades/Professions,6,5,-1,4,14,8.4
India,1962,Proletariat,7,2,-1,2,11,6.6
India,1962,State Memory,5,3,-1,3,11,6.6
India,1962,Shopkeepers/Merchants,6,4,-1,3,12,7.2
India,1964,Executive,7,6,-2,5,18.5,11.3
India,1964,Army,6,4,0,3,13,7.8
India,1964,Priests,8,3,-1,4,15,9
India,1964,Property Owners,5,5,-1,4,13,7.8
India,1964,Trades/Professions,6,5,-1,4,14,8.4
India,1964,Proletariat,7,2,-1,2,11,6.6
India,1964,State Memory,5,3,-1,3,11,6.6
India,1964,Shopkeepers/Merchants,6,4,-1,3,12,7.2
India,1965,Executive,7,6,-2,5,18.5,11.3
India,1965,Army,6,4,0,3,13,7.8
India,1965,Priests,8,3,-1,4,15,9
India,1965,Property Owners,5,5,-1,4,13,7.8
India,1965,Trades/Professions,6,5,-1,4,14,8.4
India,1965,Proletariat,7,2,-1,2,11,6.6
India,1965,State Memory,5,3,-1,3,11,6.6
India,1965,Shopkeepers/Merchants,6,4,-1,3,12,7.2
India,1966,Executive,7,6,-2,5,18.5,11.3
India,1966,Army,6,5,0,3,14,8.4
India,1966,Priests,8,3,-1,4,15,9
India,1966,Property Owners,5,5,-1,4,13,7.8
India,1966,Trades/Professions,6,5,-1,4,14,8.4
India,1966,Proletariat,7,2,-1,2,11,6.6
India,1966,State Memory,5,3,-1,3,11,6.6
India,1966,Shopkeepers/Merchants,6,4,-1,3,12,7.2
India,1967,Executive,7,6,-2,5,18.5,11.3
India,1967,Army,6,5,0,3,14,8.4
