Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Lebanon,1943,Army,4,3,6,3,4.5,2.114
Lebanon,1943,Executive,5,4,6,5,8.5,2.486
Lebanon,1943,Merchants / Shopkeepers,6,6,5,5,10.5,2.743
Lebanon,1943,Priesthood / Knowledge Workers,7,7,5,6,14.0,3.029
Lebanon,1943,Proletariat,3,3,7,3,4.5,1.829
Lebanon,1943,Property Owners,6,7,4,5,11.5,2.886
Lebanon,1943,State Memory,4,4,6,5,7.5,2.286
Lebanon,1943,Trades / Professions,5,5,5,4,7.5,2.429
Lebanon,1944,Army,4,4,6,4,6.0,2.257
Lebanon,1944,Executive,5,5,5,5,9.5,2.629
Lebanon,1944,Merchants / Shopkeepers,6,6,5,5,10.5,2.743
Lebanon,1944,Priesthood / Knowledge Workers,7,7,4,6,12.5,2.886
Lebanon,1944,Proletariat,4,4,6,4,6.0,2.200
Lebanon,1944,Property Owners,6,7,4,5,11.5,2.886
Lebanon,1944,State Memory,5,5,5,5,9.0,2.571
Lebanon,1944,Trades / Professions,5,5,5,4,7.5,2.429
Lebanon,1945,Army,5,5,5,4,8.0,2.486
Lebanon,1945,Executive,6,6,5,6,11.0,2.771
Lebanon,1945,Merchants / Shopkeepers,7,7,4,6,12.0,2.914
Lebanon,1945,Priesthood / Knowledge Workers,7,7,3,7,14.5,3.143
Lebanon,1945,Proletariat,5,5,5,4,8.0,2.429
Lebanon,1945,Property Owners,7,7,4,6,13.0,2.971
Lebanon,1945,State Memory,6,6,5,6,11.0,2.771
Lebanon,1945,Trades / Professions,6,6,5,5,9.5,2.571
Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Lebanon,1946,Army,5,5,5,4,8.0,2.486
Lebanon,1946,Executive,6,6,5,6,11.0,2.771
Lebanon,1946,Merchants / Shopkeepers,7,7,4,6,12.0,2.914
Lebanon,1946,Priesthood / Knowledge Workers,7,7,3,7,14.5,3.143
Lebanon,1946,Proletariat,5,5,5,4,8.0,2.429
Lebanon,1946,Property Owners,7,7,4,6,13.0,2.971
Lebanon,1946,State Memory,6,6,5,6,11.0,2.771
Lebanon,1946,Trades / Professions,6,6,5,5,9.5,2.571
Lebanon,1947,Army,5,5,5,4,8.0,2.486
Lebanon,1947,Executive,6,6,5,6,11.0,2.771
Lebanon,1947,Merchants / Shopkeepers,7,7,4,6,12.0,2.914
Lebanon,1947,Priesthood / Knowledge Workers,7,7,3,7,14.5,3.143
Lebanon,1947,Proletariat,5,5,5,4,8.0,2.429
Lebanon,1947,Property Owners,7,7,4,6,13.0,2.971
Lebanon,1947,State Memory,6,6,5,6,11.0,2.771
Lebanon,1947,Trades / Professions,6,6,5,5,9.5,2.571
Lebanon,1948,Army,5,5,6,4,7.0,2.286
Lebanon,1948,Executive,6,6,6,6,11.0,2.743
Lebanon,1948,Merchants / Shopkeepers,7,7,5,6,12.0,2.914
Lebanon,1948,Priesthood / Knowledge Workers,7,7,4,7,14.5,3.143
Lebanon,1948,Proletariat,5,5,6,4,8.0,2.371
Lebanon,1948,Property Owners,7,7,5,6,13.0,2.971
Lebanon,1948,State Memory,6,6,6,6,11.0,2.743
Lebanon,1948,Trades / Professions,6,6,6,5,9.5,2.571
Lebanon,1949,Army,5,5,6,4,7.0,2.286
Lebanon,1949,Executive,6,6,6,6,11.0,2.743
Lebanon,1949,Merchants / Shopkeepers,7,7,5,6,12.0,2.914
Lebanon,1949,Priesthood / Knowledge Workers,7,7,4,7,14.5,3.143
Lebanon,1949,Proletariat,5,5,6,4,8.0,2.371
Lebanon,1949,Property Owners,7,7,5,6,13.0,2.971
Lebanon,1949,State Memory,6,6,6,6,11.0,2.743
Lebanon,1949,Trades / Professions,6,6,6,5,9.5,2.571
Lebanon,1950,Army,5,5,6,4,7.0,2.286
Lebanon,1950,Executive,6,6,6,6,11.0,2.743
Lebanon,1950,Merchants / Shopkeepers,7,7,5,6,12.0,2.914
Lebanon,1950,Priesthood / Knowledge Workers,7,7,4,7,14.5,3.143
Lebanon,1950,Proletariat,5,5,6,4,8.0,2.371
Lebanon,1950,Property Owners,7,7,5,6,13.0,2.971
Lebanon,1950,State Memory,6,6,6,6,11.0,2.743
Lebanon,1950,Trades / Professions,6,6,6,5,9.5,2.571
Lebanon,1951,Army,5,5,6,4,7.0,2.286
Lebanon,1951,Executive,6,6,6,6,11.0,2.743
Lebanon,1951,Merchants / Shopkeepers,7,7,5,6,12.0,2.914
Lebanon,1951,Priesthood / Knowledge Workers,7,7,4,7,14.5,3.143
Lebanon,1951,Proletariat,5,5,6,4,8.0,2.371
Lebanon,1951,Property Owners,7,7,5,6,13.0,2.971
Lebanon,1951,State Memory,6,6,6,6,11.0,2.743
Lebanon,1951,Trades / Professions,6,6,6,5,9.5,2.571
Lebanon,1952,Army,5,5,6,4,7.0,2.286
Lebanon,1952,Executive,6,6,6,6,11.0,2.743
Lebanon,1952,Merchants / Shopkeepers,7,7,5,6,12.0,2.914
Lebanon,1952,Priesthood / Knowledge Workers,7,7,4,7,14.5,3.143
Lebanon,1952,Proletariat,5,5,6,4,8.0,2.371
Lebanon,1952,Property Owners,7,7,5,6,13.0,2.971
Lebanon,1952,State Memory,6,6,6,6,11.0,2.743
Lebanon,1952,Trades / Professions,6,6,6,5,9.5,2.571
Lebanon,1953,Army,5,5,6,4,7.0,2.286
Lebanon,1953,Executive,6,6,6,6,11.0,2.743
Lebanon,1953,Merchants / Shopkeepers,7,7,5,6,12.0,2.914
Lebanon,1953,Priesthood / Knowledge Workers,7,7,4,7,14.5,3.143
Lebanon,1953,Proletariat,5,5,6,4,8.0,2.371
Lebanon,1953,Property Owners,7,7,5,6,13.0,2.971
Lebanon,1953,State Memory,6,6,6,6,11.0,2.743
Lebanon,1953,Trades / Professions,6,6,6,5,9.5,2.571
Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Lebanon,1954,Army,5,5,6,4,7.0,2.286
Lebanon,1954,Executive,6,6,6,6,11.0,2.743
Lebanon,1954,Merchants / Shopkeepers,7,7,5,6,12.0,2.914
Lebanon,1954,Priesthood / Knowledge Workers,7,7,4,7,14.5,3.143
Lebanon,1954,Proletariat,5,5,6,4,8.0,2.371
Lebanon,1954,Property Owners,7,7,5,6,13.0,2.971
Lebanon,1954,State Memory,6,6,6,6,11.0,2.743
Lebanon,1954,Trades / Professions,6,6,6,5,9.5,2.571
Lebanon,1955,Army,5,5,6,4,7.0,2.286
Lebanon,1955,Executive,6,6,6,6,11.0,2.743
Lebanon,1955,Merchants / Shopkeepers,7,7,5,6,12.0,2.914
Lebanon,1955,Priesthood / Knowledge Workers,7,7,4,7,14.5,3.143
Lebanon,1955,Proletariat,5,5,6,4,8.0,2.371
Lebanon,1955,Property Owners,7,7,5,6,13.0,2.971
Lebanon,1955,State Memory,6,6,6,6,11.0,2.743
Lebanon,1955,Trades / Professions,6,6,6,5,9.5,2.571
Lebanon,1956,Army,5,5,6,4,7.0,2.286
Lebanon,1956,Executive,6,6,6,6,11.0,2.743
Lebanon,1956,Merchants / Shopkeepers,7,7,5,6,12.0,2.914
Lebanon,1956,Priesthood / Knowledge Workers,7,7,4,7,14.5,3.143
Lebanon,1956,Proletariat,5,5,6,4,8.0,2.371
Lebanon,1956,Property Owners,7,7,5,6,13.0,2.971
Lebanon,1956,State Memory,6,6,6,6,11.0,2.743
Lebanon,1956,Trades / Professions,6,6,6,5,9.5,2.571
Lebanon,1957,Army,5,5,6,4,7.0,2.286
Lebanon,1957,Executive,6,6,6,6,11.0,2.743
Lebanon,1957,Merchants / Shopkeepers,7,7,5,6,12.0,2.914
Lebanon,1957,Priesthood / Knowledge Workers,7,7,4,7,14.5,3.143
Lebanon,1957,Proletariat,5,5,6,4,8.0,2.371
Lebanon,1957,Property Owners,7,7,5,6,13.0,2.971
Lebanon,1957,State Memory,6,6,6,6,11.0,2.743
Lebanon,1957,Trades / Professions,6,6,6,5,9.5,2.571
