Nation,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Singapore,1935,Executive,5,4,-3,4,12,10.8
Singapore,1935,Army,4,3,-4,3,10.5,8.4
Singapore,1935,Priests,6,5,-2,5,15.5,13.2
Singapore,1935,Property Owners,7,6,-1,6,18,15.6
Singapore,1935,Trades/Professions,5,4,-3,4,12,10.8
Singapore,1935,Proletariat,4,3,-4,3,10.5,8.4
Singapore,1935,State Memory,6,5,-2,5,15.5,13.2
Singapore,1935,Shopkeepers/Merchants,7,6,-1,6,18,15.6
Singapore,1936,Executive,5.5,4.5,-2.5,4.5,13.25,11.7
Singapore,1936,Army,4.5,3.5,-3.5,3.5,11.75,9.3
Singapore,1936,Priests,6.5,5.5,-1.5,5.5,16.75,14.1
Singapore,1936,Property Owners,7.5,6.5,-0.5,6.5,19.25,16.5
Singapore,1936,Trades/Professions,5.5,4.5,-2.5,4.5,13.25,11.7
Singapore,1936,Proletariat,4.5,3.5,-3.5,3.5,11.75,9.3
Singapore,1936,State Memory,6.5,5.5,-1.5,5.5,16.75,14.1
Singapore,1936,Shopkeepers/Merchants,7.5,6.5,-0.5,6.5,19.25,16.5
Singapore,1937,Executive,6,5,-2,5,14.5,12.6
Singapore,1937,Army,5,4,-3,4,13,10.2
Singapore,1937,Priests,7,6,-1,6,18,15
Singapore,1937,Property Owners,8,7,0,7,21.5,17.4
Singapore,1937,Trades/Professions,6,5,-2,5,14.5,12.6
Singapore,1937,Proletariat,5,4,-3,4,13,10.2
Singapore,1937,State Memory,7,6,-1,6,18,15
Singapore,1937,Shopkeepers/Merchants,8,7,0,7,21.5,17.4
Singapore,1938,Executive,6.5,5.5,-1.5,5.5,15.75,13.5
Singapore,1938,Army,5.5,4.5,-2.5,4.5,14.25,11.1
Singapore,1938,Priests,7.5,6.5,-0.5,6.5,19.25,15.9
Singapore,1938,Property Owners,8.5,7.5,0.5,7.5,23,18.3
Singapore,1938,Trades/Professions,6.5,5.5,-1.5,5.5,15.75,13.5
Singapore,1938,Proletariat,5.5,4.5,-2.5,4.5,14.25,11.1
Singapore,1938,State Memory,7.5,6.5,-0.5,6.5,19.25,15.9
Singapore,1938,Shopkeepers/Merchants,8.5,7.5,0.5,7.5,23,18.3
Singapore,1939,Executive,7,6,-1,6,17,14.4
Singapore,1939,Army,6,5,-2,5,15.5,12
Singapore,1939,Priests,8,7,0,7,20.5,16.8
Singapore,1939,Property Owners,9,8,1,8,24,19.2
Singapore,1939,Trades/Professions,7,6,-1,6,17,14.4
Singapore,1939,Proletariat,6,5,-2,5,15.5,12
Singapore,1939,State Memory,8,7,0,7,20.5,16.8
Singapore,1939,Shopkeepers/Merchants,9,8,1,8,24,19.2
Singapore,1940,Executive,7.5,6.5,-0.5,6.5,18.25,15.3
Singapore,1940,Army,6.5,5.5,-1.5,5.5,16.75,12.9
Singapore,1940,Priests,8.5,7.5,0.5,7.5,21.75,17.7
Singapore,1940,Property Owners,9.5,8.5,1.5,8.5,25.5,20.1
Singapore,1940,Trades/Professions,7.5,6.5,-0.5,6.5,18.25,15.3
Singapore,1940,Proletariat,6.5,5.5,-1.5,5.5,16.75,12.9
Singapore,1940,State Memory,8.5,7.5,0.5,7.5,21.75,17.7
Singapore,1940,Shopkeepers/Merchants,9.5,8.5,1.5,8.5,25.5,20.1
Singapore,1941,Executive,6,5,-4,5,14,10.8
Singapore,1941,Army,7,6,-3,6,17,13.2
Singapore,1941,Priests,7,6,-3,6,17,13.2
Singapore,1941,Property Owners,8,7,-2,7,20,15.6
Singapore,1941,Trades/Professions,6,5,-4,5,14,10.8
Singapore,1941,Proletariat,5,4,-5,4,13,9.6
Singapore,1941,State Memory,6,5,-4,5,14,10.8
Singapore,1941,Shopkeepers/Merchants,7,6,-3,6,17,13.2
Singapore,1942,Executive,4,3,2,3,7.5,6
Singapore,1942,Army,5,4,1,4,11,7.8
Singapore,1942,Priests,5,4,1,4,11,7.8
Singapore,1942,Property Owners,6,5,0,5,13.5,9.6
Singapore,1942,Trades/Professions,4,3,2,3,7.5,6
Singapore,1942,Proletariat,3,2,3,2,5,4.2
Singapore,1942,State Memory,4,3,2,3,7.5,6
Singapore,1942,Shopkeepers/Merchants,5,4,1,4,11,7.8
Singapore,1943,Executive,3,2,3,2,5,4.2
Singapore,1943,Army,4,3,2,3,7.5,6
Singapore,1943,Priests,4,3,2,3,7.5,6
Singapore,1943,Property Owners,5,4,1,4,11,7.8
Singapore,1943,Trades/Professions,3,2,3,2,5,4.2
Singapore,1943,Proletariat,2,1,4,1,2.5,2.4
Singapore,1943,State Memory,3,2,3,2,5,4.2
Singapore,1943,Shopkeepers/Merchants,4,3,2,3,7.5,6
Singapore,1944,Executive,2,1,4,1,2.5,2.4
Singapore,1944,Army,3,2,3,2,5,4.2
Singapore,1944,Priests,3,2,3,2,5,4.2
Singapore,1944,Property Owners,4,3,2,3,7.5,6
Singapore,1944,Trades/Professions,2,1,4,1,2.5,2.4
Singapore,1944,Proletariat,1,0,5,0,0,0
Singapore,1944,State Memory,2,1,4,1,2.5,2.4
Singapore,1944,Shopkeepers/Merchants,3,2,3,2,5,4.2
Singapore,1945,Executive,3,2,3,2,5,4.2
Singapore,1945,Army,2,1,4,1,2.5,2.4
Singapore,1945,Priests,4,3,2,3,7.5,6
Singapore,1945,Property Owners,3,2,3,2,5,4.2
Singapore,1945,Trades/Professions,3,2,3,2,5,4.2
Singapore,1945,Proletariat,4,3,2,3,7.5,6
Singapore,1945,State Memory,3,2,3,2,5,4.2
Singapore,1945,Shopkeepers/Merchants,2,1,4,1,2.5,2.4
Singapore,1946,Executive,4,3,2,3,7.5,6
Singapore,1946,Army,3,2,3,2,5,4.2
Singapore,1946,Priests,5,4,1,4,11,7.8
Singapore,1946,Property Owners,4,3,2,3,7.5,6
Singapore,1946,Trades/Professions,4,3,2,3,7.5,6
Singapore,1946,Proletariat,5,4,1,4,11,7.8
Singapore,1946,State Memory,4,3,2,3,7.5,6
Singapore,1946,Shopkeepers/Merchants,3,2,3,2,5,4.2
Singapore,1947,Executive,5,4,1,4,11,7.8
Singapore,1947,Army,4,3,2,3,7.5,6
Singapore,1947,Priests,6,5,0,5,13.5,9.6
Singapore,1947,Property Owners,5,4,1,4,11,7.8
Singapore,1947,Trades/Professions,5,4,1,4,11,7.8
Singapore,1947,Proletariat,6,5,0,5,13.5,9.6
Singapore,1947,State Memory,5,4,1,4,11,7.8
Singapore,1947,Shopkeepers/Merchants,4,3,2,3,7.5,6
Singapore,1948,Executive,6,5,0,5,13.5,9.6
Singapore,1948,Army,5,4,1,4,11,7.8
Singapore,1948,Priests,7,6,-1,6,17,13.2
Singapore,1948,Property Owners,6,5,0,5,13.5,9.6
Singapore,1948,Trades/Professions,6,5,0,5,13.5,9.6
Singapore,1948,Proletariat,7,6,-1,6,17,13.2
Singapore,1948,State Memory,6,5,0,5,13.5,9.6
Singapore,1948,Shopkeepers/Merchants,5,4,1,4,11,7.8
Singapore,1949,Executive,7,6,-1,6,17,13.2
Singapore,1949,Army,6,5,0,5,13.5,9.6
Singapore,1949,Priests,8,7,-2,7,20,15.6
Singapore,1949,Property Owners,7,6,-1,6,17,13.2
Singapore,1949,Trades/Professions,7,6,-1,6,17,13.2
Singapore,1949,Proletariat,8,7,-2,7,20,15.6
Singapore,1949,State Memory,7,6,-1,6,17,13.2
Singapore,1949,Shopkeepers/Merchants,6,5,0,5,13.5,9.6
Singapore,1950,Executive,8,7,-2,7,20,15.6
Singapore,1950,Army,7,6,-1,6,17,13.2
Singapore,1950,Priests,9,8,-3,8,23,18
Singapore,1950,Property Owners,8,7,-2,7,20,15.6
Singapore,1950,Trades/Professions,8,7,-2,7,20,15.6
Singapore,1950,Proletariat,9,8,-3,8,23,18
Singapore,1950,State Memory,8,7,-2,7,20,15.6
Singapore,1950,Shopkeepers/Merchants,7,6,-1,6,17,13.2
Singapore,1951,Executive,9,8,-2,8,23,18
Singapore,1951,Army,7,6,-1,6,17,13.2
Singapore,1951,Priests,9,8,-3,8,23,18
Singapore,1951,Property Owners,8,7,-2,7,20,15.6
Singapore,1951,Trades/Professions,8,7,-2,7,20,15.6
Singapore,1951,Proletariat,9,8,-3,8,23,18
Singapore,1951,State Memory,8,7,-2,7,20,15.6
Singapore,1951,Shopkeepers/Merchants,7,6,-1,6,17,13.2
Singapore,1952,Executive,8,7,-2,7,20,15.6
Singapore,1952,Army,7,6,-1,6,17,13.2
Singapore,1952,Priests,9,8,-3,8,23,18
Singapore,1952,Property Owners,8,7,-2,7,20,15.6
Singapore,1952,Trades/Professions,8,7,-2,7,20,15.6
Singapore,1952,Proletariat,9,8,-3,8,23,18
