Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Afghanistan,1900,Archive,5,4,5,4,6.0,0.1934076506871333
Afghanistan,1900,Craft,3,3,6,2,1.0,0.14254900972424642
Afghanistan,1900,Flow,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1900,Hands,3,2,7,2,-1.0,0.13401310536978522
Afghanistan,1900,Helm,5,4,6,3,4.5,0.1756084781346674
Afghanistan,1900,Lore,6,4,5,5,7.5,0.2096502937009
Afghanistan,1900,Shield,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1900,Stewards,4,5,5,3,5.5,0.17445125690062638
Afghanistan,1901,Archive,5,4,5,4,6.0,0.1934076506871333
Afghanistan,1901,Craft,3,3,6,2,1.0,0.14254900972424642
Afghanistan,1901,Flow,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1901,Hands,3,2,7,2,-1.0,0.13401310536978522
Afghanistan,1901,Helm,5,4,6,3,4.5,0.1756084781346674
Afghanistan,1901,Lore,6,4,5,5,7.5,0.2096502937009
Afghanistan,1901,Shield,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1901,Stewards,4,5,5,3,5.5,0.17445125690062638
Afghanistan,1902,Archive,5,4,5,4,6.0,0.1934076506871333
Afghanistan,1902,Craft,3,3,6,2,1.0,0.14254900972424642
Afghanistan,1902,Flow,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1902,Hands,3,2,7,2,-1.0,0.13401310536978522
Afghanistan,1902,Helm,5,4,6,3,4.5,0.1756084781346674
Afghanistan,1902,Lore,6,4,5,5,7.5,0.2096502937009
Afghanistan,1902,Shield,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1902,Stewards,4,5,5,3,5.5,0.17445125690062638
Afghanistan,1903,Archive,5,4,5,4,6.0,0.1934076506871333
Afghanistan,1903,Craft,3,3,6,2,1.0,0.14254900972424642
Afghanistan,1903,Flow,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1903,Hands,3,2,7,2,-1.0,0.13401310536978522
Afghanistan,1903,Helm,5,4,6,3,4.5,0.1756084781346674
Afghanistan,1903,Lore,6,4,5,5,7.5,0.2096502937009
Afghanistan,1903,Shield,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1903,Stewards,4,5,5,3,5.5,0.17445125690062638
Afghanistan,1904,Archive,5,4,5,4,6.0,0.1934076506871333
Afghanistan,1904,Craft,3,3,6,2,1.0,0.14254900972424642
Afghanistan,1904,Flow,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1904,Hands,3,2,7,2,-1.0,0.13401310536978522
Afghanistan,1904,Helm,5,4,6,3,4.5,0.1756084781346674
Afghanistan,1904,Lore,6,4,5,5,7.5,0.2096502937009
Afghanistan,1904,Shield,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1904,Stewards,4,5,5,3,5.5,0.17445125690062638
Afghanistan,1905,Archive,5,4,5,4,6.0,0.1934076506871333
Afghanistan,1905,Craft,3,3,6,2,1.0,0.14254900972424642
Afghanistan,1905,Flow,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1905,Hands,3,2,7,2,-1.0,0.13401310536978522
Afghanistan,1905,Helm,5,4,6,3,4.5,0.1756084781346674
Afghanistan,1905,Lore,6,4,5,5,7.5,0.2096502937009
Afghanistan,1905,Shield,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1905,Stewards,4,5,5,3,5.5,0.17445125690062638
Afghanistan,1906,Archive,5,4,5,4,6.0,0.1934076506871333
Afghanistan,1906,Craft,3,3,6,2,1.0,0.14254900972424642
Afghanistan,1906,Flow,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1906,Hands,3,2,7,2,-1.0,0.13401310536978522
Afghanistan,1906,Helm,5,4,6,3,4.5,0.1756084781346674
Afghanistan,1906,Lore,6,4,5,5,7.5,0.2096502937009
Afghanistan,1906,Shield,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1906,Stewards,4,5,5,3,5.5,0.17445125690062638
Afghanistan,1907,Archive,5,4,5,4,6.0,0.1934076506871333
Afghanistan,1907,Craft,3,3,6,2,1.0,0.14254900972424642
Afghanistan,1907,Flow,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1907,Hands,3,2,7,2,-1.0,0.13401310536978522
Afghanistan,1907,Helm,5,4,6,3,4.5,0.1756084781346674
Afghanistan,1907,Lore,6,4,5,5,7.5,0.2096502937009
Afghanistan,1907,Shield,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1907,Stewards,4,5,5,3,5.5,0.17445125690062638
Afghanistan,1908,Archive,5,4,5,4,6.0,0.1934076506871333
Afghanistan,1908,Craft,3,3,6,2,1.0,0.14254900972424642
Afghanistan,1908,Flow,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1908,Hands,3,2,7,2,-1.0,0.13401310536978522
Afghanistan,1908,Helm,5,4,6,3,4.5,0.1756084781346674
Afghanistan,1908,Lore,6,4,5,5,7.5,0.2096502937009
Afghanistan,1908,Shield,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1908,Stewards,4,5,5,3,5.5,0.17445125690062638
Afghanistan,1909,Archive,5,4,5,4,6.0,0.1934076506871333
Afghanistan,1909,Craft,3,3,6,2,1.0,0.14254900972424642
Afghanistan,1909,Flow,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1909,Hands,3,2,7,2,-1.0,0.13401310536978522
Afghanistan,1909,Helm,5,4,6,3,4.5,0.1756084781346674
Afghanistan,1909,Lore,6,4,5,5,7.5,0.2096502937009
Afghanistan,1909,Shield,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1909,Stewards,4,5,5,3,5.5,0.17445125690062638
Afghanistan,1910,Archive,5,4,5,4,6.0,0.1934076506871333
Afghanistan,1910,Craft,3,3,6,2,1.0,0.14254900972424642
Afghanistan,1910,Flow,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1910,Hands,3,2,7,2,-1.0,0.13401310536978522
Afghanistan,1910,Helm,5,4,6,3,4.5,0.1756084781346674
Afghanistan,1910,Lore,6,4,5,5,7.5,0.2096502937009
Afghanistan,1910,Shield,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1910,Stewards,4,5,5,3,5.5,0.17445125690062638
Afghanistan,1911,Archive,5,4,5,4,6.0,0.1934076506871333
Afghanistan,1911,Craft,3,3,6,2,1.0,0.14254900972424642
Afghanistan,1911,Flow,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1911,Hands,3,2,7,2,-1.0,0.13401310536978522
Afghanistan,1911,Helm,5,4,6,3,4.5,0.1756084781346674
Afghanistan,1911,Lore,6,4,5,5,7.5,0.2096502937009
Afghanistan,1911,Shield,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1911,Stewards,4,5,5,3,5.5,0.17445125690062638
Afghanistan,1912,Archive,5,4,5,4,6.0,0.1934076506871333
Afghanistan,1912,Craft,3,3,6,2,1.0,0.14254900972424642
Afghanistan,1912,Flow,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1912,Hands,3,2,7,2,-1.0,0.13401310536978522
Afghanistan,1912,Helm,5,4,6,3,4.5,0.1756084781346674
Afghanistan,1912,Lore,6,4,5,5,7.5,0.2096502937009
Afghanistan,1912,Shield,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1912,Stewards,4,5,5,3,5.5,0.17445125690062638
Afghanistan,1913,Archive,5,4,5,4,6.0,0.1934076506871333
Afghanistan,1913,Craft,3,3,6,2,1.0,0.14254900972424642
Afghanistan,1913,Flow,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1913,Hands,3,2,7,2,-1.0,0.13401310536978522
Afghanistan,1913,Helm,5,4,6,3,4.5,0.1756084781346674
Afghanistan,1913,Lore,6,4,5,5,7.5,0.2096502937009
Afghanistan,1913,Shield,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1913,Stewards,4,5,5,3,5.5,0.17445125690062638
Afghanistan,1914,Archive,5,4,5,4,6.0,0.1934076506871333
Afghanistan,1914,Craft,3,3,6,2,1.0,0.14254900972424642
Afghanistan,1914,Flow,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1914,Hands,3,2,7,2,-1.0,0.13401310536978522
Afghanistan,1914,Helm,5,4,6,3,4.5,0.1756084781346674
Afghanistan,1914,Lore,6,4,5,5,7.5,0.2096502937009
Afghanistan,1914,Shield,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1914,Stewards,4,5,5,3,5.5,0.17445125690062638
Afghanistan,1915,Archive,5,4,5,4,6.0,0.1934076506871333
Afghanistan,1915,Craft,3,3,6,2,1.0,0.14254900972424642
Afghanistan,1915,Flow,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1915,Hands,3,2,7,2,-1.0,0.13401310536978522
Afghanistan,1915,Helm,5,4,6,3,4.5,0.1756084781346674
Afghanistan,1915,Lore,6,4,5,5,7.5,0.2096502937009
Afghanistan,1915,Shield,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1915,Stewards,4,5,5,3,5.5,0.17445125690062638
Afghanistan,1916,Archive,5,4,5,4,6.0,0.1934076506871333
Afghanistan,1916,Craft,3,3,6,2,1.0,0.14254900972424642
Afghanistan,1916,Flow,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1916,Hands,3,2,7,2,-1.0,0.13401310536978522
Afghanistan,1916,Helm,5,4,6,3,4.5,0.1756084781346674
Afghanistan,1916,Lore,6,4,5,5,7.5,0.2096502937009
Afghanistan,1916,Shield,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1916,Stewards,4,5,5,3,5.5,0.17445125690062638
Afghanistan,1917,Archive,5,4,5,4,6.0,0.1934076506871333
Afghanistan,1917,Craft,3,3,6,2,1.0,0.14254900972424642
Afghanistan,1917,Flow,4,4,6,3,3.5,0.16437546911525083
Afghanistan,1917,Hands,3,2,7,2,-1.0,0.13401310536978522
