Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Australia,1895,Archive,7,7,3,7,14.5,0.35478060607568906
Australia,1895,Craft,6,6,4,6,11.0,0.31422781321438215
Australia,1895,Flow,4,5,6,6,6.0,0.2531567772447255
Australia,1895,Hands,7,5,8,5,6.5,0.2507849778746261
Australia,1895,Helm,4,5,4,6,8.0,0.285702544263183
Australia,1895,Lore,6,6,4,7,11.5,0.3228656177554556
Australia,1895,Shield,5,4,3,5,8.5,0.3084784424393094
Australia,1895,Stewards,5,4,7,6,5.0,0.25083805874022047
Australia,1896,Archive,7,7,3,7,14.5,0.3637810462403892
Australia,1896,Craft,6,6,4,6,11.0,0.3220025797136015
Australia,1896,Flow,4,5,6,6,6.0,0.2592105532689761
Australia,1896,Hands,7,6,7,5,8.5,0.2729565787278726
Australia,1896,Helm,4,5,4,6,8.0,0.29265650682376
Australia,1896,Lore,7,6,4,7,12.5,0.3435420207554541
Australia,1896,Shield,5,4,3,5,8.5,0.31608520273893514
Australia,1896,Stewards,5,5,6,6,7.0,0.27301393028771914
Australia,1897,Archive,7,7,3,7,14.5,0.3777567845864205
Australia,1897,Craft,6,6,4,6,11.0,0.3340751117571719
Australia,1897,Flow,4,6,5,6,8.0,0.2855938715890256
Australia,1897,Hands,7,6,6,5,9.5,0.3006493177499269
Australia,1897,Helm,5,5,5,7,8.5,0.3101965565085103
Australia,1897,Lore,7,7,4,7,13.5,0.3565818457133873
Australia,1897,Shield,5,4,3,5,8.5,0.327896857465056
Australia,1897,Stewards,6,5,5,6,9.0,0.31477910645805707
Australia,1898,Archive,8,7,3,7,15.5,0.39265791584092835
Australia,1898,Craft,6,7,4,6,12.0,0.3356751225912497
Australia,1898,Flow,4,6,5,6,8.0,0.2869291287547582
Australia,1898,Hands,7,6,6,5,9.5,0.3020652326233438
Australia,1898,Helm,5,5,6,7,7.5,0.2933816575689022
Australia,1898,Lore,8,7,4,7,14.5,0.3708384330351257
Australia,1898,Shield,5,4,3,5,8.5,0.32946229340359584
Australia,1898,Stewards,6,6,5,6,10.0,0.31627196935306795
Australia,1899,Archive,8,7,3,7,15.5,0.4126935534085066
Australia,1899,Craft,7,7,4,7,13.5,0.376250879161875
Australia,1899,Flow,5,6,5,6,9.0,0.31683072876245727
Australia,1899,Hands,7,6,5,5,10.5,0.33653365071778196
Australia,1899,Helm,6,6,5,7,10.5,0.3411985760423216
Australia,1899,Lore,8,7,3,7,15.5,0.41269355340850655
Australia,1899,Shield,6,5,5,6,9.0,0.33176962464705534
Australia,1899,Stewards,6,6,5,6,10.0,0.33176962464705534
Australia,1900,Archive,8,8,3,8,17.0,0.45406703295421214
Australia,1900,Craft,7,7,4,7,13.5,0.40466971432712395
Australia,1900,Flow,6,7,4,7,12.5,0.3893446166116118
Australia,1900,Hands,7,7,5,6,12.0,0.37151598696489396
Australia,1900,Helm,7,6,4,8,13.0,0.4144072982741579
Australia,1900,Lore,8,8,3,8,17.0,0.45406703295421214
Australia,1900,Shield,6,5,5,6,9.0,0.3563184026564003
Australia,1900,Stewards,7,7,4,7,13.5,0.40466971432712395
Australia,1901,Archive,9,8,3,8,18.0,0.4846065517246271
Australia,1901,Craft,7,7,4,7,13.5,0.41872608976526315
Australia,1901,Flow,8,7,4,7,14.5,0.4337905000736413
Australia,1901,Hands,8,7,5,6,13.0,0.39914743050178697
Australia,1901,Helm,8,7,5,8,14.0,0.4178059512279286
Australia,1901,Lore,8,8,3,8,17.0,0.47017246283915826
Australia,1901,Shield,7,6,4,6,12.0,0.408203373914371
Australia,1901,Stewards,7,7,4,7,13.5,0.41872608976526315
Australia,1902,Archive,8,8,3,8,17.0,0.3875582358935205
Australia,1902,Craft,7,7,5,7,12.5,0.3269990587515218
Australia,1902,Flow,5,4,8,7,4.5,0.2514053774777517
Australia,1902,Hands,7,5,9,6,6.0,0.2503521292721896
Australia,1902,Helm,7,6,6,8,11.0,0.31564820595079485
Australia,1902,Lore,8,8,4,8,16.0,0.3663158235646238
Australia,1902,Shield,6,5,4,6,10.0,0.32485470561318547
Australia,1902,Stewards,5,4,8,7,4.5,0.2514053774777517
Australia,1903,Archive,8,8,3,8,17.0,0.4106013566922727
Australia,1903,Craft,7,7,5,7,12.5,0.3457636593048145
Australia,1903,Flow,6,5,6,7,8.5,0.3132840226872561
Australia,1903,Hands,7,6,7,6,9.0,0.2988160996473747
Australia,1903,Helm,6,6,6,8,10.0,0.3216632880140873
Australia,1903,Lore,8,8,4,8,16.0,0.38781581549782757
Australia,1903,Shield,6,5,4,6,10.0,0.3434742448085005
Australia,1903,Stewards,6,5,6,7,8.5,0.3132840226872561
Australia,1904,Archive,8,8,3,8,17.0,0.42009635163932785
Australia,1904,Craft,7,7,5,7,12.5,0.3534956756837188
Australia,1904,Flow,6,6,5,7,10.5,0.34010137454162853
Australia,1904,Hands,8,7,6,7,12.5,0.34501927786115877
Australia,1904,Helm,5,5,7,8,7.0,0.29702009090976517
Australia,1904,Lore,8,8,4,8,16.0,0.39667495903790534
Australia,1904,Shield,6,5,4,6,10.0,0.3511464881699805
Australia,1904,Stewards,6,6,5,7,10.5,0.34010137454162853
Australia,1905,Archive,8,8,3,8,17.0,0.4582434804553755
Australia,1905,Craft,7,7,4,7,13.5,0.4083148026292315
Australia,1905,Flow,7,7,4,7,13.5,0.4083148026292315
Australia,1905,Hands,8,7,5,7,13.5,0.39851528789223056
Australia,1905,Helm,6,6,5,8,11.0,0.37973544055931213
Australia,1905,Lore,8,8,3,8,17.0,0.4582434804553755
Australia,1905,Shield,6,5,4,6,10.0,0.38197052309052787
Australia,1905,Stewards,7,7,4,7,13.5,0.4083148026292315
Australia,1906,Archive,9,8,3,9,18.5,0.49361852415081303
Australia,1906,Craft,7,7,4,7,13.5,0.41854223954766806
Australia,1906,Flow,7,7,4,7,13.5,0.41854223954766806
Australia,1906,Hands,8,7,5,7,13.5,0.4084583828287354
Australia,1906,Helm,7,7,4,8,14.0,0.4286706753254951
Australia,1906,Lore,8,8,3,8,17.0,0.4699618120350558
Australia,1906,Shield,6,5,4,6,10.0,0.3914392897587723
Australia,1906,Stewards,7,7,4,7,13.5,0.41854223954766806
Australia,1907,Archive,9,8,3,9,18.5,0.49016781417409444
Australia,1907,Craft,8,8,4,8,16.0,0.44016558598391625
Australia,1907,Flow,7,7,4,7,13.5,0.4157027960881017
Australia,1907,Hands,9,8,5,8,16.0,0.42788219653405984
Australia,1907,Helm,7,7,5,8,13.0,0.4010336857040529
Australia,1907,Lore,8,8,3,8,17.0,0.46670845146912815
Australia,1907,Shield,6,6,4,7,11.5,0.3998942605874886
Australia,1907,Stewards,6,7,6,8,11.0,0.3636796306183926
Australia,1908,Archive,9,8,3,9,18.5,0.48615577403214466
Australia,1908,Craft,8,8,4,8,16.0,0.43663630684682214
Australia,1908,Flow,7,7,4,7,13.5,0.4124014577497778
Australia,1908,Hands,9,8,5,8,16.0,0.42446801002898027
Australia,1908,Helm,6,7,6,8,11.0,0.360847003082618
Australia,1908,Lore,8,8,3,8,17.0,0.4629258637481077
Australia,1908,Shield,7,6,4,7,12.5,0.4124014577497778
Australia,1908,Stewards,6,7,6,8,11.0,0.360847003082618
Australia,1909,Archive,9,8,3,9,18.5,0.4960006058683218
Australia,1909,Craft,8,8,4,8,16.0,0.44529652917219853
Australia,1909,Flow,8,8,4,7,15.5,0.4356413249893194
Australia,1909,Hands,8,8,6,8,14.0,0.3950502549734593
Australia,1909,Helm,7,7,5,8,13.0,0.40563800118092935
Australia,1909,Lore,8,8,3,8,17.0,0.47220766021611055
Australia,1909,Shield,7,7,4,7,13.5,0.4205023539584901
Australia,1909,Stewards,7,7,5,8,13.0,0.40563800118092935
Australia,1910,Archive,9,9,2,9,20.5,0.5516359308068922
Australia,1910,Craft,8,8,4,8,16.0,0.4670966800264288
Australia,1910,Flow,8,8,4,7,15.5,0.4568894836955189
Australia,1910,Hands,9,8,5,8,16.0,0.4539350459334078
Australia,1910,Helm,8,8,4,9,16.5,0.47697065552382595
Australia,1910,Lore,8,8,3,8,17.0,0.49557248338096244
Australia,1910,Shield,7,7,4,8,14.0,0.4516527287460924
Australia,1910,Stewards,7,7,5,8,13.0,0.4252006368003615
Australia,1911,Archive,9,9,2,9,20.5,0.5539707918978153
Australia,1911,Craft,8,8,4,8,16.0,0.46901304748511297
Australia,1911,Flow,8,8,4,8,16.0,0.46901304748511297
Australia,1911,Hands,8,8,5,8,15.0,0.44170598748118933
Australia,1911,Helm,8,8,4,9,16.5,0.4789343478236883
Australia,1911,Lore,8,8,3,8,17.0,0.4976263951676483
Australia,1911,Shield,8,8,4,8,16.0,0.46901304748511297
Australia,1911,Stewards,7,8,5,8,14.0,0.4269203128960845
Australia,1912,Archive,9,9,2,9,20.5,0.5407045627111369
Australia,1912,Craft,8,8,4,8,16.0,0.4581246181855581
Australia,1912,Flow,8,8,4,8,16.0,0.4581246181855581
Australia,1912,Hands,8,8,6,8,14.0,0.40621775509005237
Australia,1912,Helm,7,8,5,9,14.5,0.42682801168726586
Australia,1912,Lore,8,8,3,8,17.0,0.4859564655956828
Australia,1912,Shield,8,8,4,8,16.0,0.4581246181855581
Australia,1912,Stewards,7,8,5,8,14.0,0.41714944588330855
Australia,1913,Archive,9,9,2,9,20.5,0.5407045627111369
Australia,1913,Craft,8,8,4,8,16.0,0.4581246181855581
Australia,1913,Flow,8,8,4,8,16.0,0.4581246181855581
Australia,1913,Hands,8,8,6,8,14.0,0.40621775509005237
Australia,1913,Helm,7,8,5,9,14.5,0.42682801168726586
Australia,1913,Lore,8,8,3,8,17.0,0.4859564655956828
Australia,1913,Shield,8,8,4,8,16.0,0.4581246181855581
Australia,1913,Stewards,7,8,5,8,14.0,0.41714944588330855
Australia,1914,Archive,9,9,4,9,18.5,0.39479305519433233
Australia,1914,Craft,8,8,7,8,13.0,0.3155762401291967
Australia,1914,Flow,6,6,9,8,7.0,0.26014493390172805
Australia,1914,Hands,8,9,8,8,13.0,0.29714891914568803
Australia,1914,Helm,8,7,8,9,11.5,0.30353303313259367
Australia,1914,Lore,9,8,5,8,16.0,0.36599889398318347
Australia,1914,Shield,9,9,6,9,16.5,0.3520090660872159
Australia,1914,Stewards,7,7,7,8,11.0,0.3051038429883416
Australia,1915,Archive,9,9,4,9,18.5,0.37195252675267426
Australia,1915,Craft,8,8,7,8,13.0,0.2980849884970664
Australia,1915,Flow,6,6,9,8,7.0,0.24610631607533281
Australia,1915,Hands,7,8,8,7,10.5,0.2649691141242032
Australia,1915,Helm,7,7,7,8,11.0,0.28828129584517354
Australia,1915,Lore,8,8,6,8,14.0,0.3161482564264554
Australia,1915,Shield,8,9,8,8,13.0,0.28082900430963836
Australia,1915,Stewards,7,7,7,7,10.5,0.2814492898066389
Australia,1916,Archive,9,9,4,9,18.5,0.33188716232088933
Australia,1916,Craft,8,8,7,8,13.0,0.2674029763536343
Australia,1916,Flow,5,6,9,8,6.0,0.21268620358988446
Australia,1916,Hands,5,7,9,7,6.5,0.2065177991545393
Australia,1916,Helm,4,6,9,8,5.0,0.20333256171083652
Australia,1916,Lore,6,7,8,8,9.0,0.23523115410782605
Australia,1916,Shield,7,9,9,8,11.0,0.22978860795071684
Australia,1916,Stewards,7,7,7,7,10.5,0.2527488954622488
Australia,1917,Archive,9,9,5,9,17.5,0.29301133544320157
Australia,1917,Craft,7,7,8,8,10.0,0.22828435748049397
Australia,1917,Flow,4,5,10,8,3.0,0.17929077273782776
Australia,1917,Hands,3,6,10,7,2.5,0.16419403021285933
Australia,1917,Helm,5,7,8,8,8.0,0.21165915171392294
Australia,1917,Lore,5,7,9,8,7.0,0.1993105628017733
Australia,1917,Shield,7,9,9,8,11.0,0.21517576852313436
Australia,1917,Stewards,7,7,7,7,10.5,0.23642312179437042
Australia,1918,Archive,9,9,5,9,17.5,0.3140463174244301
Australia,1918,Craft,7,7,8,8,10.0,0.24377708029287487
Australia,1918,Flow,5,6,9,8,6.0,0.21254193042368225
Australia,1918,Hands,5,7,9,7,6.5,0.20637825754921688
Australia,1918,Helm,6,7,7,8,10.0,0.24947587536426438
Australia,1918,Lore,6,7,8,8,9.0,0.23506921670338818
Australia,1918,Shield,8,9,9,9,12.5,0.2425388794585531
Australia,1918,Stewards,7,7,8,7,9.5,0.23802639775157772
Australia,1919,Archive,9,8,6,9,15.5,0.2972731660111731
Australia,1919,Craft,7,7,8,8,10.0,0.24396721417493264
Australia,1919,Flow,5,6,8,8,7.0,0.22601421656738932
Australia,1919,Hands,5,6,9,7,5.5,0.20653531359278313
Australia,1919,Helm,6,6,8,8,8.0,0.23525147953451747
Australia,1919,Lore,7,7,7,8,11.0,0.2587950064865437
Australia,1919,Shield,6,7,7,8,10.0,0.24967121982987545
Australia,1919,Stewards,6,6,8,7,7.5,0.2291556805005803
Australia,1920,Archive,9,9,4,9,18.5,0.4118787752301806
Australia,1920,Craft,8,8,5,8,15.0,0.3701346257427998
Australia,1920,Flow,7,7,6,8,12.0,0.3374079306186934
Australia,1920,Hands,6,7,7,7,9.5,0.29805213886335297
Australia,1920,Helm,7,7,6,8,12.0,0.3374079306186934
Australia,1920,Lore,8,8,5,8,15.0,0.3701346257427998
Australia,1920,Shield,6,6,5,7,10.5,0.33645431308064705
Australia,1920,Stewards,7,7,6,7,11.5,0.3293884857888322
Australia,1921,Archive,9,9,3,9,19.5,0.4619446434447781
Australia,1921,Craft,8,8,5,8,15.0,0.391625821531633
Australia,1921,Flow,7,7,6,8,12.0,0.3566933215801618
Australia,1921,Hands,7,7,6,7,11.5,0.34814540930968535
Australia,1921,Helm,7,7,5,8,13.0,0.37875475160048705
Australia,1921,Lore,8,8,4,8,16.0,0.4153384546209649
Australia,1921,Shield,6,6,4,7,11.5,0.37768819922193814
Australia,1921,Stewards,7,7,6,7,11.5,0.34814540930968535
Australia,1922,Archive,9,9,3,9,19.5,0.47960443259507474
Australia,1922,Craft,8,8,4,8,16.0,0.43087327561189676
Australia,1922,Flow,8,8,5,8,15.0,0.40612032203379095
Australia,1922,Hands,7,7,5,7,12.5,0.3833430240966713
Australia,1922,Helm,7,7,5,8,13.0,0.39269511579754174
Australia,1922,Lore,8,8,4,8,16.0,0.43087327561189676
Australia,1922,Shield,5,5,4,7,9.5,0.37517680842219725
Australia,1922,Stewards,7,7,5,7,12.5,0.3833430240966713
Australia,1923,Archive,9,9,3,9,19.5,0.4956008790351846
Australia,1923,Craft,8,8,4,8,16.0,0.44494490069321674
Australia,1923,Flow,8,8,5,8,15.0,0.41924961247919923
Australia,1923,Hands,7,7,6,7,11.5,0.3722546929089143
Australia,1923,Helm,8,7,4,8,15.0,0.44494490069321674
Australia,1923,Lore,8,8,4,8,16.0,0.44494490069321674
Australia,1923,Shield,6,5,4,7,10.5,0.4041690096178328
Australia,1923,Stewards,8,8,4,8,16.0,0.44494490069321674
Australia,1924,Archive,9,9,3,9,19.5,0.5005978647728894
Australia,1924,Craft,8,8,4,8,16.0,0.4493406088338305
Australia,1924,Flow,8,8,4,8,16.0,0.4493406088338305
Australia,1924,Hands,7,7,6,7,11.5,0.3758342300787208
Australia,1924,Helm,8,7,4,8,15.0,0.4493406088338305
Australia,1924,Lore,8,8,4,8,16.0,0.4493406088338305
Australia,1924,Shield,6,5,4,7,10.5,0.40810065050249744
Australia,1924,Stewards,8,8,4,8,16.0,0.4493406088338305
Australia,1925,Archive,9,9,3,9,19.5,0.489047509416579
Australia,1925,Craft,8,8,5,8,15.0,0.4138708495495122
Australia,1925,Flow,8,8,4,8,16.0,0.4391800853239041
Australia,1925,Hands,6,7,7,7,9.5,0.33210709126596377
Australia,1925,Helm,8,7,4,8,15.0,0.4391800853239041
Australia,1925,Lore,8,8,4,8,16.0,0.4391800853239041
Australia,1925,Shield,6,5,4,7,10.5,0.39901280200042544
Australia,1925,Stewards,8,8,4,8,16.0,0.4391800853239041
Australia,1926,Archive,9,9,3,9,19.5,0.489047509416579
Australia,1926,Craft,8,8,5,8,15.0,0.4138708495495122
Australia,1926,Flow,8,8,4,8,16.0,0.4391800853239041
Australia,1926,Hands,6,7,7,7,9.5,0.33210709126596377
Australia,1926,Helm,8,8,4,8,16.0,0.4391800853239041
Australia,1926,Lore,8,8,4,8,16.0,0.4391800853239041
Australia,1926,Shield,6,5,4,7,10.5,0.39901280200042544
Australia,1926,Stewards,8,8,4,8,16.0,0.4391800853239041
Australia,1927,Archive,9,9,3,9,19.5,0.4782345599209929
Australia,1927,Craft,8,8,5,8,15.0,0.4049959813073311
Australia,1927,Flow,8,8,5,8,15.0,0.4049959813073311
Australia,1927,Hands,6,7,7,7,9.5,0.32519672751570944
Australia,1927,Helm,8,8,4,9,16.5,0.4386179142898632
Australia,1927,Lore,8,8,4,8,16.0,0.4296682370584284
Australia,1927,Shield,6,6,4,7,11.5,0.3905051462751185
Australia,1927,Stewards,7,8,5,8,14.0,0.3916137595130601
Australia,1928,Archive,9,9,3,9,19.5,0.4343827202522825
Australia,1928,Craft,8,8,6,8,14.0,0.34786334574309935
Australia,1928,Flow,7,7,7,8,11.0,0.31674122440657865
Australia,1928,Hands,5,7,8,7,7.5,0.26739392055522465
Australia,1928,Helm,7,7,6,9,12.5,0.3441054180765408
Australia,1928,Lore,8,8,5,8,15.0,0.36900401635864455
Australia,1928,Shield,6,6,4,7,11.5,0.3560024090732999
Australia,1928,Stewards,7,7,6,8,12.0,0.33639336427197264
Australia,1929,Archive,9,9,4,9,18.5,0.333430437556326
Australia,1929,Craft,7,7,7,8,11.0,0.25990893733279496
Australia,1929,Flow,4,5,10,8,3.0,0.19195461032671782
Australia,1929,Hands,4,6,9,7,4.5,0.19757094385304694
Australia,1929,Helm,4,5,9,8,4.0,0.2041933595104564
Australia,1929,Lore,7,7,6,8,12.0,0.27548202717104686
Australia,1929,Shield,6,6,5,7,10.5,0.2747309646617703
Australia,1929,Stewards,5,6,9,8,6.0,0.21359194240446672
Australia,1931,Archive,9,9,6,9,16.5,0.25400956496502386
Australia,1931,Craft,6,6,9,8,7.0,0.19095417918610277
Australia,1931,Flow,3,4,10,8,1.0,0.15723891077618043
Australia,1931,Hands,2,4,10,7,-0.5,0.14232495712070967
Australia,1931,Helm,3,4,10,8,1.0,0.15723891077618043
Australia,1931,Lore,6,7,8,8,9.0,0.20251365116024284
Australia,1931,Shield,6,6,6,7,9.5,0.22159603438521086
Australia,1931,Stewards,4,5,10,8,3.0,0.16530424538504038
Australia,1932,Archive,9,9,4,9,18.5,0.35978888911459767
Australia,1932,Craft,7,7,7,8,11.0,0.279322511545518
Australia,1932,Flow,5,5,8,8,6.0,0.24354547747517707
Australia,1932,Hands,4,5,9,7,3.5,0.21173818587363544
Australia,1932,Helm,6,6,7,8,9.0,0.269348939274597
Australia,1932,Lore,7,7,6,8,12.0,0.29628898082522237
Australia,1932,Shield,7,6,6,7,10.5,0.2893962969825537
Australia,1932,Stewards,6,6,7,8,9.0,0.269348939274597
Australia,1933,Archive,9,9,4,9,18.5,0.39675686942900945
Australia,1933,Craft,7,7,6,8,12.0,0.3254709322532095
Australia,1933,Flow,6,6,7,8,9.0,0.2954495053894923
Australia,1933,Hands,5,6,8,7,6.5,0.2589758708040937
Australia,1933,Helm,7,6,6,8,11.0,0.3254709322532095
Australia,1933,Lore,8,8,5,8,15.0,0.3568323095223946
Australia,1933,Shield,6,5,4,7,10.5,0.3443343269647669
Australia,1933,Stewards,6,7,6,8,11.0,0.3138233141445653
Australia,1934,Archive,9,9,3,9,19.5,0.4589256829077894
Australia,1934,Craft,7,8,5,8,14.0,0.37637163088347375
Australia,1934,Flow,7,7,6,8,12.0,0.35446979132837353
Australia,1934,Hands,6,7,7,7,9.5,0.3128567675607842
Australia,1934,Helm,7,7,5,8,13.0,0.37637163088347375
Australia,1934,Lore,8,8,4,8,16.0,0.41268275974705304
Australia,1934,Shield,6,6,4,7,11.5,0.37531287351571235
Australia,1934,Stewards,7,7,5,8,13.0,0.37637163088347375
Australia,1935,Archive,9,9,3,9,19.5,0.4720163997447503
Australia,1935,Craft,8,8,5,8,15.0,0.3998923458658213
Australia,1935,Flow,7,7,5,8,13.0,0.38670524012165014
Australia,1935,Hands,6,7,6,7,10.5,0.34161302631316265
Australia,1935,Helm,7,7,5,8,13.0,0.38670524012165014
Australia,1935,Lore,8,8,4,8,16.0,0.4241982960297583
Australia,1935,Shield,6,6,4,8,12.0,0.395814587949365
Australia,1935,Stewards,7,7,5,8,13.0,0.38670524012165014
Australia,1936,Archive,9,9,3,9,19.5,0.483164238009826
