Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Australia,1900,Archive,4.0,3.5,-4,3.0,13.0,0.7460836355986297
Australia,1900,Craft,6.0,5.5,-3,5.0,17.0,0.851157781396857
Australia,1900,Flow,6.5,6.0,-2,5.5,17.25,0.8319480734202587
Australia,1900,Hands,5.5,6.0,-2,4.5,15.75,0.7697086634737652
Australia,1900,Helm,6.5,6.0,-4,5.5,19.25,0.9360167288593851
Australia,1900,Lore,7.0,6.0,-3,6.0,19.0,0.9127631575263672
Australia,1900,Shield,5.0,4.5,-5,4.0,16.5,0.8809491946251783
Australia,1900,Stewards,7.5,7.0,-2,6.5,19.75,0.8877711937640976
Australia,1901,Archive,4.5,4.0,-3,3.5,13.25,0.7224003838251053
Australia,1901,Craft,6.5,6.0,-2,5.5,17.25,0.8081938910068406
Australia,1901,Flow,7.0,6.5,-1,6.0,17.5,0.7876574960932679
Australia,1901,Hands,6.0,6.5,-1,5.0,16.0,0.7334049699596529
Australia,1901,Helm,7.0,6.5,-3,6.0,19.5,0.8862811968081699
Australia,1901,Lore,7.5,6.5,-2,6.5,19.25,0.8621438057726148
Australia,1901,Shield,5.5,5.0,-4,4.5,16.75,0.8427924471025191
Australia,1901,Stewards,8.0,7.5,-1,7.0,20.0,0.8367305593256751
Australia,1902,Archive,5.0,4.5,-2,4.0,13.5,0.6920410443368191
Australia,1902,Craft,7.0,6.5,-1,6.0,17.5,0.7620342364751875
Australia,1902,Flow,7.5,7.0,0,6.5,17.75,0.7408256403075987
Australia,1902,Hands,6.5,7.0,0,5.5,16.25,0.6935477146274668
Australia,1902,Helm,7.5,7.0,-2,6.5,19.75,0.8336602251322695
Australia,1902,Lore,8.0,7.0,-1,7.0,19.5,0.8092345791945169
Australia,1902,Shield,6.0,5.5,-3,5.0,17.0,0.7996523360197213
Australia,1902,Stewards,8.5,8.0,0,7.5,20.25,0.7839003793082221
Australia,1903,Archive,5.5,5.0,-1,4.5,13.75,0.6572359114897315
Australia,1903,Craft,7.5,7.0,0,6.5,17.75,0.7142449901265281
Australia,1903,Flow,8.0,7.5,1,7.0,18.0,0.6928750997611639
Australia,1903,Hands,7.0,7.5,1,6.0,16.5,0.6516831449921188
Australia,1903,Helm,8.0,7.5,-1,7.0,20.0,0.7797600944858062
Australia,1903,Lore,8.5,7.5,0,7.5,19.75,0.7555094940202368
Australia,1903,Shield,6.5,6.0,-2,5.5,17.25,0.7534909238118171
Australia,1903,Stewards,9.0,8.5,1,8.0,20.5,0.7306404131956407
Australia,1904,Archive,5.0,4.5,-1,4.0,12.5,0.6200065207865951
Australia,1904,Craft,7.0,6.5,0,6.0,16.5,0.6830031553483068
Australia,1904,Flow,7.5,7.0,0,6.5,17.75,0.7047656027424579
Australia,1904,Hands,6.5,7.0,0,5.5,16.25,0.660123445621131
Australia,1904,Helm,7.5,7.0,-1,6.5,18.75,0.7475466883781723
Australia,1904,Lore,8.0,7.0,0,7.0,18.5,0.725526950564799
Australia,1904,Shield,6.0,5.5,-2,5.0,16.0,0.7168912397069375
Australia,1904,Stewards,8.5,8.0,0,7.5,20.25,0.7453845272497409
Australia,1905,Archive,4.5,4.0,-1,3.5,11.25,0.5634474242037819
Australia,1905,Craft,6.5,6.0,0,5.5,15.25,0.6306718073504646
Australia,1905,Flow,7.0,6.5,0,6.0,16.5,0.6523682524554534
Australia,1905,Hands,6.0,6.5,0,5.0,15.0,0.6077671401521006
Australia,1905,Helm,7.0,6.5,-1,6.0,17.5,0.6919380623509191
Australia,1905,Lore,7.5,6.5,0,6.5,17.25,0.6729914693367623
Australia,1905,Shield,5.5,5.0,-2,4.5,14.75,0.6578073937385959
Australia,1905,Stewards,8.0,7.5,0,7.0,19.0,0.692653042489985
Australia,1906,Archive,6.0,5.5,-1,5.0,15.0,0.69169006882506
Australia,1906,Craft,8.0,7.5,0,7.0,19.0,0.7431477298795451
Australia,1906,Flow,8.0,7.5,1,7.0,18.0,0.7001651560580021
Australia,1906,Hands,7.5,8.0,1,6.5,17.75,0.6797978155893633
Australia,1906,Helm,7.5,7.0,-1,6.5,18.75,0.7658003707769517
Australia,1906,Lore,8.5,7.5,0,7.5,19.75,0.7635757053301278
Australia,1906,Shield,6.5,6.0,-2,5.5,17.25,0.7615317005244735
Australia,1906,Stewards,9.0,8.5,1,8.0,20.5,0.7383952615854783
Australia,1907,Archive,6.5,6.0,-1,5.5,16.25,0.7299572744503775
Australia,1907,Craft,8.0,7.5,0,7.0,19.0,0.7558935172567534
Australia,1907,Flow,8.0,7.5,1,7.0,18.0,0.7120573961840507
Australia,1907,Hands,7.5,8.0,1,6.5,17.75,0.6912922087536228
Australia,1907,Helm,8.0,7.5,-1,7.0,20.0,0.8017947668318416
Australia,1907,Lore,8.5,7.5,0,7.5,19.75,0.7767340840721794
Australia,1907,Shield,7.0,6.5,-2,6.0,18.5,0.8009659494410786
Australia,1907,Stewards,9.0,8.5,1,8.0,20.5,0.751045715222311
Australia,1909,Archive,6.0,5.5,-1,5.0,15.0,0.6954468002959481
Australia,1909,Craft,7.5,7.0,0,6.5,17.75,0.7257436651444229
Australia,1909,Flow,7.5,7.0,0,6.5,17.75,0.7257436651444229
Australia,1909,Hands,7.0,7.5,0,6.0,17.5,0.7032290698164957
Australia,1909,Helm,7.5,7.0,-1,6.5,18.75,0.7700304189560286
Australia,1909,Lore,8.0,7.0,0,7.0,18.5,0.7472311111845277
Australia,1909,Shield,6.5,6.0,-2,5.5,17.25,0.7657339715287864
Australia,1909,Stewards,8.5,8.0,0,7.5,20.25,0.7677912689645293
Australia,1910,Archive,5.5,5.0,-1,4.5,13.75,0.6397150262859491
Australia,1910,Craft,7.0,6.5,0,6.0,16.5,0.6735457955981821
Australia,1910,Flow,7.0,6.5,0,6.0,16.5,0.6735457955981821
Australia,1910,Hands,6.5,7.0,0,5.5,16.25,0.6510313737666708
Australia,1910,Helm,7.0,6.5,-1,6.0,17.5,0.7146355910930132
Australia,1910,Lore,7.5,6.5,0,6.5,17.25,0.6949565489511949
Australia,1910,Shield,6.0,5.5,-2,5.0,16.0,0.7068843766989686
Australia,1910,Stewards,8.0,7.5,0,7.0,19.0,0.7153783832217447
Australia,1911,Archive,7.0,6.5,-1,6.0,17.5,0.755396309652429
Australia,1911,Craft,8.0,7.5,0,7.0,19.0,0.756189047160511
Australia,1911,Flow,8.0,7.5,1,7.0,18.0,0.7123331353342424
Australia,1911,Hands,7.5,8.0,1,6.5,17.75,0.6915587232344512
Australia,1911,Helm,7.5,7.0,-1,6.5,18.75,0.7793101060421362
Australia,1911,Lore,8.5,7.5,0,7.5,19.75,0.77703918051606
Australia,1911,Shield,7.0,6.5,-2,6.0,18.5,0.8012823029115409
Australia,1911,Stewards,9.0,8.5,1,8.0,20.5,0.7513390346725058
Australia,1912,Archive,7.5,7.0,-1,6.5,18.75,0.7919973990495778
Australia,1912,Craft,8.0,7.5,0,7.0,19.0,0.7684364384156916
Australia,1912,Flow,8.0,7.5,1,7.0,18.0,0.7237603554355851
Australia,1912,Hands,7.5,8.0,1,6.5,17.75,0.7026036533087826
Australia,1912,Helm,8.0,7.5,-1,7.0,20.0,0.8152379368726766
Australia,1912,Lore,8.5,7.5,0,7.5,19.75,0.7896830296536922
Australia,1912,Shield,7.5,7.0,-2,6.5,19.75,0.8398792113885521
Australia,1912,Stewards,9.0,8.5,1,8.0,20.5,0.7634948200045965
Australia,1913,Archive,7.0,6.5,-1,6.0,17.5,0.7594746935864151
Australia,1913,Craft,7.5,7.0,0,6.5,17.75,0.7383486938537683
Australia,1913,Flow,7.5,7.0,0,6.5,17.75,0.7383486938537683
Australia,1913,Hands,7.0,7.5,0,6.0,17.5,0.7153821575354263
Australia,1913,Helm,7.5,7.0,-1,6.5,18.75,0.7835401542212131
Australia,1913,Lore,8.0,7.0,0,7.0,18.5,0.7602724284654935
Australia,1913,Shield,7.0,6.5,-2,6.0,18.5,0.8056534065820216
Australia,1913,Stewards,8.5,8.0,0,7.5,20.25,0.7812547441504615
