Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Brazil,1880,Archive,7.0,7.0,4.0,7.0,13.5,0.3637655964057573
Brazil,1880,Craft,7.0,7.0,5.0,7.0,12.5,0.3429939757594493
Brazil,1880,Flow,8.0,8.0,4.0,7.0,15.5,0.37652297710289556
Brazil,1880,Hands,5.0,6.0,7.0,5.0,6.5,0.2620787588315655
Brazil,1880,Helm,7.0,7.0,5.0,7.0,12.5,0.34299397575944923
Brazil,1880,Lore,7.0,7.0,4.0,7.0,13.5,0.3637655964057573
Brazil,1880,Shield,6.0,7.0,6.0,6.0,10.0,0.30216702032584436
Brazil,1880,Stewards,7.0,8.0,5.0,7.0,13.5,0.3429939757594493
Brazil,1881,Archive,7.0,7.0,4.0,7.0,13.5,0.3637655964057573
Brazil,1881,Craft,7.0,7.0,5.0,7.0,12.5,0.3429939757594493
Brazil,1881,Flow,8.0,8.0,4.0,7.0,15.5,0.37652297710289556
Brazil,1881,Hands,5.0,6.0,7.0,5.0,6.5,0.2620787588315655
Brazil,1881,Helm,7.0,7.0,5.0,7.0,12.5,0.34299397575944923
Brazil,1881,Lore,7.0,7.0,4.0,7.0,13.5,0.3637655964057573
Brazil,1881,Shield,6.0,7.0,6.0,6.0,10.0,0.30216702032584436
Brazil,1881,Stewards,7.0,8.0,5.0,7.0,13.5,0.3429939757594493
Brazil,1882,Archive,7.0,7.0,4.0,7.0,13.5,0.3637655964057573
Brazil,1882,Craft,7.0,7.0,5.0,7.0,12.5,0.3429939757594493
Brazil,1882,Flow,8.0,8.0,4.0,7.0,15.5,0.37652297710289556
Brazil,1882,Hands,5.0,6.0,7.0,5.0,6.5,0.2620787588315655
Brazil,1882,Helm,7.0,7.0,5.0,7.0,12.5,0.34299397575944923
Brazil,1882,Lore,7.0,7.0,4.0,7.0,13.5,0.3637655964057573
Brazil,1882,Shield,6.0,7.0,6.0,6.0,10.0,0.30216702032584436
Brazil,1882,Stewards,7.0,8.0,5.0,7.0,13.5,0.3429939757594493
Brazil,1883,Archive,7.0,7.0,4.0,7.0,13.5,0.3637655964057573
Brazil,1883,Craft,7.0,7.0,5.0,7.0,12.5,0.3429939757594493
Brazil,1883,Flow,8.0,8.0,4.0,7.0,15.5,0.37652297710289556
Brazil,1883,Hands,5.0,6.0,7.0,5.0,6.5,0.2620787588315655
Brazil,1883,Helm,7.0,7.0,5.0,7.0,12.5,0.34299397575944923
Brazil,1883,Lore,7.0,7.0,4.0,7.0,13.5,0.3637655964057573
Brazil,1883,Shield,6.0,7.0,6.0,6.0,10.0,0.30216702032584436
Brazil,1883,Stewards,7.0,8.0,5.0,7.0,13.5,0.3429939757594493
Brazil,1884,Archive,7.0,7.0,5.0,7.0,12.5,0.3145511153979165
Brazil,1884,Craft,7.0,7.0,6.0,7.0,11.5,0.2966106896029918
Brazil,1884,Flow,8.0,8.0,5.0,7.0,14.5,0.32556785141104105
Brazil,1884,Hands,4.0,6.0,8.0,5.0,4.5,0.21402630819327875
Brazil,1884,Helm,7.0,7.0,6.0,7.0,11.5,0.2966106896029918
Brazil,1884,Lore,7.0,7.0,5.0,7.0,12.5,0.3145511153979165
Brazil,1884,Shield,6.0,7.0,7.0,6.0,9.0,0.26133879174495794
Brazil,1884,Stewards,7.0,8.0,6.0,7.0,12.5,0.2966106896029918
Brazil,1885,Archive,7.0,7.0,5.0,7.0,12.5,0.3027353051494967
Brazil,1885,Craft,7.0,7.0,6.0,7.0,11.5,0.28558614881947736
Brazil,1885,Flow,8.0,8.0,5.0,7.0,14.5,0.3132560590042081
Brazil,1885,Hands,4.0,5.0,9.0,5.0,2.5,0.1938896701177872
Brazil,1885,Helm,6.0,7.0,7.0,7.0,9.5,0.25897387605390737
Brazil,1885,Lore,7.0,7.0,5.0,7.0,12.5,0.3027353051494967
Brazil,1885,Shield,5.0,6.0,8.0,6.0,6.0,0.22619704944246863
Brazil,1885,Stewards,7.0,8.0,6.0,7.0,12.5,0.28558614881947736
Brazil,1886,Archive,7.0,7.0,5.0,7.0,12.5,0.3027353051494967
Brazil,1886,Craft,7.0,7.0,6.0,7.0,11.5,0.28558614881947736
Brazil,1886,Flow,8.0,8.0,5.0,7.0,14.5,0.3132560590042081
Brazil,1886,Hands,4.0,5.0,9.0,5.0,2.5,0.1938896701177872
Brazil,1886,Helm,6.0,7.0,7.0,7.0,9.5,0.25897387605390737
Brazil,1886,Lore,7.0,7.0,5.0,7.0,12.5,0.3027353051494967
Brazil,1886,Shield,5.0,6.0,8.0,6.0,6.0,0.22619704944246863
Brazil,1886,Stewards,7.0,8.0,6.0,7.0,12.5,0.28558614881947736
Brazil,1887,Archive,7.0,7.0,6.0,7.0,11.5,0.2638915736619598
Brazil,1887,Craft,7.0,7.0,7.0,7.0,10.5,0.24893925007022596
Brazil,1887,Flow,8.0,8.0,6.0,7.0,13.5,0.2730649113178078
Brazil,1887,Hands,3.0,5.0,9.0,5.0,1.5,0.16838798668698593
Brazil,1887,Helm,6.0,6.0,8.0,7.0,7.5,0.22573718611827404
Brazil,1887,Lore,7.0,7.0,6.0,7.0,11.5,0.2638915736619598
Brazil,1887,Shield,5.0,6.0,8.0,6.0,6.0,0.20960908825314745
Brazil,1887,Stewards,6.0,7.0,7.0,7.0,9.5,0.23961905692318672
Brazil,1888,Archive,7.0,7.0,6.0,7.0,11.5,0.2467497942653329
Brazil,1888,Craft,7.0,7.0,7.0,7.0,10.5,0.23294540435952715
Brazil,1888,Flow,7.0,8.0,7.0,7.0,11.5,0.23294540435952715
Brazil,1888,Hands,3.0,4.0,10.0,5.0,-0.5,0.14851396819699364
Brazil,1888,Helm,5.0,6.0,9.0,7.0,5.5,0.1908249884806938
Brazil,1888,Lore,7.0,7.0,6.0,7.0,11.5,0.24674979426533292
Brazil,1888,Shield,4.0,5.0,9.0,6.0,3.0,0.1755511343987087
Brazil,1888,Stewards,6.0,7.0,8.0,7.0,8.5,0.21146827378937966
Brazil,1889,Archive,6.0,6.0,7.0,7.0,8.5,0.19514991379849445
Brazil,1889,Craft,6.0,6.0,8.0,7.0,7.5,0.18424600847756395
Brazil,1889,Flow,7.0,7.0,8.0,7.0,9.5,0.19124366226169923
Brazil,1889,Hands,2.0,3.0,10.0,4.0,-3.0,0.11345831565800449
Brazil,1889,Helm,4.0,5.0,10.0,7.0,2.5,0.14967389578154003
Brazil,1889,Lore,6.0,6.0,7.0,7.0,8.5,0.19514991379849445
Brazil,1889,Shield,3.0,4.0,10.0,5.0,-0.5,0.1302531566498745
Brazil,1889,Stewards,5.0,6.0,9.0,7.0,5.5,0.1666456022473603
Brazil,1890,Archive,6.0,6.0,8.0,7.0,7.5,0.1741177347239124
Brazil,1890,Craft,6.0,6.0,8.0,7.0,7.5,0.1741177347239124
Brazil,1890,Flow,6.0,7.0,9.0,7.0,7.5,0.16434207224273006
Brazil,1890,Hands,2.0,3.0,10.0,4.0,-3.0,0.10762630296163958
Brazil,1890,Helm,3.0,4.0,10.0,6.0,0.0,0.1290622112930214
Brazil,1890,Lore,6.0,6.0,8.0,7.0,7.5,0.17411773472391237
Brazil,1890,Shield,3.0,4.0,10.0,5.0,-0.5,0.12345906746609199
Brazil,1890,Stewards,5.0,6.0,9.0,7.0,5.5,0.15764945735782457
Brazil,1891,Archive,6.0,6.0,8.0,7.0,7.5,0.1741177347239124
Brazil,1891,Craft,6.0,6.0,8.0,7.0,7.5,0.1741177347239124
Brazil,1891,Flow,6.0,6.0,9.0,7.0,6.5,0.16434207224273006
Brazil,1891,Hands,2.0,3.0,10.0,4.0,-3.0,0.10762630296163958
Brazil,1891,Helm,3.0,4.0,10.0,6.0,0.0,0.1290622112930214
Brazil,1891,Lore,6.0,6.0,8.0,7.0,7.5,0.17411773472391237
Brazil,1891,Shield,3.0,4.0,10.0,5.0,-0.5,0.12345906746609199
Brazil,1891,Stewards,5.0,6.0,9.0,7.0,5.5,0.15764945735782457
Brazil,1892,Archive,6.0,6.0,8.0,7.0,7.5,0.17276619531199092
Brazil,1892,Craft,6.0,6.0,8.0,7.0,7.5,0.17276619531199092
Brazil,1892,Flow,5.0,6.0,9.0,7.0,5.5,0.1564489917435159
Brazil,1892,Hands,2.0,4.0,10.0,4.0,-2.0,0.10684806619576212
Brazil,1892,Helm,3.0,4.0,10.0,6.0,0.0,0.12810906980528455
Brazil,1892,Lore,6.0,6.0,8.0,7.0,7.5,0.17276619531199092
Brazil,1892,Shield,3.0,4.0,10.0,5.0,-0.5,0.1225524490705652
Brazil,1892,Stewards,5.0,6.0,9.0,7.0,5.5,0.15644899174351592
Brazil,1893,Archive,6.0,6.0,9.0,7.0,6.5,0.1514663473074586
Brazil,1893,Craft,6.0,6.0,9.0,7.0,6.5,0.1514663473074586
Brazil,1893,Flow,5.0,5.0,10.0,7.0,3.5,0.13714239224667496
Brazil,1893,Hands,2.0,4.0,10.0,4.0,-2.0,0.09968013539004607
Brazil,1893,Helm,2.0,3.0,10.0,6.0,-2.0,0.11150844085969551
Brazil,1893,Lore,5.0,6.0,9.0,7.0,5.5,0.1453921323977568
Brazil,1893,Shield,2.0,3.0,10.0,5.0,-2.5,0.10582442536129481
Brazil,1893,Stewards,5.0,6.0,9.0,7.0,5.5,0.1453921323977568
Brazil,1894,Archive,6.0,6.0,8.0,7.0,7.5,0.1910650697399338
Brazil,1894,Craft,6.0,6.0,8.0,7.0,7.5,0.1910650697399338
Brazil,1894,Flow,6.0,7.0,8.0,7.0,8.5,0.1910650697399338
Brazil,1894,Hands,3.0,4.0,9.0,5.0,0.5,0.14346046151652894
Brazil,1894,Helm,4.0,5.0,9.0,6.0,3.0,0.15906472785566628
Brazil,1894,Lore,6.0,6.0,8.0,7.0,7.5,0.1910650697399338
Brazil,1894,Shield,4.0,5.0,9.0,6.0,3.0,0.15906472785566628
Brazil,1894,Stewards,6.0,7.0,8.0,7.0,8.5,0.1910650697399338
Brazil,1895,Archive,6.0,7.0,7.0,7.0,9.5,0.22387205635907392
Brazil,1895,Craft,6.0,7.0,7.0,7.0,9.5,0.22387205635907392
Brazil,1895,Flow,7.0,7.0,7.0,7.0,10.5,0.2324706426829726
Brazil,1895,Hands,3.0,5.0,9.0,5.0,1.5,0.15782483162109093
Brazil,1895,Helm,5.0,6.0,8.0,7.0,6.5,0.202287556025995
Brazil,1895,Lore,6.0,7.0,7.0,7.0,9.5,0.22387205635907392
Brazil,1895,Shield,5.0,6.0,8.0,6.0,6.0,0.19611319183368053
Brazil,1895,Stewards,6.0,7.0,7.0,7.0,9.5,0.22387205635907392
Brazil,1896,Archive,7.0,7.0,7.0,7.0,10.5,0.24661677079390482
Brazil,1896,Craft,7.0,7.0,7.0,7.0,10.5,0.24661677079390482
Brazil,1896,Flow,7.0,8.0,6.0,7.0,12.5,0.2614024020063083
Brazil,1896,Hands,4.0,5.0,8.0,5.0,3.5,0.18972575153574076
Brazil,1896,Helm,5.0,6.0,8.0,7.0,6.5,0.21430188623140117
Brazil,1896,Lore,6.0,7.0,7.0,7.0,9.5,0.23739834198267046
Brazil,1896,Shield,5.0,6.0,8.0,6.0,6.0,0.2077058344434872
Brazil,1896,Stewards,7.0,8.0,6.0,7.0,12.5,0.2614024020063083
Brazil,1897,Archive,7.0,7.0,6.0,7.0,11.5,0.2837607600992747
Brazil,1897,Craft,7.0,7.0,6.0,7.0,11.5,0.2837607600992747
Brazil,1897,Flow,8.0,8.0,5.0,7.0,14.5,0.311217533552108
Brazil,1897,Hands,4.0,5.0,8.0,5.0,3.5,0.20515736109970129
Brazil,1897,Helm,6.0,7.0,7.0,7.0,9.5,0.2573453551786996
Brazil,1897,Lore,6.0,7.0,6.0,7.0,10.5,0.27315086332739785
Brazil,1897,Shield,6.0,7.0,7.0,6.0,9.0,0.2502387566805996
Brazil,1897,Stewards,7.0,8.0,6.0,7.0,12.5,0.2837607600992747
Brazil,1898,Archive,7.0,7.0,5.0,7.0,12.5,0.3187476996391328
Brazil,1898,Craft,7.0,7.0,6.0,7.0,11.5,0.30052624115181
Brazil,1898,Flow,8.0,8.0,5.0,7.0,14.5,0.32994059207878745
Brazil,1898,Hands,4.0,6.0,8.0,5.0,4.5,0.21672879924730348
Brazil,1898,Helm,6.0,7.0,6.0,7.0,10.5,0.289181729409993
Brazil,1898,Lore,7.0,7.0,5.0,7.0,12.5,0.3187476996391327
Brazil,1898,Shield,6.0,7.0,6.0,6.0,10.0,0.28122258518028376
Brazil,1898,Stewards,7.0,8.0,5.0,7.0,13.5,0.3187476996391328
Brazil,1899,Archive,7.0,7.0,5.0,7.0,12.5,0.33417612494243126
Brazil,1899,Craft,7.0,7.0,5.0,7.0,12.5,0.33417612494243126
Brazil,1899,Flow,8.0,8.0,5.0,7.0,14.5,0.34601664319207803
Brazil,1899,Hands,5.0,6.0,7.0,5.0,6.5,0.25559102939141726
Brazil,1899,Helm,7.0,7.0,5.0,7.0,12.5,0.33417612494243126
Brazil,1899,Lore,7.0,7.0,5.0,7.0,12.5,0.33417612494243126
Brazil,1899,Shield,6.0,7.0,6.0,6.0,10.0,0.29454997828426216
Brazil,1899,Stewards,8.0,8.0,5.0,7.0,14.5,0.34601664319207803
Brazil,1900,Archive,7.0,7.0,4.0,7.0,13.5,0.37334520314812486
Brazil,1900,Craft,7.0,7.0,5.0,7.0,12.5,0.35193206489602663
Brazil,1900,Flow,8.0,8.0,4.0,7.0,15.5,0.38650469880216703
Brazil,1900,Hands,5.0,6.0,7.0,5.0,6.5,0.26865495355671654
