Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Canada,1900,Archive,5,5,4,5,8.5,0.2782849714951793
Canada,1900,Craft,5,5,5,4,7.0,0.2529040928474967
Canada,1900,Flow,6,6,4,4,10.0,0.2829675562942578
Canada,1900,Hands,4,3,5,3,3.5,0.22708488779891045
Canada,1900,Helm,7,6,5,6,11.0,0.2951488419040488
Canada,1900,Lore,6,6,4,5,10.5,0.29197791391259775
Canada,1900,Shield,5,4,4,4,7.0,0.2685283630999088
Canada,1900,Stewards,6,7,5,5,10.5,0.2752959649819992
Canada,1901,Archive,5,5,4,5,8.5,0.2782849714951793
Canada,1901,Craft,5,5,5,4,7.0,0.2529040928474967
Canada,1901,Flow,6,6,4,4,10.0,0.2829675562942578
Canada,1901,Hands,4,3,5,3,3.5,0.22708488779891045
Canada,1901,Helm,7,6,5,6,11.0,0.2951488419040488
Canada,1901,Lore,6,6,4,5,10.5,0.29197791391259775
Canada,1901,Shield,5,4,4,4,7.0,0.2685283630999088
Canada,1901,Stewards,6,7,5,5,10.5,0.2752959649819992
Canada,1902,Archive,5,5,4,5,8.5,0.2782849714951793
Canada,1902,Craft,5,5,5,4,7.0,0.2529040928474967
Canada,1902,Flow,6,6,4,4,10.0,0.2829675562942578
Canada,1902,Hands,4,3,5,3,3.5,0.22708488779891045
Canada,1902,Helm,7,6,5,6,11.0,0.2951488419040488
Canada,1902,Lore,6,6,4,5,10.5,0.29197791391259775
Canada,1902,Shield,5,4,4,4,7.0,0.2685283630999088
Canada,1902,Stewards,6,7,5,5,10.5,0.2752959649819992
Canada,1903,Archive,5,5,4,5,8.5,0.2782849714951793
Canada,1903,Craft,5,5,5,4,7.0,0.2529040928474967
Canada,1903,Flow,6,6,4,4,10.0,0.2829675562942578
Canada,1903,Hands,4,4,5,3,4.5,0.22708488779891045
Canada,1903,Helm,7,6,5,6,11.0,0.2951488419040488
Canada,1903,Lore,6,6,4,5,10.5,0.29197791391259775
Canada,1903,Shield,5,4,4,4,7.0,0.2685283630999088
Canada,1903,Stewards,6,7,5,5,10.5,0.2752959649819992
Canada,1904,Archive,5,5,4,5,8.5,0.2782849714951793
Canada,1904,Craft,5,5,5,4,7.0,0.2529040928474967
Canada,1904,Flow,6,6,4,4,10.0,0.2829675562942578
Canada,1904,Hands,4,4,5,3,4.5,0.22708488779891045
Canada,1904,Helm,7,6,5,6,11.0,0.2951488419040488
Canada,1904,Lore,6,6,4,5,10.5,0.29197791391259775
Canada,1904,Shield,5,4,4,4,7.0,0.2685283630999088
Canada,1904,Stewards,6,7,5,5,10.5,0.2752959649819992
Canada,1905,Archive,6,6,4,5,10.5,0.312953013085254
Canada,1905,Craft,5,5,4,5,8.5,0.29810457725795253
Canada,1905,Flow,6,6,4,5,10.5,0.312953013085254
Canada,1905,Hands,4,4,5,4,5.0,0.2544423548696368
Canada,1905,Helm,7,7,4,6,13.0,0.3354772304218603
Canada,1905,Lore,6,6,4,5,10.5,0.312953013085254
Canada,1905,Shield,5,5,4,4,8.0,0.2875386611192564
Canada,1905,Stewards,7,7,4,6,13.0,0.3354772304218603
