Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Colombia,1875,Archive,3.0,3.0,5.0,3.8,2.9,0.1632930904374001
Colombia,1875,Craft,3.0,3.0,5.0,3.0,2.5,0.15633809251284286
Colombia,1875,Flow,3.6,3.0,6.0,3.0,2.0999999999999996,0.1546387997754091
Colombia,1875,Hands,3.0,2.6,6.0,2.0,0.5999999999999996,0.13824190225435026
Colombia,1875,Helm,4.0,3.6,6.6,4.0,3.0,0.16083163544281578
Colombia,1875,Lore,5.0,4.0,4.6,5.0,6.9,0.19819713648660772
Colombia,1875,Shield,3.0,3.0,7.0,3.0,0.5,0.13851504907400244
Colombia,1875,Stewards,4.6,4.0,5.6,4.0,5.0,0.17691812549978517
Colombia,1876,Archive,3.0,3.0,5.0,3.8,2.9,0.1651236457195965
Colombia,1876,Craft,3.0,3.0,5.0,3.0,2.5,0.1580781934242232
Colombia,1876,Flow,3.8,3.0,6.0,3.0,2.3,0.15874825616775187
Colombia,1876,Hands,3.0,2.8,6.0,2.0,0.7999999999999998,0.13975336511948427
Colombia,1876,Helm,4.0,3.8,6.2,4.0,3.5999999999999996,0.16654060574205662
Colombia,1876,Lore,5.0,4.0,4.4,5.0,7.1,0.20277138797003946
Colombia,1876,Shield,3.0,3.0,7.0,3.0,0.5,0.14002989490259668
Colombia,1876,Stewards,4.6,4.0,5.4,4.0,5.199999999999999,0.18102258804456867
Colombia,1877,Archive,3.0,3.0,5.0,4.0,3.0,0.17012825519767807
Colombia,1877,Craft,3.0,3.0,5.0,3.0,2.5,0.1611915538966095
Colombia,1877,Flow,4.0,3.0,5.8,3.0,2.7,0.16624420853463492
Colombia,1877,Hands,3.0,3.0,6.0,2.0,1.0,0.14245765008882855
Colombia,1877,Helm,4.0,4.0,6.0,4.0,4.0,0.17187724645044064
Colombia,1877,Lore,5.0,4.0,4.4,5.0,7.1,0.2069614030094755
Colombia,1877,Shield,3.0,3.0,6.4,3.0,1.0999999999999996,0.14808288293757424
Colombia,1877,Stewards,4.8,4.0,5.0,4.0,5.800000000000001,0.1911654793933236
Colombia,1878,Archive,3.0,3.0,5.0,4.0,3.0,0.17041725469350139
Colombia,1878,Craft,3.0,3.0,5.0,3.0,2.5,0.16146302165320336
