Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Denmark,1752,Archive,9.0,3.0,-4.0,7.0,19.5,0.9934975357830373
Denmark,1752,Craft,6.0,5.0,-1.0,4.0,14.0,0.6892101417986096
Denmark,1752,Flow,6.0,5.0,-1.0,4.0,14.0,0.6892101417986096
Denmark,1752,Hands,5.0,4.0,0.0,3.0,10.5,0.5894787668337595
Denmark,1752,Helm,7.0,6.0,-2.0,5.0,17.5,0.7895757569649461
Denmark,1752,Lore,8.0,4.0,-3.0,6.0,18.0,0.8910226968300832
Denmark,1752,Shield,6.0,5.0,-1.0,4.0,14.0,0.6892101417986095
Denmark,1752,Stewards,7.0,6.0,-2.0,5.0,17.5,0.7895757569649461
Denmark,1754,Archive,9.0,3.0,-4.0,7.0,19.5,0.9934975357830373
Denmark,1754,Craft,6.0,5.0,-1.0,4.0,14.0,0.6892101417986096
Denmark,1754,Flow,6.0,5.0,-1.0,4.0,14.0,0.6892101417986096
Denmark,1754,Hands,5.0,4.0,0.0,3.0,10.5,0.5894787668337595
Denmark,1754,Helm,7.0,6.0,-2.0,5.0,17.5,0.7895757569649461
Denmark,1754,Lore,8.0,4.0,-3.0,6.0,18.0,0.8910226968300832
Denmark,1754,Shield,6.0,5.0,-1.0,4.0,14.0,0.6892101417986095
Denmark,1754,Stewards,7.0,6.0,-2.0,5.0,17.5,0.7895757569649461
Denmark,1756,Archive,9.0,3.0,-4.0,7.0,19.5,0.9934975357830373
Denmark,1756,Craft,6.0,5.0,-1.0,4.0,14.0,0.6892101417986096
Denmark,1756,Flow,6.0,5.0,-1.0,4.0,14.0,0.6892101417986096
Denmark,1756,Hands,5.0,4.0,0.0,3.0,10.5,0.5894787668337595
Denmark,1756,Helm,7.0,6.0,-2.0,5.0,17.5,0.7895757569649461
Denmark,1756,Lore,8.0,4.0,-3.0,6.0,18.0,0.8910226968300832
Denmark,1756,Shield,6.0,5.0,-1.0,4.0,14.0,0.6892101417986095
Denmark,1756,Stewards,7.0,6.0,-2.0,5.0,17.5,0.7895757569649461
Denmark,1758,Archive,9.0,3.0,-4.0,7.0,19.5,0.9934975357830373
Denmark,1758,Craft,6.0,5.0,-1.0,4.0,14.0,0.6892101417986096
Denmark,1758,Flow,6.0,5.0,-1.0,4.0,14.0,0.6892101417986096
Denmark,1758,Hands,5.0,4.0,0.0,3.0,10.5,0.5894787668337595
Denmark,1758,Helm,7.0,6.0,-2.0,5.0,17.5,0.7895757569649461
Denmark,1758,Lore,8.0,4.0,-3.0,6.0,18.0,0.8910226968300832
Denmark,1758,Shield,6.0,5.0,-1.0,4.0,14.0,0.6892101417986095
Denmark,1758,Stewards,7.0,6.0,-2.0,5.0,17.5,0.7895757569649461
Denmark,1762,Archive,3.0,2.0,1.0,1.0,4.5,0.3153847595095344
Denmark,1762,Craft,6.0,5.0,-1.0,4.0,14.0,0.5199634995812302
Denmark,1762,Flow,4.0,3.0,0.0,2.0,8.0,0.39732034493632146
Denmark,1762,Hands,5.0,4.0,0.0,3.0,10.5,0.44755993261080257
