Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
England,1750,Archive,8.0,8.0,8.0,8.0,12.0,0.2525846232348374
England,1750,Craft,7.0,7.0,7.0,6.0,10.0,0.24686080354238582
England,1750,Flow,7.0,7.0,7.0,7.0,10.5,0.25313282135322457
England,1750,Hands,5.0,5.0,6.0,4.0,6.0,0.22424697182840195
England,1750,Helm,7.0,7.0,7.0,6.0,10.0,0.24686080354238585
England,1750,Lore,6.0,6.0,6.0,7.0,9.5,0.25844990711068155
England,1750,Shield,7.0,7.0,7.0,5.0,9.5,0.24032899381037565
England,1750,Stewards,7.0,8.0,8.0,6.0,10.0,0.23256162152433713
England,1751,Archive,8.0,8.0,8.0,8.0,12.0,0.2525846232348374
England,1751,Craft,7.0,7.0,7.0,6.0,10.0,0.24686080354238582
England,1751,Flow,7.0,7.0,7.0,7.0,10.5,0.25313282135322457
England,1751,Hands,5.0,5.0,6.0,4.0,6.0,0.22424697182840195
England,1751,Helm,7.0,7.0,7.0,6.0,10.0,0.24686080354238585
England,1751,Lore,6.0,6.0,6.0,7.0,9.5,0.25844990711068155
England,1751,Shield,7.0,7.0,7.0,5.0,9.5,0.24032899381037565
England,1751,Stewards,7.0,8.0,8.0,6.0,10.0,0.23256162152433713
England,1752,Archive,8.0,8.0,8.0,8.0,12.0,0.2525846232348374
England,1752,Craft,7.0,7.0,7.0,6.0,10.0,0.24686080354238582
England,1752,Flow,7.0,7.0,7.0,7.0,10.5,0.25313282135322457
England,1752,Hands,5.0,5.0,6.0,4.0,6.0,0.22424697182840195
England,1752,Helm,7.0,7.0,7.0,6.0,10.0,0.24686080354238585
England,1752,Lore,6.0,6.0,6.0,7.0,9.5,0.25844990711068155
England,1752,Shield,7.0,7.0,7.0,5.0,9.5,0.24032899381037565
England,1752,Stewards,7.0,8.0,8.0,6.0,10.0,0.23256162152433713
England,1753,Archive,8.0,8.0,8.0,8.0,12.0,0.2525846232348374
England,1753,Craft,7.0,7.0,7.0,6.0,10.0,0.24686080354238582
England,1753,Flow,7.0,7.0,7.0,7.0,10.5,0.25313282135322457
England,1753,Hands,5.0,5.0,6.0,4.0,6.0,0.22424697182840195
England,1753,Helm,7.0,7.0,7.0,6.0,10.0,0.24686080354238585
England,1753,Lore,6.0,6.0,6.0,7.0,9.5,0.25844990711068155
England,1753,Shield,7.0,7.0,7.0,5.0,9.5,0.24032899381037565
England,1753,Stewards,7.0,8.0,8.0,6.0,10.0,0.23256162152433713
England,1754,Archive,8.0,8.0,8.0,8.0,12.0,0.2525846232348374
England,1754,Craft,7.0,7.0,7.0,6.0,10.0,0.24686080354238582
England,1754,Flow,7.0,7.0,7.0,7.0,10.5,0.25313282135322457
England,1754,Hands,5.0,5.0,6.0,4.0,6.0,0.22424697182840195
England,1754,Helm,7.0,7.0,7.0,6.0,10.0,0.24686080354238585
England,1754,Lore,6.0,6.0,6.0,7.0,9.5,0.25844990711068155
England,1754,Shield,7.0,7.0,7.0,5.0,9.5,0.24032899381037565
England,1754,Stewards,7.0,8.0,8.0,6.0,10.0,0.23256162152433713
England,1755,Archive,8.0,8.0,8.0,8.0,12.0,0.2525846232348374
England,1755,Craft,7.0,7.0,7.0,6.0,10.0,0.24686080354238582
England,1755,Flow,7.0,7.0,7.0,7.0,10.5,0.25313282135322457
England,1755,Hands,5.0,5.0,6.0,4.0,6.0,0.22424697182840195
England,1755,Helm,7.0,7.0,7.0,6.0,10.0,0.24686080354238585
England,1755,Lore,6.0,6.0,6.0,7.0,9.5,0.25844990711068155
England,1755,Shield,7.0,7.0,7.0,5.0,9.5,0.24032899381037565
England,1755,Stewards,7.0,8.0,8.0,6.0,10.0,0.23256162152433713
England,1756,Archive,8.0,9.0,7.0,9.0,14.5,0.3274819767584699
England,1756,Craft,7.0,7.0,7.0,6.0,10.0,0.29486031624818704
England,1756,Flow,6.0,7.0,5.0,7.0,11.5,0.32823352905980496
England,1756,Hands,5.0,4.0,4.0,4.0,7.0,0.302041056769153
England,1756,Helm,8.0,8.0,4.0,7.0,15.5,0.374389972157266
England,1756,Lore,6.0,6.0,6.0,7.0,9.5,0.3091090511180704
England,1756,Shield,8.0,9.0,2.0,7.0,18.5,0.41940981811868694
England,1756,Stewards,7.0,7.0,6.0,6.0,11.0,0.31327511995412827
England,1757,Archive,8.0,9.0,7.0,9.0,14.5,0.3274819767584699
England,1757,Craft,7.0,7.0,7.0,6.0,10.0,0.29486031624818704
England,1757,Flow,6.0,7.0,5.0,7.0,11.5,0.32823352905980496
England,1757,Hands,5.0,4.0,4.0,4.0,7.0,0.302041056769153
England,1757,Helm,8.0,8.0,4.0,7.0,15.5,0.374389972157266
England,1757,Lore,6.0,6.0,6.0,7.0,9.5,0.3091090511180704
England,1757,Shield,8.0,9.0,2.0,7.0,18.5,0.41940981811868694
England,1757,Stewards,7.0,7.0,6.0,6.0,11.0,0.31327511995412827
England,1758,Archive,8.0,9.0,7.0,9.0,14.5,0.3274819767584699
England,1758,Craft,7.0,7.0,7.0,6.0,10.0,0.29486031624818704
England,1758,Flow,6.0,7.0,5.0,7.0,11.5,0.32823352905980496
England,1758,Hands,5.0,4.0,4.0,4.0,7.0,0.302041056769153
England,1758,Helm,8.0,8.0,4.0,7.0,15.5,0.374389972157266
England,1758,Lore,6.0,6.0,6.0,7.0,9.5,0.3091090511180704
England,1758,Shield,8.0,9.0,2.0,7.0,18.5,0.41940981811868694
England,1758,Stewards,7.0,7.0,6.0,6.0,11.0,0.31327511995412827
England,1759,Archive,8.0,9.0,7.0,9.0,14.5,0.3274819767584699
England,1759,Craft,7.0,7.0,7.0,6.0,10.0,0.29486031624818704
England,1759,Flow,6.0,7.0,5.0,7.0,11.5,0.32823352905980496
England,1759,Hands,5.0,4.0,4.0,4.0,7.0,0.302041056769153
England,1759,Helm,8.0,8.0,4.0,7.0,15.5,0.374389972157266
England,1759,Lore,6.0,6.0,6.0,7.0,9.5,0.3091090511180704
England,1759,Shield,8.0,9.0,2.0,7.0,18.5,0.41940981811868694
England,1759,Stewards,7.0,7.0,6.0,6.0,11.0,0.31327511995412827
England,1760,Archive,8.0,9.0,7.0,9.0,14.5,0.3274819767584699
England,1760,Craft,7.0,7.0,7.0,6.0,10.0,0.29486031624818704
England,1760,Flow,6.0,7.0,5.0,7.0,11.5,0.32823352905980496
England,1760,Hands,5.0,4.0,4.0,4.0,7.0,0.302041056769153
England,1760,Helm,8.0,8.0,4.0,7.0,15.5,0.374389972157266
England,1760,Lore,6.0,6.0,6.0,7.0,9.5,0.3091090511180704
England,1760,Shield,8.0,9.0,2.0,7.0,18.5,0.41940981811868694
England,1760,Stewards,7.0,7.0,6.0,6.0,11.0,0.31327511995412827
England,1761,Archive,8.0,9.0,7.0,9.0,14.5,0.3274819767584699
England,1761,Craft,7.0,7.0,7.0,6.0,10.0,0.29486031624818704
England,1761,Flow,6.0,7.0,5.0,7.0,11.5,0.32823352905980496
England,1761,Hands,5.0,4.0,4.0,4.0,7.0,0.302041056769153
England,1761,Helm,8.0,8.0,4.0,7.0,15.5,0.374389972157266
England,1761,Lore,6.0,6.0,6.0,7.0,9.5,0.3091090511180704
England,1761,Shield,8.0,9.0,2.0,7.0,18.5,0.41940981811868694
