Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
France,1785,Archive,7,6,-2,7,18.5,0.7193151822465262
France,1785,Craft,6,6,-1,5,15.5,0.6185111904875037
France,1785,Flow,5,5,-1,4,13.0,0.5683751832411783
France,1785,Hands,3,3,2,2,5.0,0.36503053584949274
France,1785,Helm,4,6,-2,3,13.5,0.5426140604419591
France,1785,Lore,5,4,-1,6,13.0,0.6089920100963393
France,1785,Shield,7,5,-3,2,16.0,0.6628230838722887
France,1785,Stewards,8,7,-2,4,19.0,0.693325233104946
France,1790,Archive,3,4,3,4,6.0,0.2592407864102814
France,1790,Craft,5,6,0,4,13.0,0.35141245858667364
France,1790,Flow,5,5,0,4,12.0,0.35141245858667364
France,1790,Hands,4,4,1,3,8.5,0.2995291040845368
France,1790,Helm,2,4,4,2,3.0,0.1920353294187494
France,1790,Lore,2,3,5,3,1.5,0.1959062620013386
France,1790,Shield,6,6,-1,3,14.5,0.3779128970311671
France,1790,Stewards,4,5,3,3,7.5,0.265800595717627
France,1795,Archive,4,5,1,5,10.5,0.41645477699471767
France,1795,Craft,6,6,-1,5,15.5,0.5187030125910219
France,1795,Flow,6,6,-1,5,15.5,0.5187030125910219
France,1795,Hands,5,4,0,3,10.5,0.43338238064694046
France,1795,Helm,3,5,2,3,7.5,0.3305262053389796
France,1795,Lore,3,3,3,4,5.0,0.3285246924065704
France,1795,Shield,7,7,-2,4,18.0,0.556676640660269
France,1795,Stewards,5,6,1,4,12.0,0.4245570163246023
France,1800,Archive,7,7,-3,7,20.5,0.9445893757803546
France,1800,Craft,7,7,-2,6,19.0,0.868692285211312
France,1800,Flow,7,7,-2,6,19.0,0.868692285211312
France,1800,Hands,6,5,-1,4,14.0,0.7371399139201229
France,1800,Helm,8,8,-3,6,22.0,0.9558079170998975
France,1800,Lore,5,5,-1,6,14.0,0.7495254557968115
France,1800,Shield,8,8,-4,5,22.5,0.9887957663735858
France,1800,Stewards,6,7,-2,5,17.5,0.8092187187383015
France,1805,Archive,7,7,-3,7,20.5,0.9445893757803546
France,1805,Craft,7,7,-2,6,19.0,0.868692285211312
France,1805,Flow,7,7,-2,6,19.0,0.868692285211312
France,1805,Hands,6,5,-1,4,14.0,0.7371399139201229
France,1805,Helm,8,8,-3,6,22.0,0.9558079170998975
France,1805,Lore,5,5,-1,6,14.0,0.7495254557968115
France,1805,Shield,8,8,-4,5,22.5,0.9887957663735858
France,1805,Stewards,6,7,-2,5,17.5,0.8092187187383015
France,1810,Archive,7,7,-3,7,20.5,0.9445893757803546
France,1810,Craft,7,7,-2,6,19.0,0.868692285211312
France,1810,Flow,7,7,-2,6,19.0,0.868692285211312
France,1810,Hands,6,5,-1,4,14.0,0.7371399139201229
France,1810,Helm,8,8,-3,6,22.0,0.9558079170998975
France,1810,Lore,5,5,-1,6,14.0,0.7495254557968115
France,1810,Shield,8,8,-4,5,22.5,0.9887957663735858
France,1810,Stewards,6,7,-2,5,17.5,0.8092187187383015
France,1815,Archive,6,6,0,6,15.0,0.5531722592890322
France,1815,Craft,6,6,0,5,14.5,0.5372230414476262
France,1815,Flow,6,6,0,5,14.5,0.5372230414476262
France,1815,Hands,5,5,1,3,10.5,0.4465018690330994
France,1815,Helm,6,6,0,5,14.5,0.5372230414476263
France,1815,Lore,5,5,0,5,12.5,0.5117923825461898
France,1815,Shield,6,6,0,4,14.0,0.5204852907249871
