Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Germany,1900,Archive,8,7,2,8,17.0,0.5418539713409073
Germany,1900,Craft,8,8,2,8,18.0,0.5418539713409073
Germany,1900,Flow,7,7,3,7,14.5,0.4825327151254398
Germany,1900,Hands,6,6,4,5,10.5,0.411798582028435
Germany,1900,Helm,7,7,3,7,14.5,0.4825327151254398
Germany,1900,Lore,8,8,2,8,18.0,0.5418539713409072
Germany,1900,Shield,8,7,3,7,15.5,0.49990193693668045
Germany,1900,Stewards,7,7,3,7,14.5,0.4825327151254398
Germany,1901,Archive,8,7,2,8,17.0,0.5418539713409073
Germany,1901,Craft,8,8,2,8,18.0,0.5418539713409073
Germany,1901,Flow,7,7,3,7,14.5,0.4825327151254398
Germany,1901,Hands,6,6,4,5,10.5,0.411798582028435
Germany,1901,Helm,7,7,3,7,14.5,0.4825327151254398
Germany,1901,Lore,8,8,2,8,18.0,0.5418539713409072
Germany,1901,Shield,8,7,3,7,15.5,0.49990193693668045
Germany,1901,Stewards,7,7,3,7,14.5,0.4825327151254398
Germany,1902,Archive,8,7,2,8,17.0,0.5418539713409073
Germany,1902,Craft,8,8,2,8,18.0,0.5418539713409073
Germany,1902,Flow,7,7,3,7,14.5,0.4825327151254398
Germany,1902,Hands,6,6,4,5,10.5,0.411798582028435
Germany,1902,Helm,7,7,3,7,14.5,0.4825327151254398
Germany,1902,Lore,8,8,2,8,18.0,0.5418539713409072
Germany,1902,Shield,8,7,3,7,15.5,0.49990193693668045
Germany,1902,Stewards,7,7,3,7,14.5,0.4825327151254398
Germany,1903,Archive,8,7,2,8,17.0,0.5418539713409073
Germany,1903,Craft,8,8,2,8,18.0,0.5418539713409073
Germany,1903,Flow,7,7,3,7,14.5,0.4825327151254398
Germany,1903,Hands,6,6,4,5,10.5,0.411798582028435
Germany,1903,Helm,7,7,3,7,14.5,0.4825327151254398
Germany,1903,Lore,8,8,2,8,18.0,0.5418539713409072
Germany,1903,Shield,8,7,3,7,15.5,0.49990193693668045
Germany,1903,Stewards,7,7,3,7,14.5,0.4825327151254398
Germany,1904,Archive,8,7,2,8,17.0,0.5367917413283483
Germany,1904,Craft,8,8,2,8,18.0,0.5367917413283483
Germany,1904,Flow,7,7,3,7,14.5,0.47811454025404093
Germany,1904,Hands,6,6,4,5,10.5,0.40811148220957943
Germany,1904,Helm,7,7,4,7,13.5,0.4502189427078673
Germany,1904,Lore,8,8,2,8,18.0,0.5367917413283482
Germany,1904,Shield,8,7,3,7,15.5,0.4952983041184381
Germany,1904,Stewards,7,7,3,7,14.5,0.47811454025404093
Germany,1905,Archive,8,7,2,8,17.0,0.5367917413283483
Germany,1905,Craft,8,8,2,8,18.0,0.5367917413283483
Germany,1905,Flow,7,7,3,7,14.5,0.47811454025404093
Germany,1905,Hands,6,6,4,5,10.5,0.40811148220957943
Germany,1905,Helm,7,7,4,7,13.5,0.4502189427078673
Germany,1905,Lore,8,8,2,8,18.0,0.5367917413283482
Germany,1905,Shield,8,7,3,7,15.5,0.4952983041184381
Germany,1905,Stewards,7,7,3,7,14.5,0.47811454025404093
Germany,1906,Archive,8,7,2,8,17.0,0.5367917413283483
Germany,1906,Craft,8,8,2,8,18.0,0.5367917413283483
Germany,1906,Flow,7,7,3,7,14.5,0.47811454025404093
Germany,1906,Hands,6,6,4,5,10.5,0.40811148220957943
Germany,1906,Helm,7,7,4,7,13.5,0.4502189427078673
Germany,1906,Lore,8,8,2,8,18.0,0.5367917413283482
Germany,1906,Shield,8,7,3,7,15.5,0.4952983041184381
Germany,1906,Stewards,7,7,3,7,14.5,0.47811454025404093
Germany,1907,Archive,8,7,2,8,17.0,0.524139387284997
Germany,1907,Craft,8,8,2,8,18.0,0.524139387284997
Germany,1907,Flow,7,8,4,7,14.5,0.43991580834703964
Germany,1907,Hands,6,6,5,5,9.5,0.3750541401089668
Germany,1907,Helm,7,7,4,7,13.5,0.43991580834703964
Germany,1907,Lore,8,8,2,8,18.0,0.524139387284997
Germany,1907,Shield,8,8,4,8,16.0,0.4660503848909743
Germany,1907,Stewards,7,8,3,7,15.5,0.4670719142651602
Germany,1908,Archive,8,7,2,8,17.0,0.524139387284997
Germany,1908,Craft,8,8,2,8,18.0,0.524139387284997
Germany,1908,Flow,7,8,4,7,14.5,0.43991580834703964
Germany,1908,Hands,6,6,5,5,9.5,0.3750541401089668
Germany,1908,Helm,7,7,4,7,13.5,0.43991580834703964
Germany,1908,Lore,8,8,2,8,18.0,0.524139387284997
Germany,1908,Shield,8,8,4,8,16.0,0.4660503848909743
Germany,1908,Stewards,7,8,3,7,15.5,0.4670719142651602
Germany,1909,Archive,8,7,2,8,17.0,0.524139387284997
Germany,1909,Craft,8,8,2,8,18.0,0.524139387284997
Germany,1909,Flow,7,8,4,7,14.5,0.43991580834703964
Germany,1909,Hands,6,6,5,5,9.5,0.3750541401089668
Germany,1909,Helm,7,7,4,7,13.5,0.43991580834703964
Germany,1909,Lore,8,8,2,8,18.0,0.524139387284997
Germany,1909,Shield,8,8,4,8,16.0,0.4660503848909743
Germany,1909,Stewards,7,8,3,7,15.5,0.4670719142651602
Germany,1910,Archive,8,7,2,8,17.0,0.5194161596725316
Germany,1910,Craft,8,8,2,8,18.0,0.5194161596725316
Germany,1910,Flow,7,8,4,7,14.5,0.4360695637240025
Germany,1910,Hands,6,6,5,5,9.5,0.3718443332847331
Germany,1910,Helm,7,7,5,7,12.5,0.41045596268637125
Germany,1910,Lore,8,8,2,8,18.0,0.5194161596725316
Germany,1910,Shield,8,8,4,8,16.0,0.4619385764323668
Germany,1910,Stewards,7,8,3,7,15.5,0.46294961134776613
Germany,1911,Archive,8,7,2,8,17.0,0.5194161596725316
Germany,1911,Craft,8,8,2,8,18.0,0.5194161596725316
Germany,1911,Flow,7,8,4,7,14.5,0.4360695637240025
Germany,1911,Hands,6,6,5,5,9.5,0.3718443332847331
Germany,1911,Helm,7,7,5,7,12.5,0.41045596268637125
Germany,1911,Lore,8,8,2,8,18.0,0.5194161596725316
Germany,1911,Shield,8,8,4,8,16.0,0.4619385764323668
Germany,1911,Stewards,7,8,3,7,15.5,0.46294961134776613
Germany,1912,Archive,8,7,2,8,17.0,0.5194161596725316
Germany,1912,Craft,8,8,2,8,18.0,0.5194161596725316
Germany,1912,Flow,7,8,4,7,14.5,0.4360695637240025
Germany,1912,Hands,6,6,5,5,9.5,0.3718443332847331
Germany,1912,Helm,7,7,5,7,12.5,0.41045596268637125
