Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Hong Kong,1900,Archive,6,6,4,7,11.5,0.30970716171710005
Hong Kong,1900,Craft,6,7,6,5,9.5,0.26014221129005505
Hong Kong,1900,Flow,7,8,5,6,13.0,0.29605953970417337
Hong Kong,1900,Hands,4,5,7,4,4.0,0.21094295929649048
Hong Kong,1900,Helm,6,7,6,5,9.5,0.26014221129005505
Hong Kong,1900,Lore,5,6,4,6,10.0,0.28841253984896326
Hong Kong,1900,Shield,7,7,5,4,11.0,0.2803020080679653
Hong Kong,1900,Stewards,6,7,5,5,10.5,0.2761348382076626
Hong Kong,1901,Archive,6,6,4,7,11.5,0.3284739038128633
Hong Kong,1901,Craft,6,7,5,5,10.5,0.2925139336141969
Hong Kong,1901,Flow,7,8,4,6,14.0,0.33274001545912163
Hong Kong,1901,Hands,4,5,6,4,5.0,0.23733325107353107
Hong Kong,1901,Helm,6,7,5,5,10.5,0.2925139336141968
Hong Kong,1901,Lore,5,6,4,6,10.0,0.3056508931998493
Hong Kong,1901,Shield,7,7,4,4,12.0,0.3150987715581338
Hong Kong,1901,Stewards,6,7,4,5,11.5,0.3104316757713695
Hong Kong,1902,Archive,7,7,3,7,14.5,0.40942902999875436
Hong Kong,1902,Craft,7,8,4,5,13.5,0.36658155283036464
Hong Kong,1902,Flow,8,9,3,6,17.0,0.4142876807118899
Hong Kong,1902,Hands,5,6,5,4,8.0,0.3026386797444688
Hong Kong,1902,Helm,7,8,4,5,13.5,0.3665815528303647
Hong Kong,1902,Lore,5,6,3,6,11.0,0.36665718707599126
Hong Kong,1902,Shield,7,7,3,4,13.0,0.37807582441969523
Hong Kong,1902,Stewards,7,8,3,5,14.5,0.3889791395785492
Hong Kong,1903,Archive,7,7,3,7,14.5,0.4210868483521098
Hong Kong,1903,Craft,7,8,3,5,14.5,0.39995059161365865
Hong Kong,1903,Flow,8,9,3,6,17.0,0.4261108664505187
