Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
India,1875,Archive,5.0,6.8,3.2,5.2,11.200000000000001,0.2097858343796259
India,1875,Craft,2.6,3.0,8.0,2.8,-1.0000000000000004,0.12087138529097907
India,1875,Flow,2.8,4.6,7.2,3.2,1.7999999999999994,0.13271626802333877
India,1875,Hands,1.8,2.8,8.2,2.0,-2.5999999999999996,0.10165726829847298
India,1875,Helm,2.8,6.8,6.4,5.2,5.799999999999999,0.15455594929524427
India,1875,Lore,3.6,4.8,5.2,7.2,6.800000000000001,0.18727479867796948
India,1875,Shield,4.8,5.8,5.2,4.0,7.3999999999999995,0.178452418772211
India,1875,Stewards,2.8,4.8,7.2,3.8,2.2999999999999994,0.13734766197525677
India,1880,Archive,5.0,7.0,3.2,5.0,11.3,0.20821924148613014
India,1880,Craft,2.6,3.0,8.0,2.8,-1.0000000000000004,0.12072786398863089
India,1880,Flow,2.8,4.8,7.0,3.0,2.0999999999999996,0.13257595632153812
India,1880,Hands,1.8,2.6,8.4,2.0,-3.0,0.10025780665953397
India,1880,Helm,3.0,6.8,6.4,5.0,5.9,0.15506696958610885
India,1880,Lore,3.8,4.8,5.2,7.0,6.8999999999999995,0.18763733710629937
India,1880,Shield,4.8,6.0,5.2,4.0,7.6000000000000005,0.1782271108952085
India,1880,Stewards,2.8,5.0,7.0,3.6,2.5999999999999996,0.13732684043921933
India,1885,Archive,5.0,7.0,3.0,5.2,11.6,0.2210533231915265
India,1885,Craft,2.8,3.0,8.0,3.0,-0.7000000000000002,0.12961138000626046
India,1885,Flow,3.0,4.8,7.0,3.0,2.3,0.1403848752848193
India,1885,Hands,2.0,2.8,8.0,2.0,-2.2,0.10989449463965453
India,1885,Helm,3.0,7.0,6.0,5.2,6.6,0.1667788280994691
India,1885,Lore,4.4,5.0,5.0,7.2,8.0,0.20461937113249756
India,1885,Shield,5.0,6.2,5.0,4.0,8.2,0.18992712923189478
India,1885,Stewards,3.0,5.0,7.0,3.8,2.9,0.14679433278466947
India,1890,Archive,5.2,7.0,3.0,5.0,11.7,0.22096797732362994
India,1890,Craft,2.8,3.0,8.0,3.0,-0.7000000000000002,0.12920564707859175
India,1890,Flow,3.0,5.0,7.0,3.0,2.5,0.13994105449925193
India,1890,Hands,2.0,2.8,8.0,2.0,-2.2,0.10955638386659726
India,1890,Helm,3.0,7.0,6.2,5.0,6.3,0.16281507853644261
India,1890,Lore,4.6,5.0,5.2,7.2,8.0,0.20341667075461003
India,1890,Shield,5.0,6.2,5.0,4.0,8.2,0.18929583484855117
India,1890,Stewards,3.0,5.0,7.0,3.8,2.9,0.14632744119346605
India,1895,Archive,5.0,7.0,3.2,5.0,11.3,0.21009784746922938
India,1895,Craft,2.8,3.4,8.0,3.0,-0.3000000000000007,0.12569409563921558
India,1895,Flow,3.0,4.6,7.0,3.0,2.0999999999999996,0.1360998589439909
India,1895,Hands,1.8,2.6,9.0,2.0,-3.5999999999999996,0.09727184753145601
India,1895,Helm,2.8,6.8,7.0,5.0,5.1,0.14880294240904876
India,1895,Lore,4.6,5.0,5.2,7.2,8.0,0.19745001830409675
India,1895,Shield,4.8,6.0,5.2,4.0,7.6000000000000005,0.1797751563438575
India,1895,Stewards,3.0,4.8,7.0,3.8,2.6999999999999997,0.14228657162800232
India,1900,Archive,5.2,7.0,3.2,5.0,11.5,0.21730874411392512
India,1900,Craft,2.8,4.0,7.8,3.0,0.5,0.13012347068583024
India,1900,Flow,3.0,5.0,7.0,3.2,2.6,0.14081839975979965
India,1900,Hands,2.0,2.8,8.2,2.0,-2.3999999999999995,0.10761377124774839
India,1900,Helm,2.8,7.0,6.8,5.0,5.500000000000001,0.15407144005907641
India,1900,Lore,4.8,5.0,5.2,7.2,8.200000000000001,0.20397544027240105
India,1900,Shield,5.0,6.8,5.0,4.2,8.9,0.1895741102566866
India,1900,Stewards,3.0,5.0,7.0,3.8,2.9,0.14554014717965863
India,1905,Archive,5.0,7.0,3.8,5.0,10.7,0.20548771506629943
India,1905,Craft,3.0,4.0,7.2,3.6,1.5999999999999999,0.14044900534258872
India,1905,Flow,3.0,4.8,7.0,3.6,2.5999999999999996,0.14216813571592515
India,1905,Hands,2.2,3.0,8.0,2.0,-1.7999999999999998,0.11054543667838211
India,1905,Helm,2.8,6.8,8.0,5.2,4.199999999999999,0.14280592198297007
India,1905,Lore,4.8,5.0,5.2,7.8,8.5,0.20452885184462205
India,1905,Shield,4.8,7.0,6.2,4.0,7.6000000000000005,0.1714099673947407
India,1905,Stewards,3.0,5.0,7.0,4.0,3.0,0.1451978806025543
India,1910,Archive,5.2,7.0,3.0,5.0,11.7,0.22320558912134342
India,1910,Craft,3.0,4.0,7.2,3.0,1.2999999999999998,0.13951514489290182
India,1910,Flow,3.0,5.0,7.0,3.0,2.5,0.14123912533262878
India,1910,Hands,2.0,2.8,8.0,2.0,-2.2,0.11054527791398865
India,1910,Helm,3.0,7.0,7.0,5.0,5.5,0.15666626670622927
India,1910,Lore,4.8,5.0,5.2,8.0,8.600000000000001,0.21173871682494896
India,1910,Shield,5.0,7.0,5.0,4.0,9.0,0.19114222161758307
India,1910,Stewards,3.0,5.0,7.0,4.0,3.0,0.14924401017522368
India,1915,Archive,5.0,7.0,3.2,5.0,11.3,0.21705287764707037
India,1915,Craft,3.0,4.0,7.0,3.0,1.5,0.1402396959804321
India,1915,Flow,3.0,5.0,7.0,3.0,2.5,0.1402396959804321
India,1915,Hands,2.0,3.0,8.0,2.0,-2.0,0.10978389439641553
India,1915,Helm,3.0,7.0,7.2,5.0,5.3,0.15367936145504796
India,1915,Lore,4.8,5.0,5.0,8.0,8.8,0.21246221940346857
India,1915,Shield,5.0,7.0,6.0,4.2,8.1,0.18036920188084066
India,1915,Stewards,3.0,5.0,6.4,4.0,3.5999999999999996,0.15365783580793943
India,1920,Archive,5.0,6.8,4.0,5.0,10.3,0.20518220800076614
India,1920,Craft,3.0,3.8,7.0,3.2,1.4,0.14028459763972242
India,1920,Flow,3.0,4.8,7.2,3.0,2.0999999999999996,0.13697728626792954
India,1920,Hands,2.8,3.0,8.0,3.0,-0.7000000000000002,0.12803986863114805
India,1920,Helm,2.8,6.0,8.2,6.0,3.6000000000000014,0.14753008117729274
India,1920,Lore,4.8,5.0,5.2,9.0,9.100000000000001,0.21289672889265615
India,1920,Shield,4.8,6.0,7.0,4.2,5.9,0.1662959968365993
India,1920,Stewards,3.0,4.8,7.0,4.0,2.8,0.14650453823437595
India,1925,Archive,5.0,7.0,4.0,5.0,10.5,0.20077638850317822
India,1925,Craft,3.0,4.0,7.0,3.0,1.5,0.135893838876284
India,1925,Flow,3.0,5.0,7.0,3.0,2.5,0.135893838876284
India,1925,Hands,2.0,3.0,8.0,2.0,-2.0,0.10647314115352377
India,1925,Helm,3.0,6.0,7.0,5.2,4.6,0.15201022009326476
India,1925,Lore,4.8,5.0,6.0,8.2,7.9,0.1953416080705417
