Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
India,1950,Archive,5.0,3.0,-1.0,3.0,10.5,0.546208082629725
India,1950,Craft,6.0,5.0,-1.0,4.0,14.0,0.5991215824900893
India,1950,Flow,6.0,4.0,-1.0,3.0,12.5,0.5788337265705249
India,1950,Hands,7.0,2.0,-1.0,2.0,11.0,0.58911195407024
India,1950,Helm,7.0,6.0,-2.0,5.0,17.5,0.6841451239040736
India,1950,Lore,8.0,3.0,-1.0,4.0,14.0,0.654309087859926
India,1950,Shield,6.0,4.0,-1.0,3.0,12.5,0.5788337265705248
India,1950,Stewards,5.0,5.0,-1.0,4.0,13.0,0.568269926713595
India,1951,Archive,5.0,3.0,-1.0,3.0,10.5,0.546208082629725
India,1951,Craft,6.0,5.0,-1.0,4.0,14.0,0.5991215824900893
India,1951,Flow,6.0,4.0,-1.0,3.0,12.5,0.5788337265705249
India,1951,Hands,7.0,2.0,-1.0,2.0,11.0,0.58911195407024
India,1951,Helm,7.0,6.0,-2.0,5.0,17.5,0.6841451239040736
India,1951,Lore,8.0,3.0,-1.0,4.0,14.0,0.654309087859926
India,1951,Shield,6.0,4.0,-1.0,3.0,12.5,0.5788337265705248
India,1951,Stewards,5.0,5.0,-1.0,4.0,13.0,0.568269926713595
India,1953,Archive,5.0,3.0,-1.0,3.0,10.5,0.5412739124793958
India,1953,Craft,6.0,5.0,-1.0,4.0,14.0,0.593631344782154
India,1953,Flow,6.0,4.0,-1.0,3.0,12.5,0.5735588768017882
India,1953,Hands,7.0,2.0,-1.0,2.0,11.0,0.5837283330688889
India,1953,Helm,7.0,6.0,-2.0,5.0,17.5,0.6777198991957952
India,1953,Lore,8.0,3.0,-1.0,4.0,14.0,0.6482182159920963
India,1953,Shield,6.0,4.0,0.0,3.0,11.5,0.5400709635044951
India,1953,Stewards,5.0,5.0,-1.0,4.0,13.0,0.5631061388520254
India,1954,Archive,5.0,3.0,-1.0,3.0,10.5,0.5412739124793958
India,1954,Craft,6.0,5.0,-1.0,4.0,14.0,0.593631344782154
India,1954,Flow,6.0,4.0,-1.0,3.0,12.5,0.5735588768017882
India,1954,Hands,7.0,2.0,-1.0,2.0,11.0,0.5837283330688889
India,1954,Helm,7.0,6.0,-2.0,5.0,17.5,0.6777198991957952
India,1954,Lore,8.0,3.0,-1.0,4.0,14.0,0.6482182159920963
India,1954,Shield,6.0,4.0,0.0,3.0,11.5,0.5400709635044951
India,1954,Stewards,5.0,5.0,-1.0,4.0,13.0,0.5631061388520254
India,1955,Archive,5.0,3.0,-1.0,3.0,10.5,0.5412739124793958
India,1955,Craft,6.0,5.0,-1.0,4.0,14.0,0.593631344782154
India,1955,Flow,6.0,4.0,-1.0,3.0,12.5,0.5735588768017882
India,1955,Hands,7.0,2.0,-1.0,2.0,11.0,0.5837283330688889
India,1955,Helm,7.0,6.0,-2.0,5.0,17.5,0.6777198991957952
India,1955,Lore,8.0,3.0,-1.0,4.0,14.0,0.6482182159920963
India,1955,Shield,6.0,4.0,0.0,3.0,11.5,0.5400709635044951
India,1955,Stewards,5.0,5.0,-1.0,4.0,13.0,0.5631061388520254
India,1956,Archive,5.0,3.0,-1.0,3.0,10.5,0.5412739124793958
India,1956,Craft,6.0,5.0,-1.0,4.0,14.0,0.593631344782154
India,1956,Flow,6.0,4.0,-1.0,3.0,12.5,0.5735588768017882
India,1956,Hands,7.0,2.0,-1.0,2.0,11.0,0.5837283330688889
India,1956,Helm,7.0,6.0,-2.0,5.0,17.5,0.6777198991957952
India,1956,Lore,8.0,3.0,-1.0,4.0,14.0,0.6482182159920963
India,1956,Shield,6.0,4.0,0.0,3.0,11.5,0.5400709635044951
India,1956,Stewards,5.0,5.0,-1.0,4.0,13.0,0.5631061388520254
India,1957,Archive,5.0,3.0,-1.0,3.0,10.5,0.5412739124793958
