Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Iraq,1900,Archive,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1900,Craft,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1900,Flow,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1900,Hands,3.0,3.0,6.0,2.0,1.0,0.15185711580206432
Iraq,1900,Helm,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1900,Lore,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1900,Shield,3.0,3.0,5.0,2.0,2.0,0.1615127537996369
Iraq,1900,Stewards,4.0,5.0,4.0,3.0,6.5,0.19757564385426102
Iraq,1901,Archive,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1901,Craft,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1901,Flow,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1901,Hands,3.0,3.0,6.0,2.0,1.0,0.15185711580206432
Iraq,1901,Helm,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1901,Lore,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1901,Shield,3.0,3.0,5.0,2.0,2.0,0.1615127537996369
Iraq,1901,Stewards,4.0,5.0,4.0,3.0,6.5,0.19757564385426102
Iraq,1902,Archive,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1902,Craft,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1902,Flow,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1902,Hands,3.0,3.0,6.0,2.0,1.0,0.15185711580206432
Iraq,1902,Helm,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1902,Lore,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1902,Shield,3.0,3.0,5.0,2.0,2.0,0.1615127537996369
Iraq,1902,Stewards,4.0,5.0,4.0,3.0,6.5,0.19757564385426102
Iraq,1903,Archive,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1903,Craft,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1903,Flow,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1903,Hands,3.0,3.0,6.0,2.0,1.0,0.15185711580206432
Iraq,1903,Helm,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1903,Lore,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1903,Shield,3.0,3.0,5.0,2.0,2.0,0.1615127537996369
Iraq,1903,Stewards,4.0,5.0,4.0,3.0,6.5,0.19757564385426102
Iraq,1904,Archive,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1904,Craft,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1904,Flow,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1904,Hands,3.0,3.0,6.0,2.0,1.0,0.15185711580206432
Iraq,1904,Helm,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1904,Lore,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1904,Shield,3.0,3.0,5.0,2.0,2.0,0.1615127537996369
Iraq,1904,Stewards,4.0,5.0,4.0,3.0,6.5,0.19757564385426102
Iraq,1905,Archive,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1905,Craft,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1905,Flow,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1905,Hands,3.0,3.0,6.0,2.0,1.0,0.15185711580206432
Iraq,1905,Helm,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1905,Lore,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1905,Shield,3.0,3.0,5.0,2.0,2.0,0.1615127537996369
Iraq,1905,Stewards,4.0,5.0,4.0,3.0,6.5,0.19757564385426102
Iraq,1906,Archive,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1906,Craft,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1906,Flow,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1906,Hands,3.0,3.0,6.0,2.0,1.0,0.15185711580206432
Iraq,1906,Helm,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1906,Lore,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1906,Shield,3.0,3.0,5.0,2.0,2.0,0.1615127537996369
Iraq,1906,Stewards,4.0,5.0,4.0,3.0,6.5,0.19757564385426102
Iraq,1907,Archive,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1907,Craft,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1907,Flow,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1907,Hands,3.0,3.0,6.0,2.0,1.0,0.15185711580206432
Iraq,1907,Helm,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1907,Lore,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1907,Shield,3.0,3.0,5.0,2.0,2.0,0.1615127537996369
Iraq,1907,Stewards,4.0,5.0,4.0,3.0,6.5,0.19757564385426102
Iraq,1908,Archive,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1908,Craft,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1908,Flow,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1908,Hands,3.0,3.0,6.0,2.0,1.0,0.15185711580206432
Iraq,1908,Helm,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1908,Lore,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1908,Shield,3.0,3.0,5.0,2.0,2.0,0.1615127537996369
Iraq,1908,Stewards,4.0,5.0,4.0,3.0,6.5,0.19757564385426102
Iraq,1909,Archive,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1909,Craft,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1909,Flow,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1909,Hands,3.0,3.0,6.0,2.0,1.0,0.15185711580206432
Iraq,1909,Helm,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1909,Lore,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1909,Shield,3.0,3.0,5.0,2.0,2.0,0.1615127537996369
Iraq,1909,Stewards,4.0,5.0,4.0,3.0,6.5,0.19757564385426102
Iraq,1910,Archive,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1910,Craft,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1910,Flow,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1910,Hands,3.0,3.0,6.0,2.0,1.0,0.15185711580206432
Iraq,1910,Helm,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1910,Lore,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1910,Shield,3.0,3.0,5.0,2.0,2.0,0.1615127537996369
Iraq,1910,Stewards,4.0,5.0,4.0,3.0,6.5,0.19757564385426102
Iraq,1911,Archive,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1911,Craft,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1911,Flow,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1911,Hands,3.0,3.0,6.0,2.0,1.0,0.15185711580206432
Iraq,1911,Helm,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1911,Lore,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1911,Shield,3.0,3.0,5.0,2.0,2.0,0.1615127537996369
Iraq,1911,Stewards,4.0,5.0,4.0,3.0,6.5,0.19757564385426102
Iraq,1912,Archive,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1912,Craft,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1912,Flow,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1912,Hands,3.0,3.0,6.0,2.0,1.0,0.15185711580206432
Iraq,1912,Helm,4.0,4.0,5.0,3.0,4.5,0.1861901973625138
Iraq,1912,Lore,5.0,4.0,4.0,5.0,7.5,0.22663100501454533
Iraq,1912,Shield,3.0,3.0,5.0,2.0,2.0,0.1615127537996369
Iraq,1912,Stewards,4.0,5.0,4.0,3.0,6.5,0.19757564385426102
Iraq,1914,Archive,5.0,4.0,5.0,5.0,6.5,0.18990298133361042
Iraq,1914,Craft,3.0,3.0,6.0,3.0,1.5,0.14440441463073225
Iraq,1914,Flow,3.0,3.0,6.0,3.0,1.5,0.1444044146307323
Iraq,1914,Hands,3.0,2.0,7.0,2.0,-1.0,0.1275596476244241
Iraq,1914,Helm,3.0,3.0,6.0,3.0,1.5,0.1444044146307323
Iraq,1914,Lore,5.0,4.0,5.0,5.0,6.5,0.18990298133361042
Iraq,1914,Shield,3.0,3.0,6.0,2.0,1.0,0.1356323649711691
Iraq,1914,Stewards,4.0,4.0,5.0,3.0,4.5,0.1657283136645266
Iraq,1915,Archive,4.0,3.0,6.0,5.0,3.5,0.14158811371903463
Iraq,1915,Craft,2.0,2.0,7.0,3.0,-1.5,0.10342879998156396
Iraq,1915,Flow,2.0,2.0,7.0,3.0,-1.5,0.10342879998156396
Iraq,1915,Hands,2.0,1.0,8.0,2.0,-4.0,0.08973492120953143
Iraq,1915,Helm,2.0,2.0,7.0,3.0,-1.5,0.10342879998156396
Iraq,1915,Lore,5.0,3.0,6.0,5.0,4.5,0.1490083739711654
Iraq,1915,Shield,2.0,2.0,7.0,2.0,-2.0,0.09545048575703736
Iraq,1915,Stewards,3.0,3.0,6.0,3.0,1.5,0.12084979119421835
Iraq,1916,Archive,4.0,3.0,6.0,5.0,3.5,0.14158811371903463
Iraq,1916,Craft,2.0,2.0,7.0,3.0,-1.5,0.10342879998156396
Iraq,1916,Flow,2.0,2.0,7.0,3.0,-1.5,0.10342879998156396
Iraq,1916,Hands,2.0,1.0,8.0,2.0,-4.0,0.08973492120953143
Iraq,1916,Helm,2.0,2.0,7.0,3.0,-1.5,0.10342879998156396
Iraq,1916,Lore,5.0,3.0,6.0,5.0,4.5,0.1490083739711654
Iraq,1916,Shield,2.0,2.0,7.0,2.0,-2.0,0.09545048575703736
Iraq,1916,Stewards,3.0,3.0,6.0,3.0,1.5,0.12084979119421835
Iraq,1917,Archive,4.0,3.0,6.0,5.0,3.5,0.14158811371903463
Iraq,1917,Craft,2.0,2.0,7.0,3.0,-1.5,0.10342879998156396
Iraq,1917,Flow,2.0,2.0,7.0,3.0,-1.5,0.10342879998156396
Iraq,1917,Hands,2.0,1.0,8.0,2.0,-4.0,0.08973492120953143
Iraq,1917,Helm,2.0,2.0,7.0,3.0,-1.5,0.10342879998156396
Iraq,1917,Lore,5.0,3.0,6.0,5.0,4.5,0.1490083739711654
Iraq,1917,Shield,2.0,2.0,7.0,2.0,-2.0,0.09545048575703736
Iraq,1917,Stewards,3.0,3.0,6.0,3.0,1.5,0.12084979119421835
Iraq,1918,Archive,4.0,3.0,6.0,5.0,3.5,0.14158811371903463
Iraq,1918,Craft,2.0,2.0,7.0,3.0,-1.5,0.10342879998156396
Iraq,1918,Flow,2.0,2.0,7.0,3.0,-1.5,0.10342879998156396
Iraq,1918,Hands,2.0,1.0,8.0,2.0,-4.0,0.08973492120953143
Iraq,1918,Helm,2.0,2.0,7.0,3.0,-1.5,0.10342879998156396
Iraq,1918,Lore,5.0,3.0,6.0,5.0,4.5,0.1490083739711654
Iraq,1918,Shield,2.0,2.0,7.0,2.0,-2.0,0.09545048575703736
Iraq,1918,Stewards,3.0,3.0,6.0,3.0,1.5,0.12084979119421835
Iraq,1919,Archive,5.0,4.0,5.0,5.0,6.5,0.18990298133361042
Iraq,1919,Craft,3.0,3.0,6.0,3.0,1.5,0.14440441463073225
Iraq,1919,Flow,3.0,3.0,6.0,3.0,1.5,0.1444044146307323
Iraq,1919,Hands,3.0,2.0,7.0,2.0,-1.0,0.1275596476244241
Iraq,1919,Helm,3.0,3.0,6.0,3.0,1.5,0.1444044146307323
Iraq,1919,Lore,5.0,4.0,5.0,5.0,6.5,0.18990298133361042
Iraq,1919,Shield,3.0,3.0,6.0,2.0,1.0,0.1356323649711691
Iraq,1919,Stewards,4.0,4.0,5.0,3.0,4.5,0.1657283136645266
Iraq,1922,Archive,5.0,4.0,5.0,5.0,6.5,0.20153964507315894
Iraq,1922,Craft,4.0,4.0,6.0,3.0,3.5,0.16544947720826983
Iraq,1922,Flow,4.0,4.0,6.0,3.0,3.5,0.16544947720826983
Iraq,1922,Hands,3.0,3.0,7.0,2.0,0.0,0.13486471385103724
Iraq,1922,Helm,4.0,4.0,6.0,3.0,3.5,0.16544947720826983
Iraq,1922,Lore,5.0,4.0,5.0,5.0,6.5,0.20153964507315894
Iraq,1922,Shield,4.0,4.0,6.0,3.0,3.5,0.16544947720826983
Iraq,1922,Stewards,4.0,4.0,5.0,3.0,4.5,0.17560235027327337
Iraq,1923,Archive,5.0,4.0,5.0,5.0,6.5,0.20153964507315894
Iraq,1923,Craft,4.0,4.0,6.0,3.0,3.5,0.16544947720826983
Iraq,1923,Flow,4.0,4.0,6.0,3.0,3.5,0.16544947720826983
Iraq,1923,Hands,3.0,3.0,7.0,2.0,0.0,0.13486471385103724
Iraq,1923,Helm,4.0,4.0,6.0,3.0,3.5,0.16544947720826983
Iraq,1923,Lore,5.0,4.0,5.0,5.0,6.5,0.20153964507315894
Iraq,1923,Shield,4.0,4.0,6.0,3.0,3.5,0.16544947720826983
Iraq,1923,Stewards,4.0,4.0,5.0,3.0,4.5,0.17560235027327337
Iraq,1924,Archive,5.0,4.0,5.0,5.0,6.5,0.20153964507315894
Iraq,1924,Craft,4.0,4.0,6.0,3.0,3.5,0.16544947720826983
Iraq,1924,Flow,4.0,4.0,6.0,3.0,3.5,0.16544947720826983
Iraq,1924,Hands,3.0,3.0,7.0,2.0,0.0,0.13486471385103724
Iraq,1924,Helm,4.0,4.0,6.0,3.0,3.5,0.16544947720826983
Iraq,1924,Lore,5.0,4.0,5.0,5.0,6.5,0.20153964507315894
Iraq,1924,Shield,4.0,4.0,6.0,3.0,3.5,0.16544947720826983
Iraq,1924,Stewards,4.0,4.0,5.0,3.0,4.5,0.17560235027327337
Iraq,1925,Archive,5.0,4.0,5.0,5.0,6.5,0.20153964507315894
Iraq,1925,Craft,4.0,4.0,6.0,3.0,3.5,0.16544947720826983
Iraq,1925,Flow,4.0,4.0,6.0,3.0,3.5,0.16544947720826983
Iraq,1925,Hands,3.0,3.0,7.0,2.0,0.0,0.13486471385103724
Iraq,1925,Helm,4.0,4.0,6.0,3.0,3.5,0.16544947720826983
Iraq,1925,Lore,5.0,4.0,5.0,5.0,6.5,0.20153964507315894
