Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Israel,1946,Archive,6.0,5.0,5.0,7.0,9.5,0.24386671888097053
Israel,1946,Craft,5.0,5.0,7.0,4.0,5.0,0.18882279763447185
Israel,1946,Flow,4.0,4.0,7.0,4.0,3.0,0.17764542909410583
Israel,1946,Hands,4.0,4.0,8.0,3.0,1.5,0.15944454698136998
Israel,1946,Helm,6.0,5.0,8.0,6.0,6.0,0.1994687076473492
Israel,1946,Lore,7.0,6.0,5.0,7.0,11.5,0.25285106373553917
Israel,1946,Shield,4.0,4.0,8.0,4.0,2.0,0.1671019840205162
Israel,1946,Stewards,5.0,6.0,6.0,5.0,7.5,0.20772417493683637
Israel,1947,Archive,7.0,6.0,6.0,7.0,10.5,0.2631596029874611
Israel,1947,Craft,6.0,6.0,7.0,5.0,7.5,0.22562530406924233
Israel,1947,Flow,5.0,5.0,7.0,5.0,5.5,0.2147738562807032
Israel,1947,Hands,5.0,5.0,7.0,4.0,5.0,0.20706393565306516
Israel,1947,Helm,7.0,6.0,7.0,7.0,9.5,0.2482562972820812
Israel,1947,Lore,7.0,6.0,5.0,7.0,11.5,0.2786991284703878
Israel,1947,Shield,5.0,5.0,8.0,5.0,4.5,0.2020822659794844
Israel,1947,Stewards,6.0,7.0,6.0,6.0,10.0,0.2466278005068015
Israel,1948,Archive,8.0,7.0,5.0,8.0,14.0,0.34634568545399586
Israel,1948,Craft,7.0,7.0,6.0,6.0,11.0,0.3009039119773687
Israel,1948,Flow,6.0,6.0,6.0,6.0,9.0,0.2887216474681424
Israel,1948,Hands,6.0,6.0,6.0,5.0,8.5,0.2801538063680491
Israel,1948,Helm,8.0,7.0,6.0,8.0,13.0,0.32672237547590405
Israel,1948,Lore,7.0,6.0,4.0,7.0,12.5,0.3470834378657144
Israel,1948,Shield,6.0,6.0,7.0,6.0,8.0,0.27171799873439506
Israel,1948,Stewards,7.0,8.0,5.0,7.0,13.5,0.3274289714715417
Israel,1949,Archive,8.0,8.0,4.0,8.0,16.0,0.41028003034780297
Israel,1949,Craft,7.0,7.0,5.0,7.0,12.5,0.36536980705188116
Israel,1949,Flow,7.0,7.0,5.0,7.0,12.5,0.36536980705188116
Israel,1949,Hands,7.0,7.0,5.0,6.0,12.0,0.35618467824744215
Israel,1949,Helm,8.0,8.0,5.0,8.0,15.0,0.38690614479958224
Israel,1949,Lore,7.0,7.0,4.0,7.0,13.5,0.3877474185871749
Israel,1949,Shield,7.0,7.0,6.0,7.0,11.5,0.34402620550287694
Israel,1949,Stewards,8.0,8.0,4.0,7.0,15.5,0.40151146371765656
Israel,1950,Archive,8.0,8.0,4.0,8.0,16.0,0.4185121914351776
Israel,1950,Craft,7.0,7.0,5.0,7.0,12.5,0.37255461042180166
Israel,1950,Flow,7.0,7.0,5.0,7.0,12.5,0.37255461042180166
Israel,1950,Hands,7.0,7.0,5.0,6.0,12.0,0.3631611820429913
Israel,1950,Helm,8.0,8.0,4.0,8.0,16.0,0.4185121914351776
Israel,1950,Lore,7.0,7.0,4.0,7.0,13.5,0.39544790017259707
Israel,1950,Shield,7.0,7.0,5.0,7.0,12.5,0.37255461042180166
Israel,1950,Stewards,8.0,8.0,4.0,7.0,15.5,0.40953518183085463
Israel,1951,Archive,8.0,8.0,4.0,8.0,16.0,0.4185121914351776
