Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Italy,1900,Archive,6,5,4,6,10.0,0.2879948506576348
Italy,1900,Craft,5,5,5,5,7.5,0.2515131080997201
Italy,1900,Flow,5,5,5,5,7.5,0.2515131080997201
Italy,1900,Hands,3,4,6,3,2.5,0.1889315471384175
Italy,1900,Helm,4,4,5,5,5.5,0.23801460749107334
Italy,1900,Lore,6,5,4,6,10.0,0.2879948506576348
Italy,1900,Shield,5,5,4,4,8.0,0.2575293974949487
Italy,1900,Stewards,4,6,4,5,8.5,0.2526801005275868
Italy,1902,Archive,6,5,3,6,11.0,0.3362044633273053
Italy,1902,Craft,5,5,4,5,8.5,0.2934995211494317
Italy,1902,Flow,5,5,4,5,8.5,0.2934995211494317
Italy,1902,Hands,4,4,5,4,5.0,0.25059929703743944
Italy,1902,Helm,4,4,4,5,6.5,0.27770981379694476
Italy,1902,Lore,6,5,3,6,11.0,0.33620446332730525
Italy,1902,Shield,5,5,3,4,9.0,0.30053889529658295
Italy,1902,Stewards,4,6,3,5,9.5,0.2948648702228671
Italy,1903,Archive,6,5,3,6,11.0,0.3362044633273053
Italy,1903,Craft,5,5,4,5,8.5,0.2934995211494317
Italy,1903,Flow,5,5,4,5,8.5,0.2934995211494317
Italy,1903,Hands,4,4,5,4,5.0,0.25059929703743944
Italy,1903,Helm,4,4,4,5,6.5,0.27770981379694476
Italy,1903,Lore,6,5,3,6,11.0,0.33620446332730525
Italy,1903,Shield,5,5,3,4,9.0,0.30053889529658295
Italy,1903,Stewards,4,6,3,5,9.5,0.2948648702228671
Italy,1904,Archive,6,6,2,6,13.0,0.39730361494871197
Italy,1904,Craft,6,6,3,5,11.5,0.3639013811633057
Italy,1904,Flow,6,6,3,5,11.5,0.3639013811633057
Italy,1904,Hands,4,5,4,4,7.0,0.2957572341566777
Italy,1904,Helm,5,5,3,5,9.5,0.34660191308187194
Italy,1904,Lore,6,5,3,6,11.0,0.37475619404399324
Italy,1904,Shield,6,6,2,5,12.5,0.3859597231456435
Italy,1904,Stewards,5,6,3,5,10.5,0.34660191308187194
Italy,1905,Archive,6,6,2,6,13.0,0.39730361494871197
Italy,1905,Craft,6,6,3,5,11.5,0.3639013811633057
Italy,1905,Flow,6,6,3,5,11.5,0.3639013811633057
Italy,1905,Hands,4,5,4,4,7.0,0.2957572341566777
Italy,1905,Helm,5,5,3,5,9.5,0.34660191308187194
Italy,1905,Lore,6,5,3,6,11.0,0.37475619404399324
Italy,1905,Shield,6,6,2,5,12.5,0.3859597231456435
Italy,1905,Stewards,5,6,3,5,10.5,0.34660191308187194
Italy,1906,Archive,6,6,2,6,13.0,0.39730361494871197
Italy,1906,Craft,6,6,3,5,11.5,0.3639013811633057
Italy,1906,Flow,6,6,3,5,11.5,0.3639013811633057
