Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Netherlands,1750,Archive,5.0,4.0,0.0,3.0,10.5,0.4964388497438688
Netherlands,1750,Craft,7.0,6.0,0.0,5.0,15.5,0.5874938683113318
Netherlands,1750,Flow,8.0,7.0,0.0,6.0,18.0,0.6256923281615536
Netherlands,1750,Hands,6.0,5.0,0.0,4.0,13.0,0.5448622806046247
Netherlands,1750,Helm,7.0,6.0,0.0,5.0,15.5,0.5874938683113318
Netherlands,1750,Lore,5.0,4.0,0.0,3.0,10.5,0.4964388497438688
Netherlands,1750,Shield,6.0,5.0,0.0,4.0,13.0,0.5448622806046247
Netherlands,1750,Stewards,8.0,7.0,0.0,6.0,18.0,0.6256923281615536
Netherlands,1755,Archive,5.2,4.2,0.0,3.2,11.0,0.5167759929835731
Netherlands,1755,Craft,7.2,6.2,0.0,5.2,16.0,0.6076352931680677
Netherlands,1755,Flow,8.2,7.2,0.0,6.2,18.5,0.645982557497731
Netherlands,1755,Hands,6.2,5.2,0.0,4.2,13.5,0.5649883050620813
Netherlands,1755,Helm,7.2,6.2,0.0,5.2,16.0,0.6076352931680677
Netherlands,1755,Lore,5.2,4.2,0.0,3.2,11.0,0.5167759929835731
Netherlands,1755,Shield,6.2,5.2,0.0,4.2,13.5,0.5649883050620813
Netherlands,1755,Stewards,8.2,7.2,0.0,6.2,18.5,0.645982557497731
Netherlands,1760,Archive,5.4,4.4,0.0,3.4,11.5,0.5370891468971418
Netherlands,1760,Craft,7.4,6.4,0.0,5.4,16.5,0.6277667734531696
Netherlands,1760,Flow,8.4,7.4,0.0,6.4,19.0,0.666253521588804
Netherlands,1760,Hands,6.4,5.4,0.0,4.4,14.0,0.5851059214208032
Netherlands,1760,Helm,7.4,6.4,0.0,5.4,16.5,0.6277667734531696
Netherlands,1760,Lore,5.4,4.4,0.0,3.4,11.5,0.5370891468971418
Netherlands,1760,Shield,6.4,5.4,0.0,4.4,14.0,0.5851059214208032
Netherlands,1760,Stewards,8.4,7.4,0.0,6.4,19.0,0.666253521588804
Netherlands,1765,Archive,5.6,4.6,0.0,3.6,12.0,0.5573808154987082
Netherlands,1765,Craft,7.6,6.6,0.0,5.6,17.0,0.6478893346425875
Netherlands,1765,Flow,8.6,7.6,0.0,6.6,19.5,0.6865071053441338
Netherlands,1765,Hands,6.6,5.6,0.0,4.6,14.5,0.6052159559677798
Netherlands,1765,Helm,7.6,6.6,0.0,5.6,17.0,0.6478893346425875
Netherlands,1765,Lore,5.6,4.6,0.0,3.6,12.0,0.5573808154987082
Netherlands,1765,Shield,6.6,5.6,0.0,4.6,14.5,0.6052159559677798
Netherlands,1765,Stewards,8.6,7.6,0.0,6.6,19.5,0.6865071053441338
Netherlands,1770,Archive,5.8,4.8,0.0,3.8,12.5,0.5776531622425153
Netherlands,1770,Craft,7.8,6.8,0.0,5.8,17.5,0.6680038644301531
Netherlands,1770,Flow,8.8,7.8,0.0,6.8,20.0,0.7067449521188615
Netherlands,1770,Hands,6.8,5.8,0.0,4.8,15.0,0.6253191286781438
Netherlands,1770,Helm,7.8,6.8,0.0,5.8,17.5,0.6680038644301531
Netherlands,1770,Lore,5.8,4.8,0.0,3.8,12.5,0.5776531622425153
Netherlands,1770,Shield,6.8,5.8,0.0,4.8,15.0,0.6253191286781438
Netherlands,1770,Stewards,8.8,7.8,0.0,6.8,20.0,0.7067449521188615
Netherlands,1775,Archive,6.0,5.0,0.0,4.0,13.0,0.5979080665676714
Netherlands,1775,Craft,8.0,7.0,0.0,6.0,18.0,0.6881111353321938
Netherlands,1775,Flow,9.0,8.0,0.0,7.0,20.5,0.7269685017095878
Netherlands,1775,Hands,7.0,6.0,0.0,5.0,15.5,0.6454160700005068
Netherlands,1775,Helm,8.0,7.0,0.0,6.0,18.0,0.6881111353321938
Netherlands,1775,Lore,6.0,5.0,0.0,4.0,13.0,0.5979080665676714
Netherlands,1775,Shield,7.0,6.0,0.0,5.0,15.5,0.6454160700005068
Netherlands,1775,Stewards,9.0,8.0,0.0,7.0,20.5,0.7269685017095878
