Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Netherlands,1750,Archive,5.0,4.0,-1.0,3.0,11.5,0.6478876539007962
Netherlands,1750,Craft,7.0,6.0,-3.0,5.0,18.5,0.8661676376804113
Netherlands,1750,Flow,8.0,7.0,-4.0,6.0,22.0,0.9763739081145617
Netherlands,1750,Hands,6.0,5.0,-2.0,4.0,15.0,0.7568173976690841
Netherlands,1750,Helm,7.0,6.0,-3.0,5.0,18.5,0.8661676376804113
Netherlands,1750,Lore,5.0,4.0,-1.0,3.0,11.5,0.6478876539007962
Netherlands,1750,Shield,6.0,5.0,-2.0,4.0,15.0,0.7568173976690841
Netherlands,1750,Stewards,8.0,7.0,-4.0,6.0,22.0,0.9763739081145617
Netherlands,1755,Archive,5.2,4.2,-0.8,3.2,11.8,0.6558487731596433
Netherlands,1755,Craft,7.2,6.2,-2.8,5.2,18.8,0.8711056586755305
Netherlands,1755,Flow,8.2,7.2,-3.8,6.2,22.3,0.9802367768391791
Netherlands,1755,Hands,6.2,5.2,-1.8,4.2,15.3,0.7630915171400525
Netherlands,1755,Helm,7.2,6.2,-2.8,5.2,18.8,0.8711056586755305
Netherlands,1755,Lore,5.2,4.2,-0.8,3.2,11.8,0.6558487731596433
Netherlands,1755,Shield,6.2,5.2,-1.8,4.2,15.3,0.7630915171400525
Netherlands,1755,Stewards,8.2,7.2,-3.8,6.2,22.3,0.9802367768391791
Netherlands,1760,Archive,5.4,4.4,-0.6,3.4,12.1,0.6628590570046587
Netherlands,1760,Craft,7.4,6.4,-2.6,5.4,19.1,0.8751131468661522
Netherlands,1760,Flow,8.4,7.4,-3.6,6.4,22.6,0.9831319144583015
Netherlands,1760,Hands,6.4,5.4,-1.6,4.4,15.600000000000001,0.7684453363658523
Netherlands,1760,Helm,7.4,6.4,-2.6,5.4,19.1,0.8751131468661522
Netherlands,1760,Lore,5.4,4.4,-0.6,3.4,12.1,0.6628590570046587
Netherlands,1760,Shield,6.4,5.4,-1.6,4.4,15.600000000000001,0.7684453363658523
Netherlands,1760,Stewards,8.4,7.4,-3.6,6.4,22.6,0.9831319144583015
Netherlands,1765,Archive,5.6,4.6,-0.4,3.6,12.4,0.6689685406928978
Netherlands,1765,Craft,7.6,6.6,-2.4,5.6,19.4,0.8782389278406415
Netherlands,1765,Flow,8.6,7.6,-3.4,6.6,22.9,0.9851125844431969
Netherlands,1765,Hands,6.6,5.6,-1.4,4.6,15.899999999999999,0.772925868879323
Netherlands,1765,Helm,7.6,6.6,-2.4,5.6,19.4,0.8782389278406415
Netherlands,1765,Lore,5.6,4.6,-0.4,3.6,12.4,0.6689685406928978
Netherlands,1765,Shield,6.6,5.6,-1.4,4.6,15.899999999999999,0.772925868879323
Netherlands,1765,Stewards,8.6,7.6,-3.4,6.6,22.9,0.9851125844431969
Netherlands,1770,Archive,5.8,4.8,-0.2,3.8,12.7,0.6742246245005179
Netherlands,1770,Craft,7.8,6.8,-2.2,5.8,19.7,0.8805296070387456
Netherlands,1770,Flow,8.8,7.8,-3.2,6.8,23.2,0.9862293925929843
Netherlands,1770,Hands,6.8,5.8,-1.2,4.8,16.2,0.7765780463628066
Netherlands,1770,Helm,7.8,6.8,-2.2,5.8,19.7,0.8805296070387456
Netherlands,1770,Lore,5.8,4.8,-0.2,3.8,12.7,0.6742246245005179
Netherlands,1770,Shield,6.8,5.8,-1.2,4.8,16.2,0.7765780463628066
Netherlands,1770,Stewards,8.8,7.8,-3.2,6.8,23.2,0.9862293925929843
Netherlands,1775,Archive,6.0,5.0,0.0,4.0,13.0,0.6786722889758938
Netherlands,1775,Craft,8.0,7.0,-2.0,6.0,20.0,0.8820296978721262
Netherlands,1775,Flow,9.0,8.0,-3.0,7.0,23.5,0.9865304718467786
Netherlands,1775,Hands,7.0,6.0,-1.0,5.0,16.5,0.7794448309069587
Netherlands,1775,Helm,8.0,7.0,-2.0,6.0,20.0,0.8820296978721262
Netherlands,1775,Lore,6.0,5.0,0.0,4.0,13.0,0.6786722889758938
Netherlands,1775,Shield,7.0,6.0,-1.0,5.0,16.5,0.7794448309069587
Netherlands,1775,Stewards,9.0,8.0,-3.0,7.0,23.5,0.9865304718467786
Netherlands,1780,Archive,6.2,5.2,0.2,4.2,13.3,0.6823542783095594
Netherlands,1780,Craft,8.2,7.2,-1.8,6.2,20.3,0.8827817358167142
Netherlands,1780,Flow,9.2,8.2,-2.8,7.2,23.8,0.9860616435988636
Netherlands,1780,Hands,7.2,6.2,-0.8,5.2,16.8,0.7815673162016922
Netherlands,1780,Helm,8.2,7.2,-1.8,6.2,20.3,0.8827817358167142
Netherlands,1780,Lore,6.2,5.2,0.2,4.2,13.3,0.6823542783095594
Netherlands,1780,Shield,7.2,6.2,-0.8,5.2,16.8,0.7815673162016922
Netherlands,1780,Stewards,9.2,8.2,-2.8,7.2,23.8,0.9860616435988636
Netherlands,1785,Archive,6.4,5.4,0.4,4.4,13.600000000000001,0.685311258442625
Netherlands,1785,Craft,8.4,7.4,-1.6,6.4,20.6,0.8828263811060646
Netherlands,1785,Flow,9.4,8.4,-2.6,7.4,24.1,0.98486656002164
Netherlands,1785,Hands,7.4,6.4,-0.6,5.4,17.1,0.7829848195919412
Netherlands,1785,Helm,8.4,7.4,-1.6,6.4,20.6,0.8828263811060646
Netherlands,1785,Lore,6.4,5.4,0.4,4.4,13.600000000000001,0.685311258442625
Netherlands,1785,Shield,7.4,6.4,-0.6,5.4,17.1,0.7829848195919412
Netherlands,1785,Stewards,9.4,8.4,-2.6,7.4,24.1,0.98486656002164
Netherlands,1790,Archive,6.6,5.6,0.6,4.6,13.899999999999999,0.687581954926361
Netherlands,1790,Craft,8.6,7.6,-1.4,6.6,20.9,0.882202512033395
Netherlands,1790,Flow,9.6,8.6,-2.4,7.6,24.4,0.9829868308587665
Netherlands,1790,Hands,7.6,6.6,-0.4,5.6,17.4,0.7837349664926754
Netherlands,1790,Helm,8.6,7.6,-1.4,6.6,20.9,0.882202512033395
Netherlands,1790,Lore,6.6,5.6,0.6,4.6,13.899999999999999,0.687581954926361
Netherlands,1790,Shield,7.6,6.6,-0.4,5.6,17.4,0.7837349664926754
Netherlands,1790,Stewards,9.6,8.6,-2.4,7.6,24.4,0.9829868308587665
Netherlands,1800,Archive,6.8,5.8,0.8,4.8,14.2,0.6892032743693487
Netherlands,1800,Craft,8.8,7.8,-1.2,6.8,21.2,0.8809473104134485
Netherlands,1800,Flow,9.8,8.8,-2.2,7.8,24.7,0.9804621373781405
Netherlands,1800,Hands,7.8,6.8,-0.2,5.8,17.7,0.7838537683320513
Netherlands,1800,Helm,8.8,7.8,-1.2,6.8,21.2,0.8809473104134485
Netherlands,1800,Lore,6.8,5.8,0.8,4.8,14.2,0.6892032743693487
