Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Roman Empire,5,Archive,7.0,6.0,-4,6,20.0,1.006635597825648
Roman Empire,5,Craft,6.0,6.0,-2,4,16.0,0.8066805638470547
Roman Empire,5,Flow,6.0,6.0,-2,4,16.0,0.8066805638470547
Roman Empire,5,Hands,5.0,7.0,-1,3,14.5,0.6896995464259909
Roman Empire,5,Helm,8.0,8.0,-5,6,24.0,1.1049115302320132
Roman Empire,5,Lore,6.0,5.0,-3,5,16.5,0.8849801421484439
Roman Empire,5,Shield,8.0,9.0,-5,4,24.0,1.052812726547897
Roman Empire,5,Stewards,7.0,7.0,-3,5,19.5,0.9245224966870836
Roman Empire,10,Archive,7.0,6.0,-4,6,20.0,1.0330581663312437
Roman Empire,10,Craft,6.0,6.0,-2,4,16.0,0.8270978839393004
Roman Empire,10,Flow,6.0,6.0,-2,4,16.0,0.8270978839393004
Roman Empire,10,Hands,5.0,7.0,-1,3,14.5,0.7068201358065872
Roman Empire,10,Helm,9.0,8.0,-6,7,26.5,1.2637791417204711
Roman Empire,10,Lore,6.0,5.0,-3,5,16.5,0.907688936569636
Roman Empire,10,Shield,8.0,9.0,-5,4,24.0,1.080699357630472
Roman Empire,10,Stewards,7.0,7.0,-3,5,19.5,0.9484168846010919
Roman Empire,15,Archive,7.0,6.0,-4,6,20.0,0.9629611152288466
Roman Empire,15,Craft,6.0,6.0,-2,4,16.0,0.7729322970631775
Roman Empire,15,Flow,6.0,6.0,-2,4,16.0,0.7729322970631775
Roman Empire,15,Hands,5.0,7.0,-1,3,14.5,0.6614005230819322
Roman Empire,15,Helm,8.0,8.0,-4,7,23.5,1.020465920272656
Roman Empire,15,Lore,5.0,5.0,-2,5,14.5,0.759789003139068
Roman Empire,15,Shield,7.0,8.0,-4,4,21.0,0.9123431248135032
Roman Empire,15,Stewards,7.0,7.0,-3,5,19.5,0.885026903028557
Roman Empire,20,Archive,7.0,6.0,-4,6,20.0,0.9110920421542412
Roman Empire,20,Craft,6.0,6.0,-2,4,16.0,0.7328518836988207
Roman Empire,20,Flow,6.0,6.0,-2,4,16.0,0.7328518836988207
Roman Empire,20,Hands,5.0,7.0,-1,3,14.5,0.627791788129673
Roman Empire,20,Helm,7.0,8.0,-3,7,21.5,0.8816291054117199
Roman Empire,20,Lore,4.0,5.0,-1,5,12.5,0.6409052993010563
Roman Empire,20,Shield,6.0,7.0,-3,4,18.0,0.7779109777536445
Roman Empire,20,Stewards,7.0,7.0,-3,5,19.5,0.8381207987820221
Roman Empire,25,Archive,8.0,6.0,-3,5,19.5,0.9768053009726917
Roman Empire,25,Craft,7.0,6.0,-2,4,17.0,0.8592610737052342
Roman Empire,25,Flow,7.0,6.0,-2,4,17.0,0.8592610737052342
Roman Empire,25,Hands,6.0,7.0,-1,3,15.5,0.7433694624288637
Roman Empire,25,Helm,8.0,9.0,-4,7,24.5,1.084585238083817
Roman Empire,25,Lore,6.0,5.0,-2,4,15.0,0.819104199534887
Roman Empire,25,Shield,9.0,8.0,-5,6,25.0,1.1600182842622435
Roman Empire,25,Stewards,8.0,7.0,-3,5,20.5,0.9768053009726917
Roman Empire,30,Archive,8.0,6.0,-3,5,19.5,0.9503989609115912
