Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Russia,1900,Archive,5.0,6.0,3.0,7.0,11.5,0.303693028296144
Russia,1900,Craft,6.0,5.0,4.0,6.0,10.0,0.29084621196181526
Russia,1900,Flow,6.0,6.0,4.0,6.0,11.0,0.29084621196181526
Russia,1900,Hands,4.0,5.0,7.0,3.0,3.5,0.19447724161699026
Russia,1900,Helm,4.0,5.0,6.0,3.0,4.5,0.2069364509110375
Russia,1900,Lore,5.0,5.0,5.0,7.0,8.5,0.2705404972736196
Russia,1900,Shield,6.0,6.0,4.0,4.0,10.0,0.2739277192687593
Russia,1900,Stewards,3.0,7.0,5.0,4.0,7.0,0.214570749397734
Russia,1901,Archive,5.0,6.0,3.0,6.0,11.0,0.28134159561434385
Russia,1901,Craft,6.0,5.0,4.0,6.0,10.0,0.2775261017670874
Russia,1901,Flow,6.0,6.0,4.0,6.0,11.0,0.2775261017670874
Russia,1901,Hands,4.0,5.0,8.0,3.0,2.5,0.17485196236942796
Russia,1901,Helm,3.0,5.0,7.0,3.0,2.5,0.17143223744539002
Russia,1901,Lore,5.0,5.0,6.0,6.0,7.0,0.23628183991741572
Russia,1901,Shield,6.0,6.0,4.0,4.0,10.0,0.2615273715241837
Russia,1901,Stewards,3.0,7.0,5.0,4.0,7.0,0.20521521388938677
Russia,1902,Archive,5.0,6.0,3.0,6.0,11.0,0.2722622679069175
Russia,1902,Craft,6.0,5.0,4.0,6.0,10.0,0.2685965545626504
Russia,1902,Flow,6.0,6.0,4.0,6.0,11.0,0.2685965545626504
Russia,1902,Hands,4.0,5.0,9.0,3.0,1.5,0.15931175584363835
Russia,1902,Helm,2.0,5.0,8.0,3.0,0.5,0.14102787305074732
Russia,1902,Lore,5.0,5.0,6.0,6.0,7.0,0.2289071342297551
Russia,1902,Shield,6.0,6.0,4.0,4.0,10.0,0.2532144154811888
Russia,1902,Stewards,3.0,7.0,6.0,4.0,6.0,0.18713822500754493
Russia,1903,Archive,5.0,6.0,3.0,6.0,11.0,0.26989800320507074
Russia,1903,Craft,6.0,5.0,4.0,6.0,10.0,0.26627129283191053
Russia,1903,Flow,6.0,6.0,4.0,6.0,11.0,0.26627129283191053
Russia,1903,Hands,4.0,5.0,9.0,3.0,1.5,0.15803815754160858
Russia,1903,Helm,2.0,5.0,8.0,3.0,0.5,0.1399133479819501
Russia,1903,Lore,4.0,5.0,6.0,6.0,6.0,0.2158157158344521
Russia,1903,Shield,6.0,6.0,4.0,4.0,10.0,0.251049714616346
Russia,1903,Stewards,3.0,7.0,6.0,4.0,6.0,0.18561441901123835
Russia,1904,Archive,5.0,6.0,3.0,4.0,10.0,0.22682303086798614
Russia,1904,Craft,6.0,5.0,4.0,6.0,10.0,0.2386717243569272
Russia,1904,Flow,6.0,6.0,4.0,6.0,11.0,0.2386717243569272
Russia,1904,Hands,4.0,5.0,10.0,3.0,0.5,0.13427304432555556
Russia,1904,Helm,1.0,3.0,9.0,3.0,-3.5,0.10411934164831498
Russia,1904,Lore,4.0,5.0,6.0,6.0,6.0,0.19432547481817344
Russia,1904,Shield,4.0,3.0,9.0,4.0,0.0,0.1498101208544044
Russia,1904,Stewards,3.0,7.0,6.0,4.0,6.0,0.1675276860720302
Russia,1905,Archive,5.0,6.0,3.0,2.0,9.0,0.1748098210910444
Russia,1905,Craft,6.0,5.0,9.0,6.0,5.0,0.14999773273555794
Russia,1905,Flow,6.0,6.0,9.0,6.0,6.0,0.14999773273555794
Russia,1905,Hands,7.0,5.0,10.0,3.0,3.5,0.13527320653326996
Russia,1905,Helm,1.0,1.0,10.0,3.0,-6.5,0.08280606311192718
Russia,1905,Lore,4.0,5.0,6.0,6.0,6.0,0.16243064846281133
Russia,1905,Shield,2.0,2.0,10.0,4.0,-4.0,0.10129514316150989
Russia,1905,Stewards,3.0,7.0,9.0,4.0,3.0,0.1174951834578799
Russia,1906,Archive,5.0,6.0,3.0,5.0,10.5,0.23854351639772545
Russia,1906,Craft,6.0,5.0,6.0,6.0,8.0,0.21687247978796204
Russia,1906,Flow,6.0,6.0,6.0,6.0,9.0,0.21687247978796204
Russia,1906,Hands,5.0,5.0,8.0,3.0,3.5,0.16534192248447363
Russia,1906,Helm,3.0,4.0,7.0,3.0,1.5,0.15145762074904318
Russia,1906,Lore,3.0,5.0,6.0,6.0,5.0,0.18654722596873435
Russia,1906,Shield,4.0,2.0,7.0,4.0,1.0,0.17198723172091115
Russia,1906,Stewards,3.0,7.0,7.0,4.0,5.0,0.1601224292569953
Russia,1907,Archive,5.0,6.0,3.0,4.0,10.0,0.22821126266037975
Russia,1907,Craft,6.0,5.0,6.0,6.0,8.0,0.2146114408670919
Russia,1907,Flow,6.0,6.0,6.0,6.0,9.0,0.2146114408670919
Russia,1907,Hands,5.0,5.0,8.0,3.0,3.5,0.16369508380371772
Russia,1907,Helm,4.0,5.0,6.0,3.0,4.5,0.17275138850924213
Russia,1907,Lore,1.0,5.0,6.0,6.0,3.0,0.1594802162298106
Russia,1907,Shield,4.0,2.0,7.0,4.0,1.0,0.17026473101272396
Russia,1907,Stewards,3.0,7.0,7.0,4.0,5.0,0.15853436207131028
Russia,1908,Archive,5.0,6.0,3.0,4.0,10.0,0.2261250142020114
Russia,1908,Craft,6.0,5.0,6.0,6.0,8.0,0.2126761166127553
Russia,1908,Flow,6.0,6.0,6.0,6.0,9.0,0.2126761166127553
Russia,1908,Hands,5.0,5.0,8.0,3.0,3.5,0.16228548098245357
Russia,1908,Helm,4.0,5.0,7.0,3.0,3.5,0.16118274481291545
Russia,1908,Lore,1.0,5.0,6.0,6.0,3.0,0.15811173532577436
Russia,1908,Shield,4.0,3.0,7.0,4.0,2.0,0.1687903656809747
Russia,1908,Stewards,3.0,7.0,7.0,4.0,5.0,0.15717506439907494
Russia,1909,Archive,5.0,6.0,3.0,4.0,10.0,0.22417847556181086
Russia,1909,Craft,6.0,5.0,6.0,6.0,8.0,0.2108703952341378
Russia,1909,Flow,6.0,6.0,6.0,6.0,9.0,0.2108703952341378
Russia,1909,Hands,5.0,5.0,8.0,3.0,3.5,0.16097027504525072
Russia,1909,Helm,4.0,5.0,8.0,3.0,2.5,0.1503888185769083
Russia,1909,Lore,1.0,5.0,6.0,6.0,3.0,0.1568348974940204
Russia,1909,Shield,4.0,4.0,7.0,4.0,3.0,0.16741473418487457
Russia,1909,Stewards,3.0,7.0,7.0,4.0,5.0,0.15590679482556016
Russia,1910,Archive,5.0,6.0,3.0,4.0,10.0,0.23239310307238722
Russia,1910,Craft,6.0,5.0,6.0,6.0,8.0,0.21849075694023737
Russia,1910,Flow,6.0,6.0,6.0,6.0,9.0,0.21849075694023737
Russia,1910,Hands,5.0,4.0,7.0,3.0,3.5,0.17694981767256726
Russia,1910,Helm,5.0,5.0,7.0,3.0,4.5,0.17694981767256726
Russia,1910,Lore,1.0,6.0,6.0,7.0,4.5,0.1714173525935463
Russia,1910,Shield,4.0,4.0,7.0,4.0,3.0,0.1732200647849986
Russia,1910,Stewards,3.0,7.0,7.0,4.0,5.0,0.16125904518127282
Russia,1911,Archive,5.0,6.0,3.0,4.0,10.0,0.2260151037918629
Russia,1911,Craft,6.0,5.0,6.0,6.0,8.0,0.21257415738459567
Russia,1911,Flow,6.0,6.0,6.0,6.0,9.0,0.21257415738459567
Russia,1911,Hands,5.0,4.0,8.0,3.0,2.5,0.16221121848336814
Russia,1911,Helm,4.0,5.0,8.0,3.0,2.5,0.15153770895459825
Russia,1911,Lore,1.0,6.0,6.0,7.0,4.5,0.16696349825102855
