Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Saudi Arabia,1900,Archive,4.0,3.0,5.0,5.0,4.5,0.20315236340541093
Saudi Arabia,1900,Craft,3.0,3.0,5.0,4.0,3.0,0.181922439021585
Saudi Arabia,1900,Flow,3.0,4.0,6.0,4.0,3.0,0.17125706790811274
Saudi Arabia,1900,Hands,5.0,5.0,5.0,3.0,6.5,0.1991875487197099
Saudi Arabia,1900,Helm,3.0,3.0,7.0,4.0,1.0,0.16110949428172522
Saudi Arabia,1900,Lore,7.0,6.0,4.0,6.0,12.0,0.25376951916814405
Saudi Arabia,1900,Shield,4.0,4.0,6.0,4.0,4.0,0.18381315355184866
Saudi Arabia,1900,Stewards,3.0,3.0,6.0,4.0,2.0,0.17125706790811274
Saudi Arabia,1901,Archive,4.0,3.0,5.0,5.0,4.5,0.20315236340541093
Saudi Arabia,1901,Craft,3.0,3.0,5.0,4.0,3.0,0.181922439021585
Saudi Arabia,1901,Flow,3.0,4.0,6.0,4.0,3.0,0.17125706790811274
Saudi Arabia,1901,Hands,5.0,5.0,5.0,3.0,6.5,0.1991875487197099
Saudi Arabia,1901,Helm,3.0,3.0,7.0,4.0,1.0,0.16110949428172522
Saudi Arabia,1901,Lore,7.0,6.0,4.0,6.0,12.0,0.25376951916814405
Saudi Arabia,1901,Shield,4.0,4.0,6.0,4.0,4.0,0.18381315355184866
Saudi Arabia,1901,Stewards,3.0,3.0,6.0,4.0,2.0,0.17125706790811274
Saudi Arabia,1902,Archive,4.0,3.0,5.0,5.0,4.5,0.20721203345756908
Saudi Arabia,1902,Craft,3.0,3.0,5.0,4.0,3.0,0.18549108821758611
Saudi Arabia,1902,Flow,3.0,4.0,6.0,4.0,3.0,0.1745867353432031
Saudi Arabia,1902,Hands,5.0,5.0,5.0,3.0,6.5,0.20315388054681863
Saudi Arabia,1902,Helm,4.0,4.0,7.0,4.0,3.0,0.17642753201066858
Saudi Arabia,1902,Lore,7.0,6.0,4.0,6.0,12.0,0.2590984412116542
Saudi Arabia,1902,Shield,5.0,4.0,6.0,4.0,5.0,0.19905996364032377
Saudi Arabia,1902,Stewards,3.0,3.0,6.0,4.0,2.0,0.1745867353432031
Saudi Arabia,1903,Archive,4.0,3.0,5.0,5.0,4.5,0.20721203345756908
Saudi Arabia,1903,Craft,3.0,3.0,5.0,4.0,3.0,0.18549108821758611
Saudi Arabia,1903,Flow,3.0,4.0,6.0,4.0,3.0,0.1745867353432031
Saudi Arabia,1903,Hands,5.0,5.0,5.0,3.0,6.5,0.20315388054681863
Saudi Arabia,1903,Helm,4.0,5.0,7.0,4.0,4.0,0.17642753201066858
Saudi Arabia,1903,Lore,7.0,6.0,4.0,6.0,12.0,0.2590984412116542
Saudi Arabia,1903,Shield,5.0,5.0,6.0,4.0,6.0,0.19905996364032377
Saudi Arabia,1903,Stewards,3.0,3.0,6.0,4.0,2.0,0.1745867353432031
Saudi Arabia,1904,Archive,4.0,3.0,6.0,5.0,3.5,0.18690367086484963
Saudi Arabia,1904,Craft,3.0,3.0,6.0,4.0,2.0,0.16720648013879713
Saudi Arabia,1904,Flow,3.0,4.0,6.0,4.0,3.0,0.16720648013879713
Saudi Arabia,1904,Hands,5.0,5.0,6.0,3.0,5.5,0.18322105070215208
Saudi Arabia,1904,Helm,5.0,5.0,8.0,4.0,4.0,0.16904202180252365
Saudi Arabia,1904,Lore,7.0,6.0,5.0,6.0,11.0,0.23411035795617716
Saudi Arabia,1904,Shield,6.0,5.0,7.0,4.0,6.0,0.18918173900338386
Saudi Arabia,1904,Stewards,3.0,3.0,6.0,4.0,2.0,0.16720648013879713
Saudi Arabia,1905,Archive,4.0,3.0,5.0,5.0,4.5,0.21004885568825568
Saudi Arabia,1905,Craft,3.0,3.0,5.0,4.0,3.0,0.18798479416971295
Saudi Arabia,1905,Flow,3.0,4.0,6.0,4.0,3.0,0.17691344526772917
Saudi Arabia,1905,Hands,5.0,5.0,5.0,3.0,6.5,0.20592547975484796
Saudi Arabia,1905,Helm,6.0,6.0,7.0,4.0,7.0,0.20038237499088568
Saudi Arabia,1905,Lore,7.0,6.0,5.0,6.0,11.0,0.24860538327531315
Saudi Arabia,1905,Shield,6.0,6.0,7.0,4.0,7.0,0.20038237499088568
Saudi Arabia,1905,Stewards,4.0,4.0,6.0,4.0,4.0,0.18994835620293196
Saudi Arabia,1906,Archive,4.0,3.0,5.0,5.0,4.5,0.2181753082638605
Saudi Arabia,1906,Craft,3.0,3.0,5.0,4.0,3.0,0.19512834477300803
Saudi Arabia,1906,Flow,3.0,4.0,5.0,4.0,4.0,0.19512834477300803
Saudi Arabia,1906,Hands,5.0,5.0,5.0,3.0,6.5,0.2138650923534078
Saudi Arabia,1906,Helm,6.0,6.0,6.0,4.0,8.0,0.22084192437746442
Saudi Arabia,1906,Lore,7.0,6.0,5.0,6.0,11.0,0.25855821438989207
Saudi Arabia,1906,Shield,6.0,6.0,6.0,4.0,8.0,0.22084192437746442
Saudi Arabia,1906,Stewards,4.0,4.0,5.0,4.0,5.0,0.2094165328458629
Saudi Arabia,1907,Archive,4.0,3.0,5.0,5.0,4.5,0.2181753082638605
Saudi Arabia,1907,Craft,3.0,3.0,5.0,4.0,3.0,0.19512834477300803
Saudi Arabia,1907,Flow,3.0,4.0,5.0,4.0,4.0,0.19512834477300803
Saudi Arabia,1907,Hands,5.0,5.0,5.0,3.0,6.5,0.2138650923534078
Saudi Arabia,1907,Helm,6.0,6.0,6.0,4.0,8.0,0.22084192437746442
Saudi Arabia,1907,Lore,7.0,6.0,5.0,6.0,11.0,0.25855821438989207
Saudi Arabia,1907,Shield,6.0,6.0,6.0,4.0,8.0,0.22084192437746442
Saudi Arabia,1907,Stewards,4.0,4.0,5.0,4.0,5.0,0.2094165328458629
Saudi Arabia,1908,Archive,4.0,3.0,5.0,5.0,4.5,0.2181753082638605
Saudi Arabia,1908,Craft,3.0,3.0,5.0,4.0,3.0,0.19512834477300803
Saudi Arabia,1908,Flow,3.0,4.0,5.0,4.0,4.0,0.19512834477300803
Saudi Arabia,1908,Hands,5.0,5.0,5.0,3.0,6.5,0.2138650923534078
Saudi Arabia,1908,Helm,6.0,6.0,6.0,4.0,8.0,0.22084192437746442
Saudi Arabia,1908,Lore,7.0,6.0,5.0,6.0,11.0,0.25855821438989207
Saudi Arabia,1908,Shield,6.0,6.0,6.0,4.0,8.0,0.22084192437746442
Saudi Arabia,1908,Stewards,4.0,4.0,5.0,4.0,5.0,0.2094165328458629
Saudi Arabia,1909,Archive,4.0,3.0,5.0,5.0,4.5,0.2181753082638605
Saudi Arabia,1909,Craft,3.0,3.0,5.0,4.0,3.0,0.19512834477300803
Saudi Arabia,1909,Flow,3.0,4.0,5.0,4.0,4.0,0.19512834477300803
Saudi Arabia,1909,Hands,5.0,5.0,5.0,3.0,6.5,0.2138650923534078
Saudi Arabia,1909,Helm,6.0,6.0,6.0,4.0,8.0,0.22084192437746442
Saudi Arabia,1909,Lore,7.0,6.0,5.0,6.0,11.0,0.25855821438989207
Saudi Arabia,1909,Shield,6.0,6.0,6.0,4.0,8.0,0.22084192437746442
Saudi Arabia,1909,Stewards,4.0,4.0,5.0,4.0,5.0,0.2094165328458629
Saudi Arabia,1910,Archive,4.0,3.0,5.0,5.0,4.5,0.2181753082638605
Saudi Arabia,1910,Craft,3.0,3.0,5.0,4.0,3.0,0.19512834477300803
Saudi Arabia,1910,Flow,3.0,4.0,5.0,4.0,4.0,0.19512834477300803
Saudi Arabia,1910,Hands,5.0,5.0,5.0,3.0,6.5,0.2138650923534078
Saudi Arabia,1910,Helm,6.0,6.0,6.0,4.0,8.0,0.22084192437746442
Saudi Arabia,1910,Lore,7.0,6.0,5.0,6.0,11.0,0.25855821438989207
Saudi Arabia,1910,Shield,6.0,6.0,6.0,4.0,8.0,0.22084192437746442
Saudi Arabia,1910,Stewards,4.0,4.0,5.0,4.0,5.0,0.2094165328458629
Saudi Arabia,1911,Archive,4.0,3.0,5.0,5.0,4.5,0.2181753082638605
Saudi Arabia,1911,Craft,3.0,3.0,5.0,4.0,3.0,0.19512834477300803
Saudi Arabia,1911,Flow,3.0,4.0,5.0,4.0,4.0,0.19512834477300803
Saudi Arabia,1911,Hands,5.0,5.0,5.0,3.0,6.5,0.2138650923534078
Saudi Arabia,1911,Helm,6.0,6.0,6.0,4.0,8.0,0.22084192437746442
Saudi Arabia,1911,Lore,7.0,6.0,5.0,6.0,11.0,0.25855821438989207
Saudi Arabia,1911,Shield,6.0,6.0,6.0,4.0,8.0,0.22084192437746442
Saudi Arabia,1911,Stewards,4.0,4.0,5.0,4.0,5.0,0.2094165328458629
Saudi Arabia,1912,Archive,4.0,3.0,5.0,5.0,4.5,0.22792358341587812
Saudi Arabia,1912,Craft,3.0,3.0,5.0,4.0,3.0,0.20369755700865547
Saudi Arabia,1912,Flow,4.0,4.0,5.0,4.0,5.0,0.21871114851298407
Saudi Arabia,1912,Hands,6.0,6.0,5.0,3.0,8.5,0.23659877680857147
Saudi Arabia,1912,Helm,7.0,7.0,6.0,4.0,10.0,0.24176137876811304
Saudi Arabia,1912,Lore,8.0,6.0,5.0,6.0,12.0,0.2803358197786756
Saudi Arabia,1912,Shield,7.0,7.0,6.0,4.0,10.0,0.24176137876811307
Saudi Arabia,1912,Stewards,4.0,4.0,5.0,4.0,5.0,0.21871114851298407
Saudi Arabia,1913,Archive,4.0,3.0,5.0,5.0,4.5,0.23226148854445228
Saudi Arabia,1913,Craft,3.0,3.0,5.0,4.0,3.0,0.2075107884906538
Saudi Arabia,1913,Flow,5.0,5.0,5.0,4.0,7.0,0.2367592764025551
Saudi Arabia,1913,Hands,6.0,6.0,5.0,3.0,8.5,0.2411295709478138
Saudi Arabia,1913,Helm,7.0,7.0,6.0,4.0,10.0,0.24640829355437835
Saudi Arabia,1913,Lore,8.0,6.0,5.0,6.0,12.0,0.2858848866640437
Saudi Arabia,1913,Shield,7.0,7.0,6.0,4.0,10.0,0.24640829355437835
Saudi Arabia,1913,Stewards,5.0,5.0,5.0,4.0,7.0,0.2367592764025551
Saudi Arabia,1914,Archive,4.0,3.0,6.0,5.0,3.5,0.20219536968436919
Saudi Arabia,1914,Craft,3.0,3.0,6.0,4.0,2.0,0.18064863381056154
Saudi Arabia,1914,Flow,5.0,5.0,6.0,4.0,6.0,0.2061109214378271
Saudi Arabia,1914,Hands,6.0,6.0,6.0,3.0,7.5,0.209915483815972
Saudi Arabia,1914,Helm,7.0,7.0,7.0,4.0,9.0,0.2145108787546008
Saudi Arabia,1914,Lore,8.0,6.0,6.0,6.0,11.0,0.24887724912323186
Saudi Arabia,1914,Shield,7.0,7.0,7.0,4.0,9.0,0.2145108787546008
Saudi Arabia,1914,Stewards,5.0,5.0,6.0,4.0,6.0,0.2061109214378271
Saudi Arabia,1915,Archive,4.0,3.0,6.0,5.0,3.5,0.20219536968436919
Saudi Arabia,1915,Craft,3.0,3.0,6.0,4.0,2.0,0.18064863381056154
Saudi Arabia,1915,Flow,5.0,5.0,6.0,4.0,6.0,0.2061109214378271
Saudi Arabia,1915,Hands,6.0,6.0,6.0,3.0,7.5,0.209915483815972
Saudi Arabia,1915,Helm,7.0,7.0,7.0,4.0,9.0,0.2145108787546008
Saudi Arabia,1915,Lore,8.0,6.0,6.0,6.0,11.0,0.24887724912323186
Saudi Arabia,1915,Shield,7.0,7.0,7.0,4.0,9.0,0.2145108787546008
