Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Saudi Arabia,1918,Archive,7,2,-3,5,14.5,0.6985614146972834
Saudi Arabia,1918,Craft,3,3,-1,3,8.5,0.4550887168531302
Saudi Arabia,1918,Flow,4,3,-1,3,9.5,0.493377482156173
Saudi Arabia,1918,Hands,2,3,0,2,6.0,0.35562771876599886
Saudi Arabia,1918,Helm,5,4,-3,4,14.0,0.617742813084848
Saudi Arabia,1918,Lore,8,2,-2,6,15.0,0.7016419532211177
Saudi Arabia,1918,Shield,6,3,-4,3,14.5,0.6659796803764994
Saudi Arabia,1918,Stewards,4,3,-1,3,9.5,0.493377482156173
Saudi Arabia,1919,Archive,7,2,-3,5,14.5,0.6985614146972834
Saudi Arabia,1919,Craft,3,3,-1,3,8.5,0.4550887168531302
Saudi Arabia,1919,Flow,4,3,-1,3,9.5,0.493377482156173
Saudi Arabia,1919,Hands,2,3,0,2,6.0,0.35562771876599886
Saudi Arabia,1919,Helm,5,4,-3,4,14.0,0.617742813084848
Saudi Arabia,1919,Lore,8,2,-2,6,15.0,0.7016419532211177
Saudi Arabia,1919,Shield,6,3,-4,3,14.5,0.6659796803764994
Saudi Arabia,1919,Stewards,4,3,-1,3,9.5,0.493377482156173
Saudi Arabia,1920,Archive,7,2,-3,5,14.5,0.6985614146972834
Saudi Arabia,1920,Craft,3,3,-1,3,8.5,0.4550887168531302
Saudi Arabia,1920,Flow,4,3,-1,3,9.5,0.493377482156173
Saudi Arabia,1920,Hands,2,3,0,2,6.0,0.35562771876599886
Saudi Arabia,1920,Helm,5,4,-3,4,14.0,0.617742813084848
Saudi Arabia,1920,Lore,8,2,-2,6,15.0,0.7016419532211177
Saudi Arabia,1920,Shield,6,3,-4,3,14.5,0.6659796803764994
Saudi Arabia,1920,Stewards,4,3,-1,3,9.5,0.493377482156173
Saudi Arabia,1921,Archive,8,3,-4,6,18.0,0.9454349510664569
Saudi Arabia,1921,Craft,4,4,-2,4,12.0,0.6542666946867959
Saudi Arabia,1921,Flow,5,4,-2,4,13.0,0.6957703213020635
Saudi Arabia,1921,Hands,3,4,-1,3,9.5,0.5403632144472994
Saudi Arabia,1921,Helm,6,5,-4,5,17.5,0.8524450123871125
Saudi Arabia,1921,Lore,8,2,-2,6,15.0,0.843230390943748
Saudi Arabia,1921,Shield,7,4,-5,4,18.0,0.9160130194699134
Saudi Arabia,1921,Stewards,5,4,-2,4,13.0,0.6957703213020636
Saudi Arabia,1922,Archive,9,4,-5,7,21.5,1.2464443726728776
Saudi Arabia,1922,Craft,5,5,-3,5,15.5,0.8983137909406453
Saudi Arabia,1922,Flow,6,5,-3,5,16.5,0.9440060333891057
Saudi Arabia,1922,Hands,4,5,-2,4,13.0,0.76462021602645
Saudi Arabia,1922,Helm,7,6,-5,6,21.0,1.1398655081071
Saudi Arabia,1922,Lore,8,2,-2,6,15.0,0.9912851761069122
Saudi Arabia,1922,Shield,8,5,-6,5,21.5,1.2220192539843253
Saudi Arabia,1922,Stewards,6,5,-3,5,16.5,0.9440060333891057
Saudi Arabia,1923,Archive,10,5,-6,8,25.0,1.6132010535984935
Saudi Arabia,1923,Craft,6,6,-4,6,19.0,1.1971726331847263
Saudi Arabia,1923,Flow,7,6,-4,6,20.0,1.2479656242893715
Saudi Arabia,1923,Hands,5,6,-3,5,16.5,1.0385239173594802
Saudi Arabia,1923,Helm,8,7,-6,7,24.5,1.491230393697705
Saudi Arabia,1923,Lore,8,2,-2,6,15.0,1.148269984542495
Saudi Arabia,1923,Shield,9,6,-7,6,25.0,1.5959215177714303
Saudi Arabia,1923,Stewards,7,6,-4,6,20.0,1.2479656242893715
Saudi Arabia,1924,Archive,11,6,-7,9,28.5,2.0591742480932846
Saudi Arabia,1924,Craft,7,7,-5,7,22.5,1.5623565042980176
Saudi Arabia,1924,Flow,8,7,-5,7,23.5,1.619190578446179
Saudi Arabia,1924,Hands,6,7,-4,6,20.0,1.3731227850393617
Saudi Arabia,1924,Helm,9,8,-7,8,28.0,1.919659827323292
Saudi Arabia,1924,Lore,8,2,-2,6,15.0,1.316063151039181
Saudi Arabia,1924,Shield,10,7,-8,7,28.5,2.051642100911266
Saudi Arabia,1924,Stewards,8,7,-5,7,23.5,1.6191905784461789
Saudi Arabia,1925,Archive,12,7,-8,10,32.0,2.600206402299693
Saudi Arabia,1925,Craft,8,8,-6,8,26.0,2.0074010409397762
Saudi Arabia,1925,Flow,9,8,-6,8,27.0,2.0712937143442494
Saudi Arabia,1925,Hands,7,8,-5,7,23.5,1.7811591223663217
Saudi Arabia,1925,Helm,10,9,-8,9,31.5,2.4406338258130753
Saudi Arabia,1925,Lore,8,2,-2,6,15.0,1.496307120732791
Saudi Arabia,1925,Shield,11,8,-9,8,32.0,2.6056017527298008
Saudi Arabia,1925,Stewards,9,8,-6,8,27.0,2.071293714344249
Saudi Arabia,1926,Archive,12,7,-8,10,32.0,2.600206402299693
Saudi Arabia,1926,Craft,8,8,-6,8,26.0,2.0074010409397762
Saudi Arabia,1926,Flow,9,8,-6,8,27.0,2.0712937143442494
Saudi Arabia,1926,Hands,7,8,-5,7,23.5,1.7811591223663217
Saudi Arabia,1926,Helm,10,9,-8,9,31.5,2.4406338258130753
Saudi Arabia,1926,Lore,8,2,-2,6,15.0,1.496307120732791
Saudi Arabia,1926,Shield,11,8,-9,8,32.0,2.6056017527298008
Saudi Arabia,1926,Stewards,9,8,-6,8,27.0,2.071293714344249
Saudi Arabia,1927,Archive,12,7,-8,10,32.0,2.600206402299693
Saudi Arabia,1927,Craft,8,8,-6,8,26.0,2.0074010409397762
Saudi Arabia,1927,Flow,9,8,-6,8,27.0,2.0712937143442494
Saudi Arabia,1927,Hands,7,8,-5,7,23.5,1.7811591223663217
Saudi Arabia,1927,Helm,10,9,-8,9,31.5,2.4406338258130753
Saudi Arabia,1927,Lore,8,2,-2,6,15.0,1.496307120732791
Saudi Arabia,1927,Shield,11,8,-9,8,32.0,2.6056017527298008
Saudi Arabia,1927,Stewards,9,8,-6,8,27.0,2.071293714344249
Saudi Arabia,1928,Archive,12,7,-8,10,32.0,2.600206402299693
Saudi Arabia,1928,Craft,8,8,-6,8,26.0,2.0074010409397762
Saudi Arabia,1928,Flow,9,8,-6,8,27.0,2.0712937143442494
Saudi Arabia,1928,Hands,7,8,-5,7,23.5,1.7811591223663217
Saudi Arabia,1928,Helm,10,9,-8,9,31.5,2.4406338258130753
Saudi Arabia,1928,Lore,8,2,-2,6,15.0,1.496307120732791
Saudi Arabia,1928,Shield,11,8,-9,8,32.0,2.6056017527298008
Saudi Arabia,1928,Stewards,9,8,-6,8,27.0,2.071293714344249
Saudi Arabia,1929,Archive,12,7,-8,10,32.0,2.600206402299693
Saudi Arabia,1929,Craft,8,8,-6,8,26.0,2.0074010409397762
Saudi Arabia,1929,Flow,9,8,-6,8,27.0,2.0712937143442494
Saudi Arabia,1929,Hands,7,8,-5,7,23.5,1.7811591223663217
Saudi Arabia,1929,Helm,10,9,-8,9,31.5,2.4406338258130753
Saudi Arabia,1929,Lore,8,2,-2,6,15.0,1.496307120732791
Saudi Arabia,1929,Shield,11,8,-9,8,32.0,2.6056017527298008
Saudi Arabia,1929,Stewards,9,8,-6,8,27.0,2.071293714344249
Saudi Arabia,1930,Archive,12,7,-8,10,32.0,2.600206402299693
Saudi Arabia,1930,Craft,8,8,-6,8,26.0,2.0074010409397762
Saudi Arabia,1930,Flow,9,8,-6,8,27.0,2.0712937143442494
Saudi Arabia,1930,Hands,7,8,-5,7,23.5,1.7811591223663217
Saudi Arabia,1930,Helm,10,9,-8,9,31.5,2.4406338258130753
Saudi Arabia,1930,Lore,8,2,-2,6,15.0,1.496307120732791
Saudi Arabia,1930,Shield,11,8,-9,8,32.0,2.6056017527298008
Saudi Arabia,1930,Stewards,9,8,-6,8,27.0,2.071293714344249
Saudi Arabia,1931,Archive,12,7,-8,10,32.0,2.600206402299693
Saudi Arabia,1931,Craft,8,8,-6,8,26.0,2.0074010409397762
Saudi Arabia,1931,Flow,9,8,-6,8,27.0,2.0712937143442494
Saudi Arabia,1931,Hands,7,8,-5,7,23.5,1.7811591223663217
Saudi Arabia,1931,Helm,10,9,-8,9,31.5,2.4406338258130753
Saudi Arabia,1931,Lore,8,2,-2,6,15.0,1.496307120732791
Saudi Arabia,1931,Shield,11,8,-9,8,32.0,2.6056017527298008
Saudi Arabia,1931,Stewards,9,8,-6,8,27.0,2.071293714344249
Saudi Arabia,1932,Archive,12,7,-8,10,32.0,2.600206402299693
Saudi Arabia,1932,Craft,8,8,-6,8,26.0,2.0074010409397762
Saudi Arabia,1932,Flow,9,8,-6,8,27.0,2.0712937143442494
Saudi Arabia,1932,Hands,7,8,-5,7,23.5,1.7811591223663217
Saudi Arabia,1932,Helm,10,9,-8,9,31.5,2.4406338258130753
Saudi Arabia,1932,Lore,8,2,-2,6,15.0,1.496307120732791
Saudi Arabia,1932,Shield,11,8,-9,8,32.0,2.6056017527298008
Saudi Arabia,1932,Stewards,9,8,-6,8,27.0,2.071293714344249
Saudi Arabia,1933,Archive,12,7,-8,10,32.0,2.600206402299693
Saudi Arabia,1933,Craft,8,8,-6,8,26.0,2.0074010409397762
Saudi Arabia,1933,Flow,9,8,-6,8,27.0,2.0712937143442494
Saudi Arabia,1933,Hands,7,8,-5,7,23.5,1.7811591223663217
Saudi Arabia,1933,Helm,10,9,-8,9,31.5,2.4406338258130753
Saudi Arabia,1933,Lore,8,2,-2,6,15.0,1.496307120732791
Saudi Arabia,1933,Shield,11,8,-9,8,32.0,2.6056017527298008
Saudi Arabia,1933,Stewards,9,8,-6,8,27.0,2.071293714344249
Saudi Arabia,1934,Archive,12,7,-8,10,32.0,2.600206402299693
Saudi Arabia,1934,Craft,8,8,-6,8,26.0,2.0074010409397762
Saudi Arabia,1934,Flow,9,8,-6,8,27.0,2.0712937143442494
