Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Singapore,1930,Archive,8.0,8.0,3.0,7.0,16.5,0.356425947751352
Singapore,1930,Craft,6.0,6.0,6.0,6.0,9.0,0.271621200529316
Singapore,1930,Flow,8.0,8.0,8.0,7.0,11.5,0.266866352322557
Singapore,1930,Hands,3.0,6.0,9.0,3.0,1.5,0.16512650216877572
Singapore,1930,Helm,8.0,7.0,5.0,7.0,13.5,0.3183590060024192
Singapore,1930,Lore,4.0,5.0,4.0,5.0,7.5,0.2677888248765818
Singapore,1930,Shield,7.0,6.0,3.0,5.0,12.5,0.32818972725970885
Singapore,1930,Stewards,6.0,6.0,8.0,7.0,7.5,0.2475994745118712
Singapore,1931,Archive,7.0,6.0,3.0,6.0,13.0,0.2905858088956043
Singapore,1931,Craft,5.0,4.0,7.0,5.0,4.5,0.20564562133059297
Singapore,1931,Flow,6.0,3.0,9.0,6.0,3.0,0.1973085802747214
Singapore,1931,Hands,3.0,3.0,9.0,3.0,-1.5,0.14461616121692544
Singapore,1931,Helm,7.0,6.0,5.0,6.0,11.0,0.25997970492693134
Singapore,1931,Lore,6.0,5.0,5.0,5.0,8.5,0.24290053438388584
Singapore,1931,Shield,5.0,3.0,5.0,4.0,5.0,0.2235432404831815
Singapore,1931,Stewards,4.0,3.0,9.0,5.0,0.5,0.17199299588495284
Singapore,1932,Archive,7.0,6.0,4.0,6.0,12.0,0.2778435318767306
Singapore,1932,Craft,5.0,4.0,7.0,5.0,4.5,0.2076468147540204
Singapore,1932,Flow,6.0,3.0,8.0,6.0,4.0,0.21162198940018312
Singapore,1932,Hands,3.0,3.0,8.0,3.0,-0.5,0.1554953230991363
Singapore,1932,Helm,7.0,6.0,5.0,6.0,11.0,0.262620787817095
Singapore,1932,Lore,6.0,5.0,5.0,5.0,8.5,0.24533332133364322
Singapore,1932,Shield,5.0,4.0,5.0,4.0,6.0,0.22574814090113796
Singapore,1932,Stewards,4.0,4.0,8.0,5.0,2.5,0.1847005291042932
Singapore,1933,Archive,7.0,6.0,4.0,6.0,12.0,0.3044051157129508
Singapore,1933,Craft,6.0,5.0,6.0,5.0,7.5,0.2527029095742796
Singapore,1933,Flow,6.0,4.0,7.0,6.0,6.0,0.2452064469290149
Singapore,1933,Hands,4.0,4.0,7.0,3.0,2.5,0.1956069341540432
Singapore,1933,Helm,7.0,6.0,5.0,6.0,11.0,0.28740362184375917
Singapore,1933,Lore,6.0,5.0,5.0,6.0,9.0,0.2761204092204325
Singapore,1933,Shield,6.0,5.0,4.0,4.0,9.0,0.275599270454132
Singapore,1933,Stewards,5.0,5.0,7.0,6.0,6.0,0.2342044768051703
Singapore,1934,Archive,7.0,7.0,3.0,7.0,14.5,0.3769743393883732
Singapore,1934,Craft,6.0,6.0,5.0,6.0,10.0,0.3141484765906325
Singapore,1934,Flow,7.0,6.0,5.0,7.0,11.5,0.33561014125258437
Singapore,1934,Hands,5.0,5.0,6.0,4.0,6.0,0.263055169485401
Singapore,1934,Helm,7.0,7.0,4.0,6.0,13.0,0.34715191448475285
Singapore,1934,Lore,6.0,6.0,5.0,6.0,10.0,0.31414847659063244
Singapore,1934,Shield,6.0,6.0,4.0,5.0,10.5,0.3237069425194739
Singapore,1934,Stewards,6.0,6.0,5.0,7.0,10.5,0.32299953258536673
Singapore,1935,Archive,7.0,7.0,3.0,7.0,14.5,0.3958633247262147
Singapore,1935,Craft,6.0,6.0,5.0,6.0,10.0,0.32937249272507513
Singapore,1935,Flow,7.0,7.0,4.0,7.0,13.5,0.3734758450264008
Singapore,1935,Hands,5.0,5.0,6.0,4.0,6.0,0.27549256732903615
Singapore,1935,Helm,8.0,7.0,4.0,6.0,14.0,0.3779473620825448
Singapore,1935,Lore,7.0,6.0,5.0,6.0,11.0,0.34325487820692413
Singapore,1935,Shield,7.0,6.0,4.0,5.0,11.5,0.35466951119907136
Singapore,1935,Stewards,7.0,7.0,4.0,7.0,13.5,0.37347584502640085
Singapore,1936,Archive,8.0,7.0,4.0,7.0,14.5,0.3585335226216818
Singapore,1936,Craft,6.0,6.0,6.0,6.0,9.0,0.28825209680337693
Singapore,1936,Flow,7.0,7.0,5.0,7.0,12.5,0.3268853972480663
Singapore,1936,Hands,6.0,6.0,7.0,4.0,7.0,0.25463571384807376
Singapore,1936,Helm,7.0,7.0,6.0,6.0,11.0,0.3004114430854986
Singapore,1936,Lore,6.0,6.0,6.0,7.0,9.5,0.29644177779618264
Singapore,1936,Shield,7.0,7.0,4.0,5.0,12.5,0.32928269685061945
Singapore,1936,Stewards,7.0,7.0,5.0,7.0,12.5,0.3268853972480663
Singapore,1937,Archive,8.0,7.0,4.0,7.0,14.5,0.37549253623913437
Singapore,1937,Craft,7.0,7.0,5.0,6.0,12.0,0.33356160702919396
Singapore,1937,Flow,8.0,8.0,5.0,7.0,14.5,0.3542431980674842
Singapore,1937,Hands,6.0,6.0,7.0,4.0,7.0,0.2660299827866267
Singapore,1937,Helm,8.0,7.0,5.0,7.0,13.5,0.3542431980674842
Singapore,1937,Lore,6.0,6.0,7.0,7.0,8.5,0.2917173532132544
Singapore,1937,Shield,8.0,7.0,4.0,6.0,14.0,0.3670964150712313
Singapore,1937,Stewards,7.0,7.0,5.0,7.0,12.5,0.3420712719847146
Singapore,1938,Archive,8.0,8.0,4.0,7.0,15.5,0.3873860248632444
Singapore,1938,Craft,7.0,7.0,5.0,6.0,12.0,0.3439028188412017
Singapore,1938,Flow,8.0,8.0,5.0,8.0,15.0,0.3733842626249351
Singapore,1938,Hands,6.0,6.0,6.0,5.0,8.5,0.30126096892061666
Singapore,1938,Helm,8.0,8.0,5.0,7.0,14.5,0.36534021533824657
Singapore,1938,Lore,6.0,6.0,6.0,7.0,9.5,0.31949123354565895
Singapore,1938,Shield,8.0,8.0,4.0,6.0,15.0,0.3786726868320654
Singapore,1938,Stewards,8.0,8.0,5.0,7.0,14.5,0.36534021533824657
Singapore,1939,Archive,8.0,8.0,4.0,7.0,15.5,0.3719264657894254
Singapore,1939,Craft,7.0,7.0,5.0,6.0,12.0,0.33046096170783507
Singapore,1939,Flow,7.0,7.0,6.0,7.0,11.5,0.31930852194802967
Singapore,1939,Hands,6.0,6.0,6.0,5.0,8.5,0.28970840656408353
Singapore,1939,Helm,8.0,8.0,5.0,7.0,14.5,0.3509159366877613
Singapore,1939,Lore,7.0,6.0,6.0,7.0,10.5,0.31930852194802967
Singapore,1939,Shield,8.0,8.0,5.0,6.0,14.0,0.3429657545641192
Singapore,1939,Stewards,7.0,7.0,6.0,7.0,11.5,0.31930852194802967
Singapore,1940,Archive,8.0,8.0,5.0,7.0,14.5,0.32289677798661864
Singapore,1940,Craft,7.0,7.0,6.0,6.0,11.0,0.2869143373019479
Singapore,1940,Flow,7.0,6.0,7.0,7.0,9.5,0.27723563541607016
Singapore,1940,Hands,6.0,6.0,7.0,5.0,7.5,0.2515452120734628
Singapore,1940,Helm,7.0,7.0,6.0,7.0,11.5,0.2942188885613365
Singapore,1940,Lore,7.0,6.0,6.0,7.0,10.5,0.2942188885613365
Singapore,1940,Shield,7.0,8.0,6.0,6.0,12.0,0.2869143373019479
Singapore,1940,Stewards,7.0,7.0,7.0,7.0,10.5,0.2772356354160702
Singapore,1941,Archive,8.0,8.0,6.0,7.0,13.5,0.2649008825248867
Singapore,1941,Craft,7.0,7.0,7.0,6.0,10.0,0.23569030911892058
Singapore,1941,Flow,6.0,5.0,8.0,7.0,6.5,0.21921517222760997
Singapore,1941,Hands,6.0,6.0,8.0,5.0,6.5,0.20687912473484632
Singapore,1941,Helm,6.0,7.0,8.0,6.0,8.0,0.2131814778081753
Singapore,1941,Lore,7.0,6.0,7.0,7.0,9.5,0.24162880611444632
Singapore,1941,Shield,6.0,8.0,8.0,5.0,8.5,0.20687912473484632
Singapore,1941,Stewards,6.0,6.0,8.0,6.0,7.0,0.2131814778081753
Singapore,1942,Archive,2.0,2.0,10.0,3.0,-4.5,0.06249981864708667
Singapore,1942,Craft,3.0,3.0,9.0,4.0,-1.0,0.07671466371202056
Singapore,1942,Flow,2.0,2.0,10.0,3.0,-4.5,0.06249981864708666
Singapore,1942,Hands,2.0,2.0,10.0,2.0,-5.0,0.05773601834315467
Singapore,1942,Helm,2.0,2.0,10.0,3.0,-4.5,0.06249981864708667
Singapore,1942,Lore,3.0,3.0,10.0,4.0,-2.0,0.07244884708019314
Singapore,1942,Shield,2.0,3.0,10.0,2.0,-4.0,0.05773601834315467
Singapore,1942,Stewards,2.0,2.0,10.0,3.0,-4.5,0.06249981864708666
Singapore,1943,Archive,6.0,5.0,6.0,5.0,7.5,0.21822080152464748
Singapore,1943,Craft,5.0,4.0,7.0,4.0,4.0,0.189080294813246
Singapore,1943,Flow,4.0,3.0,8.0,4.0,1.0,0.16732602143673198
Singapore,1943,Hands,4.0,3.0,9.0,2.0,-1.0,0.14224160275230094
Singapore,1943,Helm,9.0,7.0,6.0,4.0,12.0,0.23938294973961188
Singapore,1943,Lore,7.0,4.0,8.0,4.0,5.0,0.19685308926067133
Singapore,1943,Shield,9.0,7.0,6.0,3.0,11.5,0.23366818488476707
Singapore,1943,Stewards,7.0,5.0,7.0,5.0,7.5,0.21486130831271458
Singapore,1944,Archive,6.0,4.0,7.0,4.0,5.0,0.1690885706967575
Singapore,1944,Craft,4.0,3.0,8.0,4.0,1.0,0.14255415606819685
Singapore,1944,Flow,3.0,2.0,9.0,3.0,-2.5,0.11811205327120951
Singapore,1944,Hands,3.0,2.0,10.0,2.0,-4.0,0.10399753482243919
Singapore,1944,Helm,8.0,6.0,7.0,4.0,9.0,0.18417051259605197
Singapore,1944,Lore,6.0,3.0,9.0,3.0,1.5,0.14527714180942744
Singapore,1944,Shield,8.0,6.0,7.0,3.0,8.5,0.17938752000961364
Singapore,1944,Stewards,6.0,4.0,8.0,4.0,4.0,0.15952403419588232
Singapore,1945,Archive,2.0,2.0,10.0,2.0,-5.0,0.05830494304283129
Singapore,1945,Craft,3.0,2.0,9.0,3.0,-2.5,0.07360251046382334
Singapore,1945,Flow,2.0,1.0,10.0,2.0,-6.0,0.05830494304283129
Singapore,1945,Hands,2.0,1.0,10.0,2.0,-6.0,0.05830494304283129
Singapore,1945,Helm,3.0,2.0,10.0,3.0,-3.5,0.06944257190699768
Singapore,1945,Lore,3.0,2.0,9.0,3.0,-2.5,0.07360251046382334
Singapore,1945,Shield,2.0,2.0,10.0,2.0,-5.0,0.05830494304283129
Singapore,1945,Stewards,3.0,2.0,9.0,3.0,-2.5,0.07360251046382334
Singapore,1946,Archive,4.0,3.0,8.0,5.0,1.5,0.15298741425220838
Singapore,1946,Craft,4.0,4.0,7.0,5.0,3.5,0.16237280348969177
Singapore,1946,Flow,5.0,3.0,8.0,5.0,2.5,0.16162620708137537
Singapore,1946,Hands,6.0,4.0,9.0,3.0,2.5,0.14960432087961695
Singapore,1946,Helm,4.0,4.0,8.0,4.0,2.0,0.1467878284188448
Singapore,1946,Lore,5.0,4.0,6.0,5.0,5.5,0.18163503391161012
Singapore,1946,Shield,4.0,5.0,7.0,4.0,4.0,0.15587325620640138
Singapore,1946,Stewards,5.0,3.0,8.0,5.0,2.5,0.16162620708137537
