Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Singapore,1935,Archive,6.0,5.0,-2.0,5.0,15.5,0.7189321733510496
Singapore,1935,Craft,5.0,4.0,-3.0,4.0,14.0,0.7012892752441127
Singapore,1935,Flow,7.0,6.0,-1.0,6.0,17.0,0.7268390398935318
Singapore,1935,Hands,4.0,3.0,-4.0,3.0,12.5,0.6698218356150141
Singapore,1935,Helm,5.0,4.0,-3.0,4.0,14.0,0.7012892752441127
Singapore,1935,Lore,6.0,5.0,-2.0,5.0,15.5,0.7189321733510496
Singapore,1935,Shield,4.0,3.0,-4.0,3.0,12.5,0.6698218356150141
Singapore,1935,Stewards,7.0,6.0,-1.0,6.0,17.0,0.7268390398935318
Singapore,1936,Archive,6.5,5.5,-1.5,5.5,16.25,0.735623617020398
Singapore,1936,Craft,5.5,4.5,-2.5,4.5,14.75,0.7230097914835104
Singapore,1936,Flow,7.5,6.5,-0.5,6.5,17.75,0.7397722692136168
Singapore,1936,Hands,4.5,3.5,-3.5,3.5,13.25,0.6986552528257782
Singapore,1936,Helm,5.5,4.5,-2.5,4.5,14.75,0.7230097914835104
Singapore,1936,Lore,6.5,5.5,-1.5,5.5,16.25,0.735623617020398
Singapore,1936,Shield,4.5,3.5,-3.5,3.5,13.25,0.6986552528257782
Singapore,1936,Stewards,7.5,6.5,-0.5,6.5,17.75,0.7397722692136168
Singapore,1937,Archive,7.0,6.0,-1.0,6.0,17.0,0.7467597171547427
Singapore,1937,Craft,6.0,5.0,-2.0,5.0,15.5,0.7385987670114095
Singapore,1937,Flow,8.0,7.0,0.0,7.0,18.5,0.7475418719767527
Singapore,1937,Hands,5.0,4.0,-3.0,4.0,14.0,0.7203929557661676
Singapore,1937,Helm,6.0,5.0,-2.0,5.0,15.5,0.7385987670114095
Singapore,1937,Lore,7.0,6.0,-1.0,6.0,17.0,0.7467597171547427
Singapore,1937,Shield,5.0,4.0,-3.0,4.0,14.0,0.7203929557661676
Singapore,1937,Stewards,8.0,7.0,0.0,7.0,18.5,0.7475418719767527
Singapore,1938,Archive,7.5,6.5,-0.5,6.5,17.75,0.753038084399978
Singapore,1938,Craft,6.5,5.5,-1.5,5.5,16.25,0.7488023204644759
Singapore,1938,Flow,8.5,7.5,0.5,7.5,19.25,0.7508304941581969
Singapore,1938,Hands,5.5,4.5,-2.5,4.5,14.75,0.7359248344522474
Singapore,1938,Helm,6.5,5.5,-1.5,5.5,16.25,0.7488023204644759
Singapore,1938,Lore,7.5,6.5,-0.5,6.5,17.75,0.753038084399978
Singapore,1938,Shield,5.5,4.5,-2.5,4.5,14.75,0.7359248344522474
Singapore,1938,Stewards,8.5,7.5,0.5,7.5,19.25,0.7508304941581969
Singapore,1939,Archive,8.0,7.0,0.0,7.0,18.5,0.755078142706933
Singapore,1939,Craft,7.0,6.0,-1.0,6.0,17.0,0.7542867647588043
Singapore,1939,Flow,9.0,8.0,1.0,8.0,20.0,0.7502364393703066
Singapore,1939,Hands,6.0,5.0,-2.0,5.0,15.5,0.7460298088756089
Singapore,1939,Helm,7.0,6.0,-1.0,6.0,17.0,0.7542867647588043
Singapore,1939,Lore,8.0,7.0,0.0,7.0,18.5,0.755078142706933
Singapore,1939,Shield,6.0,5.0,-2.0,5.0,15.5,0.7460298088756089
Singapore,1939,Stewards,9.0,8.0,1.0,8.0,20.0,0.7502364393703066
Singapore,1940,Archive,8.5,7.5,0.5,7.5,19.25,0.7534321628129792
Singapore,1940,Craft,7.5,6.5,-0.5,6.5,17.75,0.7556486923068108
Singapore,1940,Flow,9.5,8.5,1.5,8.5,20.75,0.7462878279981552
Singapore,1940,Hands,6.5,5.5,-1.5,5.5,16.25,0.7513957854667838
Singapore,1940,Helm,7.5,6.5,-0.5,6.5,17.75,0.7556486923068108
Singapore,1940,Lore,8.5,7.5,0.5,7.5,19.25,0.7534321628129792
Singapore,1940,Shield,6.5,5.5,-1.5,5.5,16.25,0.7513957854667838
Singapore,1940,Stewards,9.5,8.5,1.5,8.5,20.75,0.7462878279981552
Singapore,1941,Archive,6.0,5.0,-4.0,5.0,17.5,0.9784008531749558
Singapore,1941,Craft,6.0,5.0,-4.0,5.0,17.5,0.9784008531749558
Singapore,1941,Flow,7.0,6.0,-3.0,6.0,19.0,0.9892185658128465
Singapore,1941,Hands,5.0,4.0,-5.0,4.0,16.0,0.9542689756213888
Singapore,1941,Helm,6.0,5.0,-4.0,5.0,17.5,0.9784008531749558
Singapore,1941,Lore,7.0,6.0,-3.0,6.0,19.0,0.9892185658128465
Singapore,1941,Shield,7.0,6.0,-3.0,6.0,19.0,0.9892185658128465
Singapore,1941,Stewards,8.0,7.0,-2.0,7.0,20.5,0.9902553590015406
Singapore,1942,Archive,4.0,3.0,2.0,3.0,6.5,0.30635439352266364
Singapore,1942,Craft,4.0,3.0,2.0,3.0,6.5,0.30635439352266364
Singapore,1942,Flow,5.0,4.0,1.0,4.0,10.0,0.3611666218227657
Singapore,1942,Hands,3.0,2.0,3.0,2.0,3.0,0.24931581095477545
Singapore,1942,Helm,4.0,3.0,2.0,3.0,6.5,0.30635439352266364
Singapore,1942,Lore,5.0,4.0,1.0,4.0,10.0,0.3611666218227657
Singapore,1942,Shield,5.0,4.0,1.0,4.0,10.0,0.3611666218227657
Singapore,1942,Stewards,6.0,5.0,0.0,5.0,13.5,0.4147468338141839
Singapore,1943,Archive,3.0,2.0,3.0,2.0,3.0,0.1971022527896896
Singapore,1943,Craft,3.0,2.0,3.0,2.0,3.0,0.1971022527896896
Singapore,1943,Flow,4.0,3.0,2.0,3.0,6.5,0.24050513853147762
Singapore,1943,Hands,2.0,1.0,4.0,1.0,-0.5,0.14907341029607696
Singapore,1943,Helm,3.0,2.0,3.0,2.0,3.0,0.19710225278968965
Singapore,1943,Lore,4.0,3.0,2.0,3.0,6.5,0.2405051385314776
Singapore,1943,Shield,4.0,3.0,2.0,3.0,6.5,0.2405051385314776
Singapore,1943,Stewards,5.0,4.0,1.0,4.0,10.0,0.2813889182573994
Singapore,1944,Archive,2.0,1.0,4.0,1.0,-0.5,0.11018520163077974
Singapore,1944,Craft,2.0,1.0,4.0,1.0,-0.5,0.11018520163077974
Singapore,1944,Flow,3.0,2.0,3.0,2.0,3.0,0.14397129798111144
Singapore,1944,Hands,1.0,0.0,5.0,0.0,-4.0,0.06617096034099823
