Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
South Africa,1880,Archive,6.0,5.0,6.0,5.0,7.5,0.2106112534430962
South Africa,1880,Craft,5.0,7.0,7.0,6.0,8.0,0.1956392508190062
South Africa,1880,Flow,7.0,8.0,5.0,7.0,13.5,0.24409757961317732
South Africa,1880,Hands,3.0,4.0,9.0,3.0,-0.5,0.1336045341186074
South Africa,1880,Helm,4.0,6.0,8.0,5.0,4.5,0.16865606438578423
South Africa,1880,Lore,5.0,5.0,6.0,6.0,7.0,0.20743231367632547
South Africa,1880,Shield,4.0,5.0,9.0,4.0,2.0,0.15207470750117638
South Africa,1880,Stewards,6.0,6.0,7.0,4.0,7.0,0.1925183399511785
South Africa,1881,Archive,5.0,5.0,8.0,5.0,4.5,0.15989632399666925
South Africa,1881,Craft,5.0,7.0,8.0,6.0,7.0,0.16520849679618374
South Africa,1881,Flow,7.0,8.0,6.0,7.0,12.5,0.2058222330475484
South Africa,1881,Hands,3.0,4.0,9.0,3.0,-0.5,0.12028276024679072
South Africa,1881,Helm,3.0,5.0,9.0,5.0,1.5,0.13363591702076913
South Africa,1881,Lore,5.0,5.0,7.0,6.0,6.0,0.17510852471472824
South Africa,1881,Shield,3.0,4.0,10.0,4.0,-1.0,0.11955763471296954
South Africa,1881,Stewards,6.0,6.0,8.0,4.0,6.0,0.16258702184698265
South Africa,1882,Archive,6.0,6.0,5.0,5.0,9.5,0.28228758541057386
South Africa,1882,Craft,6.0,7.0,6.0,6.0,10.0,0.2739498843716741
South Africa,1882,Flow,8.0,8.0,4.0,7.0,15.5,0.3400433743211652
South Africa,1882,Hands,4.0,5.0,8.0,4.0,3.0,0.20239340732942432
South Africa,1882,Helm,6.0,7.0,5.0,6.0,11.0,0.29074220148602375
South Africa,1882,Lore,6.0,5.0,5.0,7.0,9.5,0.2988256356048603
South Africa,1882,Shield,6.0,6.0,5.0,5.0,9.5,0.28228758541057386
South Africa,1882,Stewards,7.0,7.0,5.0,5.0,11.5,0.2948280423865815
South Africa,1883,Archive,7.0,6.0,4.0,6.0,12.0,0.360349110741424
South Africa,1883,Craft,6.0,8.0,5.0,7.0,12.5,0.3351249499110491
South Africa,1883,Flow,8.0,9.0,3.0,8.0,18.0,0.4137052100859023
South Africa,1883,Hands,4.0,6.0,7.0,4.0,5.0,0.24045214071633308
South Africa,1883,Helm,7.0,7.0,4.0,6.0,13.0,0.360349110741424
South Africa,1883,Lore,6.0,6.0,4.0,7.0,11.5,0.3556614614359758
South Africa,1883,Shield,7.0,7.0,4.0,5.0,12.5,0.35087412999801515
South Africa,1883,Stewards,7.0,7.0,4.0,5.0,12.5,0.35087412999801515
South Africa,1884,Archive,7.0,7.0,3.0,6.0,14.0,0.43947142050658144
South Africa,1884,Craft,7.0,8.0,4.0,7.0,14.5,0.42462171695307344
South Africa,1884,Flow,9.0,9.0,2.0,8.0,20.0,0.5206597353972413
South Africa,1884,Hands,5.0,6.0,7.0,5.0,6.5,0.30385518136115086
South Africa,1884,Helm,8.0,8.0,3.0,7.0,16.5,0.46671228535608605
South Africa,1884,Lore,7.0,6.0,3.0,8.0,14.0,0.46146661473938544
South Africa,1884,Shield,8.0,8.0,3.0,6.0,16.0,0.45612391465983926
South Africa,1884,Stewards,8.0,8.0,3.0,6.0,16.0,0.45612391465983926
South Africa,1885,Archive,8.0,7.0,3.0,7.0,15.5,0.4784360278414678
South Africa,1885,Craft,7.0,9.0,4.0,8.0,16.0,0.44571518862530096
South Africa,1885,Flow,9.0,10.0,2.0,9.0,21.5,0.5441141971475407
South Africa,1885,Hands,5.0,7.0,6.0,5.0,8.5,0.3313057217343049
South Africa,1885,Helm,8.0,9.0,3.0,7.0,17.5,0.4784360278414678
South Africa,1885,Lore,7.0,7.0,3.0,8.0,15.0,0.47303506901104836
South Africa,1885,Shield,8.0,8.0,3.0,6.0,16.0,0.4675349676615376
South Africa,1885,Stewards,8.0,8.0,3.0,6.0,16.0,0.4675349676615376
South Africa,1886,Archive,8.0,8.0,2.0,8.0,18.0,0.5973690870610066
South Africa,1886,Craft,8.0,10.0,3.0,9.0,19.5,0.5747666318323298
South Africa,1886,Flow,10.0,10.0,1.0,10.0,24.0,0.6952363654628152
South Africa,1886,Hands,6.0,8.0,6.0,6.0,11.0,0.41160449901578644
South Africa,1886,Helm,9.0,9.0,2.0,8.0,20.0,0.6160587706058216
South Africa,1886,Lore,8.0,7.0,2.0,9.0,17.5,0.6099294429010207
South Africa,1886,Shield,9.0,9.0,2.0,7.0,19.5,0.6037007676003652
South Africa,1886,Stewards,9.0,9.0,2.0,7.0,19.5,0.6037007676003652
South Africa,1887,Archive,8.0,8.0,3.0,8.0,17.0,0.5200399952366507
South Africa,1887,Craft,8.0,10.0,4.0,9.0,18.5,0.5003634151054507
South Africa,1887,Flow,10.0,10.0,2.0,10.0,23.0,0.6052384095776038
South Africa,1887,Hands,6.0,8.0,7.0,6.0,10.0,0.35832252847341184
South Africa,1887,Helm,9.0,9.0,3.0,8.0,19.0,0.5363103097744156
South Africa,1887,Lore,8.0,8.0,3.0,9.0,17.5,0.5309744200883747
South Africa,1887,Shield,9.0,9.0,3.0,7.0,18.5,0.5255520432968004
South Africa,1887,Stewards,9.0,9.0,3.0,7.0,18.5,0.5255520432968004
South Africa,1888,Archive,8.0,8.0,3.0,8.0,17.0,0.5225701795801381
South Africa,1888,Craft,9.0,10.0,4.0,9.0,19.5,0.5179253398787901
South Africa,1888,Flow,10.0,10.0,2.0,10.0,23.0,0.6082702767457329
South Africa,1888,Hands,6.0,8.0,7.0,6.0,10.0,0.3599831505127555
South Africa,1888,Helm,9.0,9.0,3.0,8.0,19.0,0.5389336607370073
South Africa,1888,Lore,8.0,8.0,3.0,9.0,17.5,0.5335670875280264
South Africa,1888,Shield,9.0,9.0,3.0,7.0,18.5,0.5281136597068684
South Africa,1888,Stewards,9.0,9.0,3.0,7.0,18.5,0.5281136597068684
South Africa,1889,Archive,8.0,9.0,4.0,9.0,17.5,0.44732647392888464
South Africa,1889,Craft,9.0,10.0,5.0,10.0,19.0,0.44239913656277424
South Africa,1889,Flow,10.0,10.0,3.0,10.0,22.0,0.5094506561342649
South Africa,1889,Hands,5.0,8.0,8.0,5.0,7.5,0.2782879693309342
South Africa,1889,Helm,8.0,9.0,5.0,8.0,16.0,0.41292553385184555
South Africa,1889,Lore,8.0,8.0,4.0,9.0,16.5,0.4473264739288846
South Africa,1889,Shield,8.0,9.0,5.0,7.0,15.5,0.40388027921634745
South Africa,1889,Stewards,8.0,9.0,4.0,7.0,16.5,0.4286922425722465
South Africa,1890,Archive,7.0,9.0,5.0,9.0,15.5,0.34695022391289915
South Africa,1890,Craft,9.0,10.0,6.0,10.0,18.0,0.35398513988802466
South Africa,1890,Flow,9.0,10.0,4.0,10.0,20.0,0.3966381154758255
South Africa,1890,Hands,4.0,7.0,9.0,4.0,4.0,0.2021215247040933
South Africa,1890,Helm,7.0,8.0,7.0,7.0,11.5,0.29418429662577567
South Africa,1890,Lore,7.0,8.0,5.0,9.0,14.5,0.34695022391289915
South Africa,1890,Shield,7.0,8.0,7.0,6.0,11.0,0.2867221272705831
South Africa,1890,Stewards,7.0,8.0,6.0,6.0,12.0,0.304552824974827
South Africa,1891,Archive,7.0,9.0,6.0,9.0,14.5,0.2987551584255273
South Africa,1891,Craft,8.0,10.0,7.0,10.0,16.0,0.2965089121154086
South Africa,1891,Flow,9.0,10.0,5.0,10.0,19.0,0.34143136328646684
South Africa,1891,Hands,4.0,7.0,9.0,4.0,4.0,0.18557777343013418
South Africa,1891,Helm,6.0,8.0,8.0,7.0,9.5,0.2436742301947589
South Africa,1891,Lore,7.0,8.0,6.0,9.0,13.5,0.2987551584255273
South Africa,1891,Shield,6.0,8.0,8.0,6.0,9.0,0.23686385885084774
South Africa,1891,Stewards,7.0,8.0,7.0,6.0,11.0,0.26231133003521256
South Africa,1892,Archive,6.0,9.0,7.0,9.0,12.5,0.23552698722106538
South Africa,1892,Craft,8.0,10.0,8.0,10.0,15.0,0.24168100000403944
South Africa,1892,Flow,8.0,10.0,6.0,10.0,17.0,0.27053505239324893
South Africa,1892,Hands,3.0,6.0,10.0,3.0,0.5,0.1332092346356723
South Africa,1892,Helm,5.0,7.0,9.0,6.0,6.0,0.1847991976968165
South Africa,1892,Lore,6.0,7.0,7.0,9.0,10.5,0.23552698722106533
South Africa,1892,Shield,5.0,7.0,9.0,5.0,5.5,0.17862782505556288
South Africa,1892,Stewards,6.0,7.0,8.0,5.0,7.5,0.1994863984171977
South Africa,1893,Archive,6.0,8.0,8.0,9.0,10.5,0.20840567592183648
