Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Sweden,1880,Archive,8.0,7.0,3.0,8.0,16.0,0.43320509210466024
Sweden,1880,Craft,7.0,6.0,4.0,6.0,12.0,0.37687466210912807
Sweden,1880,Flow,7.0,7.0,4.0,7.0,13.5,0.3864619871789245
Sweden,1880,Hands,5.0,5.0,7.0,4.0,5.0,0.2673815771817996
Sweden,1880,Helm,7.0,6.0,4.0,7.0,12.5,0.3864619871789245
Sweden,1880,Lore,8.0,7.0,4.0,8.0,15.0,0.40890584636955396
Sweden,1880,Shield,6.0,5.0,3.0,6.0,11.0,0.3839149827053667
Sweden,1880,Stewards,6.0,6.0,5.0,7.0,10.5,0.3503084178972224
Sweden,1881,Archive,8.0,7.0,3.0,8.0,16.0,0.43320509210466024
Sweden,1881,Craft,7.0,6.0,4.0,6.0,12.0,0.37687466210912807
Sweden,1881,Flow,7.0,7.0,4.0,7.0,13.5,0.3864619871789245
Sweden,1881,Hands,5.0,5.0,7.0,4.0,5.0,0.2673815771817996
Sweden,1881,Helm,7.0,6.0,4.0,7.0,12.5,0.3864619871789245
Sweden,1881,Lore,8.0,7.0,4.0,8.0,15.0,0.40890584636955396
Sweden,1881,Shield,6.0,5.0,3.0,6.0,11.0,0.3839149827053667
Sweden,1881,Stewards,6.0,6.0,5.0,7.0,10.5,0.3503084178972224
Sweden,1882,Archive,8.0,7.0,3.0,8.0,16.0,0.4167113618748736
Sweden,1882,Craft,7.0,6.0,4.0,6.0,12.0,0.3628967320942083
Sweden,1882,Flow,7.0,7.0,4.0,7.0,13.5,0.37206671389895
Sweden,1882,Hands,4.0,4.0,9.0,4.0,1.0,0.2131683024557852
Sweden,1882,Helm,7.0,6.0,5.0,7.0,11.5,0.3507391922472215
Sweden,1882,Lore,8.0,7.0,4.0,8.0,15.0,0.39351665191165514
Sweden,1882,Shield,6.0,5.0,3.0,6.0,11.0,0.3696309933232043
Sweden,1882,Stewards,6.0,6.0,6.0,7.0,9.5,0.3177229452971722
Sweden,1883,Archive,8.0,7.0,3.0,8.0,16.0,0.4232060433885539
Sweden,1883,Craft,7.0,6.0,4.0,6.0,12.0,0.36840077529139054
Sweden,1883,Flow,7.0,7.0,4.0,7.0,13.5,0.3777350929710767
Sweden,1883,Hands,5.0,5.0,8.0,4.0,4.0,0.24567031882354853
Sweden,1883,Helm,6.0,6.0,5.0,7.0,10.5,0.34252271765928544
Sweden,1883,Lore,8.0,7.0,4.0,8.0,15.0,0.39957640403344297
Sweden,1883,Shield,6.0,5.0,3.0,6.0,11.0,0.37525555250354053
Sweden,1883,Stewards,6.0,6.0,5.0,7.0,10.5,0.34252271765928544
Sweden,1884,Archive,8.0,7.0,3.0,8.0,16.0,0.43780335380254104
Sweden,1884,Craft,7.0,7.0,4.0,7.0,13.5,0.3904752232893523
Sweden,1884,Flow,7.0,7.0,4.0,7.0,13.5,0.3904752232893523
Sweden,1884,Hands,5.0,5.0,7.0,4.0,5.0,0.27002408090834107
Sweden,1884,Helm,7.0,7.0,4.0,7.0,13.5,0.3904752232893523
Sweden,1884,Lore,8.0,7.0,4.0,8.0,15.0,0.4131961762373968
Sweden,1884,Shield,6.0,6.0,3.0,6.0,12.0,0.38789719414898055
Sweden,1884,Stewards,7.0,7.0,5.0,7.0,12.5,0.36791493883348186
Sweden,1885,Archive,8.0,7.0,3.0,8.0,16.0,0.4601452493016392
Sweden,1885,Craft,7.0,7.0,4.0,7.0,13.5,0.40997461407733365
Sweden,1885,Flow,8.0,8.0,3.0,8.0,17.0,0.4601452493016392
Sweden,1885,Hands,5.0,5.0,6.0,4.0,6.0,0.30124997279039034
Sweden,1885,Helm,7.0,7.0,4.0,7.0,13.5,0.40997461407733365
Sweden,1885,Lore,8.0,7.0,4.0,8.0,15.0,0.4340419018315231
Sweden,1885,Shield,7.0,6.0,3.0,7.0,13.5,0.4349817368102455
Sweden,1885,Stewards,7.0,7.0,4.0,7.0,13.5,0.40997461407733365
Sweden,1886,Archive,8.0,7.0,3.0,8.0,16.0,0.41954521052863136
Sweden,1886,Craft,7.0,6.0,4.0,6.0,12.0,0.36529833182957716
Sweden,1886,Flow,7.0,7.0,4.0,7.0,13.5,0.37454001892071276
Sweden,1886,Hands,5.0,5.0,7.0,4.0,5.0,0.2595315916132516
Sweden,1886,Helm,6.0,6.0,5.0,7.0,10.5,0.3396722317702992
Sweden,1886,Lore,8.0,7.0,4.0,8.0,15.0,0.39616072619863324
Sweden,1886,Shield,6.0,5.0,3.0,6.0,11.0,0.37208517824783877
Sweden,1886,Stewards,5.0,6.0,6.0,7.0,8.5,0.306242710741213
Sweden,1887,Archive,8.0,7.0,3.0,8.0,16.0,0.35570296165204013
Sweden,1887,Craft,7.0,6.0,5.0,6.0,11.0,0.2937378616599454
Sweden,1887,Flow,6.0,6.0,7.0,7.0,8.5,0.25757809169132256
Sweden,1887,Hands,4.0,4.0,8.0,4.0,2.0,0.19670159383706137
Sweden,1887,Helm,4.0,5.0,8.0,7.0,4.5,0.22126161207202655
Sweden,1887,Lore,8.0,7.0,5.0,8.0,14.0,0.3181544624892566
Sweden,1887,Shield,6.0,5.0,4.0,6.0,10.0,0.2991146796637111
Sweden,1887,Stewards,3.0,5.0,9.0,7.0,2.5,0.19680232526622715
Sweden,1888,Archive,8.0,7.0,3.0,8.0,16.0,0.41507881074820724
Sweden,1888,Craft,7.0,6.0,4.0,6.0,12.0,0.36151319513341157
Sweden,1888,Flow,6.0,6.0,6.0,7.0,9.5,0.31653689587635675
Sweden,1888,Hands,5.0,5.0,7.0,4.0,5.0,0.2569648655677475
Sweden,1888,Helm,6.0,6.0,5.0,7.0,10.5,0.33619449595557555
Sweden,1888,Lore,8.0,7.0,4.0,8.0,15.0,0.3919934278501049
