Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Türkiye,1875,Archive,4.0,4.8,5.0,5.0,6.300000000000001,0.17743467384820347
Türkiye,1875,Craft,2.8,3.0,7.2,3.0,0.09999999999999964,0.12991534690460738
Türkiye,1875,Flow,2.8,4.0,7.2,4.0,1.5999999999999996,0.13755674228822898
Türkiye,1875,Hands,2.0,2.8,8.2,2.0,-2.3999999999999995,0.10363578457558607
Türkiye,1875,Helm,2.8,4.8,7.2,6.0,3.3999999999999995,0.15119664866703308
Türkiye,1875,Lore,4.8,4.8,5.0,7.0,8.1,0.1967351901599955
Türkiye,1875,Shield,4.8,4.8,6.0,4.0,5.6,0.16878230289706989
Türkiye,1875,Stewards,3.0,3.8,7.0,4.0,1.7999999999999998,0.1414288609227564
Türkiye,1880,Archive,4.0,5.0,5.0,5.0,6.5,0.16909946427177913
Türkiye,1880,Craft,2.8,3.0,7.0,3.0,0.2999999999999998,0.12564369013721619
Türkiye,1880,Flow,2.8,4.0,7.0,3.0,1.2999999999999998,0.12564369013721619
Türkiye,1880,Hands,2.0,2.0,8.2,2.0,-3.1999999999999993,0.0991340945745105
Türkiye,1880,Helm,3.8,5.0,7.2,5.0,4.1000000000000005,0.14726722898113634
Türkiye,1880,Lore,4.8,5.0,5.2,7.2,8.200000000000001,0.18625867074170613
Türkiye,1880,Shield,3.8,4.0,8.2,4.0,1.6000000000000005,0.13306181022660832
Türkiye,1880,Stewards,2.8,3.8,7.0,3.0,1.0999999999999996,0.12564369013721616
Türkiye,1885,Archive,4.0,5.0,5.0,5.0,6.5,0.1761887840721461
Türkiye,1885,Craft,3.0,3.0,7.0,3.0,0.5,0.1330024836118585
Türkiye,1885,Flow,3.0,3.8,7.0,3.0,1.2999999999999998,0.1330024836118585
Türkiye,1885,Hands,2.0,2.0,8.0,2.0,-3.0,0.10427045395312963
Türkiye,1885,Helm,3.8,5.0,7.0,5.0,4.300000000000001,0.15509090227049094
Türkiye,1885,Lore,4.8,5.0,5.0,7.2,8.4,0.19640360047478694
Türkiye,1885,Shield,4.0,4.8,6.0,4.0,4.800000000000001,0.1598260284129361
Türkiye,1885,Stewards,3.0,3.8,7.0,3.2,1.4,0.13454622712509162
Türkiye,1890,Archive,4.2,5.0,5.0,5.0,6.699999999999999,0.17947506042934133
Türkiye,1890,Craft,3.0,3.0,7.0,3.0,0.5,0.13394669053895789
Türkiye,1890,Flow,3.0,4.0,7.0,3.0,1.5,0.13394669053895789
Türkiye,1890,Hands,2.0,2.0,8.0,2.0,-3.0,0.10498976801959337
Türkiye,1890,Helm,3.8,5.0,7.0,5.0,4.300000000000001,0.15621869278984887
Türkiye,1890,Lore,4.8,5.0,5.2,7.0,8.100000000000001,0.19465333747396388
Türkiye,1890,Shield,4.8,5.0,6.0,4.0,5.800000000000001,0.16884598146215796
Türkiye,1890,Stewards,3.0,4.0,7.0,3.2,1.6,0.13550294064913143
Türkiye,1895,Archive,4.0,4.8,6.0,5.0,5.300000000000001,0.15080748696908855
Türkiye,1895,Craft,2.8,3.0,8.0,3.0,-0.7000000000000002,0.1119131894387452
Türkiye,1895,Flow,2.8,4.0,8.0,3.0,0.2999999999999998,0.1119131894387452
Türkiye,1895,Hands,1.8,2.0,9.0,2.0,-4.2,0.08688323716739757
Türkiye,1895,Helm,3.8,4.8,8.0,5.0,3.0999999999999996,0.13280465030218405
Türkiye,1895,Lore,4.0,4.0,7.0,7.0,4.5,0.15256888156792464
Türkiye,1895,Shield,4.8,5.0,6.2,4.0,5.6000000000000005,0.15020912212535592
