Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
usa_master,1790,Archive,4,3,-1,4,10.0,0.5249512687287063
usa_master,1790,Craft,4,3,-2,4,11.0,0.5575794962380155
usa_master,1790,Flow,5,4,-2,5,13.5,0.6134425313214221
usa_master,1790,Hands,3,2,-3,2,9.0,0.49065447962864245
usa_master,1790,Helm,5,4,-3,4,14.0,0.6279106347815028
usa_master,1790,Lore,6,5,-2,5,15.5,0.6433913421660985
usa_master,1790,Shield,4,3,-2,3,10.5,0.5326370980964341
usa_master,1790,Stewards,7,6,-1,6,17.0,0.6503222549297908
usa_master,1800,Archive,5,4,-1,4,12.0,0.55532646378461
usa_master,1800,Craft,5,4,-1,4,12.0,0.55532646378461
usa_master,1800,Flow,6,5,-1,5,14.5,0.604113826258961
usa_master,1800,Hands,3,3,-2,2,9.0,0.4592789845046153
usa_master,1800,Helm,6,5,-2,5,15.5,0.640404087541377
usa_master,1800,Lore,6,5,-2,5,15.5,0.640404087541377
usa_master,1800,Shield,4,4,-1,3,10.5,0.4989733307328859
usa_master,1800,Stewards,7,6,-1,6,17.0,0.6472964063103583
usa_master,1810,Archive,5,5,-1,5,13.5,0.6026010962722962
usa_master,1810,Craft,5,5,-1,5,13.5,0.6026010962722962
usa_master,1810,Flow,6,6,-1,5,15.5,0.6326706214833963
usa_master,1810,Hands,4,4,-2,3,11.5,0.5547816916416954
usa_master,1810,Helm,6,6,-2,5,16.5,0.6710105028380097
usa_master,1810,Lore,6,5,-2,5,15.5,0.6710105028380097
usa_master,1810,Shield,5,5,-1,4,13.0,0.5812082573926088
usa_master,1810,Stewards,7,7,-1,6,18.0,0.678298242814243
usa_master,1820,Archive,6,6,-1,5,15.5,0.6453774552888065
usa_master,1820,Craft,6,6,-1,5,15.5,0.6453774552888065
usa_master,1820,Flow,7,7,0,6,17.0,0.6525128512484634
usa_master,1820,Hands,4,5,-2,3,12.5,0.5657010617424733
usa_master,1820,Helm,7,6,-1,6,17.0,0.6920930394999819
usa_master,1820,Lore,6,5,-2,5,15.5,0.6846293501035076
usa_master,1820,Shield,5,5,-1,4,13.0,0.5927248035378627
usa_master,1820,Stewards,8,7,0,7,18.5,0.6928082095373808
usa_master,1830,Archive,6,6,-1,5,15.5,0.6453774552888065
usa_master,1830,Craft,6,6,-1,5,15.5,0.6453774552888065
usa_master,1830,Flow,7,7,0,6,17.0,0.6525128512484634
usa_master,1830,Hands,4,5,-2,3,12.5,0.5657010617424733
usa_master,1830,Helm,7,6,-1,6,17.0,0.6920930394999819
usa_master,1830,Lore,6,5,-2,5,15.5,0.6846293501035076
usa_master,1830,Shield,5,5,-1,4,13.0,0.5927248035378627
usa_master,1830,Stewards,8,7,0,7,18.5,0.6928082095373808
usa_master,1840,Archive,6,6,-1,5,15.5,0.6525378644347283
usa_master,1840,Craft,6,6,-1,5,15.5,0.6525378644347283
usa_master,1840,Flow,7,7,0,6,17.0,0.6597657696804762
usa_master,1840,Hands,4,5,-2,3,12.5,0.571854219856812
usa_master,1840,Helm,7,6,-2,6,18.0,0.7417669533421632
usa_master,1840,Lore,6,5,-2,5,15.5,0.6923036866070087
usa_master,1840,Shield,5,5,-1,4,13.0,0.5992144754428178
usa_master,1840,Stewards,8,8,0,7,19.5,0.7005912201329109
usa_master,1850,Archive,6,6,-1,5,15.5,0.6457485088411925
usa_master,1850,Craft,6,7,-1,6,17.0,0.6650746106650376
usa_master,1850,Flow,7,8,1,6,17.0,0.6150578960160854
usa_master,1850,Hands,4,6,-2,4,14.0,0.5927680795689707
usa_master,1850,Helm,6,6,-3,5,17.5,0.7260735573886657
usa_master,1850,Lore,6,5,-2,5,15.5,0.6850270354541347
usa_master,1850,Shield,5,5,-1,4,13.0,0.5930610993786561
usa_master,1850,Stewards,8,8,1,7,18.5,0.6535730307366148
usa_master,1860,Archive,6,6,-1,5,15.5,0.6639010680748222
usa_master,1860,Craft,7,7,-1,6,18.0,0.7122026495083887
usa_master,1860,Flow,7,8,2,6,16.0,0.5950047812495719
usa_master,1860,Hands,5,6,-2,4,15.0,0.6474533858722779
usa_master,1860,Helm,5,5,-5,4,17.0,0.7724332195818676
usa_master,1860,Lore,6,5,-2,5,15.5,0.7044824667178572
usa_master,1860,Shield,6,6,-2,5,16.5,0.7044824667178572
usa_master,1860,Stewards,8,8,2,7,17.5,0.6328876223998091
usa_master,1870,Archive,6,6,-1,5,15.5,0.6716201128336757
usa_master,1870,Craft,7,7,-1,6,18.0,0.7205826011696095
usa_master,1870,Flow,7,8,1,6,17.0,0.6395088219530981
usa_master,1870,Hands,5,6,-2,4,15.0,0.6549514898935048
usa_master,1870,Helm,6,6,-3,5,17.5,0.7557922263359661
usa_master,1870,Lore,6,5,-2,5,15.5,0.7127555340465263
usa_master,1870,Shield,6,6,-2,5,16.5,0.7127555340465263
