Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
usa,1790,Archive,4.0,3.0,-1.0,4.0,10.0,0.5249512687287063
usa,1790,Craft,4.0,3.0,-2.0,4.0,11.0,0.5575794962380155
usa,1790,Flow,5.0,4.0,-2.0,5.0,13.5,0.6134425313214221
usa,1790,Hands,3.0,2.0,-3.0,2.0,9.0,0.49065447962864245
usa,1790,Helm,5.0,4.0,-3.0,4.0,14.0,0.6279106347815028
usa,1790,Lore,6.0,5.0,-2.0,5.0,15.5,0.6433913421660985
usa,1790,Shield,4.0,3.0,-2.0,3.0,10.5,0.5326370980964341
usa,1790,Stewards,7.0,6.0,-1.0,6.0,17.0,0.6503222549297908
usa,1800,Archive,5.0,4.0,-1.0,4.0,12.0,0.55532646378461
usa,1800,Craft,5.0,4.0,-1.0,4.0,12.0,0.55532646378461
usa,1800,Flow,6.0,5.0,-1.0,5.0,14.5,0.604113826258961
usa,1800,Hands,3.0,3.0,-2.0,2.0,9.0,0.4592789845046153
usa,1800,Helm,6.0,5.0,-2.0,5.0,15.5,0.640404087541377
usa,1800,Lore,6.0,5.0,-2.0,5.0,15.5,0.640404087541377
usa,1800,Shield,4.0,4.0,-1.0,3.0,10.5,0.4989733307328859
usa,1800,Stewards,7.0,6.0,-1.0,6.0,17.0,0.6472964063103583
usa,1810,Archive,5.0,5.0,-1.0,5.0,13.5,0.6026010962722962
usa,1810,Craft,5.0,5.0,-1.0,5.0,13.5,0.6026010962722962
usa,1810,Flow,6.0,6.0,-1.0,5.0,15.5,0.6326706214833963
usa,1810,Hands,4.0,4.0,-2.0,3.0,11.5,0.5547816916416954
usa,1810,Helm,6.0,6.0,-2.0,5.0,16.5,0.6710105028380097
usa,1810,Lore,6.0,5.0,-2.0,5.0,15.5,0.6710105028380097
usa,1810,Shield,5.0,5.0,-1.0,4.0,13.0,0.5812082573926088
usa,1810,Stewards,7.0,7.0,-1.0,6.0,18.0,0.678298242814243
usa,1820,Archive,6.0,6.0,-1.0,5.0,15.5,0.6453774552888065
usa,1820,Craft,6.0,6.0,-1.0,5.0,15.5,0.6453774552888065
usa,1820,Flow,7.0,7.0,0.0,6.0,17.0,0.6525128512484634
usa,1820,Hands,4.0,5.0,-2.0,3.0,12.5,0.5657010617424733
usa,1820,Helm,7.0,6.0,-1.0,6.0,17.0,0.6920930394999819
usa,1820,Lore,6.0,5.0,-2.0,5.0,15.5,0.6846293501035076
usa,1820,Shield,5.0,5.0,-1.0,4.0,13.0,0.5927248035378627
usa,1820,Stewards,8.0,7.0,0.0,7.0,18.5,0.6928082095373808
usa,1830,Archive,6.0,6.0,-1.0,5.0,15.5,0.6453774552888065
usa,1830,Craft,6.0,6.0,-1.0,5.0,15.5,0.6453774552888065
usa,1830,Flow,7.0,7.0,0.0,6.0,17.0,0.6525128512484634
usa,1830,Hands,4.0,5.0,-2.0,3.0,12.5,0.5657010617424733
usa,1830,Helm,7.0,6.0,-1.0,6.0,17.0,0.6920930394999819
usa,1830,Lore,6.0,5.0,-2.0,5.0,15.5,0.6846293501035076
usa,1830,Shield,5.0,5.0,-1.0,4.0,13.0,0.5927248035378627
usa,1830,Stewards,8.0,7.0,0.0,7.0,18.5,0.6928082095373808
usa,1840,Archive,6.0,6.0,-1.0,5.0,15.5,0.6525378644347283
