Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Ukraine,1931,Archive,7.0,7.0,5.0,6.0,12.0,0.22818666273710128
Ukraine,1931,Craft,6.0,6.0,6.0,6.0,9.0,0.20762714929064144
Ukraine,1931,Flow,3.0,3.0,9.0,3.0,-1.5,0.12837157147504502
Ukraine,1931,Hands,3.0,4.0,8.0,3.0,0.5,0.13663849189287733
Ukraine,1931,Helm,8.0,7.0,8.0,6.0,10.0,0.19965109013069723
Ukraine,1931,Lore,3.0,4.0,8.0,7.0,2.5,0.16502512518163473
Ukraine,1931,Shield,9.0,8.0,6.0,7.0,14.5,0.23535240037453883
Ukraine,1931,Stewards,1.0,1.0,10.0,2.0,-7.0,0.08466641981671262
Ukraine,1932,Archive,7.0,6.0,6.0,6.0,10.0,0.19376328887776068
Ukraine,1932,Craft,5.0,5.0,7.0,6.0,6.0,0.168933132711579
Ukraine,1932,Flow,2.0,2.0,9.0,3.0,-3.5,0.10516233837092528
Ukraine,1932,Hands,2.0,2.0,10.0,2.0,-5.0,0.09081418276333734
Ukraine,1932,Helm,8.0,6.0,9.0,6.0,8.0,0.16966230323063167
Ukraine,1932,Lore,2.0,3.0,9.0,7.0,-0.5,0.13206513169218154
Ukraine,1932,Shield,9.0,9.0,5.0,7.0,16.5,0.22193484528159418
Ukraine,1932,Stewards,1.0,1.0,10.0,1.0,-7.5,0.0656946586112028
Ukraine,1933,Archive,6.0,5.0,5.0,5.0,8.5,0.18890596734240597
Ukraine,1933,Craft,5.0,5.0,6.0,6.0,7.0,0.17614989441601175
Ukraine,1933,Flow,2.0,1.0,8.0,2.0,-4.0,0.1016890248521949
Ukraine,1933,Hands,1.0,1.0,10.0,1.0,-7.5,0.06482731168232345
Ukraine,1933,Helm,9.0,7.0,7.0,6.0,12.0,0.19295864243889224
Ukraine,1933,Lore,2.0,2.0,8.0,6.0,-1.0,0.13211008179403927
Ukraine,1933,Shield,10.0,9.0,4.0,7.0,18.5,0.23534022941728683
Ukraine,1933,Stewards,0.0,0.0,10.0,0.0,-10.0,0.0
Ukraine,1934,Archive,8.0,7.0,3.0,6.0,15.0,0.3456800400030109
Ukraine,1934,Craft,6.0,7.0,4.0,6.0,12.0,0.3029984705834384
Ukraine,1934,Flow,5.0,5.0,5.0,4.0,7.0,0.25489903823045784
Ukraine,1934,Hands,4.0,4.0,5.0,3.0,4.5,0.22884971969702628
