Society,Year,series_file,tier,range_tier,eta_unscaled,eta_x1000,interpretation_hermes,V_mean,sigma_V,BS_Lore,BS_Archive,C_Hands,S_Hands,numerator,denominator,epsilon
Afghanistan,1900,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
Afghanistan,1901,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
Afghanistan,1902,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
Afghanistan,1903,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
Afghanistan,1904,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
Afghanistan,1905,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
Afghanistan,1906,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
Afghanistan,1907,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
Afghanistan,1908,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
Afghanistan,1909,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
Afghanistan,1910,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
Afghanistan,1911,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
Afghanistan,1912,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
Afghanistan,1913,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.006079,6.079,Organic / WATCH range,3.8125,2.573149,0.20965,0.193408,3.0,7.0,0.121644,20.01204,2.0
