Society,Year,series_file,tier,range_tier,eta_unscaled,eta_x1000,interpretation_hermes,V_mean,sigma_V,BS_Lore,BS_Archive,C_Hands,S_Hands,numerator,denominator,epsilon
Saudi Arabia,2025,Saudi_Arabia_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,12.699552,12699.552,Artificial high anchoring (Singapore pattern),27.9375,3.244587,1.446167,1.95145,9.0,0.0,25.399103,2.0,2.0
Australia,2024,Australia_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,2.804774,2804.774,Artificial high anchoring (Singapore pattern),20.15625,0.779999,0.801868,0.874451,8.0,0.0,5.609549,2.0,2.0
Denmark,2025,Denmark_ENS_Bij_v10.csv,canonical_ens,out_of_range,1.317354,1317.354,Artificial high anchoring (Singapore pattern),16.84375,3.018012,0.562274,0.720894,6.5,0.0,2.634708,2.0,2.0
UAE,2026,UAE_ENS_Bij_v10.csv,canonical_ens,in_range,1.043185,1043.185,Artificial high anchoring (Singapore pattern),21.625,0.484123,0.640819,0.640819,10.0,4.0,4.106489,3.936492,2.0
Netherlands,2024,Netherlands_ENS_Bij_v10.csv,canonical_ens,out_of_range,0.89062,890.62,Artificial high anchoring (Singapore pattern),14.8125,3.622305,0.41796,0.608821,7.0,0.0,1.781241,2.0,2.0
Thailand,2025,Thailand_1850_2025_Thailand_1850_2025_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.374623,374.623,Moderate Maritime,12.9375,0.165359,0.377404,0.377404,7.0,4.0,0.997035,2.661438,2.0
Singapore,2025,Singapore_ENS_Bij_v10.csv,canonical_ens,in_range,0.183776,183.776,Moderate Maritime,19.6875,1.919269,0.534047,0.581372,8.0,6.0,2.483841,13.515614,2.0
Pakistan,2025,Pakistan_ENS_Bij_v10.csv,canonical_ens,in_range,0.16879,168.79,Moderate Maritime,10.4375,0.165359,0.268606,0.268606,7.0,6.0,0.505045,2.992157,2.0
Pakistan,2025,Pakistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.16879,168.79,Moderate Maritime,10.4375,0.165359,0.268606,0.268606,7.0,6.0,0.505045,2.992157,2.0
Sweden,2025,Sweden_ENS_Bij_v10.csv,canonical_ens,in_range,0.138996,138.996,Moderate Maritime,19.125,2.57087,0.407061,0.56358,9.0,5.0,2.064701,14.854352,2.0
Israel,2025,Israel_ENS_Bij_v10.csv,canonical_ens,in_range,0.137782,137.782,Moderate Maritime,10.375,0.216506,0.263053,0.263053,7.0,7.0,0.484379,3.515544,2.0
israel,2025,Israel_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.137782,137.782,Moderate Maritime,10.375,0.216506,0.263053,0.263053,7.0,7.0,0.484379,3.515544,2.0
England,1900,England_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.131622,131.622,Moderate Maritime,16.3125,2.221169,0.388817,0.460584,8.0,4.0,1.432663,10.884678,2.0
New Zealand,2026,NewZealand_Gem_April_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.112813,112.813,Moderate Maritime,15.1875,1.657134,0.377943,0.445603,8.0,6.0,1.347301,11.942805,2.0
SpaceX,2026,SpaceX_cam5_2006_2026_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.080109,80.109,Organic / WATCH range,14.2,2.095829,0.405323,0.352346,7.0,5.0,0.999698,12.479146,2.0
Norway,2026,Norway_ENS_Bij_v10.csv,canonical_ens,in_range,0.079943,79.943,Organic / WATCH range,12.15,2.314627,0.366363,0.409447,6.0,4.0,0.900036,11.25851,2.0
Australia,2026,Australia_cam5_1996_2026_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.070035,70.035,Organic / WATCH range,11.8125,1.618979,0.327005,0.360342,6.0,5.0,0.707001,10.094896,2.0
China,2025,China_ENS_Bij_v10.csv,canonical_ens,in_range,0.070021,70.021,Organic / WATCH range,13.4875,2.137427,0.361885,0.396491,6.4,5.2,0.9183,13.11462,2.0
Indigenous Australia,2025,IndigenousAustralia_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.063821,63.821,Organic / WATCH range,12.375,2.087912,0.403643,0.382828,6.0,6.0,0.927156,14.52747,2.0
Chile,2026,Chile_ENS_Bij_v10.csv,canonical_ens,in_range,0.058886,58.886,Organic / WATCH range,11.15,1.779045,0.349279,0.367373,5.0,5.0,0.641579,10.895223,2.0
Poland,2026,Poland_ENS_Bij_v10.csv,canonical_ens,in_range,0.055505,55.505,Organic / WATCH range,10.2875,1.261386,0.307885,0.299514,5.0,5.0,0.46108,8.306928,2.0
Saudi Arabia,2026,Saudi_Arabia_ENS_Bij_v10.csv,canonical_ens,in_range,0.052486,52.486,Organic / WATCH range,15.6875,2.656801,0.31423,0.374581,8.0,6.0,0.941637,17.940808,2.0
Russia,2026,Russia_ENS_Bij_v10.csv,canonical_ens,in_range,0.051409,51.409,Organic / WATCH range,8.75,1.225765,0.257447,0.277605,6.2,5.4,0.443105,8.619131,2.0
United Kingdom,2026,UK_ENS_Bij_v10.csv,canonical_ens,in_range,0.047385,47.385,Organic / WATCH range,10.65,2.054264,0.315772,0.368291,5.0,5.0,0.58148,12.271319,2.0
Hong Kong,2015,Hong_Kong_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.045793,45.793,Organic / WATCH range,11.5,1.767767,0.330063,0.349806,5.0,6.0,0.57729,12.606602,2.0
Hong Kong,2015,Hong_Kong_ENS_Bij_v10.csv,canonical_ens,in_range,0.045793,45.793,Organic / WATCH range,11.5,1.767767,0.330063,0.349806,5.0,6.0,0.57729,12.606602,2.0
Hong Kong,2015,Hongkong_Manual_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.045793,45.793,Organic / WATCH range,11.5,1.767767,0.330063,0.349806,5.0,6.0,0.57729,12.606602,2.0
usa,2025,USA_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,0.043185,43.185,Organic / WATCH range,10.1625,3.026523,0.284499,0.382135,3.8,2.5,0.413125,9.566308,2.0
USA,2025,USA_HighRes_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,0.043185,43.185,Organic / WATCH range,10.1625,3.026523,0.284499,0.382135,3.8,2.5,0.413125,9.566308,2.0
usa_maximum_1790-2025_us_high_res,2025,Usa_Maximum_1790-2025_Us_High_Res_2025_1_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,0.043185,43.185,Organic / WATCH range,10.1625,3.026523,0.284499,0.382135,3.8,2.5,0.413125,9.566308,2.0
USA,2025,USA_Reconstructed_cleaned_Bij_v10.csv,usp_or_legacy,out_of_range,0.043185,43.185,Organic / WATCH range,10.1625,3.026523,0.284499,0.382135,3.8,2.5,0.413125,9.566308,2.0
China,2026,China_CAMS_1900_2026_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.042248,42.248,Organic / WATCH range,11.625,2.341874,0.336189,0.336189,6.0,6.0,0.678136,16.051245,2.0
Australia,2026,Australia_ENS_Bij_v10.csv,canonical_ens,in_range,0.040686,40.686,Organic / WATCH range,8.9,1.633248,0.270492,0.305828,5.0,5.0,0.41362,10.166241,2.0
Brazil,2025,Brazil_ENS_Bij_v10.csv,canonical_ens,in_range,0.038073,38.073,Organic / WATCH range,11.875,1.386317,0.288214,0.288214,6.0,8.0,0.498402,13.090537,2.0
Germany,2026,Germany_ENS_Bij_v10.csv,canonical_ens,in_range,0.033074,33.074,Organic / WATCH range,8.5875,1.684071,0.263856,0.278121,5.0,5.4,0.36692,11.093981,2.0
Canada,1905,Canada_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.027047,27.047,Organic / WATCH range,9.875,2.496873,0.312953,0.312953,4.0,5.0,0.391758,14.484365,2.0
Australia,2026,Australia_2026_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.02248,22.48,Organic / WATCH range,13.5625,3.422695,0.286673,0.383996,6.0,8.0,0.660488,29.381563,2.0
Japan,2026,Japan_ENS_Bij_v10.csv,canonical_ens,in_range,0.021865,21.865,Organic / WATCH range,9.025,2.426803,0.296327,0.305498,4.0,6.0,0.362109,16.560821,2.0
France,2026,France_ENS_Bij_v10.csv,canonical_ens,in_range,0.020971,20.971,Organic / WATCH range,9.0625,2.162717,0.271477,0.271477,5.0,7.2,0.3685,17.571561,2.0
Germany,2026,Germany_CAMS_1900_2026_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.020484,20.484,Organic / WATCH range,6.8125,1.69443,0.238295,0.238295,5.0,7.0,0.283922,13.861011,2.0
Latium Vetus,2010,LatimVetus_ENS_460_2010_cleaned_Bij_v10.csv,cleaned_ens,in_range,0.019536,19.536,Organic / WATCH range,7.6,2.658477,0.281748,0.296087,5.2,7.6,0.433794,22.204425,2.0
New Zealand,2026,New_Zealand_1900_2026_claude_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.019357,19.357,Organic / WATCH range,6.25,2.331845,0.24881,0.24881,5.0,6.0,0.309533,15.991069,2.0
Russia,1830,Russia_1800_1830_claude_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.018207,18.207,Organic / WATCH range,9.0,2.304886,0.269426,0.245092,5.0,7.0,0.33017,18.134203,2.0
Spain,1830,Spain_1800_1830_cleaned_Bij_v10.csv,usp_or_legacy,in_range,0.017614,17.614,Organic / WATCH range,7.1875,3.665187,0.262351,0.268463,6.0,6.0,0.42259,23.99112,2.0
Colombia,2026,Colombia_ENS_Bij_v10.csv,canonical_ens,in_range,0.017543,17.543,Organic / WATCH range,6.8125,1.836054,0.238925,0.238925,4.0,6.0,0.228341,13.016323,2.0
Ukraine,2025,Ukraine_ENS_Bij_v10.csv,canonical_ens,out_of_range,0.017222,17.222,Organic / WATCH range,10.3125,5.744223,0.339745,0.305669,7.0,7.0,0.726947,42.209558,2.0
Thailand,2025,Thailand_ENS_Bij_v10.csv,canonical_ens,in_range,0.017007,17.007,Organic / WATCH range,7.8125,1.836054,0.222039,0.199394,5.0,6.0,0.221367,13.016323,2.0
